idx,date,open,high,low,close,volume,dividends,stock_splits
1,1980-12-12,0.0987258926,0.0991551118,0.0987258926,0.0987258926,469033600,0.0,0.0
2,1980-12-15,0.094004518,0.094004518,0.0935752988,0.0935752988,175884800,0.0,0.0
3,1980-12-16,0.0871363064,0.0871363064,0.0867070928,0.0867070928,105728000,0.0,0.0
4,1980-12-17,0.0888531879,0.0892824072,0.0888531879,0.0888531879,86441600,0.0,0.0
5,1980-12-18,0.0914292485,0.091858462,0.0914292485,0.0914292485,73449600,0.0,0.0
6,1980-12-19,0.0970090628,0.0974382821,0.0970090628,0.0970090628,48630400,0.0,0.0
7,1980-12-22,0.1017304137,0.1021604009,0.1017304137,0.1017304137,37363200,0.0,0.0
8,1980-12-23,0.106023334,0.1064525531,0.106023334,0.106023334,46950400,0.0,0.0
9,1980-12-24,0.1116032302,0.1120324497,0.1116032302,0.1116032302,48003200,0.0,0.0
10,1980-12-26,0.1219051927,0.1223344122,0.1219051927,0.1219051927,55574400,0.0,0.0
11,1980-12-29,0.1236219928,0.124051212,0.1236219928,0.1236219928,93161600,0.0,0.0
12,1980-12-30,0.1210467018,0.1210467018,0.120617494,0.120617494,68880000,0.0,0.0
13,1980-12-31,0.117613009,0.117613009,0.1171837896,0.1171837896,35750400,0.0,0.0
14,1981-01-02,0.1184714511,0.11932989,0.1184714511,0.1184714511,21660800,0.0,0.0
15,1981-01-05,0.1163253958,0.1163253958,0.1158961877,0.1158961877,35728000,0.0,0.0
16,1981-01-06,0.1111740237,0.1111740237,0.1107448041,0.1107448041,45158400,0.0,0.0
17,1981-01-07,0.1064525831,0.1064525831,0.1060233638,0.1060233638,55686400,0.0,0.0
18,1981-01-08,0.1043065139,0.1043065139,0.103877306,0.103877306,39827200,0.0,0.0
19,1981-01-09,0.1094571427,0.1098863621,0.1094571427,0.1094571427,21504000,0.0,0.0
20,1981-01-12,0.109457099,0.109457099,0.1085986719,0.1085986719,23699200,0.0,0.0
