idx,date,open,high,low,close,volume,dividends,stock_splits
1,2020-12-10,146.0,165.0,141.25,144.7100067139,70447500,0.0,0.0
2,2020-12-11,146.5500030518,151.5,135.1000061035,139.25,26980800,0.0,0.0
3,2020-12-14,135.0,135.3000030518,125.1600036621,130.0,16966100,0.0,0.0
4,2020-12-15,126.6900024414,127.5999984741,121.5,124.8000030518,10914400,0.0,0.0
5,2020-12-16,125.8300018311,142.0,124.9100036621,137.9900054932,20409600,0.0,0.0
6,2020-12-17,143.0,152.4499969482,142.6699981689,147.0500030518,15054700,0.0,0.0
7,2020-12-18,150.4499969482,159.0,150.3000030518,157.3000030518,15954200,0.0,0.0
8,2020-12-21,155.3099975586,172.0,145.1100006104,163.0200042725,17788100,0.0,0.0
9,2020-12-22,170.0,174.9700012207,161.0500030518,163.1900024414,9872600,0.0,0.0
10,2020-12-23,162.8139953613,168.25,155.5,158.0099945068,5852500,0.0,0.0
11,2020-12-24,159.1600036621,162.7899932861,154.1119995117,154.8399963379,3621400,0.0,0.0
12,2020-12-28,158.6000061035,163.6399993896,147.5200042725,149.0,6229200,0.0,0.0
13,2020-12-29,150.0,151.6510009766,143.1199951172,150.0,5402300,0.0,0.0
14,2020-12-30,151.3399963379,152.81300354,145.6000061035,148.4299926758,3462400,0.0,0.0
15,2020-12-31,146.8999938965,147.8899993896,144.5099945068,146.8000030518,2795800,0.0,0.0
16,2021-01-04,150.9900054932,151.0050048828,137.0,139.1499938965,6409900,0.0,0.0
17,2021-01-05,138.2799987793,149.0,137.25,148.3000030518,5974200,0.0,0.0
18,2021-01-06,145.75,148.3500061035,141.1100006104,142.7700042725,4213900,0.0,0.0
19,2021-01-07,146.3699951172,154.4199981689,145.2610015869,151.2700042725,4482800,0.0,0.0
20,2021-01-08,153.4499969482,155.5399932861,147.25,149.7700042725,4615600,0.0,0.0
21,2021-01-11,147.9900054932,150.5,144.0200042725,148.1300048828,2801900,0.0,0.0
22,2021-01-12,148.0800018311,163.8800048828,143.6100006104,160.8000030518,8123600,0.0,0.0
23,2021-01-13,160.8099975586,178.6199951172,159.3500061035,169.9900054932,12529700,0.0,0.0
24,2021-01-14,175.5399932861,187.4199981689,174.9750061035,180.5,9926500,0.0,0.0
25,2021-01-15,184.5800018311,185.9949951172,164.8600006104,169.2700042725,8575700,0.0,0.0
26,2021-01-19,173.0,178.6000061035,166.6000061035,173.6900024414,4685400,0.0,0.0
27,2021-01-20,176.0099945068,176.3099975586,161.0,161.8300018311,8517400,0.0,0.0
28,2021-01-21,164.9900054932,183.4700012207,155.3300018311,180.3999938965,17618400,0.0,0.0
29,2021-01-22,178.0899963379,185.3070068359,175.1900024414,181.8699951172,7136800,0.0,0.0
30,2021-01-25,186.0500030518,192.4700012207,170.0299987793,177.5299987793,7472900,0.0,0.0
31,2021-01-26,180.0,193.0,177.3000030518,192.7400054932,6460900,0.0,0.0
32,2021-01-27,187.6399993896,216.0,185.5,201.25,11019800,0.0,0.0
