idx,date,open,high,low,close,volume,dividends,stock_splits
1,1980-03-17,0.0,0.4760105938,0.4535807669,0.4535807669,378125,0.0,0.0
2,1980-03-18,0.0,0.4535809158,0.4411199133,0.4485965371,215625,0.0,0.0
3,1980-03-19,0.0,0.4585653317,0.4485965371,0.4485965371,153125,0.0,0.0
4,1980-03-20,0.0,0.4535809158,0.4485965371,0.4485965371,43750,0.0,0.0
5,1980-03-21,0.0,0.4485965598,0.4286589324,0.4286589324,556250,0.0,0.0
6,1980-03-24,0.0,0.4311511764,0.3937681605,0.3987525403,384375,0.0,0.0
7,1980-03-25,0.0,0.3887835804,0.368845958,0.3837991655,325000,0.0,0.0
8,1980-03-26,0.0,0.3987525403,0.3862915351,0.3987525403,100000,0.0,0.0
9,1980-03-27,0.0,0.3887836362,0.3713382188,0.3763225973,512500,0.0,0.0
10,1980-03-28,0.0,0.3987525403,0.3837993266,0.3987525403,246875,0.0,0.0
11,1980-03-31,0.0,0.3987525403,0.391275952,0.3987525403,62500,0.0,0.0
12,1980-04-02,0.0,0.413705707,0.398752495,0.4087213278,128125,0.0,0.0
13,1980-04-03,0.0,0.4137056539,0.4037368596,0.4037368596,128125,0.0,0.0
14,1980-04-07,0.0,0.4012444379,0.3862912357,0.3862912357,265625,0.0,0.0
15,1980-04-08,0.0,0.3937681913,0.3837993566,0.3937681913,96875,0.0,0.0
16,1980-04-09,0.0,0.4012446289,0.3962602134,0.3987524211,50000,0.0,0.0
17,1980-04-10,0.0,0.4087213278,0.398752495,0.4087213278,53125,0.0,0.0
18,1980-04-11,0.0,0.4087213467,0.4012447217,0.4062291384,243750,0.0,0.0
19,1980-04-14,0.0,0.4012447802,0.3937681913,0.3937681913,162500,0.0,0.0
20,1980-04-15,0.0,0.3987524277,0.3887836337,0.3887836337,37500,0.0,0.0
21,1980-04-16,0.0,0.4018675774,0.3894065788,0.3925218284,142500,0.0,1.25
22,1980-04-17,0.0,0.3894064846,0.3800607379,0.3862912357,182500,0.0,0.0
23,1980-04-18,0.0,0.3925218025,0.3769455552,0.3769455552,397500,0.0,0.0
24,1980-04-21,0.0,0.3831760541,0.3769455552,0.3769455552,25000,0.0,0.0
25,1980-04-22,0.0,0.4018676579,0.3800609059,0.4018676579,390000,0.0,0.0
26,1980-04-23,0.0,0.4080983996,0.3987526433,0.4080983996,505000,0.0,0.0
