idx,date,open,high,low,close,volume,dividends,stock_splits
1,1980-03-17,0.0,0.4044548621,0.3953662062,0.399910301,1158040,0.0,0.0
2,1980-03-18,0.0,0.4059697803,0.3983954914,0.4044549167,1622063,0.0,0.0
3,1980-03-19,0.0,0.4120290577,0.4044547715,0.4120290577,1367859,0.0,0.0
4,1980-03-20,0.0,0.4211178452,0.4105143249,0.4105143249,3046412,0.0,0.0
5,1980-03-21,0.0,0.4150581602,0.4089992344,0.4089992344,1020851,0.0,0.0
6,1980-03-24,0.0,0.4120292242,0.4059697986,0.4059697986,778752,0.0,0.0
7,1980-03-25,0.0,0.4120292242,0.4044549349,0.4059697986,944186,0.0,0.0
8,1980-03-26,0.0,0.4120290577,0.4044547715,0.4120290577,2332220,0.0,0.0
9,1980-03-27,0.0,0.4059695468,0.3968808949,0.3968808949,770682,0.0,0.0
10,1980-03-28,0.0,0.4120289305,0.4059695092,0.4089992344,459988,0.0,0.0
11,1980-03-31,0.0,0.4165733805,0.4089995856,0.4135441482,250169,0.0,0.0
12,1980-04-02,0.0,0.4423254066,0.4196030349,0.4392956793,758577,0.0,0.0
13,1980-04-03,0.0,0.4529289664,0.4408105808,0.4483844042,1480839,0.0,0.0
14,1980-04-07,0.0,0.4483843236,0.4408105016,0.4408105016,464023,0.0,0.0
15,1980-04-08,0.0,0.4377807719,0.4332361817,0.4332361817,1355754,0.0,0.0
16,1980-04-09,0.0,0.4332361817,0.4332361817,0.4332361817,347009,0.0,0.0
17,1980-04-10,0.0,0.4423256599,0.436266231,0.4377810955,314729,0.0,0.0
18,1980-04-11,0.0,0.4483844026,0.4408105793,0.442325443,710157,0.0,0.0
19,1980-04-14,0.0,0.4392954633,0.4362657666,0.4362657666,205784,0.0,0.0
20,1980-04-15,0.0,0.4423254066,0.4377808448,0.4392956793,197714,0.0,0.0
21,1980-04-16,0.0,0.4483844026,0.442325443,0.442325443,2134506,0.0,0.0
22,1980-04-17,0.0,0.4392956793,0.4362659812,0.4392956793,1371894,0.0,0.0
23,1980-04-18,0.0,0.4438402703,0.4392956793,0.4392956793,391393,0.0,0.0
24,1980-04-21,0.0,0.4423254066,0.4392956793,0.4392956793,379288,0.0,0.0
25,1980-04-22,0.0,0.4544438285,0.442325443,0.442325443,1125760,0.0,0.0
26,1980-04-23,0.0,0.449898762,0.4423249758,0.4453547001,625422,0.0,0.0
27,1980-04-24,0.0,0.4483844042,0.4438403083,0.4483844042,246134,0.0,0.0
28,1980-04-25,0.0,0.4498990706,0.4468693733,0.4468693733,121049,0.0,0.0
29,1980-04-28,0.0,0.4529287219,0.4468692992,0.4529287219,347009,0.0,0.0
30,1980-04-29,0.0,0.4529289123,0.4514140487,0.4514140487,1166110,0.0,0.0
31,1980-04-30,0.0,0.4529288339,0.4498991072,0.4498991072,431743,0.0,0.0
32,1980-05-02,0.0,0.4650471276,0.4574733078,0.4574733078,217889,0.0,0.0
33,1980-05-05,0.0,0.4635323286,0.4574733711,0.4635323286,455953,0.0,0.0
34,1980-05-06,0.0,0.4665620551,0.4605030976,0.4635323286,375253,0.0,0.0
35,1980-05-07,0.0,0.4665620589,0.4589882381,0.4605031013,407533,0.0,0.0
36,1980-05-08,0.0,0.4665620551,0.4605030976,0.4635323286,1343649,0.0,0.0
37,1980-05-09,0.0,0.4650471957,0.4589882381,0.4605031013,669807,0.0,0.0
