idx,date,open,high,low,close,volume,dividends,stock_splits
1,1971-01-04,0.8395448327,0.8469092611,0.8358626185,0.8395448327,36900,0.0,0.0
2,1971-01-05,0.8395453661,0.8690030982,0.8395453661,0.8616386652,45500,0.0,0.0
3,1971-01-06,0.8616383347,0.8947782706,0.8579561196,0.8910960555,54800,0.0,0.0
4,1971-01-07,0.8910964882,0.9131897895,0.8837320544,0.9095075727,51100,0.0,0.0
5,1971-01-08,0.9095067802,0.9279178487,0.9095067802,0.9131889939,53000,0.0,0.0
6,1971-01-11,0.9168719628,0.9352830464,0.9168719628,0.927918613,38400,0.0,0.0
7,1971-01-12,0.9279185308,0.9573762619,0.920554098,0.9536940455,54400,0.0,0.0
8,1971-01-13,0.9536940455,0.9647406947,0.93896518,0.9536940455,65100,0.0,0.0
9,1971-01-14,0.9500110668,0.9500110668,0.9242355728,0.9389644265,45200,0.0,0.0
10,1971-01-15,0.9389653263,0.9463297603,0.9095075906,0.9168720245,63300,0.0,0.0
11,1971-01-18,0.9205536335,0.9536935643,0.9205536335,0.9426469207,33500,0.0,0.0
12,1971-01-19,0.9426474798,0.9426474798,0.9205541795,0.927918613,26000,0.0,0.0
13,1971-01-20,0.927918613,0.9426474798,0.9205541795,0.927918613,33400,0.0,0.0
14,1971-01-21,0.9279182707,0.9352827014,0.8947783324,0.9021427631,45000,0.0,0.0
15,1971-01-22,0.9021428034,0.927918312,0.8984605878,0.9058250189,33600,0.0,0.0
16,1971-01-25,0.9058253558,0.9279186571,0.9058253558,0.9095075727,60100,0.0,0.0
17,1971-01-26,0.9095076878,0.9205543399,0.9021432531,0.9205543399,47700,0.0,0.0
18,1971-01-27,0.9131893461,0.9131893461,0.8910960555,0.8910960555,72100,0.0,0.0
19,1971-01-28,0.8910960555,0.8947782706,0.8763671951,0.8910960555,60700,0.0,0.0
20,1971-01-29,0.8910964908,0.9095075753,0.883732057,0.8984609246,73800,0.0,0.0
21,1971-02-02,0.9095071364,0.9131893516,0.9021427062,0.9131893516,43700,0.0,0.0
22,1971-02-03,0.9131893516,0.9131893516,0.9021427062,0.9131893516,33600,0.0,0.0
23,1971-02-04,0.9184162675,0.9184162675,0.9034826697,0.9109494686,309100,0.425,0.0
24,1971-02-05,0.9109492876,0.9146826863,0.9072158889,0.9146826863,38600,0.0,0.0
25,1971-02-08,0.9146828681,0.9146828681,0.9034826697,0.9109494686,39300,0.0,0.0
26,1971-02-09,0.9109497149,0.9109497149,0.896016113,0.903482914,37400,0.0,0.0
27,1971-02-10,0.903482732,0.9109495314,0.8922825328,0.9072161317,31300,0.0,0.0
28,1971-02-11,0.9072161317,0.9146829311,0.9072161317,0.9072161317,54200,0.0,0.0
29,1971-02-12,0.9072160692,0.9258830665,0.9072160692,0.9109494686,28100,0.0,0.0
30,1971-02-16,0.9109495314,0.9146829311,0.903482732,0.9072161317,48200,0.0,0.0
