idx,date,open,high,low,close,volume,dividends,stock_splits
1,1983-06-17,0.0,0.2434360619,0.2398029268,0.2398029268,42936000,0.0,0.0
2,1983-06-20,0.0,0.2143695417,0.2107356787,0.2107356787,7329600,0.0,0.0
3,1983-06-21,0.0,0.2180026771,0.2107356787,0.2107356787,2280000,0.0,0.0
4,1983-06-22,0.0,0.2216359184,0.2180027813,0.2180027813,5937600,0.0,0.0
5,1983-06-23,0.0,0.2216359184,0.2180027813,0.2180027813,1272000,0.0,0.0
6,1983-06-24,0.0,0.218002701,0.2143695652,0.2143695652,1574400,0.0,0.0
7,1983-06-27,0.0,0.1962025054,0.1889355034,0.1889355034,5884800,0.0,0.0
8,1983-06-28,0.0,0.1925693682,0.1889355034,0.1889355034,4987200,0.0,0.0
9,1983-06-29,0.0,0.1889354685,0.185302332,0.185302332,1056000,0.0,0.0
10,1983-06-30,0.0,0.1943859264,0.1889355034,0.1889355034,2164800,0.0,0.0
11,1983-07-05,0.0,0.1889354168,0.1816691458,0.1816691458,576000,0.0,0.0
12,1983-07-06,0.0,0.1853022813,0.1816691458,0.1816691458,638400,0.0,0.0
13,1983-07-07,0.0,0.1889354382,0.1853023022,0.1853023022,1046400,0.0,0.0
14,1983-07-08,0.0,0.1889354168,0.1816691458,0.1816691458,681600,0.0,0.0
15,1983-07-11,0.0,0.1889354382,0.1853023022,0.1853023022,729600,0.0,0.0
16,1983-07-12,0.0,0.1925693017,0.1853023022,0.1853023022,777600,0.0,0.0
17,1983-07-13,0.0,0.1998356033,0.1925693303,0.1925693303,4420800,0.0,0.0
18,1983-07-14,0.0,0.1998355553,0.1943858415,0.1943858415,777600,0.0,0.0
19,1983-07-15,0.0,0.1998355553,0.1943858415,0.1943858415,897600,0.0,0.0
20,1983-07-18,0.0,0.1962024668,0.1925693303,0.1925693303,456000,0.0,0.0
21,1983-07-19,0.0,0.1962024744,0.1889354736,0.1889354736,417600,0.0,0.0
22,1983-07-20,0.0,0.1907528068,0.1871189624,0.1871189624,484800,0.0,0.0
23,1983-07-21,0.0,0.18530235,0.1780353487,0.1780353487,1156800,0.0,0.0
24,1983-07-22,0.0,0.1780353057,0.1762187481,0.1762187481,3038400,0.0,0.0
25,1983-07-25,0.0,0.1798525909,0.1762187481,0.1762187481,1401600,0.0,0.0
26,1983-07-26,0.0,0.1798525909,0.1762187481,0.1762187481,2697600,0.0,0.0
27,1983-07-27,0.0,0.1744021797,0.1689524651,0.1689524651,566400,0.0,0.0
28,1983-07-28,0.1689524651,0.1689524651,0.1689524651,0.1689524651,0,0.0,0.0
29,1983-07-29,0.0,0.1744021838,0.1671351939,0.1671351939,734400,0.0,0.0
30,1983-08-02,0.0,0.1671351966,0.1616854817,0.1616854817,225600,0.0,0.0
31,1983-08-03,0.0,0.1671351966,0.1616854817,0.1616854817,105600,0.0,0.0
32,1983-08-04,0.0,0.1635019814,0.1562349945,0.1562349945,360000,0.0,0.0
33,1983-08-05,0.0,0.1580523961,0.1526019722,0.1526019722,417600,0.0,0.0
34,1983-08-08,0.0,0.1526019485,0.1489688009,0.1489688009,292800,0.0,0.0
35,1983-08-09,0.0,0.1489687498,0.1435183287,0.1435183287,849600,0.0,0.0
36,1983-08-10,0.0,0.1489687498,0.1435183287,0.1435183287,700800,0.0,0.0
37,1983-08-11,0.0,0.1489687498,0.1435183287,0.1435183287,124800,0.0,0.0
38,1983-08-12,0.0,0.1471521819,0.1435183287,0.1435183287,201600,0.0,0.0
39,1983-08-15,0.0,0.1471522099,0.1417017877,0.1417017877,585600,0.0,0.0
40,1983-08-16,0.0,0.1471522099,0.1417017877,0.1417017877,235200,0.0,0.0
41,1983-08-17,0.0,0.1471522099,0.1417017877,0.1417017877,153600,0.0,0.0
42,1983-08-18,0.0,0.1380686564,0.1326182336,0.1326182336,715200,0.0,0.0
43,1983-08-19,0.0,0.13625207,0.1308016479,0.1308016479,744000,0.0,0.0
44,1983-08-22,0.0,0.1217180663,0.1162683517,0.1162683517,508800,0.0,0.0
45,1983-08-23,0.0,0.1199014982,0.1162683517,0.1162683517,523200,0.0,0.0
46,1983-08-24,0.0,0.1199014982,0.1162683517,0.1162683517,700800,0.0,0.0
47,1983-08-25,0.0,0.1199015267,0.1144518107,0.1144518107,331200,0.0,0.0
48,1983-08-26,0.0,0.1199014982,0.1162683517,0.1162683517,643200,0.0,0.0
49,1983-08-29,0.0,0.1199014982,0.1162683517,0.1162683517,398400,0.0,0.0
50,1983-08-30,0.0,0.1199014982,0.1162683517,0.1162683517,230400,0.0,0.0
51,1983-08-31,0.0,0.125351925,0.1217180714,0.1217180714,1300800,0.0,0.0
52,1983-09-02,0.0,0.1417017628,0.1380686164,0.1380686164,1252800,0.0,0.0
53,1983-09-06,0.0,0.1435182924,0.1398851573,0.1398851573,868800,0.0,0.0
54,1983-09-07,0.0,0.1435182924,0.1398851573,0.1398851573,590400,0.0,0.0
55,1983-09-08,0.0,0.1453349042,0.1417017579,0.1417017579,566400,0.0,0.0
56,1983-09-09,0.0,0.1453349042,0.1417017579,0.1417017579,331200,0.0,0.0
57,1983-09-12,0.0,0.1489687808,0.1435183585,0.1435183585,1516800,0.0,0.0
