idx,date,open,high,low,close,volume,dividends,stock_splits
1,1997-05-15,0.121875003,0.125,0.0963540003,0.097916998,1443120000,0.0,0.0
2,1997-05-16,0.0984380022,0.0989580005,0.0854170024,0.0864579976,294000000,0.0,0.0
3,1997-05-19,0.0880210027,0.0885419995,0.081249997,0.0854170024,122136000,0.0,0.0
4,1997-05-20,0.0864579976,0.0874999985,0.0817710012,0.0817710012,109344000,0.0,0.0
5,1997-05-21,0.0817710012,0.082291998,0.0687500015,0.0713540018,377064000,0.0,0.0
6,1997-05-22,0.0718749985,0.0723960027,0.065624997,0.0697920024,235536000,0.0,0.0
7,1997-05-23,0.0703129992,0.0760419965,0.066666998,0.075000003,318744000,0.0,0.0
8,1997-05-27,0.0755209997,0.082291998,0.0729169995,0.0791670009,173952000,0.0,0.0
9,1997-05-28,0.081249997,0.0817710012,0.0765630007,0.0765630007,91488000,0.0,0.0
10,1997-05-29,0.0770829991,0.0770829991,0.073958002,0.0752599984,69456000,0.0,0.0
11,1997-05-30,0.075000003,0.0755209997,0.073958002,0.075000003,51888000,0.0,0.0
12,1997-06-02,0.0755209997,0.0765630007,0.075000003,0.0755209997,11832000,0.0,0.0
13,1997-06-03,0.0765630007,0.0765630007,0.073958002,0.073958002,23664000,0.0,0.0
14,1997-06-04,0.073958002,0.0744789988,0.0697920024,0.0708329976,61608000,0.0,0.0
15,1997-06-05,0.0708329976,0.0770829991,0.0687500015,0.0770829991,113448000,0.0,0.0
16,1997-06-06,0.0757810026,0.0854170024,0.0755209997,0.0828130022,156144000,0.0,0.0
17,1997-06-09,0.0828130022,0.0854170024,0.0828130022,0.0843750015,47040000,0.0,0.0
18,1997-06-10,0.0854170024,0.0854170024,0.0765630007,0.0791670009,109176000,0.0,0.0
19,1997-06-11,0.0796879977,0.0802080035,0.0765630007,0.0770829991,23760000,0.0,0.0
20,1997-06-12,0.0791670009,0.082291998,0.0776040033,0.0802080035,32640000,0.0,0.0
21,1997-06-13,0.081249997,0.081249997,0.0791670009,0.0791670009,13872000,0.0,0.0
22,1997-06-16,0.0802080035,0.0802080035,0.078125,0.0786459967,18264000,0.0,0.0
23,1997-06-17,0.0799480006,0.0799480006,0.0747400001,0.0752599984,94128000,0.0,0.0
24,1997-06-18,0.0760419965,0.0768230036,0.075000003,0.0755209997,49296000,0.0,0.0
25,1997-06-19,0.0755209997,0.0765630007,0.075000003,0.0755209997,20064000,0.0,0.0
