idx,date,open,high,low,close,volume,dividends,stock_splits
1,1996-06-20,3.0,3.125,2.9375,2.96875,12638800,0.0,0.0
2,1996-06-21,3.03125,3.09375,3.0,3.0,1881200,0.0,0.0
3,1996-06-24,3.0625,3.21875,3.0,3.21875,1606000,0.0,0.0
4,1996-06-25,3.21875,3.28125,3.15625,3.15625,1895600,0.0,0.0
5,1996-06-26,3.1875,3.1875,3.125,3.15625,399200,0.0,0.0
6,1996-06-27,3.1875,3.34375,3.15625,3.25,348400,0.0,0.0
7,1996-06-28,3.25,3.34375,3.25,3.28125,157200,0.0,0.0
8,1996-07-02,3.21875,3.25,3.21875,3.25,85600,0.0,0.0
9,1996-07-03,3.1875,3.40625,3.1875,3.40625,370400,0.0,0.0
10,1996-07-05,3.3125,3.3125,3.21875,3.25,238800,0.0,0.0
11,1996-07-08,3.1875,3.28125,3.1875,3.28125,55200,0.0,0.0
12,1996-07-09,3.28125,3.3125,3.1875,3.265625,739600,0.0,0.0
13,1996-07-10,3.25,3.28125,3.1875,3.28125,184000,0.0,0.0
14,1996-07-11,3.25,3.28125,3.09375,3.125,367600,0.0,0.0
15,1996-07-12,3.09375,3.125,3.0625,3.09375,54800,0.0,0.0
16,1996-07-15,3.03125,3.09375,2.9375,2.96875,158800,0.0,0.0
17,1996-07-16,2.96875,3.0,2.71875,2.71875,190800,0.0,0.0
18,1996-07-17,2.78125,3.09375,2.75,3.03125,117600,0.0,0.0
19,1996-07-18,3.03125,3.1875,3.03125,3.1875,127600,0.0,0.0
20,1996-07-19,3.21875,3.21875,3.15625,3.21875,30800,0.0,0.0
21,1996-07-22,3.15625,3.21875,3.125,3.1875,177600,0.0,0.0
22,1996-07-23,3.1875,3.21875,3.09375,3.09375,83200,0.0,0.0
23,1996-07-24,3.09375,3.125,2.96875,3.125,46400,0.0,0.0
24,1996-07-25,3.09375,3.125,3.09375,3.09375,25600,0.0,0.0
25,1996-07-26,3.09375,3.125,3.09375,3.09375,159600,0.0,0.0
26,1996-07-29,3.0625,3.078125,3.0625,3.0625,27200,0.0,0.0
27,1996-07-30,3.0625,3.0625,2.9375,2.9375,145200,0.0,0.0
28,1996-07-31,2.90625,2.96875,2.90625,2.90625,118800,0.0,0.0
29,1996-08-02,3.0,3.125,3.0,3.125,134400,0.0,0.0
30,1996-08-05,3.0625,3.125,3.0625,3.125,60400,0.0,0.0
31,1996-08-06,3.125,3.1875,3.09375,3.1875,152000,0.0,0.0
32,1996-08-07,3.21875,3.28125,3.125,3.21875,180400,0.0,0.0
33,1996-08-08,3.21875,3.34375,3.21875,3.3125,136800,0.0,0.0
34,1996-08-09,3.3125,3.34375,3.28125,3.34375,233200,0.0,0.0
35,1996-08-12,3.375,3.375,3.3125,3.375,179600,0.0,0.0
36,1996-08-13,3.28125,3.34375,3.25,3.34375,93200,0.0,0.0
37,1996-08-14,3.34375,3.34375,3.28125,3.28125,131200,0.0,0.0
38,1996-08-15,3.25,3.28125,3.1875,3.28125,36400,0.0,0.0
39,1996-08-16,3.25,3.25,3.1875,3.234375,40400,0.0,0.0
40,1996-08-19,3.25,3.28125,3.09375,3.09375,92000,0.0,0.0
41,1996-08-20,3.125,3.125,3.03125,3.03125,32800,0.0,0.0
42,1996-08-21,3.03125,3.0625,2.875,2.875,60400,0.0,0.0
43,1996-08-22,2.90625,2.90625,2.8125,2.84375,421600,0.0,0.0
44,1996-08-23,2.78125,2.875,2.75,2.78125,102000,0.0,0.0
45,1996-08-26,2.71875,2.75,2.71875,2.71875,44800,0.0,0.0
46,1996-08-27,2.75,2.75,2.625,2.75,153600,0.0,0.0
47,1996-08-28,2.625,2.8125,2.625,2.8125,28400,0.0,0.0
48,1996-08-29,2.6875,2.8125,2.6875,2.8125,23600,0.0,0.0
49,1996-08-30,2.8125,2.875,2.75,2.84375,297200,0.0,0.0
50,1996-09-03,2.75,2.75,2.75,2.75,11200,0.0,0.0
51,1996-09-04,2.84375,2.90625,2.8125,2.8125,767600,0.0,0.0
52,1996-09-05,2.8125,2.8125,2.6875,2.78125,332000,0.0,0.0
53,1996-09-06,2.75,2.75,2.6875,2.6875,31600,0.0,0.0
54,1996-09-09,2.75,2.75,2.65625,2.75,80000,0.0,0.0
55,1996-09-10,2.65625,2.6875,2.65625,2.6875,123600,0.0,0.0
56,1996-09-11,2.75,2.75,2.5625,2.71875,609200,0.0,0.0
57,1996-09-12,2.59375,2.65625,2.59375,2.65625,74000,0.0,0.0
58,1996-09-13,2.59375,2.78125,2.59375,2.75,628400,0.0,0.0
59,1996-09-16,2.78125,2.875,2.75,2.78125,315200,0.0,0.0
60,1996-09-17,2.8125,3.09375,2.8125,3.0625,590000,0.0,0.0
61,1996-09-18,3.0625,3.09375,3.0,3.0,167200,0.0,0.0
62,1996-09-19,3.03125,3.0625,3.0,3.0,156000,0.0,0.0
63,1996-09-20,3.09375,3.09375,3.0,3.0,36000,0.0,0.0
