idx,date,open,high,low,close,volume,dividends,stock_splits
1,2021-04-15,70.0,71.5100021362,63.0,65.1999969482,11444400,0.0,0.0
2,2021-04-16,65.0,65.1999969482,58.6500015259,61.0,4199300,0.0,0.0
3,2021-04-19,60.0,61.0,55.7050018311,58.8600006104,4642500,0.0,0.0
4,2021-04-20,60.0400009155,61.9000015259,58.9900016785,60.1500015259,3055500,0.0,0.0
5,2021-04-21,60.4900016785,62.2099990845,56.5260009766,61.8100013733,3607100,0.0,0.0
6,2021-04-22,61.9500007629,62.9500007629,60.5099983215,62.0999984741,844900,0.0,0.0
7,2021-04-23,62.0999984741,62.9399986267,58.4500007629,58.5,1229600,0.0,0.0
8,2021-04-26,58.7700004578,59.8100013733,57.6500015259,59.7999992371,796200,0.0,0.0
9,2021-04-27,60.0,61.1100006104,58.7099990845,58.8499984741,630200,0.0,0.0
10,2021-04-28,58.4199981689,60.0419998169,58.0699996948,58.75,309600,0.0,0.0
11,2021-04-29,59.0,59.8250007629,58.8199996948,59.1699981689,292900,0.0,0.0
12,2021-04-30,59.4099998474,59.5600013733,57.8050003052,58.0099983215,284000,0.0,0.0
13,2021-05-03,58.5299987793,60.4099998474,58.5299987793,60.0600013733,516100,0.0,0.0
14,2021-05-04,59.7799987793,60.0,57.8199996948,58.5499992371,879100,0.0,0.0
15,2021-05-05,58.7700004578,59.2900009155,57.5099983215,58.1800003052,645100,0.0,0.0
16,2021-05-06,57.9799995422,57.9799995422,54.7200012207,56.9300003052,1329400,0.0,0.0
17,2021-05-07,57.7299995422,57.9500007629,55.7599983215,57.2599983215,552600,0.0,0.0
18,2021-05-10,59.2099990845,59.2099990845,54.4700012207,55.5,1348300,0.0,0.0
19,2021-05-11,54.4300003052,54.9500007629,50.75,53.4599990845,1483400,0.0,0.0
20,2021-05-12,52.5699996948,53.4399986267,49.6599998474,52.25,1351200,0.0,0.0
21,2021-05-13,52.3100013733,54.8899993896,49.4099998474,49.8699989319,1645400,0.0,0.0
22,2021-05-14,50.2400016785,57.8199996948,50.0099983215,57.2599983215,1198900,0.0,0.0
23,2021-05-17,56.1699981689,62.8699989319,55.8250007629,62.4399986267,1033400,0.0,0.0
24,2021-05-18,62.0099983215,65.8899993896,61.9109992981,64.2900009155,1122100,0.0,0.0
25,2021-05-19,62.4599990845,65.2699966431,61.5400009155,64.6100006104,603700,0.0,0.0
26,2021-05-20,66.3000030518,68.5500030518,66.3000030518,67.9000015259,964200,0.0,0.0
27,2021-05-21,69.0,70.1699981689,65.8799972534,68.3499984741,880300,0.0,0.0
28,2021-05-24,68.4199981689,70.7300033569,66.5199966431,70.3099975586,834000,0.0,0.0
29,2021-05-25,70.0100021362,72.53099823,67.5899963379,69.9499969482,1028600,0.0,0.0
30,2021-05-26,69.3399963379,69.9800033569,67.5400009155,68.6200027466,529400,0.0,0.0
31,2021-05-27,68.8700027466,71.9079971313,67.0899963379,69.6800003052,1112500,0.0,0.0
32,2021-05-28,69.8499984741,75.1800003052,69.0,74.3099975586,864500,0.0,0.0
33,2021-06-02,68.8600006104,72.0299987793,68.5149993896,70.0899963379,499400,0.0,0.0
