idx,date,open,high,low,close,volume,dividends,stock_splits
1,2023-09-14,56.0999984741,66.2799987793,55.5400009155,63.5900001526,130534500,0.0,0.0
2,2023-09-15,68.6299972534,69.0,60.75,60.75,74568900,0.0,0.0
3,2023-09-18,57.9500007629,58.7410011292,55.0200004578,58.0,34571900,0.0,0.0
4,2023-09-19,56.25,56.7799987793,53.8800010681,55.1699981689,18308600,0.0,0.0
5,2023-09-20,55.1699981689,55.4000015259,51.5200004578,52.9099998474,16369500,0.0,0.0
6,2023-09-21,51.7799987793,52.7999992371,49.8499984741,52.1599998474,14980700,0.0,0.0
7,2023-09-22,52.9000015259,52.9000015259,50.3549995422,51.3199996948,8430200,0.0,0.0
8,2023-09-25,51.1199989319,54.5,50.0200004578,54.4399986267,12896500,0.0,0.0
9,2023-09-26,53.9300003052,54.5299987793,52.7000007629,53.5200004578,6283500,0.0,0.0
10,2023-09-27,54.4000015259,54.4099998474,51.7890014648,52.9900016785,6866700,0.0,0.0
11,2023-09-28,53.5,56.5,52.8600006104,55.4900016785,8765800,0.0,0.0
12,2023-09-29,56.2099990845,56.7900009155,53.0800018311,53.5200004578,7797500,0.0,0.0
13,2023-10-02,53.4749984741,54.1899986267,51.9099998474,52.2599983215,8857100,0.0,0.0
14,2023-10-03,51.9599990845,52.2350006104,50.7999992371,51.5699996948,4687700,0.0,0.0
15,2023-10-04,51.9700012207,53.8100013733,51.3100013733,53.4599990845,6206500,0.0,0.0
16,2023-10-05,53.9000015259,53.9000015259,52.0900001526,52.5099983215,2984400,0.0,0.0
17,2023-10-06,52.7200012207,54.2099990845,51.5499992371,54.0800018311,4004900,0.0,0.0
18,2023-10-09,54.3199996948,55.7999992371,53.3699989319,54.25,7197700,0.0,0.0
19,2023-10-10,55.2400016785,55.8600006104,54.2000007629,55.7099990845,5138100,0.0,0.0
20,2023-10-11,56.1699981689,56.3300018311,54.3800010681,54.6800003052,4454700,0.0,0.0
21,2023-10-12,54.75,54.75,51.4099998474,51.8499984741,7323100,0.0,0.0
22,2023-10-13,52.5,52.5600013733,50.0,50.7799987793,6454600,0.0,0.0
23,2023-10-16,51.0400009155,52.3499984741,51.0400009155,52.0900001526,3316800,0.0,0.0
24,2023-10-17,51.0,52.7599983215,50.6500015259,52.2900009155,2549700,0.0,0.0
25,2023-10-18,52.2799987793,52.7000007629,51.2750015259,51.9000015259,2268900,0.0,0.0
26,2023-10-19,52.0,52.7000007629,49.5299987793,49.7400016785,4553400,0.0,0.0
27,2023-10-20,49.7400016785,49.7400016785,46.5,47.8699989319,8079700,0.0,0.0
28,2023-10-23,47.2200012207,51.8800010681,46.5,50.2099990845,9979300,0.0,0.0
29,2023-10-24,52.0,52.891998291,51.0499992371,52.3699989319,7211700,0.0,0.0
30,2023-10-25,52.7000007629,52.7900009155,49.3100013733,49.4399986267,4518800,0.0,0.0
31,2023-10-26,50.0600013733,51.1100006104,49.5,50.1699981689,3555300,0.0,0.0
32,2023-10-27,51.2599983215,51.3300018311,48.8100013733,49.0900001526,2611300,0.0,0.0
33,2023-10-30,49.5099983215,49.9000015259,47.2799987793,47.9000015259,3677700,0.0,0.0
34,2023-10-31,47.9000015259,49.6599998474,47.1199989319,49.2900009155,3248700,0.0,0.0
35,2023-11-02,51.4000015259,53.5600013733,51.2999992371,52.8199996948,4752700,0.0,0.0
36,2023-11-03,52.8199996948,53.8600006104,52.25,53.4900016785,2538300,0.0,0.0
37,2023-11-06,53.9799995422,54.4599990845,52.5200004578,53.0999984741,2328300,0.0,0.0
38,2023-11-07,53.4500007629,56.0999984741,53.2599983215,55.2700004578,4534200,0.0,0.0
39,2023-11-08,55.2700004578,55.5600013733,53.3899993896,54.4000015259,6128200,0.0,0.0
40,2023-11-09,51.0,52.0499992371,49.8199996948,51.5800018311,15354500,0.0,0.0
41,2023-11-10,52.0,52.5,51.0099983215,52.2700004578,5796700,0.0,0.0
42,2023-11-13,52.2000007629,52.5,50.5699996948,51.6899986267,4525000,0.0,0.0
43,2023-11-14,53.0,53.5,52.2799987793,53.4300003052,3541300,0.0,0.0
44,2023-11-15,54.4000015259,56.0299987793,54.0800018311,55.4300003052,5821800,0.0,0.0
45,2023-11-16,55.5099983215,55.6800003052,53.4700012207,54.2299995422,3291400,0.0,0.0
46,2023-11-17,55.1100006104,55.7400016785,54.2599983215,54.9900016785,3441900,0.0,0.0
47,2023-11-20,55.3499984741,59.2400016785,55.2700004578,58.6800003052,7791000,0.0,0.0
