idx,date,open,high,low,close,volume,dividends,stock_splits
1,1995-03-15,1.1144105064,1.2746068749,1.0865502437,1.2537118196,92646400,0.0,0.0
2,1995-03-16,1.3790831566,1.4208732633,1.3233626365,1.3790831566,22867200,0.0,0.0
3,1995-03-17,1.3860479166,1.3860479166,1.3233627511,1.3303273916,17163733,0.0,0.0
4,1995-03-20,1.3233624697,1.3303271087,1.2955022131,1.3233624697,7141333,0.0,0.0
5,1995-03-21,1.3233627919,1.3999783744,1.3094323769,1.3860479593,8198400,0.0,0.0
6,1995-03-22,1.3930129565,1.6576857017,1.3930129565,1.5532093048,18216533,0.0,0.0
7,1995-03-23,1.5392798725,1.581069989,1.5114196059,1.5183848143,8507733,0.0,0.0
8,1995-03-24,1.5323148261,1.5392800352,1.4974893474,1.525349617,2049067,0.0,0.0
9,1995-03-27,1.5183848312,1.5462450981,1.4974892059,1.5462450981,2526933,0.0,0.0
10,1995-03-28,1.5532093552,1.6576857554,1.5462447153,1.5950000286,13986133,0.0,0.0
11,1995-03-29,1.6158953959,1.6507208694,1.5741052812,1.6019655466,5116800,0.0,0.0
12,1995-03-30,1.5880347468,1.5880347468,1.4696285056,1.5114191771,3025067,0.0,0.0
13,1995-03-31,1.4905245127,1.5671401024,1.4696288881,1.5671401024,4603733,0.0,0.0
14,1995-04-03,1.5601748033,1.5601748033,1.5114194824,1.532314539,3210667,0.0,0.0
15,1995-04-04,1.5253490672,1.5323142738,1.4278384423,1.4417682886,2643200,0.0,0.0
16,1995-04-05,1.4417684632,1.4417684632,1.3930131448,1.4069435596,4864000,0.0,0.0
17,1995-04-06,1.4208734077,1.4417684632,1.4069435596,1.4069435596,2638933,0.0,0.0
18,1995-04-07,1.4069435596,1.4278386151,1.3860479374,1.4069435596,1559467,0.0,0.0
19,1995-04-10,1.4069433685,1.5044539919,1.386047749,1.4765937328,2995200,0.0,0.0
20,1995-04-11,1.4765937328,1.4974887855,1.4626638867,1.4765937328,2439467,0.0,0.0
21,1995-04-12,1.4835589637,1.5149014723,1.4835589637,1.5044540167,4126933,0.0,0.0
22,1995-04-13,1.5183844049,1.5183844049,1.4626638867,1.4765937328,781867,0.0,0.0
23,1995-04-17,1.4626647657,1.4905250415,1.4278392792,1.4278392792,1000533,0.0,0.0
24,1995-04-18,1.4278390279,1.4487340894,1.386048338,1.3999787569,1351467,0.0,0.0
25,1995-04-19,1.3999780132,1.4139078578,1.3860476017,1.3860476017,1766400,0.0,0.0
26,1995-04-20,1.3930128074,1.4139078578,1.3860476017,1.3860476017,1704533,0.0,0.0
27,1995-04-21,1.4069436024,1.4139082432,1.4069436024,1.4139082432,652800,0.0,0.0
28,1995-04-24,1.4139079901,1.6019651618,1.4139079901,1.588034749,5712000,0.0,0.0
29,1995-04-25,1.5671400598,1.581069909,1.5253493786,1.5253493786,1277867,0.0,0.0
30,1995-04-26,1.5253490695,1.5950000019,1.5253490695,1.5810695887,2708267,0.0,0.0
31,1995-04-27,1.5741049031,1.6019651618,1.5671396967,1.588034749,2250667,0.0,0.0
32,1995-04-28,1.581069909,1.581069909,1.5044543214,1.5253493786,1061333,0.0,0.0
33,1995-05-02,1.5392797946,1.5392797946,1.5114195294,1.5253493786,354133,0.0,0.0
34,1995-05-03,1.5114194555,1.5741051908,1.5114194555,1.5671399832,2008533,0.0,0.0
35,1995-05-04,1.5741051305,1.7273362924,1.5741051305,1.6646505594,8756267,0.0,0.0
36,1995-05-05,1.6646506555,1.7203711843,1.6646506555,1.685546279,2449067,0.0,0.0
37,1995-05-08,1.6785805063,1.7343010163,1.6716153008,1.7134059668,1575467,0.0,0.0
38,1995-05-09,1.7134064444,1.7134064444,1.6507207114,1.6646505594,2669867,0.0,0.0
39,1995-05-10,1.6437558264,1.6437558264,1.6019657074,1.6089303493,4389333,0.0,0.0
40,1995-05-11,1.622860585,1.622860585,1.5741052628,1.5741052628,973867,0.0,0.0
41,1995-05-12,1.5741051305,1.6994760296,1.5741051305,1.6646505594,2487467,0.0,0.0
42,1995-05-15,1.6855457117,1.7273358109,1.6716153008,1.7134059668,1851733,0.0,0.0
43,1995-05-16,1.7064407613,1.7203706054,1.6994755558,1.7134059668,696533,0.0,0.0
44,1995-05-17,1.7900220722,1.9084283338,1.7691270162,1.887532711,7186133,0.0,0.0
45,1995-05-18,1.9502184865,1.9989738069,1.901463166,1.9432532787,3654400,0.0,0.0
46,1995-05-19,1.8736031764,1.922358504,1.8736031764,1.8805683851,2304000,0.0,0.0
47,1995-05-22,1.8944972446,1.9084276548,1.824846894,1.8527071476,789333,0.0,0.0
48,1995-05-23,1.8596724215,1.9223581553,1.8178823103,1.9223581553,3474133,0.0,0.0
49,1995-05-24,1.9641489929,2.0268341649,1.9571837848,1.9780788422,6852267,0.0,0.0
50,1995-05-25,2.0129043269,2.019869535,1.9153931141,1.9153931141,2332800,0.0,0.0
51,1995-05-26,1.9223576046,1.9362880156,1.9014625549,1.9014625549,661333,0.0,0.0
52,1995-05-30,1.9153929101,1.9432531727,1.8178822745,1.8292005062,1842133,0.0,0.0
53,1995-05-31,1.7969872952,1.8248475589,1.7482314085,1.7969872952,2929067,0.0,0.0
54,1995-06-02,1.7900215505,1.8666371111,1.7760911394,1.8527072668,1778133,0.0,0.0
55,1995-06-05,1.8596722153,1.8805678354,1.8527075754,1.8736026287,998400,0.0,0.0
56,1995-06-06,1.8527078862,1.8666377351,1.8318122625,1.8318122625,632533,0.0,0.0
57,1995-06-07,1.8596719511,1.8736023625,1.831811695,1.8457421064,727467,0.0,0.0
58,1995-06-08,1.8666373954,1.8805678086,1.8596721888,1.8596721888,326400,0.0,0.0
59,1995-06-09,1.8805677891,1.9014628419,1.8596721695,1.8805677891,230400,0.0,0.0
60,1995-06-12,1.8805678354,1.8875324753,1.8736026287,1.8736026287,200533,0.0,0.0
61,1995-06-13,1.8944976353,1.9014628419,1.8736025825,1.8805677891,370133,0.0,0.0
62,1995-06-14,1.8736023166,1.8736023166,1.8527072668,1.8527072668,679467,0.0,0.0
63,1995-06-15,1.852707549,1.9014628616,1.8387771357,1.8596721888,1202133,0.0,0.0
64,1995-06-16,1.8805678086,1.8805678086,1.8596721888,1.8596721888,228267,0.0,0.0
65,1995-06-19,1.8596721695,1.8875324288,1.8596721695,1.8805677891,2421333,0.0,0.0
66,1995-06-20,1.8805679515,1.894497799,1.8666375372,1.8875325918,5568000,0.0,0.0
67,1995-06-21,1.9084280954,1.9084280954,1.8736026287,1.8736026287,2055467,0.0,0.0
68,1995-06-22,1.8666371568,1.8875322071,1.8387769007,1.8457421064,694400,0.0,0.0
69,1995-06-23,1.8387769007,1.8596719511,1.8039514389,1.8457421064,2817067,0.0,0.0
70,1995-06-26,1.8736031697,1.9223584971,1.8596727522,1.894498229,2220800,0.0,0.0
71,1995-06-27,1.894497655,1.9084280682,1.852707549,1.8596721888,984533,0.0,0.0
72,1995-06-28,1.8387774704,1.8457426783,1.8248476215,1.8318122625,466133,0.0,0.0
73,1995-06-29,1.8457425485,1.9780786548,1.8457425485,1.9571835995,1145600,0.0,0.0
74,1995-06-30,1.9502184087,2.0686246681,1.9502184087,1.9989737272,2346667,0.0,0.0
75,1995-07-03,2.0616595745,2.0616595745,2.0407645178,2.0616595745,276267,0.0,0.0
76,1995-07-05,2.145240735,2.1870314224,2.1313108838,2.1522059441,2864000,0.0,0.0
77,1995-07-06,2.2079264826,2.2566818122,2.1173804657,2.1522059441,1438933,0.0,0.0
78,1995-07-07,2.1870309789,2.2427515062,2.1870309789,2.2079260349,966400,0.0,0.0
79,1995-07-10,2.2288211775,2.2636466501,2.2288211775,2.2566814423,633600,0.0,0.0
80,1995-07-11,2.249716099,2.249716099,2.2114082373,2.2148911953,1653333,0.0,0.0
81,1995-07-12,2.2218559154,2.3402621793,2.2218559154,2.3263323307,3673600,0.0,0.0
82,1995-07-13,2.3611574843,2.7860266974,2.3611574843,2.6815509796,13308800,0.0,0.0
83,1995-07-14,2.4865286243,2.6188645832,2.4029478398,2.5840389729,8209067,0.0,0.0
84,1995-07-17,2.5770741005,2.6258295511,2.5770741005,2.5979692936,5881600,0.0,0.0
85,1995-07-18,2.6188647417,2.6327951567,2.5074236889,2.5143890381,3415467,0.0,0.0
86,1995-07-19,2.4308084367,2.4934940338,2.200960964,2.4934940338,3053867,0.0,0.0
87,1995-07-20,2.4795631846,2.7163756823,2.4586682727,2.7024452686,2365867,0.0,0.0
