idx,date,open,high,low,close,volume,dividends,stock_splits
1,2009-08-06,1.1728194367,1.2019622292,1.1060042807,1.1500738859,241978000,0.0,0.0
2,2009-08-07,1.1479415479,1.1913003231,1.1394119764,1.1678439379,24543000,0.0,0.0
3,2009-08-10,1.1820599871,1.1820599871,1.1095584132,1.1351472139,24210000,0.0,0.0
4,2009-08-11,1.1358582226,1.137279804,1.1017397598,1.1138234138,23054000,0.0,0.0
5,2009-08-12,1.1479411346,1.1514951285,1.1131119434,1.1372791529,14513000,0.0,0.0
6,2009-08-13,1.1372793051,1.188456892,1.1372793051,1.1763732433,11506000,0.0,0.0
7,2009-08-14,1.1728193596,1.2083593916,1.155049386,1.1799273491,6378000,0.0,0.0
8,2009-08-17,1.1564711419,1.1635791325,1.1514955655,1.1529171467,2544000,0.0,0.0
9,2009-08-18,1.1713979613,1.2225755611,1.1621575567,1.2133351564,14467000,0.0,0.0
10,2009-08-19,1.1969867647,1.2751747457,1.1941435176,1.2716207504,20708000,0.0,0.0
11,2009-08-20,1.2758851485,1.2758851485,1.2289723895,1.2623800039,18821000,0.0,0.0
12,2009-08-21,1.2645125065,1.2773069039,1.2495856954,1.2666448355,8636000,0.0,0.0
13,2009-08-24,1.245321165,1.2687775518,1.2296836021,1.2438995838,10216000,0.0,0.0
14,2009-08-25,1.2545615087,1.2723314849,1.2474535182,1.2687774897,5308000,0.0,0.0
15,2009-08-26,1.2574047557,1.2687774897,1.2190215562,1.2687774897,7086000,0.0,0.0
16,2009-08-27,1.2687775674,1.2943663686,1.2474535946,1.2908123732,11611000,0.0,0.0
17,2009-08-28,1.2865475041,1.3505195051,1.2794395133,1.3128471375,12950000,0.0,0.0
18,2009-08-31,1.3043176204,1.3078716159,1.2659344182,1.2936556339,10048000,0.0,0.0
19,2009-09-02,1.2623803687,1.297209574,1.2424779778,1.2566939592,12934000,0.0,0.0
20,2009-09-03,1.2773068494,1.2773068494,1.2083592898,1.2403452396,36577000,0.0,0.0
21,2009-09-04,1.2616695286,1.2794395052,1.243188719,1.2623803616,11586000,0.0,0.0
22,2009-09-08,1.2623798798,1.2744634424,1.2403450833,1.2581150532,5749000,0.0,0.0
23,2009-09-09,1.2687776977,1.2687776977,1.2239973333,1.2268404961,5512000,0.0,0.0
24,2009-09-10,1.2090698629,1.2410558928,1.204805121,1.2119131088,4152000,0.0,0.0
25,2009-09-11,1.2083592324,1.2318156114,1.1756624514,1.1998295784,6203000,0.0,0.0
26,2009-09-14,1.182770945,1.2012517569,1.1593145559,1.1834816933,16145000,0.0,0.0
27,2009-09-15,1.2261293116,1.2332373007,1.1820597112,1.2211537361,19869000,0.0,0.0
28,2009-09-16,1.2367913498,1.2616693128,1.2161781295,1.2495857477,20211000,0.0,0.0
29,2009-09-17,1.2552719178,1.2723310553,1.1749515506,1.1827703714,14464000,0.0,0.0
30,2009-09-18,1.1777948802,1.209780916,1.1500737566,1.1514953375,8999000,0.0,0.0
31,2009-09-21,1.1571816949,1.1820596557,1.1280389069,1.1806380749,5530000,0.0,0.0
32,2009-09-22,1.2055159572,1.2346587433,1.1955648074,1.2261291742,11141000,0.0,0.0
33,2009-09-23,1.2524289324,1.2645125825,1.2296833827,1.2367913723,5303000,0.0,0.0
34,2009-09-24,1.2318158863,1.2687774178,1.1905894421,1.2431886196,7788000,0.0,0.0
35,2009-09-25,1.24247759,1.24247759,1.2154672169,1.2175996304,4685000,0.0,0.0
36,2009-09-28,1.2311048063,1.2687771632,1.2104915883,1.2545611858,2336000,0.0,0.0
37,2009-09-29,1.2474533911,1.2680666122,1.2048054524,1.2104917765,3567000,0.0,0.0
38,2009-09-30,1.2083593426,1.2318157237,1.2055160961,1.213334918,5126000,0.0,0.0
39,2009-10-02,1.1514953413,1.1628681578,1.1301713739,1.1436765194,6296000,0.0,0.0
40,2009-10-05,1.144387556,1.1749519317,1.1372795656,1.1721087694,1889000,0.0,0.0
41,2009-10-06,1.1898790844,1.2225758834,1.1685551071,1.1706874371,4694000,0.0,0.0
42,2009-10-07,1.1777951438,1.1806383909,1.1315932042,1.1465200186,2917000,0.0,0.0
43,2009-10-08,1.1450984661,1.1500741279,1.1330148977,1.1379904747,5573000,0.0,0.0
44,2009-10-09,1.1358578877,1.1692654228,1.133014641,1.1550494432,8705000,0.0,0.0
45,2009-10-12,1.1529172374,1.1692656338,1.1401228365,1.1614468098,12888000,0.0,0.0
46,2009-10-13,1.1507844597,1.1849029078,1.147941298,1.1749516726,5573000,0.0,0.0
47,2009-10-14,1.1969863078,1.2083591223,1.1756623442,1.1984078884,6955000,0.0,0.0
48,2009-10-15,1.2367913914,1.2758853347,1.2154674224,1.2197321653,20920000,0.0,0.0
49,2009-10-16,1.2247073206,1.2247073206,1.1522057879,1.1678433418,12638000,0.0,0.0
50,2009-10-19,1.1699763642,1.182770764,1.1415443177,1.1543387175,21429000,0.0,0.0
51,2009-10-20,1.1614464429,1.1891676502,1.1564708677,1.1749516726,4890000,0.0,0.0
52,2009-10-21,1.1635791131,1.2019623122,1.1450983042,1.1721087694,2338000,0.0,0.0
53,2009-10-22,1.1607354952,1.1607354952,1.1095579166,1.1571815014,9834000,0.0,0.0
54,2009-10-23,1.1465197862,1.1664221731,1.1315929749,1.1408333778,11341000,0.0,0.0
55,2009-10-26,1.1308821623,1.1458089739,1.1237741729,1.1259065866,1624000,0.0,0.0
56,2009-10-27,1.1337255762,1.1365687384,1.0846803913,1.0981855392,3288000,0.0,0.0
57,2009-10-28,1.1017396352,1.1017396352,1.0583808557,1.061224103,6220000,0.0,0.0
58,2009-10-29,1.0626452885,1.0804152596,1.0462968982,1.0690424442,11833000,0.0,0.0
59,2009-10-30,1.0733077713,1.0797050147,1.0569593733,1.0661997795,2781000,0.0,0.0
60,2009-11-02,1.0733074257,1.0733074257,1.0462970488,1.056959033,2766000,0.0,0.0
61,2009-11-03,1.0434541845,1.0534053387,1.0263949541,1.0299489498,3637000,0.0,0.0
62,2009-11-04,1.0377675066,1.0839694393,1.0185758667,1.0505619049,8053000,0.0,0.0
63,2009-11-05,1.0676214125,1.1187990234,1.0555378429,1.0889453888,2741000,0.0,0.0
64,2009-11-06,1.0889450638,1.1152446945,1.0569591089,1.0868127346,2575000,0.0,0.0
65,2009-11-09,1.0846802531,1.1187986198,1.0725966031,1.1131122112,2529000,0.0,0.0
66,2009-11-10,1.1152448882,1.1152448882,1.0789940991,1.0981856585,1468000,0.0,0.0
67,2009-11-11,1.1038718577,1.1038718577,1.0747290654,1.0917882919,1535000,0.0,0.0
68,2009-11-12,1.0946315184,1.1337255496,1.0946315184,1.1088474989,1300000,0.0,0.0
69,2009-11-13,1.1095583422,1.1195095795,1.0953423615,1.1074259281,621000,0.0,0.0
70,2009-11-16,1.1109798577,1.1522063008,1.1038718677,1.1379902363,1556000,0.0,0.0
71,2009-11-17,1.1251954888,1.1507842785,1.1074255196,1.1422547102,985000,0.0,0.0
72,2009-11-18,1.1479412572,1.1479412572,1.1237740452,1.1394116879,1155000,0.0,0.0
