idx,date,open,high,low,close,volume,dividends,stock_splits
1,1993-05-12,1.7899192292,1.7899192292,1.6983089803,1.7053561211,414000,0.0,0.0
2,1993-05-13,1.6912615573,1.6912615573,1.6207924333,1.6419332027,792600,0.0,0.0
3,1993-05-14,1.6489809435,1.6489809435,1.6207933426,1.6207933426,646200,0.0,0.0
4,1993-05-17,1.6348864237,1.6560271978,1.6348864237,1.6560271978,68400,0.0,0.0
5,1993-05-18,1.656026834,1.656026834,1.6348860645,1.6419332027,69000,0.0,0.0
6,1993-05-19,1.6419337993,1.6489806175,1.6419337993,1.6489806175,72000,0.0,0.0
7,1993-05-20,1.6489806175,1.6560274357,1.6419337993,1.6489806175,118800,0.0,0.0
8,1993-05-21,1.6489806175,1.6489806175,1.6489806175,1.6489806175,13200,0.0,0.0
9,1993-05-24,1.6348869801,1.6348869801,1.6348869801,1.6348869801,32400,0.0,0.0
10,1993-05-25,1.6278389692,1.6419329206,1.6278389692,1.6278389692,241800,0.0,0.0
11,1993-05-26,1.6419337993,1.6560274357,1.6419337993,1.6489806175,452400,0.0,0.0
12,1993-05-27,1.6630746126,1.670121431,1.6560274717,1.6630746126,1450200,0.0,0.0
13,1993-05-28,1.6489803807,1.6560271978,1.6419335635,1.6560271978,928800,0.0,0.0
14,1993-06-02,1.6771668854,1.6842140206,1.656026125,1.656026125,1058400,0.0,0.0
15,1993-06-03,1.6560267493,1.6560267493,1.6066983973,1.6137452126,4777200,0.0,0.0
16,1993-06-04,1.606698592,1.606698592,1.5926046371,1.5926046371,1055400,0.0,0.0
17,1993-06-07,1.592604794,1.592604794,1.5362296143,1.5503232479,4597200,0.0,0.0
18,1993-06-08,1.5573703873,1.5785111603,1.5503232479,1.5503232479,3877800,0.0,0.0
19,1993-06-09,1.5644170449,1.5855578158,1.5644170449,1.5785109997,3098400,0.0,0.0
20,1993-06-10,1.5785115605,1.5785115605,1.5644176008,1.5714644194,2763000,0.0,0.0
21,1993-06-11,1.578511121,1.5855579376,1.5644171651,1.5855579376,2770800,0.0,0.0
22,1993-06-14,1.5926047543,1.5926047543,1.578511121,1.5855579376,1930200,0.0,0.0
23,1993-06-15,1.5855583792,1.5855583792,1.5714644194,1.5714644194,3057000,0.0,0.0
24,1993-06-16,1.571463861,1.5785109997,1.571463861,1.5785109997,2034000,0.0,0.0
25,1993-06-17,1.5785109997,1.5785109997,1.571463861,1.5785109997,2418000,0.0,0.0
26,1993-06-18,1.5785111603,1.6278395232,1.5362296143,1.5503232479,6013800,0.0,0.0
27,1993-06-21,1.5432760715,1.5503228867,1.5291821186,1.5432760715,5697600,0.0,0.0
28,1993-06-22,1.5714639402,1.5785110793,1.5503231683,1.5644171238,4002000,0.0,0.0
29,1993-06-23,1.5503228867,1.5573700245,1.5432760715,1.5432760715,1074600,0.0,0.0
30,1993-06-24,1.5432760715,1.5503228867,1.5362292564,1.5432760715,1030800,0.0,0.0
31,1993-06-25,1.5503226914,1.5573698282,1.5503226914,1.5573698282,814800,0.0,0.0
32,1993-06-28,1.5644171238,1.5714639402,1.5573703073,1.5644171238,723000,0.0,0.0
33,1993-06-29,1.5644176008,1.5785115605,1.5644176008,1.5714644194,736200,0.0,0.0
34,1993-06-30,1.5855579376,1.5926047543,1.578511121,1.5855579376,1228800,0.0,0.0
35,1993-07-02,1.6066985893,1.6066985893,1.5785110023,1.5855578184,712800,0.0,0.0
36,1993-07-06,1.5785119213,1.5785119213,1.557371138,1.5644179583,343800,0.0,0.0
37,1993-07-07,1.5644168432,1.5714636584,1.5432760751,1.5503228903,2212800,0.0,0.0
38,1993-07-08,1.5432760751,1.5573700281,1.5432760751,1.5503228903,982200,0.0,0.0
39,1993-07-09,1.5503228831,1.5503228831,1.5291821151,1.5362292528,819000,0.0,0.0
40,1993-07-12,1.536229375,1.5432761908,1.5291822367,1.5432761908,429600,0.0,0.0
41,1993-07-13,1.543276704,1.5573706627,1.543276704,1.5573706627,534000,0.0,0.0
42,1993-07-14,1.5714638636,1.5855578184,1.5644170475,1.5855578184,681000,0.0,0.0
43,1993-07-15,1.5855576575,1.5855576575,1.5644168887,1.5714637041,678000,0.0,0.0
44,1993-07-16,1.5503230065,1.5503230065,1.536229375,1.5432761908,214200,0.0,0.0
45,1993-07-19,1.5362294509,1.5432762669,1.5221354961,1.5221354961,3529800,0.0,0.0
46,1993-07-20,1.5291824341,1.5362295733,1.5221356175,1.5291824341,1555800,0.0,0.0
47,1993-07-21,1.5150886801,1.5221354961,1.5150886801,1.5221354961,644400,0.0,0.0
48,1993-07-22,1.5221351342,1.5291819486,1.5150883198,1.5150883198,400800,0.0,0.0
49,1993-07-23,1.543276704,1.5644174808,1.543276704,1.5573706627,1006800,0.0,0.0
50,1993-07-26,1.5644179583,1.5714647785,1.5644179583,1.5644179583,745800,0.0,0.0
51,1993-07-27,1.5785119213,1.5785119213,1.5644179583,1.5644179583,610200,0.0,0.0
52,1993-07-28,1.5644168887,1.5785108421,1.5573700733,1.5714637041,508800,0.0,0.0
53,1993-07-29,1.613746047,1.6278400074,1.6066992281,1.613746047,1324800,0.0,0.0
54,1993-07-30,1.5926045179,1.5926045179,1.5785108867,1.5926045179,1246200,0.0,0.0
55,1993-08-02,1.5926048756,1.5996520153,1.5785112412,1.5926048756,4412400,0.0,0.0
56,1993-08-03,1.599652093,1.6348865032,1.599652093,1.6348865032,748800,0.0,0.0
57,1993-08-04,1.6348862603,1.6419333993,1.6207926273,1.6207926273,230400,0.0,0.0
58,1993-08-05,1.6207926296,1.6278394461,1.6137454905,1.6278394461,655800,0.0,0.0
59,1993-08-06,1.6419329684,1.6560265977,1.6419329684,1.6489797831,433800,0.0,0.0
60,1993-08-09,1.6419337988,1.6560274352,1.634886658,1.6419337988,736800,0.0,0.0
61,1993-08-10,1.6348861017,1.6348861017,1.606698516,1.6137453318,636000,0.0,0.0
62,1993-08-11,1.6137453318,1.6207924701,1.6137453318,1.6137453318,464400,0.0,0.0
63,1993-08-12,1.6137455683,1.6207927077,1.6066987514,1.6066987514,1252800,0.0,0.0
64,1993-08-13,1.6207930216,1.6419337988,1.6137458809,1.6419337988,508200,0.0,0.0
65,1993-08-16,1.634886658,1.648980617,1.634886658,1.6419337988,924600,0.0,0.0
66,1993-08-17,1.648980222,1.6842149496,1.648980222,1.6842149496,616200,0.0,0.0
67,1993-08-18,1.7476375128,1.7687782878,1.7405903727,1.7617311478,1184400,0.0,0.0
68,1993-08-19,1.7687783252,1.7828719605,1.7476375497,1.7758251429,804000,0.0,0.0
69,1993-08-20,1.7758249065,1.7899188625,1.7687780898,1.7828717232,2332800,0.0,0.0
70,1993-08-23,1.7758258599,1.7758258599,1.7687790394,1.7687790394,85800,0.0,0.0
71,1993-08-24,1.7687782878,1.7687782878,1.7476375128,1.7617311478,210000,0.0,0.0
72,1993-08-25,1.7687790394,1.7828726804,1.7687790394,1.7687790394,220800,0.0,0.0
73,1993-08-26,1.7828713307,1.8110592365,1.7828713307,1.8110592365,969000,0.0,0.0
74,1993-08-27,1.8110588336,1.8251524607,1.7969648838,1.7969648838,424800,0.0,0.0
75,1993-08-30,1.8040127735,1.8040127735,1.789919138,1.789919138,270000,0.0,0.0
76,1993-08-31,1.7828709341,1.7969648838,1.7758241205,1.7969648838,456000,0.0,0.0
77,1993-09-02,1.937903112,1.9449499245,1.9097152169,1.916762352,2734200,0.0,0.0
78,1993-09-03,1.9238104013,1.9449511749,1.9238104013,1.9379043579,150000,0.0,0.0
79,1993-09-07,1.9449513332,1.9801860663,1.9449513332,1.9590452909,1117800,0.0,0.0
80,1993-09-08,1.951996737,1.951996737,1.9097152169,1.916762352,531000,0.0,0.0
81,1993-09-09,1.916762352,1.9449499245,1.9026684044,1.916762352,898800,0.0,0.0
82,1993-09-10,1.9026702649,1.9026702649,1.8885763035,1.8956234455,231600,0.0,0.0
83,1993-09-13,1.8815291749,1.8885759931,1.8533415794,1.8533415794,500400,0.0,0.0
84,1993-09-14,1.8885751652,1.923809886,1.8885751652,1.923809886,774000,0.0,0.0
85,1993-09-15,1.9026702649,1.9026702649,1.8885763035,1.8956234455,447600,0.0,0.0
86,1993-09-16,1.8885760307,1.8885760307,1.8674352531,1.8885760307,1084800,0.0,0.0
87,1993-09-17,1.8885759479,1.9097167247,1.8815291299,1.9026699066,1108800,0.0,0.0
88,1993-09-20,1.8956219959,1.9026688099,1.8392465162,1.8462933302,536400,0.0,0.0
89,1993-09-21,1.8674346515,1.8815286062,1.8040123389,1.8181062937,885600,0.0,0.0
90,1993-09-22,1.8603887034,1.9026702649,1.8603887034,1.8956234455,527400,0.0,0.0
91,1993-09-23,1.8815291749,1.8815291749,1.8533415794,1.8533415794,954000,0.0,0.0
92,1993-09-24,1.829181343,1.8578742743,1.8220081923,1.8578742743,445800,0.0965,0.0
93,1993-09-27,1.8507011235,1.8650477533,1.8507011235,1.8578742743,2172000,0.0,0.0
94,1993-09-28,1.8578742743,1.8650477533,1.8578742743,1.8578742743,926400,0.0,0.0
95,1993-09-29,1.8578742743,1.8578742743,1.8435279728,1.8578742743,1026000,0.0,0.0
96,1993-09-30,1.8435279431,1.8650477232,1.8435279431,1.8507010937,21880200,0.0,0.0
97,1993-10-04,1.8937402964,1.9009134456,1.8793936695,1.8937402964,1768800,0.0,0.0
98,1993-10-05,1.9080866575,1.9152598058,1.9080866575,1.9080866575,751800,0.0,0.0
99,1993-10-06,1.9224332607,1.951126515,1.9224332607,1.9439530373,120000,0.0,0.0
100,1993-10-07,1.9511268439,1.9582999945,1.9367802143,1.9582999945,475800,0.0,0.0
101,1993-10-08,1.9654730568,1.9941663146,1.9654730568,1.986992836,577800,0.0,0.0
102,1993-10-11,1.9941662841,1.9941662841,1.9798196554,1.9798196554,81000,0.0,0.0
103,1993-10-12,2.0085131555,2.0085131555,1.994166851,1.994166851,159600,0.0,0.0
104,1993-10-13,1.9941654098,1.9941654098,1.965472165,1.9726456404,160200,0.0,0.0
105,1993-10-14,1.9654728138,1.9654728138,1.9367798879,1.9439530373,94800,0.0,0.0
106,1993-10-15,1.9511263371,1.9582994858,1.9367797112,1.9511263371,307200,0.0,0.0
107,1993-10-18,1.9582992713,1.9582992713,1.9296063511,1.9367794991,229200,0.0,0.0
108,1993-10-19,1.9582998766,1.9941662841,1.9582998766,1.9798196554,249600,0.0,0.0
109,1993-10-20,1.9869934266,2.015686693,1.9869934266,2.0085132122,1187400,0.0,0.0
110,1993-10-21,2.015686063,2.015686063,1.9798196554,1.9798196554,130200,0.0,0.0
111,1993-10-22,2.0228596964,2.0228596964,2.0013399124,2.0013399124,179400,0.0,0.0
112,1993-10-25,2.0228598118,2.0300329641,2.0228598118,2.0228598118,207600,0.0,0.0
113,1993-10-26,2.015686636,2.015686636,1.994166851,1.994166851,554400,0.0,0.0
114,1993-10-27,1.9941666765,1.9941666765,1.9583002619,1.9654734135,100200,0.0,0.0
115,1993-10-28,1.9726465053,1.9941662841,1.9726465053,1.9798196554,153600,0.0,0.0
116,1993-10-29,1.972646624,1.972646624,1.9511268439,1.9582999945,114600,0.0,0.0
117,1993-11-02,1.9152607918,1.9224339437,1.9080876398,1.9152607918,342600,0.0,0.0
118,1993-11-03,1.9296073012,1.9511270841,1.9296073012,1.9367804527,219000,0.0,0.0
119,1993-11-04,1.9439534548,1.965473236,1.9152605227,1.9296071529,165000,0.0,0.0
120,1993-11-05,1.9439535141,1.9511269936,1.9296072118,1.9439535141,84600,0.0,0.0
