idx,date,open,high,low,close,volume,dividends,stock_splits
1,1991-09-17,3.0,3.25,3.0,3.125,17096400,0.0,0.0
2,1991-09-18,3.0416669846,3.2083330154,3.0416669846,3.125,1704000,0.0,0.0
3,1991-09-19,3.0416669846,3.1666669846,3.0416669846,3.1458330154,1717800,0.0,0.0
4,1991-09-20,3.1666669846,3.1666669846,3.0833330154,3.0833330154,2092800,0.0,0.0
5,1991-09-23,3.1666669846,3.1666669846,2.9583330154,2.9583330154,1954800,0.0,0.0
6,1991-09-24,2.9583330154,3.0833330154,2.9583330154,3.0,1826400,0.0,0.0
7,1991-09-25,2.9583330154,3.0833330154,2.9583330154,3.0416669846,473400,0.0,0.0
8,1991-09-26,3.0416669846,3.25,3.0416669846,3.1666669846,598800,0.0,0.0
9,1991-09-27,3.25,3.375,3.1666669846,3.3333330154,779400,0.0,0.0
10,1991-09-30,3.3333330154,3.3333330154,3.0416669846,3.125,594600,0.0,0.0
11,1991-10-02,3.1666669846,3.1666669846,3.0833330154,3.1666669846,409800,0.0,0.0
12,1991-10-03,3.1666669846,3.1666669846,2.9583330154,2.9583330154,246600,0.0,0.0
13,1991-10-04,3.0833330154,3.0833330154,2.875,2.875,303000,0.0,0.0
14,1991-10-07,2.875,2.9583330154,2.6666669846,2.6666669846,605400,0.0,0.0
15,1991-10-08,2.6666669846,2.75,2.4583330154,2.5416669846,4804200,0.0,0.0
16,1991-10-09,2.5416669846,2.5833330154,2.5,2.5208330154,469200,0.0,0.0
17,1991-10-10,2.5833330154,2.5833330154,2.5,2.5625,1455600,0.0,0.0
18,1991-10-11,2.625,2.75,2.5416669846,2.6875,312000,0.0,0.0
19,1991-10-14,2.75,2.9583330154,2.6666669846,2.9583330154,369600,0.0,0.0
20,1991-10-15,3.0,3.3333330154,3.0,3.3125,779400,0.0,0.0
21,1991-10-16,3.3333330154,3.5416669846,3.2916669846,3.5416669846,1215600,0.0,0.0
22,1991-10-17,3.4583330154,3.4583330154,3.0416669846,3.1666669846,954600,0.0,0.0
23,1991-10-18,3.1666669846,3.375,3.0416669846,3.375,764400,0.0,0.0
24,1991-10-21,3.3333330154,3.4583330154,3.2916669846,3.2916669846,196800,0.0,0.0
25,1991-10-22,3.375,3.375,3.25,3.25,84600,0.0,0.0
26,1991-10-23,3.3333330154,3.4583330154,3.1666669846,3.1666669846,540000,0.0,0.0
27,1991-10-24,3.2916669846,3.2916669846,3.0416669846,3.0833330154,164400,0.0,0.0
28,1991-10-25,3.1666669846,3.1666669846,2.875,3.0,243600,0.0,0.0
29,1991-10-28,3.125,3.1666669846,2.9583330154,2.9583330154,292200,0.0,0.0
30,1991-10-29,3.0416669846,3.1666669846,3.0,3.1666669846,162600,0.0,0.0
31,1991-10-30,3.2083330154,3.2916669846,3.0833330154,3.1666669846,277200,0.0,0.0
32,1991-10-31,3.1666669846,3.1666669846,3.0,3.0833330154,178200,0.0,0.0
33,1991-11-04,3.0416669846,3.125,2.9583330154,2.9583330154,270000,0.0,0.0
34,1991-11-05,2.9583330154,3.0416669846,2.6666669846,2.75,716400,0.0,0.0
35,1991-11-06,2.8333330154,2.8333330154,2.5833330154,2.6666669846,443400,0.0,0.0
36,1991-11-07,2.6666669846,2.75,2.5,2.5416669846,601200,0.0,0.0
37,1991-11-08,2.5416669846,2.7083330154,2.4583330154,2.7083330154,1528200,0.0,0.0
38,1991-11-11,2.7083330154,2.9166669846,2.7083330154,2.7083330154,818400,0.0,0.0
39,1991-11-12,2.8333330154,2.9166669846,2.7916669846,2.9166669846,776400,0.0,0.0
40,1991-11-13,2.9166669846,3.0,2.8333330154,2.9166669846,1289400,0.0,0.0
41,1991-11-14,3.0,3.0833330154,2.9166669846,2.9791669846,1420200,0.0,0.0
42,1991-11-15,2.9583330154,2.9583330154,2.375,2.375,1191000,0.0,0.0
43,1991-11-18,2.25,2.5,2.0,2.4583330154,2312400,0.0,0.0
44,1991-11-19,2.4583330154,2.4583330154,2.25,2.375,2037000,0.0,0.0
45,1991-11-20,2.375,2.4166669846,2.0,2.2083330154,434400,0.0,0.0
46,1991-11-21,2.25,2.3333330154,2.125,2.25,208800,0.0,0.0
47,1991-11-22,2.2916669846,2.2916669846,1.9583330154,2.0833330154,1123800,0.0,0.0
48,1991-11-25,2.0416669846,2.125,1.9583330154,2.0833330154,323400,0.0,0.0
49,1991-11-26,1.9583330154,2.0833330154,1.8333330154,1.875,199200,0.0,0.0
50,1991-11-27,2.0,2.0416669846,1.9166669846,1.9583330154,192600,0.0,0.0
