idx,date,open,high,low,close,volume,dividends,stock_splits
1,1987-04-06,0.0,6.4427309484,6.2307990093,6.315571785,157000,0.0,0.0
2,1987-04-07,6.3155720267,6.3155720267,6.1036400795,6.1036400795,295600,0.0,0.0
3,1987-04-08,6.1884146182,6.4003466256,6.1884146182,6.3579602242,479700,0.0,0.0
4,1987-04-09,6.357961768,6.357961768,6.0612568855,6.0612568855,850800,0.0,0.0
5,1987-04-10,6.0612533602,6.1884125216,6.0612533602,6.1460261345,224000,0.0,0.0
6,1987-04-13,6.1460260297,6.1460260297,5.9340940976,5.976480484,304700,0.0,0.0
7,1987-04-14,5.9340973788,5.9340973788,5.3830740507,5.4678468704,168300,0.0,0.0
8,1987-04-15,5.5526151453,5.9340925217,5.5526151453,5.9340925217,414500,0.0,0.0
9,1987-04-16,6.0188673006,6.1460264689,6.0188673006,6.1036400795,229400,0.0,0.0
10,1987-04-20,6.1036364058,6.1036364058,6.018863678,6.018863678,135800,0.0,0.0
11,1987-04-21,6.0188668704,6.0612532568,5.9340940976,5.976480484,282200,0.0,0.0
12,1987-04-22,5.9764780895,6.0188644589,5.7645462423,5.8493189812,284900,0.0,0.0
13,1987-04-23,5.8917059898,5.9764787379,5.8493196158,5.8917059898,219200,0.0,0.0
14,1987-04-24,5.8493223826,5.9340951708,5.7221632004,5.7221632004,139700,0.0,0.0
15,1987-04-27,5.6373895154,5.6797759027,5.4254575787,5.5950031281,466500,0.0,0.0
16,1987-04-28,5.8476924896,5.97574415,5.6342730557,5.8476924896,272200,0.115,0.0
17,1987-04-29,5.9330551728,5.975739023,5.8903713226,5.8903713226,374500,0.0,0.0
18,1987-04-30,5.8903785745,6.1464819908,5.8903785745,6.1464819908,845800,0.0,0.0
19,1987-05-04,6.1464761786,6.3598954903,6.1464761786,6.317211628,212200,0.0,0.0
20,1987-05-05,6.3172126155,6.6159996986,6.1464771394,6.6159996986,1040000,0.0,0.0
21,1987-05-06,6.6160000663,7.0855226517,6.5733161949,7.0855226517,1030000,0.0,0.0
22,1987-05-07,7.5123638196,7.6404154756,7.4696799343,7.5977315903,1470000,0.0,0.0
23,1987-05-08,7.512361799,7.5550456728,7.3843101774,7.4696779251,365400,0.0,0.0
24,1987-05-11,7.5123660617,7.9818889406,7.4696821637,7.6831016541,815000,0.0,0.0
25,1987-05-12,7.7257855521,7.7257855521,7.5977338579,7.6831016541,422900,0.0,0.0
26,1987-05-13,7.6830972944,7.7257811683,7.3843101774,7.4696779251,231300,0.0,0.0
27,1987-05-14,7.4269948006,7.5123625569,7.3416270442,7.4269948006,341500,0.0,0.0
28,1987-05-15,7.3416273998,7.5123629207,7.2135757591,7.2989435196,408700,0.0,0.0
29,1987-05-18,7.1708898544,7.2135737226,7.0001543817,7.1708898544,386200,0.0,0.0
30,1987-05-19,7.1708903945,7.1708903945,7.0428387803,7.0855226517,270200,0.0,0.0
31,1987-05-20,6.9574719216,7.0428396752,6.8721041679,6.8721041679,308100,0.0,0.0
32,1987-05-21,6.9147860755,7.0001538048,6.7440506169,6.9574699402,258900,0.0,0.0
33,1987-05-22,6.9574710375,7.0855226517,6.9147871661,7.0855226517,255700,0.0,0.0
34,1987-05-26,7.1708915316,7.5123625569,7.0428398971,7.4269948006,400600,0.0,0.0
35,1987-05-27,7.426995079,7.4696789587,7.3416273194,7.3843111992,211500,0.0,0.0
36,1987-05-28,7.3416252136,7.3843090811,7.0001542735,7.3416252136,165000,0.0,0.0
37,1987-05-29,7.3843101774,7.4696779251,7.2562585558,7.4696779251,288100,0.0,0.0
38,1987-06-02,7.4696760646,7.4696760646,7.3416244749,7.3843083382,215500,0.0,0.0
39,1987-06-03,7.3416341146,7.4696858724,7.3416341146,7.4270019531,442000,0.0,0.0
40,1987-06-04,7.4269923676,7.512360096,7.4269923676,7.512360096,576100,0.0,0.0
41,1987-06-05,7.5123665946,7.5550504957,7.4269987924,7.4696826935,294100,0.0,0.0
42,1987-06-08,7.4696818095,7.5977334976,7.4696818095,7.5977334976,310200,0.0,0.0
43,1987-06-09,7.5977278243,7.6404116885,7.4696762318,7.512360096,853800,0.0,0.0
44,1987-06-10,7.5550439602,7.7684632811,7.512360096,7.512360096,340700,0.0,0.0
45,1987-06-11,7.5123697917,7.5550537109,7.4270019531,7.4270019531,89100,0.0,0.0
46,1987-06-12,7.3416271995,7.4269949576,7.2135755623,7.2562594414,378700,0.0,0.0
47,1987-06-15,7.2989501953,7.5123697917,7.256266276,7.4270019531,269300,0.0,0.0
48,1987-06-16,7.4269987924,7.4696826935,7.3843148913,7.4696826935,160300,0.0,0.0
49,1987-06-17,7.4696858724,7.5123697917,7.4270019531,7.4270019531,276100,0.0,0.0
50,1987-06-18,7.3843132097,7.3843132097,7.2562615356,7.2989454269,59300,0.0,0.0
51,1987-06-19,7.3843148913,7.4696826935,7.2989470891,7.4696826935,284500,0.0,0.0
52,1987-06-22,7.5550439602,7.5977278243,7.4269923676,7.512360096,544800,0.0,0.0
53,1987-06-23,7.4696762318,7.512360096,7.3843085034,7.512360096,442000,0.0,0.0
54,1987-06-24,7.4270019531,7.4696858724,7.3416341146,7.4270019531,241800,0.0,0.0
55,1987-06-25,7.4269987924,7.5123665946,7.3843148913,7.4696826935,179500,0.0,0.0
56,1987-06-26,7.4696768162,7.5123606837,7.3416252136,7.3416252136,389200,0.0,0.0
57,1987-06-29,7.4696833861,7.6831029114,7.4696833861,7.6404190063,1020000,0.0,0.0
58,1987-06-30,7.6830991808,7.9818863712,7.6830991808,7.7684669495,693400,0.0,0.0
59,1987-07-02,8.3233579645,8.4940935125,8.2806740775,8.4087257385,635100,0.0,0.0
60,1987-07-06,8.4940930451,8.6221446991,8.4514091605,8.6221446991,786500,0.0,0.0
61,1987-07-07,8.8355637687,9.0062993004,8.622144354,8.9636154175,1090000,0.0,0.0
62,1987-07-08,8.8782468629,9.0489823795,8.6648274672,8.7928791046,1010000,0.0,0.0
63,1987-07-09,8.8782474839,9.1343507767,8.8355636017,9.1343507767,992200,0.0,0.0
64,1987-07-10,9.0916670663,9.0916670663,8.8782476516,8.9636154175,466900,0.0,0.0
65,1987-07-13,9.091667643,9.091667643,8.7501965578,8.8782482147,441800,0.0,0.0
66,1987-07-14,8.8355678257,8.9209356308,8.7075161181,8.9209356308,853500,0.0,0.0
67,1987-07-15,8.8355634924,9.1770345453,8.7928796108,9.0062990189,818800,0.0,0.0
68,1987-07-16,9.0489808548,9.1770324707,8.9636131109,9.1770324707,392400,0.0,0.0
69,1987-07-17,9.1770363729,9.3050880432,9.0916685927,9.3050880432,1070000,0.0,0.0
70,1987-07-20,9.2197208405,9.305088626,9.1770369477,9.2197208405,403300,0.0,0.0
71,1987-07-21,9.1343551435,9.2197229486,8.9209356308,8.9209356308,498900,0.0,0.0
72,1987-07-22,8.7928828535,8.8355667509,8.5794633668,8.6648311615,673700,0.0,0.0
73,1987-07-23,8.6221440797,8.6221440797,8.1953052639,8.280673027,489300,0.0,0.0
74,1987-07-24,8.2806746458,8.4940940955,8.2806746458,8.3233585358,373400,0.0,0.0
75,1987-07-27,8.323356434,8.8355629838,8.323356434,8.7928791046,431500,0.0,0.0
76,1987-07-28,9.003827095,9.003827095,8.7465748923,9.003827095,508500,0.115,0.0
77,1987-07-29,9.0895727995,9.3039495165,9.0466974561,9.1753234863,961200,0.0,0.0
78,1987-07-30,9.26108003,9.26108003,9.0038278069,9.1324539185,350900,0.0,0.0
79,1987-07-31,9.0895778293,9.1324531964,8.7894502594,9.003827095,325300,0.0,0.0
80,1987-08-03,9.2610741731,9.3897002033,9.1324481429,9.1753234863,832100,0.0,0.0
81,1987-08-04,9.175329289,9.175329289,8.9609524364,9.1324539185,336300,0.0,0.0
82,1987-08-05,9.0895781471,9.1324535157,8.7036998295,8.8323259354,498200,0.0,0.0
