idx,date,open,high,low,close,volume,dividends,stock_splits
1,1986-11-24,1.5602269173,1.6089841043,1.5114700092,1.5602269173,8693400,0.0,0.0
2,1986-11-25,1.54803748,1.5602265647,1.5114696677,1.5236587524,1918800,0.0,0.0
3,1986-11-26,1.5114691882,1.5236582691,1.4870904684,1.4870904684,3510000,0.0,0.0
4,1986-11-28,1.4627121979,1.5236584465,1.4627121979,1.5114693642,1341600,0.0,0.0
5,1986-12-02,1.4749021431,1.4870912303,1.4139555914,1.4261449575,43200000,0.0,0.0
6,1986-12-03,1.4505225712,1.4627119303,1.4383334911,1.4627119303,4530000,0.0,0.0
7,1986-12-04,1.4627126221,1.474901987,1.4505232573,1.4505232573,2325000,0.0,0.0
8,1986-12-05,1.4505223512,1.4505223512,1.4261439157,1.4383332729,3660000,0.0,0.0
9,1986-12-08,1.4261442138,1.4383335736,1.3773870537,1.413954854,1779900,0.0,0.0
10,1986-12-09,1.4017650833,1.4139541581,1.3530079471,1.3651973009,1688400,0.0,0.0
11,1986-12-10,1.3651980217,1.4261442648,1.3651980217,1.4017658234,1500900,0.0,0.0
12,1986-12-11,1.4017657732,1.4261442138,1.3651979729,1.413954854,1337400,0.0,0.0
13,1986-12-12,1.4139555914,1.4383343237,1.4139555914,1.4261449575,1212600,0.0,0.0
14,1986-12-15,1.413954854,1.4261442138,1.3895764134,1.413954854,799200,0.0,0.0
15,1986-12-16,1.4261449575,1.4383343237,1.4139555914,1.4261449575,1752900,0.0,0.0
16,1986-12-17,1.413954854,1.4261442138,1.4017657732,1.413954854,971400,0.0,0.0
17,1986-12-18,1.4017658234,1.4261442648,1.4017658234,1.4017658234,1132500,0.0,0.0
18,1986-12-19,1.4017657732,1.4261442138,1.3895764134,1.413954854,1341300,0.0,0.0
19,1986-12-22,1.4017658234,1.4139549046,1.3895764631,1.4017658234,538500,0.0,0.0
20,1986-12-23,1.3895771503,1.4017665166,1.3773877841,1.3895771503,1368900,0.0,0.0
21,1986-12-24,1.3895764134,1.413954854,1.3895764134,1.413954854,1383300,0.0,0.0
22,1986-12-26,1.4139549046,1.4139549046,1.3895764631,1.4017658234,979200,0.0,0.0
23,1986-12-29,1.3895764631,1.4139549046,1.3895764631,1.4017658234,641700,0.0,0.0
24,1986-12-30,1.3895764065,1.4017657663,1.3773870468,1.3773870468,642000,0.0,0.0
25,1986-12-31,1.3773877841,1.4139556038,1.3773877841,1.3895771503,1228500,0.0,0.0
26,1987-01-02,1.3895766477,1.4261444543,1.3895766477,1.4139550924,780000,0.0,0.0
27,1987-01-05,1.4261443885,1.4505228321,1.4261443885,1.4383337498,965100,0.0,0.0
28,1987-01-06,1.4505229258,1.4627122879,1.4505229258,1.4627122879,2034600,0.0,0.0
29,1987-01-07,1.4627122879,1.4627122879,1.4505229258,1.4627122879,2003100,0.0,0.0
30,1987-01-08,1.4627122879,1.4627122879,1.4505229258,1.4627122879,1196100,0.0,0.0
31,1987-01-09,1.462712905,1.4749022722,1.4383344496,1.4749022722,1438200,0.0,0.0
32,1987-01-12,1.4505235378,1.4749022722,1.4505235378,1.4749022722,1302000,0.0,0.0
33,1987-01-13,1.4505229258,1.47490165,1.4505229258,1.4627122879,1103100,0.0,0.0
34,1987-01-14,1.4505227222,1.511469245,1.4505227222,1.511469245,2651700,0.0,0.0
35,1987-01-15,1.5236583037,1.5602261052,1.5114692225,1.5358476639,3690000,0.0,0.0
36,1987-01-16,1.5358476639,1.5358476639,1.5114692225,1.5358476639,1076700,0.0,0.0
37,1987-01-19,1.5114692225,1.5358476639,1.4992798624,1.5358476639,1009800,0.0,0.0
38,1987-01-20,1.5236583263,1.5358476867,1.4992798846,1.511469245,2043600,0.0,0.0
39,1987-01-21,1.4870906148,1.511469337,1.4749015327,1.4992799759,1360500,0.0,0.0
40,1987-01-22,1.4870905243,1.5236583263,1.4627120825,1.511469245,1908600,0.0,0.0
41,1987-01-23,1.511469337,1.5236584191,1.4870906148,1.4992799759,1814400,0.0,0.0
42,1987-01-26,1.47490165,1.487090733,1.4627122879,1.4627122879,1010400,0.0,0.0
43,1987-01-27,1.4749015057,1.4992799485,1.4627121449,1.4870905876,909600,0.0,0.0
44,1987-01-28,1.4749018657,1.4749018657,1.450523138,1.450523138,1216500,0.0,0.0
45,1987-01-29,1.450523138,1.4627125019,1.4383340532,1.450523138,845700,0.0,0.0
46,1987-01-30,1.450523138,1.450523138,1.4383340532,1.450523138,890400,0.0,0.0
47,1987-02-02,1.4505220652,1.4505220652,1.4261436345,1.4505220652,1338300,0.0,0.0
48,1987-02-03,1.4383329893,1.4505220652,1.4139542797,1.4505220652,3630000,0.0,0.0
49,1987-02-04,1.4627124966,1.5114696728,1.4627124966,1.4870909452,3840000,0.0,0.0
50,1987-02-05,1.4749018604,1.499280309,1.4627124966,1.4870909452,1516200,0.0,0.0
51,1987-02-06,1.4627124286,1.5114696026,1.4627124286,1.5114696026,1733100,0.0,0.0
52,1987-02-09,1.535847187,1.5480365434,1.5114687533,1.535847187,2074800,0.0,0.0
53,1987-02-10,1.5358476355,1.5358476355,1.4870904748,1.5236582756,850500,0.0,0.0
54,1987-02-11,1.5236588639,1.5724160435,1.4992804136,1.5602266788,3750000,0.0,0.0
55,1987-02-12,1.5846054082,1.5846054082,1.5358482285,1.5602266788,1601100,0.0,0.0
56,1987-02-13,1.5602261109,1.5846048313,1.5358476694,1.5724154711,1489200,0.0,0.0
57,1987-02-17,1.5724152141,1.5967936516,1.5480367767,1.5967936516,1416900,0.0,0.0
58,1987-02-18,1.5967941546,1.657740686,1.5846050716,1.6455513239,3450000,0.0,0.0
59,1987-02-19,1.6333621051,1.6943086418,1.6333621051,1.6577408314,3780000,0.0,0.0
60,1987-02-20,1.6455513239,1.657740686,1.6333619618,1.6455513239,1012200,0.0,0.0
61,1987-02-23,1.6333624459,1.6455518116,1.5967946279,1.6089839935,692400,0.0,0.0
62,1987-02-24,1.6211727344,1.6577405384,1.5967940125,1.6333618164,1265100,0.0,0.0
63,1987-02-25,1.6211727344,1.6455511774,1.6211727344,1.6333618164,928500,0.0,0.0
64,1987-02-26,1.6333618164,1.6577405384,1.6211727344,1.6333618164,747000,0.0,0.0
65,1987-02-27,1.6333625192,1.6699303389,1.6333625192,1.6699303389,999000,0.0,0.0
66,1987-03-02,1.6699297949,1.7064976026,1.6577407116,1.6943085194,1801500,0.0,0.0
67,1987-03-03,1.6821193448,1.7064977931,1.645551533,1.6699299812,4890000,0.0,0.0
68,1987-03-04,1.6699297949,1.6943085194,1.6577407116,1.6943085194,1687500,0.0,0.0
69,1987-03-05,1.6943087038,1.7064977884,1.6699299767,1.7064977884,3360000,0.0,0.0
70,1987-03-06,1.6943081277,1.7796328068,1.6943081277,1.7796328068,6240000,0.0,0.0
71,1987-03-09,1.7552545071,1.7796329489,1.7430651467,1.7552545071,5040000,0.0,0.0
72,1987-03-10,1.7308768662,1.7552553193,1.7308768662,1.7430659533,2788200,0.0,0.0
73,1987-03-11,1.7308765156,1.7430656002,1.6943087038,1.7064977884,1045800,0.0,0.0
74,1987-03-12,1.68211962,1.74306589,1.68211962,1.7308768034,1072500,0.0,0.0
75,1987-03-13,1.7308768034,1.7552552556,1.7186874378,1.7308768034,694800,0.0,0.0
76,1987-03-16,1.7198499441,1.7198499441,1.6954550025,1.7198499441,1035000,0.004,0.0
77,1987-03-17,1.6954553558,1.7442452492,1.6954553558,1.7320479155,1392300,0.0,0.0
78,1987-03-18,1.7442447606,1.7442447606,1.6954548808,1.7076522112,897900,0.0,0.0
79,1987-03-19,1.6832573377,1.6954549477,1.6466647868,1.6710597277,1371900,0.0,0.0
80,1987-03-20,1.6588620542,1.7198495333,1.6588620542,1.6954545975,1742700,0.0,0.0
81,1987-03-23,1.7076526135,1.7442451715,1.6954552803,1.7442451715,1371600,0.0,0.0
82,1987-03-24,1.7198503025,1.7564428622,1.7198503025,1.7320479155,1664100,0.0,0.0
83,1987-03-25,1.7320474302,1.7320474302,1.7076522112,1.7076522112,700500,0.0,0.0
84,1987-03-26,1.7076522112,1.7198498207,1.6954548808,1.7076522112,378300,0.0,0.0
85,1987-03-27,1.7076520404,1.732047257,1.6710594947,1.683257103,1320000,0.0,0.0
86,1987-03-30,1.6344674365,1.6466650484,1.5978748798,1.5978748798,1710600,0.0,0.0
87,1987-03-31,1.585677708,1.6710601627,1.585677708,1.6466652155,1771500,0.0,0.0
88,1987-04-02,1.6710594427,1.6832570506,1.6344668981,1.658862114,747000,0.0,0.0
89,1987-04-03,1.646664506,1.658862114,1.6222695694,1.658862114,342300,0.0,0.0
