idx,date,open,high,low,close,volume,dividends,stock_splits
1,1987-06-10,0.0,2.1111109257,1.9444439411,2.0,10395450,0.0,0.0
2,1987-06-11,0.0,2.0277779102,1.8888889551,1.8888889551,2233350,0.0,0.0
3,1987-06-12,0.0,1.9444439411,1.8888889551,1.8888889551,1120950,0.0,0.0
4,1987-06-15,0.0,1.9444439411,1.8888889551,1.8888889551,1815300,0.0,0.0
5,1987-06-16,0.0,1.9166669846,1.8333330154,1.8333330154,686700,0.0,0.0
6,1987-06-17,0.0,1.8888889551,1.8055560589,1.8888889551,891450,0.0,0.0
7,1987-06-18,0.0,1.8888889551,1.8333330154,1.8333330154,126900,0.0,0.0
8,1987-06-19,0.0,1.8611110449,1.8333330154,1.8611110449,638100,0.0,0.0
9,1987-06-22,0.0,1.8611110449,1.8333330154,1.8333330154,276750,0.0,0.0
10,1987-06-23,0.0,1.8611110449,1.7777780294,1.8055560589,554850,0.0,0.0
11,1987-06-24,0.0,1.8055560589,1.7777780294,1.8055560589,337050,0.0,0.0
12,1987-06-25,0.0,1.7777780294,1.7777780294,1.7777780294,15300,0.0,0.0
13,1987-06-26,0.0,1.8055560589,1.7777780294,1.7777780294,248850,0.0,0.0
14,1987-06-29,0.0,1.8055560589,1.6111110449,1.6111110449,355500,0.0,0.0
15,1987-06-30,0.0,1.6666669846,1.4722219706,1.4722219706,80550,0.0,0.0
16,1987-07-02,0.0,1.7222219706,1.5833330154,1.7222219706,252450,0.0,0.0
17,1987-07-06,0.0,1.7777780294,1.6666669846,1.6666669846,95850,0.0,0.0
18,1987-07-07,0.0,1.8888889551,1.6666669846,1.8055560589,470700,0.0,0.0
19,1987-07-08,0.0,1.8611110449,1.7777780294,1.7777780294,274050,0.0,0.0
20,1987-07-09,0.0,1.8611110449,1.7222219706,1.7222219706,124650,0.0,0.0
21,1987-07-10,0.0,1.8333330154,1.7222219706,1.7222219706,12150,0.0,0.0
22,1987-07-13,0.0,1.7777780294,1.6111110449,1.6111110449,89100,0.0,0.0
23,1987-07-14,0.0,1.6944439411,1.6111110449,1.6666669846,115200,0.0,0.0
24,1987-07-15,0.0,1.6944439411,1.6111110449,1.6111110449,96750,0.0,0.0
25,1987-07-16,0.0,1.7222219706,1.6666669846,1.6944439411,28800,0.0,0.0
26,1987-07-17,0.0,1.7222219706,1.7222219706,1.7222219706,5850,0.0,0.0
27,1987-07-20,0.0,1.7222219706,1.6111110449,1.6111110449,11700,0.0,0.0
28,1987-07-21,0.0,1.7222219706,1.6666669846,1.7222219706,12150,0.0,0.0
29,1987-07-22,0.0,1.7222219706,1.6111110449,1.6388889551,191700,0.0,0.0
30,1987-07-23,0.0,1.6944439411,1.6388889551,1.6388889551,72450,0.0,0.0
31,1987-07-24,0.0,1.6944439411,1.6388889551,1.6388889551,6750,0.0,0.0
32,1987-07-27,0.0,1.6666669846,1.6388889551,1.6388889551,100350,0.0,0.0
33,1987-07-28,0.0,1.6666669846,1.6388889551,1.6388889551,151200,0.0,0.0
34,1987-07-29,0.0,1.6388889551,1.6388889551,1.6388889551,2700,0.0,0.0
35,1987-07-30,0.0,1.6666669846,1.6388889551,1.6388889551,158400,0.0,0.0
36,1987-07-31,0.0,1.7222219706,1.6388889551,1.6388889551,40950,0.0,0.0
37,1987-08-03,0.0,1.7222219706,1.6944439411,1.7222219706,153900,0.0,0.0
38,1987-08-04,0.0,1.8611110449,1.75,1.75,53550,0.0,0.0
39,1987-08-05,0.0,1.8611110449,1.75,1.8611110449,2700,0.0,0.0
40,1987-08-06,0.0,1.8333330154,1.7777780294,1.8333330154,7200,0.0,0.0
41,1987-08-07,0.0,1.8333330154,1.7777780294,1.7777780294,17100,0.0,0.0
42,1987-08-10,0.0,1.8055560589,1.7222219706,1.7222219706,1800,0.0,0.0
43,1987-08-11,0.0,1.8055560589,1.7222219706,1.75,73800,0.0,0.0
44,1987-08-12,0.0,1.8055560589,1.75,1.75,11250,0.0,0.0
45,1987-08-13,0.0,1.8055560589,1.75,1.75,50850,0.0,0.0
46,1987-08-14,0.0,1.75,1.75,1.75,3600,0.0,0.0
47,1987-08-17,1.75,1.75,1.75,1.75,0,0.0,0.0
48,1987-08-18,0.0,1.8055560589,1.75,1.75,7200,0.0,0.0
49,1987-08-19,0.0,1.75,1.75,1.75,13500,0.0,0.0
50,1987-08-20,0.0,1.7777780294,1.7222219706,1.7222219706,67050,0.0,0.0
51,1987-08-21,0.0,1.8055560589,1.7222219706,1.75,282150,0.0,0.0
52,1987-08-24,0.0,1.75,1.7222219706,1.7222219706,71100,0.0,0.0
53,1987-08-25,0.0,1.8333330154,1.7222219706,1.7777780294,146700,0.0,0.0
54,1987-08-26,0.0,1.8333330154,1.7222219706,1.8333330154,153450,0.0,0.0
55,1987-08-27,0.0,1.8333330154,1.75,1.8333330154,81450,0.0,0.0
56,1987-08-28,0.0,1.8888889551,1.8055560589,1.8888889551,44100,0.0,0.0
57,1987-08-31,0.0,1.9166669846,1.8055560589,1.9166669846,133200,0.0,0.0
58,1987-09-02,0.0,2.0,1.9166669846,1.9166669846,97650,0.0,0.0
59,1987-09-03,0.0,1.9166669846,1.9166669846,1.9166669846,5400,0.0,0.0
60,1987-09-04,0.0,2.0,1.9166669846,1.9722219706,91350,0.0,0.0
61,1987-09-08,0.0,1.9722219706,1.9444439411,1.9444439411,58050,0.0,0.0
62,1987-09-09,0.0,2.0,1.9166669846,1.9166669846,13500,0.0,0.0
63,1987-09-10,0.0,2.0277779102,1.9166669846,1.9722219706,31050,0.0,0.0
64,1987-09-11,0.0,2.0277779102,1.9722219706,2.0277779102,175500,0.0,0.0
65,1987-09-14,0.0,2.1666669846,2.0,2.0833330154,294300,0.0,0.0
66,1987-09-15,0.0,2.0833330154,2.0277779102,2.0833330154,131850,0.0,0.0
67,1987-09-16,0.0,2.0833330154,2.0555560589,2.0555560589,250200,0.0,0.0
68,1987-09-17,0.0,2.1111109257,2.0555560589,2.1111109257,99000,0.0,0.0
69,1987-09-18,0.0,2.0555560589,2.0555560589,2.0555560589,2250,0.0,0.0
70,1987-09-21,0.0,2.1111109257,1.9722219706,1.9722219706,54900,0.0,0.0
