idx,date,open,high,low,close,volume,dividends,stock_splits
1,2013-06-27,15.6116039802,16.5939673898,15.3815007632,16.2576637268,8285800,0.0,0.0
2,2013-06-28,16.2842163122,16.9656757836,16.2665156716,16.4789199829,717400,0.0,0.0
3,2013-07-02,16.2311162169,17.3816308582,16.1603153418,17.0099258423,223800,0.0,0.0
4,2013-07-03,16.8063751792,17.0010771826,16.5231716514,16.8860263824,103700,0.0,0.0
5,2013-07-05,16.6382208263,17.1338286396,16.4169678808,17.0099258423,111800,0.0,0.0
6,2013-07-08,16.8594697722,17.2400250183,16.6913187889,17.0187721252,110500,0.0,0.0
7,2013-07-09,16.930275368,17.6294355158,16.8683248107,17.257730484,206400,0.0,0.0
8,2013-07-10,17.2311761265,17.6559829992,16.859471168,16.9037227631,334900,0.0,0.0
9,2013-07-11,16.8594706843,17.3904779939,16.8594706843,17.3285274506,108800,0.0,0.0
10,2013-07-12,17.0187710277,17.2931258128,17.0010703923,17.2665748596,114600,0.0,0.0
11,2013-07-15,17.1338240517,17.4789780141,17.0099212876,17.3108253479,177300,0.0,0.0
12,2013-07-16,16.85062437,18.275492126,16.85062437,17.7887363434,239300,0.0,0.0
13,2013-07-17,17.7090842296,18.1161887992,17.4524300276,18.0276889801,139200,0.0,0.0
14,2013-07-18,18.1427396815,18.5852455274,17.7533340645,18.4347934723,162000,0.0,0.0
15,2013-07-19,18.5852433819,18.9303973617,18.3816911214,18.4436416626,631400,0.0,0.0
16,2013-07-22,18.2312458025,18.3197473317,17.8949403292,18.0011425018,492900,0.0,0.0
17,2013-07-23,17.9568859297,18.3108902272,17.7002317589,17.8949337006,41500,0.0,0.0
18,2013-07-24,17.9037849355,18.3108911646,17.7444825715,18.2046890259,43600,0.0,0.0
19,2013-07-25,18.0011415036,19.4525604248,17.7002373339,19.4525604248,232400,0.0,0.0
20,2013-07-26,19.5764576576,19.594156607,18.629493812,19.1074008942,141300,0.0,0.0
21,2013-07-29,19.0277508669,19.470256701,18.6383452602,19.2047538757,85200,0.0,0.0
22,2013-07-30,19.2135972863,19.2932484499,18.4082370221,19.1162471771,94600,0.0,0.0
23,2013-07-31,19.2844003317,19.2844003317,18.7533931233,19.0277462006,52500,0.0,0.0
24,2013-08-02,19.1782074957,19.9127672882,18.735701556,19.8508167267,224500,0.0,0.0
