idx,date,open,high,low,close,volume,dividends,stock_splits
1,2022-01-19,36.947677249,41.8092137291,36.947677249,40.8369064331,129900,0.0,0.0
2,2022-01-20,39.8159860018,47.0305046276,39.8159860018,43.7538299561,153400,0.0,0.0
3,2022-01-21,41.8092152913,48.566751993,41.7606006665,43.7538299561,329500,0.0,0.0
4,2022-01-24,43.6760482646,43.7538346398,40.7202364767,41.6147575378,110000,0.0,0.0
5,2022-01-25,41.3230621118,43.6760441035,40.1854642999,40.7377319336,23500,0.0,0.0
6,2022-01-26,43.7635520259,43.8121703604,41.079985382,42.0231246948,90500,0.0,0.0
7,2022-01-27,45.9512396744,48.2458854114,42.538442809,44.4927787781,151600,0.0,0.0
8,2022-01-28,43.3162875218,46.2818239114,42.9273668448,45.4553642273,43600,0.0,0.0
9,2022-01-31,44.7261387507,46.670753479,44.7261387507,46.670753479,71300,0.0,0.0
10,2022-02-02,48.6494019638,54.6728461777,48.420909125,51.5420150757,23860900,0.0,0.0
11,2022-02-03,50.7447168364,55.0034238644,48.9070566261,52.1351165771,8425500,0.0,0.0
12,2022-02-04,51.1433588128,52.8254535846,48.7320373276,48.7514839172,6757800,0.0,0.0
13,2022-02-07,48.6153692142,48.6542623997,44.726139677,44.7942008972,9432500,0.0,0.0
14,2022-02-08,43.8802261551,46.2429330114,42.9468083991,44.2399787903,7277500,0.0,0.0
15,2022-02-09,43.5107472702,46.1359774563,42.6648410434,45.9998550415,4393100,0.0,0.0
16,2022-02-10,44.2497083886,47.1569091628,44.1233110964,45.7470626831,2450000,0.0,0.0
17,2022-02-11,45.4650920224,47.5555543991,44.7844798152,46.7582626343,3456800,0.0,0.0
18,2022-02-14,46.8554926248,47.64306296,45.6887267032,46.7777099609,2155000,0.0,0.0
19,2022-02-15,46.3790658024,47.1082963851,45.8929120806,46.6707572937,2359800,0.0,0.0
20,2022-02-16,46.3984987264,47.1277290942,45.6498217703,45.8928985596,5855300,0.0,0.0
21,2022-02-17,45.0372802226,45.7762359524,43.9385717793,44.0358047485,3142600,0.0,0.0
22,2022-02-18,43.899671396,44.6289017932,43.5593616518,44.152469635,2018700,0.0,0.0
23,2022-02-22,44.1524725727,44.4149959782,42.285644412,42.3342590332,2611100,0.0,0.0
24,2022-02-23,42.4801037712,42.7717989227,41.0119214089,41.8967208862,2791200,0.0,0.0
25,2022-02-24,42.092802121,43.4975199681,41.1855873485,43.2341346741,2447900,0.141,0.0
26,2022-02-25,43.214630796,43.8291965755,42.668353411,42.834186554,2040700,0.0,0.0
27,2022-02-28,42.2391235147,45.4777812434,41.4197038653,44.8534622192,5534900,0.0,0.0
28,2022-03-02,46.823967529,49.0676152288,46.1703847684,48.2481956482,3517100,0.0,0.0
29,2022-03-03,48.5993812622,49.096888055,46.3820722208,48.3067321777,2072200,0.0,0.0
30,2022-03-04,47.9653072043,49.7894938944,47.0678494771,49.7504730225,2544600,0.0,0.0
31,2022-03-07,49.8089995906,51.291759092,48.6481529489,50.3845443726,2726900,0.0,0.0
32,2022-03-08,49.9260591875,53.9646260756,49.6041426019,51.0381278992,3873700,0.0,0.0
33,2022-03-09,51.1551889404,52.364809875,49.3505164774,50.0723876953,3050600,0.0,0.0
34,2022-03-10,49.3310013792,50.3747853764,48.0628529801,50.062625885,2692700,0.0,0.0
35,2022-03-11,50.160176711,50.5698883887,47.1068663079,48.1116294861,3034100,0.0,0.0
36,2022-03-14,50.5894065471,50.5894065471,47.3995226169,49.7017021179,2916600,0.0,0.0
37,2022-03-15,50.0821452031,50.3260200817,48.6774272425,50.0333709717,2117400,0.0,0.0
38,2022-03-16,50.4430708718,51.1161678099,49.1163911505,50.5016021729,2989800,0.0,0.0
39,2022-03-17,50.6089088797,51.4185714301,49.6626732903,49.7407150269,2244600,0.0,0.0
40,2022-03-18,49.4090452907,50.1504231853,47.6824109344,47.809223175,9663900,0.0,0.0
41,2022-03-21,47.7116776948,48.2189378526,47.4092715273,48.0140838623,2452000,0.0,0.0
42,2022-03-22,49.1163937583,50.774743498,48.7847238104,49.8870391846,3841900,0.0,0.0
43,2022-03-23,49.4578193135,50.5016033525,49.4578193135,49.7407150269,2396200,0.0,0.0
44,2022-03-24,49.9260630723,51.291763816,49.5231798272,51.1259269714,2335200,0.0,0.0
45,2022-03-25,50.9600994184,52.5013868113,50.7552416796,52.4818763733,2441200,0.0,0.0
46,2022-03-28,53.04766595,55.4571472799,52.7257493161,55.3888626099,3127000,0.0,0.0
