idx,date,open,high,low,close,volume,dividends,stock_splits
1,2010-01-05,35.0,35.0,35.0,35.0,10000,0.0,0.0
2,2010-01-06,35.0,35.0,35.0,35.0,0,0.0,0.0
3,2010-01-07,35.25,35.5,35.0,35.0,9800,0.0,0.0
4,2010-01-08,34.5499992371,34.5499992371,33.5,33.5,32200,0.0,0.0
5,2010-01-11,33.5,33.5,33.5,33.5,3700,0.0,0.0
6,2010-01-12,33.5,33.5499992371,33.5,33.5,5100,0.0,0.0
7,2010-01-13,33.0099983215,33.0099983215,32.5,32.75,226300,0.0,0.0
8,2010-01-14,32.75,32.75,32.75,32.75,150500,0.0,0.0
9,2010-01-15,32.5,32.5,32.25,32.25,45500,0.0,0.0
10,2010-01-19,32.25,32.25,31.75,32.0,19400,0.0,0.0
11,2010-01-20,31.5,31.75,31.5,31.75,600,0.0,0.0
12,2010-01-21,31.5,31.6000003815,31.5,31.6000003815,600,0.0,0.0
13,2010-01-22,31.5,31.5,31.5,31.5,200,0.0,0.0
14,2010-01-25,31.1000003815,31.25,31.0,31.25,1300,0.0,0.0
15,2010-01-26,31.0,31.0,30.75,30.75,300,0.0,0.0
16,2010-01-27,30.5499992371,31.0,30.5499992371,30.75,77000,0.0,0.0
17,2010-01-28,31.0,31.0,30.75,30.75,10400,0.0,0.0
18,2010-01-29,30.8500003815,30.8500003815,30.5,30.6299991608,30700,0.0,0.0
19,2010-02-02,30.5,30.5,30.5,30.5,600,0.0,0.0
20,2010-02-03,30.1000003815,30.1000003815,29.75,29.75,5200,0.0,0.0
21,2010-02-04,30.0,30.25,30.0,30.25,29400,0.0,0.0
22,2010-02-05,30.4799995422,30.5,30.0,30.5,1800,0.0,0.0
23,2010-02-08,30.0,30.0,29.75,29.8500003815,47400,0.0,0.0
24,2010-02-09,29.1000003815,29.7999992371,29.1000003815,29.7999992371,29700,0.0,0.0
25,2010-02-10,29.3999996185,29.8500003815,29.3999996185,29.75,107600,0.0,0.0
26,2010-02-11,29.7399997711,29.7399997711,29.5,29.7399997711,10000,0.0,0.0
27,2010-02-12,29.7399997711,29.7399997711,29.7399997711,29.7399997711,100,0.0,0.0
28,2010-02-16,29.7399997711,29.7399997711,29.7399997711,29.7399997711,0,0.0,0.0
29,2010-02-17,29.7399997711,29.7399997711,29.7399997711,29.7399997711,0,0.0,0.0
30,2010-02-18,29.1000003815,29.7000007629,29.1000003815,29.7000007629,1700,0.0,0.0
31,2010-02-19,29.7000007629,29.7000007629,29.7000007629,29.7000007629,0,0.0,0.0
32,2010-02-22,29.1000003815,29.7199993134,29.1000003815,29.7000007629,19700,0.0,0.0
33,2010-02-23,29.7000007629,29.7000007629,29.7000007629,29.7000007629,0,0.0,0.0
34,2010-02-24,29.7000007629,29.7000007629,29.7000007629,29.7000007629,0,0.0,0.0
35,2010-02-25,29.5,29.7000007629,29.5,29.5,2800,0.0,0.0
36,2010-02-26,29.25,29.75,29.25,29.75,2700,0.0,0.0
37,2010-03-02,30.1000003815,30.3999996185,30.0,30.3999996185,29100,0.0,0.0
