idx,date,open,high,low,close,volume,dividends,stock_splits
1,1980-03-17,0.0,0.0671742998,0.0643160567,0.0643160567,138396,0.0,0.0
2,1980-03-18,0.0,0.0671742998,0.0643160567,0.0643160567,530518,0.0,0.0
3,1980-03-19,0.0,0.0664602129,0.0636013076,0.0636013076,738113,0.0,0.0
4,1980-03-20,0.0,0.0714626556,0.068603754,0.068603754,1360895,0.0,0.0
5,1980-03-21,0.0,0.073606139,0.070747897,0.070747897,461320,0.0,0.0
6,1980-03-24,0.0,0.0728914199,0.0700331777,0.0700331777,322924,0.0,0.0
7,1980-03-25,0.0,0.0700331632,0.0671742633,0.0671742633,738113,0.0,0.0
8,1980-03-26,0.0,0.0700331632,0.0671742633,0.0671742633,23066,0.0,0.0
9,1980-03-27,0.0,0.0571701483,0.0543112457,0.0543112457,2168205,0.0,0.0
10,1980-03-28,0.0,0.0607430799,0.0578841791,0.0578841791,553584,0.0,0.0
11,1980-03-31,0.0,0.0636013318,0.0607430935,0.0607430935,392122,0.0,0.0
12,1980-04-02,0.0,0.0650307864,0.0621725433,0.0621725433,46132,0.0,0.0
13,1980-04-03,0.0,0.0650307864,0.0621725433,0.0621725433,92264,0.0,0.0
14,1980-04-07,0.0,0.0636013396,0.0607431009,0.0607431009,230660,0.0,0.0
15,1980-04-08,0.0,0.0628866089,0.0600283705,0.0600283705,23066,0.0,0.0
16,1980-04-09,0.0,0.0628866089,0.0600283705,0.0600283705,184528,0.0,0.0
17,1980-04-10,0.0,0.0650307864,0.0621725433,0.0621725433,691980,0.0,0.0
18,1980-04-11,0.0,0.0650307864,0.0621725433,0.0621725433,415188,0.0,0.0
19,1980-04-14,0.0,0.064316082,0.0614578426,0.0614578426,253726,0.0,0.0
20,1980-04-15,0.0,0.064316082,0.0614578426,0.0614578426,599716,0.0,0.0
21,1980-04-16,0.0614578426,0.0614578426,0.0614578426,0.0614578426,0,0.0,0.0
22,1980-04-17,0.0614578426,0.0614578426,0.0614578426,0.0614578426,0,0.0,0.0
23,1980-04-18,0.0,0.064316082,0.0614578426,0.0614578426,46132,0.0,0.0
24,1980-04-21,0.0,0.064316082,0.0614578426,0.0614578426,23066,0.0,0.0
25,1980-04-22,0.0614578426,0.0614578426,0.0614578426,0.0614578426,0,0.0,0.0
26,1980-04-23,0.0,0.064316082,0.0614578426,0.0614578426,230660,0.0,0.0
27,1980-04-24,0.0,0.064316082,0.0614578426,0.0614578426,253726,0.0,0.0
28,1980-04-25,0.0,0.0664602673,0.0636013597,0.0636013597,784245,0.0,0.0
29,1980-04-28,0.0,0.0671742998,0.0643160567,0.0643160567,276792,0.0,0.0
30,1980-04-29,0.0,0.0686037561,0.0657455176,0.0657455176,299858,0.0,0.0
31,1980-04-30,0.0657455176,0.0657455176,0.0657455176,0.0657455176,0,0.0,0.0
32,1980-05-02,0.0,0.0686037405,0.0657455027,0.0657455027,161462,0.0,0.0
33,1980-05-05,0.0,0.0686037405,0.0657455027,0.0657455027,92264,0.0,0.0
34,1980-05-06,0.0,0.0693184751,0.0664602369,0.0664602369,161462,0.0,0.0
35,1980-05-07,0.0,0.0693184751,0.0664602369,0.0664602369,299858,0.0,0.0
36,1980-05-08,0.0,0.0714626711,0.0686037689,0.0686037689,484386,0.0,0.0
37,1980-05-09,0.0,0.0728914432,0.0700332001,0.0700332001,853443,0.0,0.0
38,1980-05-12,0.0,0.0750355953,0.0721766949,0.0721766949,369056,0.0,0.0
39,1980-05-13,0.0,0.0800380197,0.077179119,0.077179119,1130235,0.0,0.0
40,1980-05-14,0.0,0.0757503609,0.0728914589,0.0728914589,830377,0.0,0.0
41,1980-05-15,0.0,0.0786085479,0.0757503062,0.0757503062,345990,0.0,0.0
42,1980-05-16,0.0,0.0846830786,0.0803953856,0.0803953856,784245,0.0,1.5
43,1980-05-19,0.0,0.0836110001,0.0793233067,0.0793233067,184528,0.0,0.0
44,1980-05-20,0.0,0.0825389531,0.0782512575,0.0782512575,461320,0.0,0.0
45,1980-05-21,0.0,0.0836110001,0.0793233067,0.0793233067,399811,0.0,0.0
46,1980-05-22,0.0,0.0836110001,0.0793233067,0.0793233067,369056,0.0,0.0
47,1980-05-23,0.0,0.0911143168,0.0868266225,0.0868266225,922641,0.0,0.0
48,1980-05-27,0.0,0.0889707762,0.084683083,0.084683083,799622,0.0,0.0
49,1980-05-28,0.0,0.0889707762,0.084683083,0.084683083,123019,0.0,0.0
50,1980-05-29,0.0,0.0889707762,0.084683083,0.084683083,645848,0.0,0.0
51,1980-05-30,0.0,0.0889707762,0.084683083,0.084683083,153773,0.0,0.0
52,1980-06-02,0.0,0.0878986899,0.0836109966,0.0836109966,307547,0.0,0.0
53,1980-06-03,0.0,0.0836109844,0.0793232918,0.0793232918,322924,0.0,0.0
54,1980-06-04,0.0,0.0846831178,0.0803954229,0.0803954229,261415,0.0,0.0
55,1980-06-05,0.0,0.0836109844,0.0793232918,0.0793232918,276792,0.0,0.0
56,1980-06-06,0.0,0.0836109844,0.0793232918,0.0793232918,415188,0.0,0.0
57,1980-06-09,0.0,0.0911143011,0.0868266076,0.0868266076,1629998,0.0,0.0
58,1980-06-10,0.0,0.0900428809,0.0857545286,0.0857545286,538207,0.0,0.0
59,1980-06-11,0.0,0.0900428809,0.0857545286,0.0857545286,169151,0.0,0.0
60,1980-06-12,0.0,0.0868266114,0.0825389177,0.0825389177,322924,0.0,0.0
61,1980-06-13,0.0,0.0868266114,0.0825389177,0.0825389177,169151,0.0,0.0
62,1980-06-16,0.0,0.0868266114,0.0825389177,0.0825389177,276792,0.0,0.0
63,1980-06-17,0.0,0.0868266114,0.0825389177,0.0825389177,230660,0.0,0.0
64,1980-06-18,0.0,0.0868266114,0.0825389177,0.0825389177,76887,0.0,0.0
65,1980-06-19,0.0,0.0857545016,0.0814668089,0.0814668089,430566,0.0,0.0
66,1980-06-20,0.0,0.0846831178,0.0803954229,0.0803954229,92264,0.0,0.0
