idx,date,open,high,low,close,volume,dividends,stock_splits
1,1986-07-09,7.1694274111,7.4209862677,7.0855744589,7.3790597916,1116800,0.0,0.0
2,1986-07-10,7.4209887723,7.4629152625,7.1694298308,7.3371357918,595600,0.0,0.0
3,1986-07-11,7.2952060304,7.3371325019,7.0855736732,7.0855736732,800400,0.0,0.0
4,1986-07-14,7.1274991152,7.1274991152,6.7920873921,6.8759403229,738000,0.0,0.0
5,1986-07-15,6.8340172078,6.8340172078,6.2470464047,6.666311264,2059200,0.0,0.0
6,1986-07-16,6.6663118998,7.0436503092,6.6663118998,6.7920913696,1160400,0.0,0.0
7,1986-07-17,6.7920879469,6.8759408845,6.7082350093,6.8340144157,1046000,0.0,0.0
8,1986-07-18,6.8340138575,6.938830021,6.7082344613,6.8759403229,1420000,0.0,0.0
9,1986-07-21,6.8759403229,6.9178667883,6.8340138575,6.8759403229,322800,0.0,0.0
10,1986-07-22,6.8759408845,6.896904119,6.8340144157,6.8340144157,390800,0.0,0.0
11,1986-07-23,6.8759405717,6.8759405717,6.7082347041,6.750161171,1004000,0.0,0.0
12,1986-07-24,6.7501642359,6.7920907219,6.5824582922,6.666311264,1071600,0.0,0.0
13,1986-07-25,6.6663082372,6.7920876379,6.6243817703,6.750161171,688400,0.0,0.0
14,1986-07-28,6.7501648797,6.8759443495,6.6872751448,6.7920913696,414800,0.0,0.0
15,1986-07-29,6.7082350093,6.8340144157,6.7082350093,6.8340144157,278400,0.0,0.0
16,1986-07-30,6.7501648797,6.7920913696,6.6243854099,6.7920913696,459200,0.0,0.0
17,1986-07-31,6.7920876379,6.8759405717,6.7082347041,6.750161171,1213600,0.0,0.0
18,1986-08-04,6.5824566804,6.5824566804,6.3937875399,6.5405302048,892400,0.0,0.0
19,1986-08-05,6.5405309715,6.5405309715,6.3728250491,6.4147515297,868800,0.0,0.0
20,1986-08-06,6.4147492402,6.4566757058,6.1212639809,6.1212639809,550400,0.0,0.0
21,1986-08-07,6.0374121025,6.0793385755,5.4504414815,5.6181473732,7560000,0.0,0.0
22,1986-08-08,5.6600736229,5.9954853931,5.6181471516,5.9535589218,2802000,0.0,0.0
23,1986-08-11,6.0374110496,6.1212639809,5.9535581184,6.1212639809,1428000,0.0,0.0
24,1986-08-12,6.1212650553,6.3308974202,6.1212650553,6.2889709473,1155200,0.0,0.0
25,1986-08-13,6.3308993093,6.771127407,6.2889728239,6.4986052513,865600,0.0,0.0
26,1986-08-14,6.5405281343,6.5824545967,6.2889693599,6.3728222847,762000,0.0,0.0
27,1986-08-15,6.3728238932,6.3728238932,6.1631915283,6.2889709473,654400,0.0,0.0
28,1986-08-18,6.3308993093,6.6243847078,6.2051198529,6.4986052513,606800,0.0,0.0
29,1986-08-19,6.5405309715,6.5405309715,6.3728250491,6.4147515297,2744000,0.0,0.0
30,1986-08-20,6.4147487471,6.4147487471,6.2889693599,6.3728222847,500000,0.0,0.0
31,1986-08-21,6.3728209237,6.4147473771,6.3308944702,6.3308944702,353200,0.0,0.0
32,1986-08-22,6.3728238932,6.4147503662,6.2889709473,6.2889709473,286000,0.0,0.0
33,1986-08-25,6.3728235863,6.3728235863,6.1212647606,6.2051177025,766400,0.0,0.0
34,1986-08-26,6.1631915283,6.2889709473,6.1631915283,6.2889709473,408800,0.0,0.0
35,1986-08-27,6.2889734371,6.2889734371,6.1631939683,6.2470469475,686400,0.0,0.0
36,1986-08-28,6.247041845,6.247041845,6.121262479,6.1631889343,286000,0.0,0.0
37,1986-08-29,6.1212639809,6.2051169121,6.0793375152,6.1212639809,1128800,0.0,0.0
38,1986-09-02,6.1631914616,6.1631914616,5.8277796813,5.8697061539,916800,0.0,0.0
39,1986-09-03,5.8697035596,5.9954829216,5.8277771056,5.9954829216,684400,0.0,0.0
40,1986-09-04,6.0374121954,6.2470445633,5.9535592482,6.2470445633,576800,0.0,0.0
41,1986-09-05,6.2470445335,6.3308974802,6.0374121666,6.0374121666,961600,0.0,0.0
42,1986-09-08,6.121264989,6.121264989,5.7858532088,5.8697061539,1793200,0.0,0.0
43,1986-09-09,5.8277798597,5.8697063335,5.7020004383,5.7858533859,388000,0.0,0.0
44,1986-09-10,5.7858530844,5.7858530844,5.7020001411,5.7020001411,802400,0.0,0.0
45,1986-09-11,5.743926435,5.743926435,5.1988823207,5.3246617317,6240000,0.0,0.0
46,1986-09-12,5.2827347224,5.3246611884,5.0731023921,5.1150288582,2066800,0.0,0.0
47,1986-09-15,5.1150288582,5.1988817903,4.98924946,5.1150288582,1746800,0.0,0.0
48,1986-09-16,5.0731031274,5.1150295995,4.9053972389,4.9892501831,1547200,0.0,0.0
49,1986-09-17,5.031175775,5.031175775,4.7376905215,4.9473228455,997600,0.0,0.0
50,1986-09-18,4.9473237583,5.8697061539,4.9473237583,5.8697061539,833200,0.0,0.0
51,1986-09-19,5.8697035017,5.8697035017,5.4923654194,5.7439241409,928000,0.0,0.0
52,1986-09-22,5.7439266128,5.827779556,5.6181471979,5.7020001411,464000,0.0,0.0
53,1986-09-23,5.7439269767,5.7439269767,5.4085151824,5.5342946053,436400,0.0,0.0
54,1986-09-24,5.5342942546,5.7439266128,5.4504413114,5.7020001411,649600,0.0,0.0
55,1986-09-25,5.7020013852,5.7020013852,5.5762219429,5.5762219429,305600,0.0,0.0
56,1986-09-26,5.5762219429,5.6600749044,5.5342954621,5.5762219429,278400,0.0,0.0
57,1986-09-29,5.6181475538,5.6181475538,5.4085151824,5.5342946053,724800,0.0,0.0
58,1986-09-30,5.4923654194,5.8697035017,5.4923654194,5.7439241409,773200,0.0,0.0
59,1986-10-02,5.7439279556,5.7858544371,5.7439279556,5.7439279556,592000,0.0,0.0
60,1986-10-03,5.7858527739,5.7858527739,5.5342939576,5.6181468964,228000,0.0,0.0
61,1986-10-06,5.7019987883,5.7019987883,5.5762194033,5.6600723267,467600,0.0,0.0
62,1986-10-07,5.618145865,5.7019987883,5.618145865,5.6600723267,176000,0.0,0.0
63,1986-10-08,5.7019985586,5.7858514786,5.6600720986,5.7858514786,558800,0.0,0.0
64,1986-10-09,5.7858517117,5.7858517117,5.618145865,5.6600723267,243200,0.0,0.0
65,1986-10-10,5.6600729684,5.6600729684,5.5342935691,5.5762200356,238400,0.0,0.0
66,1986-10-13,5.618144368,5.618144368,5.4085121155,5.4085121155,362800,0.0,0.0
