idx,date,open,high,low,close,volume,dividends,stock_splits
1,1994-03-17,0.140625,0.1549479961,0.1354169995,0.1523440033,188342400,0.0,0.0
2,1994-03-18,0.15625,0.1588539928,0.1497399956,0.1588539928,36192000,0.0,0.0
3,1994-03-21,0.1588539928,0.1640630066,0.1549479961,0.1588539928,9168000,0.0,0.0
4,1994-03-22,0.1640630066,0.1666669995,0.1588539928,0.1588539928,14486400,0.0,0.0
5,1994-03-23,0.1614580005,0.1614580005,0.15625,0.1588539928,6432000,0.0,0.0
6,1994-03-24,0.1601559967,0.1601559967,0.15625,0.1601559967,5212800,0.0,0.0
7,1994-03-25,0.1601559967,0.1666669995,0.15625,0.1666669995,5174400,0.0,0.0
8,1994-03-28,0.1666669995,0.1666669995,0.15625,0.1575520039,9676800,0.0,0.0
9,1994-03-29,0.1588539928,0.1588539928,0.1484380066,0.1484380066,3398400,0.0,0.0
10,1994-03-30,0.1484380066,0.1536460072,0.1484380066,0.1510419995,4579200,0.0,0.0
11,1994-03-31,0.1497399956,0.1497399956,0.140625,0.1445309967,3945600,0.0,0.0
12,1994-04-04,0.1432289928,0.1432289928,0.1380210072,0.1419270039,8323200,0.0,0.0
13,1994-04-05,0.1419270039,0.1458330005,0.140625,0.1458330005,1939200,0.0,0.0
14,1994-04-06,0.1471350044,0.1510419995,0.1458330005,0.1471350044,1747200,0.0,0.0
15,1994-04-07,0.1510419995,0.1536460072,0.1497399956,0.1536460072,393600,0.0,0.0
16,1994-04-08,0.1536460072,0.15625,0.1510419995,0.1523440033,758400,0.0,0.0
17,1994-04-11,0.15625,0.15625,0.1523440033,0.15625,595200,0.0,0.0
18,1994-04-12,0.15625,0.1575520039,0.1536460072,0.1549479961,3369600,0.0,0.0
19,1994-04-13,0.1549479961,0.1549479961,0.1510419995,0.1549479961,2976000,0.0,0.0
20,1994-04-14,0.1510419995,0.1536460072,0.1510419995,0.1536460072,67200,0.0,0.0
21,1994-04-15,0.1523440033,0.1523440033,0.1484380066,0.1523440033,3312000,0.0,0.0
22,1994-04-18,0.1484380066,0.1523440033,0.1471350044,0.1510419995,3523200,0.0,0.0
23,1994-04-19,0.1510419995,0.1510419995,0.1432289928,0.1484380066,1689600,0.0,0.0
24,1994-04-20,0.1458330005,0.1484380066,0.1458330005,0.1458330005,307200,0.0,0.0
25,1994-04-21,0.1458330005,0.1471350044,0.1432289928,0.1458330005,13420800,0.0,0.0
26,1994-04-22,0.1432289928,0.1458330005,0.1432289928,0.1458330005,2064000,0.0,0.0
27,1994-04-25,0.1458330005,0.1484380066,0.1438799948,0.1458330005,19267200,0.0,0.0
28,1994-04-26,0.1484380066,0.1510419995,0.1458330005,0.1510419995,10406400,0.0,0.0
29,1994-04-28,0.1536460072,0.1536460072,0.1510419995,0.1523440033,768000,0.0,0.0
30,1994-04-29,0.1523440033,0.15625,0.1510419995,0.1510419995,5049600,0.0,0.0
31,1994-05-02,0.1549479961,0.15625,0.1536460072,0.15625,2400000,0.0,0.0
32,1994-05-03,0.15625,0.1640630066,0.15625,0.1614580005,4857600,0.0,0.0
33,1994-05-04,0.1588539928,0.1640630066,0.1588539928,0.1640630066,8208000,0.0,0.0
34,1994-05-05,0.1640630066,0.1666669995,0.1627600044,0.1666669995,9552000,0.0,0.0
35,1994-05-06,0.1640630066,0.1666669995,0.1614580005,0.1640630066,2112000,0.0,0.0
36,1994-05-09,0.1614580005,0.1640630066,0.1614580005,0.1614580005,816000,0.0,0.0
37,1994-05-10,0.1640630066,0.1666669995,0.1614580005,0.1666669995,633600,0.0,0.0
38,1994-05-11,0.1640630066,0.1640630066,0.1575520039,0.1614580005,23788800,0.0,0.0
39,1994-05-12,0.1614580005,0.1640630066,0.1588539928,0.1588539928,7334400,0.0,0.0
40,1994-05-13,0.1640630066,0.1640630066,0.1640630066,0.1640630066,38400,0.0,0.0
41,1994-05-16,0.1588539928,0.1640630066,0.1588539928,0.1588539928,1660800,0.0,0.0
42,1994-05-17,0.1588539928,0.1640630066,0.1588539928,0.1588539928,777600,0.0,0.0
43,1994-05-18,0.1640630066,0.1640630066,0.1588539928,0.1588539928,1814400,0.0,0.0
44,1994-05-19,0.1588539928,0.1588539928,0.1588539928,0.1588539928,326400,0.0,0.0
45,1994-05-20,0.1588539928,0.1640630066,0.1588539928,0.1601559967,3052800,0.0,0.0
46,1994-05-23,0.1588539928,0.1588539928,0.1588539928,0.1588539928,720000,0.0,0.0
47,1994-05-24,0.1588539928,0.1588539928,0.1588539928,0.1588539928,19200,0.0,0.0
48,1994-05-25,0.1588539928,0.1627600044,0.1588539928,0.1627600044,182400,0.0,0.0
49,1994-05-26,0.1640630066,0.1640630066,0.1588539928,0.1614580005,1929600,0.0,0.0
50,1994-05-27,0.1588539928,0.1601559967,0.1588539928,0.1601559967,336000,0.0,0.0
51,1994-05-31,0.1640630066,0.1640630066,0.1601559967,0.1640630066,8880000,0.0,0.0
52,1994-06-02,0.1614580005,0.171875,0.1614580005,0.1705729961,3600000,0.0,0.0
53,1994-06-03,0.1666669995,0.1757809967,0.1666669995,0.1731770039,3792000,0.0,0.0
54,1994-06-06,0.1770830005,0.1770830005,0.1731770039,0.1770830005,3657600,0.0,0.0
55,1994-06-07,0.1744789928,0.1744789928,0.171875,0.1744789928,2083200,0.0,0.0
56,1994-06-08,0.1770830005,0.1770830005,0.171875,0.171875,1296000,0.0,0.0
57,1994-06-09,0.171875,0.171875,0.1575520039,0.1575520039,6384000,0.0,0.0
58,1994-06-10,0.1575520039,0.1614580005,0.15625,0.1588539928,3062400,0.0,0.0
59,1994-06-13,0.15625,0.1614580005,0.15625,0.1614580005,4819200,0.0,0.0
60,1994-06-14,0.1614580005,0.1640630066,0.1588539928,0.1614580005,681600,0.0,0.0
61,1994-06-15,0.1640630066,0.1640630066,0.1588539928,0.1640630066,1305600,0.0,0.0
62,1994-06-16,0.1614580005,0.1640630066,0.1588539928,0.1640630066,3340800,0.0,0.0
63,1994-06-17,0.1595049948,0.1595049948,0.1588539928,0.1588539928,115200,0.0,0.0
64,1994-06-20,0.1640630066,0.1640630066,0.1640630066,0.1640630066,19200,0.0,0.0
65,1994-06-21,0.1640630066,0.1640630066,0.1536460072,0.15625,4752000,0.0,0.0
66,1994-06-22,0.1523440033,0.15625,0.1523440033,0.15625,470400,0.0,0.0
67,1994-06-23,0.1536460072,0.1536460072,0.1484380066,0.1523440033,2198400,0.0,0.0
68,1994-06-24,0.1484380066,0.1510419995,0.1471350044,0.1484380066,2006400,0.0,0.0
69,1994-06-27,0.1497399956,0.1497399956,0.1471350044,0.1484380066,384000,0.0,0.0
70,1994-06-28,0.1484380066,0.1549479961,0.1471350044,0.1549479961,5827200,0.0,0.0
71,1994-06-29,0.1523440033,0.1549479961,0.1497399956,0.1549479961,3993600,0.0,0.0
72,1994-06-30,0.1549479961,0.1601559967,0.1536460072,0.1575520039,3859200,0.0,0.0
73,1994-07-05,0.1575520039,0.1575520039,0.1536460072,0.1549479961,998400,0.0,0.0
74,1994-07-06,0.1536460072,0.1536460072,0.1471350044,0.1523440033,2995200,0.0,0.0
75,1994-07-07,0.1523440033,0.1523440033,0.1523440033,0.1523440033,854400,0.0,0.0
76,1994-07-08,0.1523440033,0.1523440033,0.1523440033,0.1523440033,0,0.0,0.0
77,1994-07-11,0.1471350044,0.1510419995,0.1458330005,0.1484380066,2601600,0.0,0.0
78,1994-07-12,0.1484380066,0.1484380066,0.1471350044,0.1471350044,374400,0.0,0.0
79,1994-07-13,0.1458330005,0.1536460072,0.1458330005,0.1536460072,11126400,0.0,0.0
80,1994-07-14,0.1497399956,0.1536460072,0.1497399956,0.1536460072,672000,0.0,0.0
81,1994-07-15,0.1523440033,0.1536460072,0.1497399956,0.1536460072,4569600,0.0,0.0
82,1994-07-18,0.1536460072,0.1536460072,0.1536460072,0.1536460072,0,0.0,0.0
83,1994-07-19,0.1523440033,0.1536460072,0.1523440033,0.1536460072,192000,0.0,0.0
84,1994-07-20,0.1536460072,0.1536460072,0.1536460072,0.1536460072,57600,0.0,0.0
85,1994-07-21,0.1536460072,0.1536460072,0.1536460072,0.1536460072,0,0.0,0.0
86,1994-07-22,0.1523440033,0.1523440033,0.1497399956,0.1497399956,672000,0.0,0.0
87,1994-07-25,0.1497399956,0.1510419995,0.1497399956,0.1510419995,1584000,0.0,0.0
88,1994-07-26,0.1523440033,0.1536460072,0.1497399956,0.1523440033,1008000,0.0,0.0
89,1994-07-27,0.1536460072,0.1536460072,0.1497399956,0.1510419995,1852800,0.0,0.0
90,1994-07-28,0.1523440033,0.1536460072,0.1497399956,0.1510419995,2467200,0.0,0.0
91,1994-07-29,0.1497399956,0.1510419995,0.1497399956,0.1510419995,528000,0.0,0.0
92,1994-08-02,0.1510419995,0.1523440033,0.1510419995,0.1523440033,2160000,0.0,0.0
93,1994-08-03,0.1536460072,0.1549479961,0.1510419995,0.1549479961,451200,0.0,0.0
94,1994-08-04,0.1549479961,0.1549479961,0.1510419995,0.1510419995,835200,0.0,0.0
