idx,date,open,high,low,close,volume,dividends,stock_splits
1,2019-06-12,63.5,67.0,56.0,58.0,19449200,0.0,0.0
2,2019-06-13,63.8600006104,69.6699981689,61.5999984741,67.5599975586,10923900,0.0,0.0
3,2019-06-14,69.7799987793,70.7900009155,63.0200004578,64.1600036621,6264200,0.0,0.0
4,2019-06-17,64.75,70.0100021362,62.0,70.0100021362,3247500,0.0,0.0
5,2019-06-18,73.0,78.6999969482,71.5,76.5,6612600,0.0,0.0
6,2019-06-19,78.75,79.7900009155,73.5550003052,77.2200012207,3319100,0.0,0.0
7,2019-06-20,78.0,78.2200012207,70.6900024414,74.8499984741,3429600,0.0,0.0
8,2019-06-21,72.4599990845,73.9280014038,68.3000030518,72.2300033569,2657500,0.0,0.0
9,2019-06-24,71.0500030518,72.3899993896,65.0800018311,67.9700012207,2448000,0.0,0.0
10,2019-06-25,67.0999984741,68.9899978638,61.1699981689,61.5200004578,2480200,0.0,0.0
11,2019-06-26,63.2999992371,64.9199981689,62.0050010681,62.6500015259,1625500,0.0,0.0
12,2019-06-27,63.3899993896,64.9950027466,62.5709991455,63.2799987793,914500,0.0,0.0
13,2019-06-28,64.3600006104,68.3799972534,63.2999992371,68.2900009155,1474300,0.0,0.0
14,2019-07-02,63.2999992371,65.0299987793,61.7210006714,64.5199966431,1735600,0.0,0.0
15,2019-07-03,64.6800003052,67.4800033569,64.5199966431,67.2399978638,1564100,0.0,0.0
16,2019-07-05,67.1500015259,67.25,64.8399963379,67.2099990845,804900,0.0,0.0
17,2019-07-08,68.2600021362,71.7149963379,66.9000015259,66.9100036621,4567200,0.0,0.0
18,2019-07-09,67.4199981689,69.1999969482,66.8799972534,68.4499969482,1782700,0.0,0.0
19,2019-07-10,70.0,74.5,69.5,74.3399963379,2719300,0.0,0.0
20,2019-07-11,74.5,74.9800033569,70.5,70.8799972534,2351800,0.0,0.0
21,2019-07-12,71.5999984741,75.1999969482,70.5,73.5,1838300,0.0,0.0
22,2019-07-15,74.0,74.2949981689,71.4000015259,71.5999984741,1325100,0.0,0.0
23,2019-07-16,71.9300003052,73.0869979858,69.0,69.5400009155,1582300,0.0,0.0
24,2019-07-17,70.0,71.5599975586,69.5899963379,71.0,1037000,0.0,0.0
25,2019-07-18,71.0,74.1900024414,70.1500015259,72.75,2779900,0.0,0.0
26,2019-07-19,85.1600036621,85.8499984741,80.75,83.5199966431,13669000,0.0,0.0
27,2019-07-22,82.2699966431,88.5,82.0800018311,87.6800003052,5357700,0.0,0.0
28,2019-07-23,88.3199996948,89.4400024414,84.4899978638,86.7399978638,2529800,0.0,0.0
29,2019-07-24,86.7900009155,87.8499984741,85.5,87.4599990845,1250700,0.0,0.0
30,2019-07-25,87.5,93.3389968872,87.0,92.2799987793,3270400,0.0,0.0
31,2019-07-26,93.0400009155,95.5,91.9100036621,92.8799972534,2053000,0.0,0.0
32,2019-07-29,93.6900024414,93.9000015259,82.6500015259,87.2300033569,3317800,0.0,0.0
33,2019-07-30,86.0,96.1900024414,84.0,94.0,3127200,0.0,0.0
34,2019-07-31,93.9499969482,94.8010025024,86.8170013428,89.0699996948,2476000,0.0,0.0
35,2019-08-02,91.5400009155,92.7799987793,86.9100036621,88.0100021362,1801000,0.0,0.0
36,2019-08-05,83.3399963379,86.9199981689,82.25,85.4800033569,2196400,0.0,0.0
37,2019-08-06,87.1999969482,89.7600021362,82.7099990845,85.2399978638,1357400,0.0,0.0
38,2019-08-07,83.6900024414,86.4499969482,82.8000030518,84.2200012207,990400,0.0,0.0
39,2019-08-08,85.4899978638,91.8600006104,85.4899978638,91.6500015259,1692300,0.0,0.0
40,2019-08-09,90.25,98.0,90.0,94.9000015259,3062200,0.0,0.0
41,2019-08-12,94.25,98.1999969482,91.5299987793,93.0100021362,1895600,0.0,0.0
42,2019-08-13,92.8399963379,100.5,92.8399963379,99.6500015259,3024600,0.0,0.0
