idx,date,open,high,low,close,volume,dividends,stock_splits
1,1990-02-16,0.0,0.0529296924,0.0489026849,0.051203832,940636800,0.0,0.0
2,1990-02-20,0.0,0.0529297069,0.0494779852,0.0529297069,151862400,0.0,0.0
3,1990-02-21,0.0,0.0523544193,0.0500532715,0.0517791323,70531200,0.0,0.0
4,1990-02-22,0.0,0.0540802746,0.052354414,0.052354414,45216000,0.0,0.0
5,1990-02-23,0.0,0.0529296947,0.0517791211,0.052066762,44697600,0.0,0.0
6,1990-02-26,0.0,0.0529297133,0.0506285653,0.0506285653,26928000,0.0,0.0
7,1990-02-27,0.0,0.0526420603,0.0506285585,0.0517791323,25574400,0.0,0.0
8,1990-02-28,0.0,0.0546555737,0.0517791387,0.0535049997,67968000,0.0,0.0
9,1990-03-02,0.0,0.0540802867,0.0529297127,0.0535049997,8438400,0.0,0.0
10,1990-03-05,0.0,0.0540802769,0.0529297031,0.0529297031,2419200,0.0,0.0
11,1990-03-06,0.0,0.0540802769,0.0523544162,0.0529297031,23904000,0.0,0.0
12,1990-03-07,0.0,0.0529297062,0.0512038454,0.0517791323,18172800,0.0,0.0
13,1990-03-08,0.0,0.0523544246,0.0512038507,0.0512038507,33523200,0.0,0.0
14,1990-03-09,0.0,0.0517791376,0.0512038507,0.0512038507,11145600,0.0,0.0
15,1990-03-12,0.0,0.0529297009,0.0512038403,0.052354414,20304000,0.0,0.0
16,1990-03-13,0.0,0.0552308515,0.052354417,0.0540802777,53020800,0.0,0.0
17,1990-03-14,0.0,0.0604091079,0.0540802889,0.0598338209,87350400,0.0,0.0
18,1990-03-15,0.0,0.0598338059,0.056381423,0.0569573715,38620800,0.0,0.0
19,1990-03-16,0.0,0.0581079647,0.0569573905,0.0581079647,19929600,0.0,0.0
20,1990-03-19,0.0,0.0604091079,0.0563814371,0.0598338209,43027200,0.0,0.0
21,1990-03-20,0.0,0.0604091266,0.0546555929,0.0546555929,43228800,0.0,0.0
22,1990-03-21,0.0,0.0563814336,0.0546555727,0.0552308597,19900800,0.0,0.0
23,1990-03-22,0.0,0.0563814278,0.0512038454,0.0517791323,43776000,0.0,0.0
24,1990-03-23,0.0,0.0546555737,0.0517791387,0.0535049997,16905600,0.0,0.0
25,1990-03-26,0.0546555602,0.0558061339,0.0540802733,0.0558061339,41702400,0.0,0.0
26,1990-03-27,0.0552308492,0.0569573715,0.0546555623,0.0569573715,15926400,0.0,0.0
