idx,date,open,high,low,close,volume,dividends,stock_splits
1,1998-07-02,0.9312499762,0.9750000238,0.9187499881,0.9750000238,369000,0.0,0.0
2,1998-07-06,0.9750000238,1.0625,0.9750000238,1.0062500238,1881000,0.0,0.0
3,1998-07-07,1.0375000238,1.0499999523,1.0249999762,1.0249999762,201000,0.0,0.0
4,1998-07-08,1.0125000477,1.0499999523,1.0,1.0125000477,864000,0.0,0.0
5,1998-07-09,1.0249999762,1.0499999523,1.0125000477,1.0499999523,158000,0.0,0.0
6,1998-07-10,1.0687500238,1.0687500238,0.9750000238,0.9750000238,962000,0.0,0.0
7,1998-07-13,1.0249999762,1.0249999762,0.9875000119,1.0,935000,0.0,0.0
8,1998-07-14,0.9875000119,1.0,0.9624999762,0.9750000238,605000,0.0,0.0
9,1998-07-15,0.9624999762,0.9875000119,0.9499999881,0.9750000238,619000,0.0,0.0
10,1998-07-16,0.9624999762,0.9750000238,0.9624999762,0.9624999762,137000,0.0,0.0
11,1998-07-17,0.9750000238,0.9750000238,0.9750000238,0.9750000238,42000,0.0,0.0
12,1998-07-20,0.9875000119,1.0187499523,0.9875000119,1.0125000477,388000,0.0,0.0
13,1998-07-21,1.0125000477,1.0249999762,1.0,1.0,304000,0.0,0.0
14,1998-07-22,0.9624999762,1.0249999762,0.9624999762,1.0187499523,223000,0.0,0.0
15,1998-07-23,1.0062500238,1.0625,1.0,1.0125000477,475000,0.0,0.0
16,1998-07-24,1.0375000238,1.0375000238,1.0,1.0249999762,227000,0.0,0.0
17,1998-07-27,1.0249999762,1.0249999762,0.9624999762,0.9750000238,93000,0.0,0.0
18,1998-07-28,1.0125000477,1.0125000477,0.9375,0.9499999881,259000,0.0,0.0
19,1998-07-29,0.9875000119,0.9875000119,0.9499999881,0.9750000238,1119000,0.0,0.0
20,1998-07-30,0.9875000119,1.0874999762,0.9875000119,1.0874999762,273000,0.0,0.0
21,1998-07-31,1.0874999762,1.0874999762,1.0750000477,1.0750000477,46000,0.0,0.0
22,1998-08-03,1.0499999523,1.0499999523,1.0375000238,1.0375000238,62000,0.0,0.0
23,1998-08-04,1.0249999762,1.0249999762,0.9875000119,0.9875000119,257000,0.0,0.0
24,1998-08-05,1.0,1.0,0.9750000238,0.9750000238,187000,0.0,0.0
25,1998-08-06,0.9750000238,1.0125000477,0.9499999881,0.9499999881,1599000,0.0,0.0
26,1998-08-07,0.9624999762,0.9624999762,0.9499999881,0.9624999762,972000,0.0,0.0
27,1998-08-10,0.9750000238,0.9750000238,0.9624999762,0.9624999762,818000,0.0,0.0
28,1998-08-11,0.9437500238,0.9437500238,0.8999999762,0.8999999762,447000,0.0,0.0
29,1998-08-12,0.8999999762,0.9187499881,0.8999999762,0.9187499881,110000,0.0,0.0
30,1998-08-13,0.9187499881,0.9187499881,0.8999999762,0.8999999762,61000,0.0,0.0
31,1998-08-14,0.9187499881,0.9187499881,0.8999999762,0.8999999762,225000,0.0,0.0
32,1998-08-17,0.8874999881,0.8999999762,0.875,0.8999999762,345000,0.0,0.0
33,1998-08-18,0.875,0.8874999881,0.8625000119,0.8625000119,207000,0.0,0.0
