idx,date,open,high,low,close,volume,dividends,stock_splits
1,1983-08-19,0.099589549,0.1017706228,0.099589549,0.099589549,7984800,0.0,0.0
2,1983-08-22,0.1003164649,0.1017706539,0.1003164649,0.1003164649,6487200,0.0,0.0
3,1983-08-23,0.1003164649,0.1010433504,0.1003164649,0.1003164649,7891200,0.0,0.0
4,1983-08-24,0.1010433361,0.1032244102,0.1010433361,0.1010433361,3276000,0.0,0.0
5,1983-08-25,0.1024975181,0.104678174,0.1024975181,0.1024975181,1389600,0.0,0.0
6,1983-08-26,0.1039512753,0.10685881,0.1039512753,0.1039512753,2196000,0.0,0.0
7,1983-08-29,0.1061319336,0.1090398989,0.1061319336,0.1061319336,2210400,0.0,0.0
8,1983-08-30,0.1112205759,0.1134012259,0.1112205759,0.1112205759,3110400,0.0,0.0
9,1983-08-31,0.1112205759,0.1134012259,0.1112205759,0.1112205759,5731200,0.0,0.0
10,1983-09-02,0.1104936302,0.1126742789,0.1104936302,0.1104936302,482400,0.0,0.0
11,1983-09-06,0.1104936302,0.1126742789,0.1104936302,0.1104936302,662400,0.0,0.0
12,1983-09-07,0.1104936803,0.1112205594,0.1097667888,0.1097667888,4543200,0.0,0.0
13,1983-09-08,0.1097667888,0.1112205594,0.1097667888,0.1097667888,496800,0.0,0.0
14,1983-09-09,0.1104936302,0.1112205089,0.1104936302,0.1104936302,331200,0.0,0.0
15,1983-09-12,0.1104936302,0.1119473877,0.1104936302,0.1104936302,2815200,0.0,0.0
16,1983-09-13,0.1104936302,0.1112205089,0.1104936302,0.1104936302,316800,0.0,0.0
17,1983-09-14,0.1104936302,0.1112205089,0.1104936302,0.1104936302,309600,0.0,0.0
18,1983-09-15,0.1104936581,0.1104936581,0.1090398878,0.1090398878,849600,0.0,0.0
19,1983-09-16,0.1090398878,0.1104936581,0.1090398878,0.1090398878,331200,0.0,0.0
20,1983-09-19,0.1090398878,0.1104936581,0.1090398878,0.1090398878,158400,0.0,0.0
21,1983-09-20,0.1090398878,0.111220537,0.1090398878,0.1090398878,237600,0.0,0.0
22,1983-09-21,0.1104936302,0.1119473877,0.1104936302,0.1104936302,100800,0.0,0.0
23,1983-09-22,0.1104936302,0.1119473877,0.1104936302,0.1104936302,360000,0.0,0.0
24,1983-09-23,0.1104936302,0.1119473877,0.1104936302,0.1104936302,151200,0.0,0.0
25,1983-09-26,0.1104936302,0.1119473877,0.1104936302,0.1104936302,1216800,0.0,0.0
26,1983-09-27,0.1104936302,0.1119473877,0.1104936302,0.1104936302,187200,0.0,0.0
27,1983-09-28,0.1104936302,0.1112205089,0.1104936302,0.1104936302,108000,0.0,0.0
28,1983-09-29,0.1134011969,0.1155822831,0.1134011969,0.1134011969,1101600,0.0,0.0
29,1983-09-30,0.114855364,0.1155822553,0.114855364,0.114855364,1303200,0.0,0.0
30,1983-10-03,0.116309166,0.1177629365,0.116309166,0.116309166,1101600,0.0,0.0
31,1983-10-04,0.116309166,0.1177629365,0.116309166,0.116309166,172800,0.0,0.0
32,1983-10-05,0.1170360222,0.1192166711,0.1170360222,0.1170360222,1404000,0.0,0.0
33,1983-10-06,0.1170360222,0.117762901,0.1170360222,0.1170360222,1036800,0.0,0.0
34,1983-10-07,0.1170360222,0.117762901,0.1170360222,0.1170360222,3996000,0.0,0.0
35,1983-10-10,0.1170360222,0.117762901,0.1170360222,0.1170360222,136800,0.0,0.0
36,1983-10-11,0.1170360222,0.117762901,0.1170360222,0.1170360222,403200,0.0,0.0
37,1983-10-12,0.1170360575,0.1170360575,0.116309166,0.116309166,57600,0.0,0.0
38,1983-10-13,0.116309166,0.1170360575,0.116309166,0.116309166,338400,0.0,0.0
39,1983-10-14,0.1163091438,0.1170360352,0.115582265,0.115582265,302400,0.0,0.0
40,1983-10-17,0.118489787,0.1199435571,0.118489787,0.118489787,979200,0.0,0.0
41,1983-10-18,0.1272128671,0.128667062,0.1272128671,0.1272128671,1965600,0.0,0.0
42,1983-10-19,0.1323014796,0.1330283586,0.1323014796,0.1323014796,4586400,0.0,0.0
43,1983-10-20,0.1323014796,0.1337552501,0.1323014796,0.1323014796,3801600,0.0,0.0
44,1983-10-21,0.132301493,0.1330283721,0.1308477223,0.1308477223,2736000,0.0,0.0
45,1983-10-24,0.1308477192,0.1308477192,0.1279401779,0.1279401779,367200,0.0,0.0
46,1983-10-25,0.1293939501,0.1308477208,0.1293939501,0.1293939501,1267200,0.0,0.0
47,1983-10-26,0.1279401232,0.1279401232,0.1264859289,0.1264859289,1080000,0.0,0.0
48,1983-10-27,0.1206704884,0.1206704884,0.1192167178,0.1192167178,828000,0.0,0.0
49,1983-10-28,0.1192166783,0.1199435571,0.118489787,0.118489787,813600,0.0,0.0
50,1983-10-31,0.118489787,0.1199435571,0.118489787,0.118489787,201600,0.0,0.0
51,1983-11-02,0.1184898247,0.1192167162,0.1177629456,0.1177629456,352800,0.0,0.0
52,1983-11-03,0.1177629456,0.1192167162,0.1177629456,0.1177629456,187200,0.0,0.0
