idx,date,open,high,low,close,volume,dividends,stock_splits
1,1998-06-19,0.1870439798,0.1963964925,0.1776923634,0.1870439798,61454400,0.0,0.0
2,1998-06-22,0.1858750244,0.1893827869,0.184706069,0.1870439798,6979200,0.0,0.0
3,1998-06-23,0.1864595021,0.1893827869,0.1800302742,0.1870439798,9638400,0.0,0.0
4,1998-06-24,0.1870439604,0.1917206645,0.1847060499,0.1917206645,1732800,0.0,0.0
5,1998-06-25,0.1963965317,0.2197773699,0.195227576,0.2104248554,18417600,0.0,0.0
6,1998-06-26,0.2127626912,0.2384814332,0.2092558388,0.2267910242,10267200,0.0,0.0
7,1998-06-29,0.2267910161,0.2408193352,0.2267910161,0.2326366752,4588800,0.0,0.0
8,1998-06-30,0.2373124977,0.2373124977,0.222115235,0.2256220877,4747200,0.0,0.0
9,1998-07-02,0.2244531512,0.2267910622,0.2221152536,0.2244531512,3355200,0.0,0.0
10,1998-07-06,0.2267910242,0.2267910242,0.2221152165,0.2267910242,2208000,0.0,0.0
11,1998-07-07,0.2267910131,0.2267910131,0.2221152056,0.2256220579,3652800,0.0,0.0
12,1998-07-08,0.2267910242,0.2267910242,0.2221152165,0.2267910242,1286400,0.0,0.0
13,1998-07-09,0.225622085,0.292256822,0.2244531297,0.2642001808,14769600,0.0,0.0
14,1998-07-10,0.264200253,0.2712139604,0.264200253,0.2688760757,1291200,0.0,0.0
15,1998-07-13,0.2747216555,0.2758906109,0.2583545148,0.2583545148,5025600,0.0,0.0
16,1998-07-14,0.261862273,0.2852421809,0.2571855422,0.2829042971,5457600,0.0,0.0
17,1998-07-15,0.2899189795,0.3320039474,0.2875810685,0.2992705703,8016000,0.0,0.0
18,1998-07-16,0.2981015484,0.3039472072,0.2805663646,0.2922567725,4713600,0.0,0.0
19,1998-07-17,0.2945947515,0.3016093671,0.2899189565,0.3016093671,974400,0.0,0.0
20,1998-07-20,0.3016092715,0.3284960407,0.2992704516,0.3156375885,5347200,0.0,0.0
21,1998-07-21,0.3320039102,0.3460322312,0.3273271789,0.3343417943,10684800,0.0,0.0
22,1998-07-22,0.3413554312,0.3436942513,0.2899188888,0.3249892294,4641600,0.0,0.0
23,1998-07-23,0.3249892023,0.3343416991,0.2945946581,0.3156375885,2116800,0.0,0.0
24,1998-07-24,0.3156376886,0.3156376886,0.2899189565,0.3016093671,1881600,0.0,0.0
25,1998-07-27,0.2992705465,0.303947278,0.2875810456,0.3016093671,46747200,0.0,0.0
26,1998-07-28,0.3016092221,0.3016092221,0.2782283853,0.2875809073,3052800,0.0,0.0
27,1998-07-29,0.2945947749,0.2992705703,0.2805664523,0.2992705703,2534400,0.0,0.0
28,1998-07-30,0.2969327015,0.3062852025,0.2875810835,0.3062852025,3014400,0.0,0.0
29,1998-07-31,0.3086230975,0.3086230975,0.2922568638,0.2992705703,921600,0.0,0.0
30,1998-08-03,0.2945947861,0.3016094026,0.292256875,0.2969326973,4032000,0.0,0.0
31,1998-08-04,0.2981015742,0.305116162,0.2922567978,0.2981015742,3633600,0.0,0.0
32,1998-08-05,0.2992705018,0.3320038714,0.296932618,0.3097919822,8592000,0.0,0.0
33,1998-08-06,0.3027783875,0.3062852278,0.2992706107,0.3004395664,211200,0.0,0.0
34,1998-08-07,0.314467687,0.3273270474,0.3121298038,0.3179754615,3302400,0.0,0.0
35,1998-08-10,0.3390175835,0.3390175835,0.3156376483,0.3191444874,2184000,0.0,0.0
36,1998-08-11,0.3249892637,0.3249892637,0.2899189193,0.3156376481,2265600,0.0,0.0
37,1998-08-12,0.3226514544,0.3320039826,0.3179756585,0.3203135431,1320000,0.0,0.0
