idx,date,open,high,low,close,volume,dividends,stock_splits
1,2020-12-09,182.0,195.5,163.8000030518,189.5099945068,25373700,0.0,0.0
2,2020-12-10,179.7100067139,187.6950073242,172.6360015869,186.0,9307600,0.0,0.0
3,2020-12-11,176.5200042725,182.0,168.25,175.0,4760600,0.0,0.0
4,2020-12-14,169.1000061035,170.0,151.1999969482,160.0,7859600,0.0,0.0
5,2020-12-15,157.1000061035,161.4199981689,153.7599945068,158.8899993896,5017000,0.0,0.0
6,2020-12-16,161.1799926758,167.4700012207,157.1999969482,158.0500030518,3061300,0.0,0.0
7,2020-12-17,159.1000061035,161.6600036621,149.9499969482,154.2100067139,6369800,0.0,0.0
8,2020-12-18,154.2100067139,169.9499969482,147.3200073242,166.3500061035,8157800,0.0,0.0
9,2020-12-21,169.0700073242,173.4600067139,155.0,160.2299957275,3884200,0.0,0.0
10,2020-12-22,161.0500030518,163.2100067139,153.4219970703,156.7899932861,2386700,0.0,0.0
11,2020-12-23,155.0,161.5599975586,150.25,158.2200012207,1759900,0.0,0.0
12,2020-12-24,157.3800048828,158.6000061035,153.0700073242,158.4600067139,673000,0.0,0.0
13,2020-12-28,158.25,158.4499969482,141.5050048828,147.8899993896,3807700,0.0,0.0
14,2020-12-29,146.1199951172,147.3999938965,139.6399993896,141.2700042725,3849500,0.0,0.0
15,2020-12-30,144.3999938965,147.9799957275,139.8000030518,140.1999969482,3121100,0.0,0.0
16,2020-12-31,140.1999969482,146.5,135.3800048828,142.75,2637300,0.0,0.0
17,2021-01-04,142.5,143.6199951172,137.1699981689,139.1900024414,2026400,0.0,0.0
18,2021-01-05,138.0,146.1199951172,137.8350067139,144.4299926758,1031800,0.0,0.0
19,2021-01-06,141.2700042725,142.0,138.2100067139,140.0099945068,1931400,0.0,0.0
20,2021-01-07,140.0,154.6399993896,139.4349975586,152.7700042725,3215200,0.0,0.0
21,2021-01-08,152.0,158.3099975586,147.3000030518,156.0899963379,2548700,0.0,0.0
22,2021-01-11,153.1900024414,169.0,153.1900024414,167.0,2541300,0.0,0.0
23,2021-01-12,165.5,201.9299926758,162.6150054932,191.9900054932,7081800,0.0,0.0
24,2021-01-13,192.4100036621,215.5,188.0700073242,198.0,6058800,0.0,0.0
25,2021-01-14,196.6199951172,221.3999938965,195.3300018311,207.2400054932,4512000,0.0,0.0
26,2021-01-15,207.0,212.0899963379,186.9499969482,187.1499938965,3351100,0.0,0.0
27,2021-01-19,191.1900024414,202.3000030518,185.5399932861,198.75,3486200,0.0,0.0
28,2021-01-20,200.0,203.8200073242,189.0399932861,189.4600067139,2066400,0.0,0.0
29,2021-01-21,191.6100006104,195.4739990234,183.1929931641,190.8899993896,2339400,0.0,0.0
30,2021-01-22,190.1999969482,197.0700073242,187.1100006104,192.0,1679500,0.0,0.0
31,2021-01-25,194.3300018311,215.3899993896,191.3099975586,191.8099975586,3430400,0.0,0.0
32,2021-01-26,198.0,204.3800048828,196.4100036621,198.2200012207,2363000,0.0,0.0
33,2021-01-27,200.0,256.0899963379,190.3999938965,193.0700073242,5918300,0.0,0.0
34,2021-01-28,198.9900054932,201.5,183.4799957275,183.8000030518,1693000,0.0,0.0
35,2021-01-29,189.3999938965,194.9900054932,183.4799957275,193.2700042725,1851500,0.0,0.0
36,2021-02-02,191.9499969482,197.6000061035,181.6300048828,182.5299987793,1338900,0.0,0.0
37,2021-02-03,184.6600036621,186.6600036621,178.3260040283,180.5800018311,1326100,0.0,0.0
38,2021-02-04,181.3800048828,191.8769989014,180.6499938965,189.3300018311,1142100,0.0,0.0
39,2021-02-05,189.5700073242,190.9160003662,180.2449951172,181.2299957275,1521400,0.0,0.0
40,2021-02-08,183.4499969482,185.4900054932,174.2100067139,177.4299926758,1998000,0.0,0.0
41,2021-02-09,177.7100067139,192.2799987793,177.6000061035,187.75,2137000,0.0,0.0
42,2021-02-10,190.6600036621,215.6799926758,190.0,215.1600036621,3996900,0.0,0.0
43,2021-02-11,208.5,222.0,208.5,213.2599945068,1949000,0.0,0.0
44,2021-02-12,213.0299987793,213.5399932861,202.5099945068,202.9700012207,1376300,0.0,0.0
45,2021-02-16,205.6000061035,226.4700012207,205.0,212.1699981689,2663400,0.0,0.0
46,2021-02-17,213.8200073242,213.8200073242,194.0899963379,197.8699951172,2013900,0.0,0.0
47,2021-02-18,194.3000030518,201.4100036621,188.9100036621,200.0599975586,1728200,0.0,0.0
48,2021-02-19,200.0700073242,209.1600036621,199.2299957275,205.9700012207,1879200,0.0,0.0
49,2021-02-22,198.0,201.9900054932,176.3600006104,178.0700073242,3149200,0.0,0.0
50,2021-02-23,175.9600067139,185.4600067139,165.5500030518,173.5,3005400,0.0,0.0
51,2021-02-24,174.3600006104,180.5500030518,173.5200042725,176.3200073242,1984000,0.0,0.0
52,2021-02-25,174.4100036621,182.5549926758,163.7299957275,166.8699951172,4005800,0.0,0.0
53,2021-02-26,155.5,172.9700012207,155.0200042725,169.4900054932,7579900,0.0,0.0
54,2021-03-02,168.0,170.8000030518,155.2200012207,160.5899963379,5311700,0.0,0.0
55,2021-03-03,156.6900024414,161.3399963379,144.5599975586,148.25,4070500,0.0,0.0
56,2021-03-04,147.3200073242,152.4700012207,138.8200073242,150.0,4366800,0.0,0.0
57,2021-03-05,150.5,160.0,138.4499969482,151.4799957275,6175800,0.0,0.0
58,2021-03-08,146.4100036621,150.3999938965,130.0299987793,133.4100036621,6886100,0.0,0.0
59,2021-03-09,132.9100036621,147.2129974365,130.0,141.4799957275,20400000,0.0,0.0
60,2021-03-10,143.1399993896,147.7350006104,134.0399932861,135.7700042725,5398500,0.0,0.0
61,2021-03-11,140.0,147.7299957275,139.5599975586,144.9700012207,3612400,0.0,0.0
62,2021-03-12,139.4799957275,145.4600067139,136.5500030518,142.0299987793,3255200,0.0,0.0
63,2021-03-15,143.7799987793,144.0399932861,138.0299987793,140.6900024414,2107900,0.0,0.0
64,2021-03-16,140.7899932861,141.9900054932,133.0899963379,133.6600036621,2477500,0.0,0.0
65,2021-03-17,133.0,136.2449951172,127.6999969482,133.8000030518,3286900,0.0,0.0
