idx,date,open,high,low,close,volume,dividends,stock_splits
1,2019-09-19,40.3499984741,41.4399986267,36.0299987793,37.5499992371,22025800,0.0,0.0
2,2019-09-20,38.5900001526,39.2000007629,36.1500015259,36.1500015259,3322600,0.0,0.0
3,2019-09-23,36.5800018311,38.1500015259,35.75,36.1100006104,2237300,0.0,0.0
4,2019-09-24,36.0099983215,37.1199989319,34.0600013733,34.5,3175000,0.0,0.0
5,2019-09-25,34.5999984741,35.5999984741,34.2000007629,35.25,3026600,0.0,0.0
6,2019-09-26,36.0,36.2900009155,32.2999992371,32.4399986267,2658200,0.0,0.0
7,2019-09-27,33.0,33.5099983215,30.4699993134,32.2700004578,2475900,0.0,0.0
8,2019-09-30,32.6399993896,34.2000007629,32.0,33.9099998474,1385000,0.0,0.0
9,2019-10-02,31.6499996185,31.8999996185,30.0100002289,31.1000003815,1877200,0.0,0.0
10,2019-10-03,31.1800003052,34.7999992371,30.5,32.8899993896,2437800,0.0,0.0
11,2019-10-04,33.0499992371,35.0800018311,32.7989997864,34.7200012207,918700,0.0,0.0
12,2019-10-07,34.9000015259,37.9700012207,34.4000015259,36.8100013733,1983800,0.0,0.0
13,2019-10-08,36.5,36.7000007629,34.9199981689,35.4500007629,1217000,0.0,0.0
14,2019-10-09,35.8499984741,37.4900016785,35.6100006104,36.75,1166800,0.0,0.0
15,2019-10-10,36.75,37.3499984741,35.1500015259,35.5999984741,1348600,0.0,0.0
16,2019-10-11,35.9300003052,36.4799995422,35.3699989319,35.6699981689,2168600,0.0,0.0
17,2019-10-14,35.6500015259,36.25,32.9500007629,33.0900001526,2194800,0.0,0.0
18,2019-10-15,33.1699981689,34.8499984741,32.5099983215,34.7999992371,1473000,0.0,0.0
19,2019-10-16,33.5600013733,33.7700004578,31.8999996185,32.2000007629,1987700,0.0,0.0
20,2019-10-17,32.2999992371,34.1599998474,32.2999992371,33.9599990845,1488800,0.0,0.0
21,2019-10-18,33.8400001526,33.875,31.4599990845,31.5699996948,1305000,0.0,0.0
22,2019-10-21,31.8999996185,32.0999984741,29.7000007629,30.0100002289,1981500,0.0,0.0
23,2019-10-22,30.0499992371,30.3099994659,28.0100002289,28.0400009155,1964400,0.0,0.0
24,2019-10-23,27.8999996185,29.25,27.5499992371,28.7600002289,2779600,0.0,0.0
25,2019-10-24,29.1599998474,33.4599990845,29.1499996185,32.5,3813400,0.0,0.0
26,2019-10-25,32.8600006104,34.5,32.4000015259,34.2999992371,2117700,0.0,0.0
27,2019-10-28,35.0,35.4370002747,33.1100006104,33.2799987793,1906100,0.0,0.0
28,2019-10-29,33.1899986267,34.0800018311,32.5999984741,33.6500015259,716700,0.0,0.0
29,2019-10-30,33.7900009155,34.8699989319,33.3800010681,34.8100013733,919700,0.0,0.0
30,2019-10-31,34.8199996948,34.9900016785,33.1199989319,33.5900001526,965200,0.0,0.0
31,2019-11-04,34.5299987793,34.8699989319,33.3600006104,34.4399986267,865500,0.0,0.0
32,2019-11-05,34.5,35.25,33.2099990845,34.9099998474,1021100,0.0,0.0
33,2019-11-06,34.5600013733,34.7599983215,32.8899993896,33.0600013733,1257800,0.0,0.0
34,2019-11-07,33.2999992371,33.7400016785,31.0,31.2900009155,1016600,0.0,0.0
35,2019-11-08,31.1100006104,32.8300018311,30.2600002289,32.8100013733,931700,0.0,0.0
36,2019-11-11,32.7599983215,34.0,32.3600006104,33.5499992371,1665000,0.0,0.0
37,2019-11-12,33.8100013733,35.2000007629,33.7999992371,34.4000015259,3258700,0.0,0.0
38,2019-11-13,38.8199996948,41.9199981689,38.25,40.1899986267,10597600,0.0,0.0
39,2019-11-14,40.1800003052,41.7200012207,39.3800010681,41.3699989319,2564300,0.0,0.0
40,2019-11-15,41.75,42.9599990845,40.4300003052,40.6300010681,2117200,0.0,0.0
41,2019-11-18,40.7200012207,41.4799995422,39.75,40.3199996948,1151500,0.0,0.0
42,2019-11-19,40.4500007629,40.8800010681,37.5299987793,39.1500015259,1890800,0.0,0.0
43,2019-11-20,38.8300018311,39.9379997253,37.5999984741,38.4000015259,1158000,0.0,0.0
44,2019-11-21,38.2400016785,40.1699981689,38.1800003052,40.0299987793,1410300,0.0,0.0
45,2019-11-22,41.3499984741,42.7000007629,39.7099990845,41.0400009155,2671100,0.0,0.0
46,2019-11-25,41.5,44.0900001526,41.466999054,42.8100013733,2295000,0.0,0.0
47,2019-11-26,43.0999984741,43.7000007629,39.8100013733,40.5499992371,1779400,0.0,0.0
48,2019-11-27,40.7999992371,42.2000007629,39.7200012207,41.8600006104,1278500,0.0,0.0
49,2019-11-29,41.8199996948,42.2000007629,40.5600013733,40.7700004578,574800,0.0,0.0
50,2019-12-02,41.1100006104,41.3199996948,37.8400001526,39.5999984741,2047900,0.0,0.0
51,2019-12-03,37.5800018311,38.7220001221,37.5,37.7700004578,2118900,0.0,0.0
52,2019-12-04,38.0,38.25,36.0900001526,36.9199981689,1662400,0.0,0.0
53,2019-12-05,36.8300018311,36.8300018311,35.8100013733,35.8600006104,2028400,0.0,0.0
54,2019-12-06,35.9300003052,36.3300018311,35.5999984741,35.9099998474,2864400,0.0,0.0
55,2019-12-09,34.6300010681,36.0400009155,34.0999984741,35.1599998474,3169400,0.0,0.0
56,2019-12-10,34.3300018311,36.25,34.2599983215,34.8100013733,5370700,0.0,0.0
57,2019-12-11,34.8100013733,35.6800003052,33.0600013733,35.5499992371,3372400,0.0,0.0
58,2019-12-12,35.4500007629,36.6100006104,35.1399993896,35.7299995422,2062800,0.0,0.0
59,2019-12-13,36.2000007629,39.1300010681,36.0099983215,38.7900009155,4404000,0.0,0.0
60,2019-12-16,38.9099998474,39.0200004578,37.1300010681,38.7900009155,2943600,0.0,0.0
61,2019-12-17,37.8600006104,38.2400016785,36.0200004578,37.1800003052,5174100,0.0,0.0
62,2019-12-18,37.6599998474,38.75,36.8100013733,38.2099990845,3146200,0.0,0.0
63,2019-12-19,37.5099983215,38.4399986267,37.5,38.0999984741,1524500,0.0,0.0
64,2019-12-20,37.7099990845,38.8699989319,37.5999984741,38.5099983215,3420600,0.0,0.0
65,2019-12-23,38.8499984741,39.6399993896,37.4099998474,37.7999992371,2284100,0.0,0.0
66,2019-12-24,37.7200012207,37.797000885,36.6199989319,37.0900001526,783600,0.0,0.0
67,2019-12-26,37.2999992371,38.2000007629,37.0,37.9599990845,1378000,0.0,0.0
68,2019-12-27,37.9000015259,37.9519996643,35.611000061,36.1100006104,3473000,0.0,0.0
69,2019-12-30,36.7200012207,37.2000007629,35.4000015259,37.1300010681,1611100,0.0,0.0
70,2019-12-31,36.9000015259,37.9500007629,36.7700004578,37.7799987793,1460200,0.0,0.0
71,2020-01-02,38.2200012207,38.25,36.5999984741,36.7000007629,1784200,0.0,0.0
72,2020-01-03,36.1100006104,37.6990013123,35.9580001831,37.4199981689,1573200,0.0,0.0
73,2020-01-06,37.5099983215,40.0699996948,37.3800010681,39.9000015259,5563200,0.0,0.0
74,2020-01-07,39.9500007629,41.5400009155,39.2000007629,40.0600013733,4065600,0.0,0.0
