idx,date,open,high,low,close,volume,dividends,stock_splits
1,2005-04-14,3.0199999809,3.0499999523,2.7025001049,2.9349999428,7594000,0.0,0.0
2,2005-04-15,2.9124999046,2.9249999523,2.5574998856,2.5625,1129200,0.0,0.0
3,2005-04-18,2.625,2.7049999237,2.5999999046,2.625,213600,0.0,0.0
4,2005-04-19,2.75,2.75,2.6400001049,2.6449999809,549600,0.0,0.0
5,2005-04-20,2.6375000477,2.6749999523,2.625,2.6500000954,34400,0.0,0.0
6,2005-04-21,2.6500000954,2.6575000286,2.625,2.625,136000,0.0,0.0
7,2005-04-22,2.6900000572,2.7425000668,2.625,2.6300001144,92400,0.0,0.0
8,2005-04-25,2.6649999619,2.6875,2.6275000572,2.6375000477,277200,0.0,0.0
9,2005-04-26,2.6275000572,2.6624999046,2.625,2.625,132800,0.0,0.0
10,2005-04-27,2.625,2.6349999905,2.4024999142,2.4474999905,272000,0.0,0.0
11,2005-04-28,2.4175000191,2.5399999619,2.4175000191,2.4749999046,150400,0.0,0.0
12,2005-04-29,2.5,2.5750000477,2.5,2.5,81600,0.0,0.0
13,2005-05-02,2.4700000286,2.5250000954,2.4674999714,2.4774999619,62800,0.0,0.0
14,2005-05-03,2.4949998856,2.5250000954,2.4749999046,2.5,85600,0.0,0.0
15,2005-05-04,2.5,2.5250000954,2.4749999046,2.5250000954,63200,0.0,0.0
16,2005-05-05,2.5025000572,2.5225000381,2.4749999046,2.4749999046,60800,0.0,0.0
17,2005-05-06,2.4749999046,2.5,2.4749999046,2.5,72400,0.0,0.0
18,2005-05-09,2.5225000381,2.5250000954,2.4749999046,2.4749999046,172400,0.0,0.0
19,2005-05-10,2.6175000668,2.9375,2.5250000954,2.8475000858,517200,0.0,0.0
20,2005-05-11,2.8524999619,2.9375,2.8250000477,2.8675000668,258800,0.0,0.0
21,2005-05-12,2.875,2.9249999523,2.7374999523,2.8275001049,225600,0.0,0.0
22,2005-05-13,2.8975000381,2.9149999619,2.8399999142,2.9075000286,116400,0.0,0.0
23,2005-05-16,2.9000000954,3.2249999046,2.8775000572,3.1424999237,1212400,0.0,0.0
24,2005-05-17,3.1849999428,3.6849999428,3.1075000763,3.4874999523,790800,0.0,0.0
25,2005-05-18,3.5574998856,3.5750000477,3.4124999046,3.4974999428,942800,0.0,0.0
26,2005-05-19,3.5,3.5074999332,3.4825000763,3.4974999428,125600,0.0,0.0
27,2005-05-20,3.5,3.5099999905,3.4474999905,3.4700000286,164800,0.0,0.0
28,2005-05-23,3.5,3.5050001144,3.3424999714,3.5,396800,0.0,0.0
29,2005-05-24,3.5074999332,3.5499999523,3.4749999046,3.5,340000,0.0,0.0
30,2005-05-25,3.4625000954,3.5374999046,3.375,3.5125000477,225600,0.0,0.0
31,2005-05-26,3.4874999523,3.6500000954,3.4874999523,3.5025000572,228000,0.0,0.0
32,2005-05-27,3.5550000668,3.5625,3.5,3.5499999523,70800,0.0,0.0
33,2005-05-31,3.5799999237,3.5799999237,3.4224998951,3.5,3312000,0.0,0.0
34,2005-06-02,3.4600000381,3.4600000381,3.375,3.3900001049,205600,0.0,0.0
35,2005-06-03,3.3849999905,3.4525001049,3.375,3.4349999428,104000,0.0,0.0
36,2005-06-06,3.4600000381,3.5,3.4375,3.5,158000,0.0,0.0
37,2005-06-07,3.5125000477,3.6475000381,3.5050001144,3.6475000381,174000,0.0,0.0
38,2005-06-08,3.6449999809,3.7699999809,3.6449999809,3.7249999046,304000,0.0,0.0
39,2005-06-09,3.7249999046,3.8224999905,3.6150000095,3.7225000858,408000,0.0,0.0
40,2005-06-10,3.7400000095,3.8949999809,3.6624999046,3.7699999809,126000,0.0,0.0
41,2005-06-13,3.8975000381,3.9974999428,3.7999999523,3.8499999046,198400,0.0,0.0
42,2005-06-14,3.9749999046,3.9749999046,3.7374999523,3.7699999809,216000,0.0,0.0
43,2005-06-15,3.7300000191,3.875,3.7300000191,3.8475000858,126800,0.0,0.0
44,2005-06-16,3.8499999046,3.875,3.7674999237,3.8125,129200,0.0,0.0
45,2005-06-17,3.875,3.875,3.75,3.7999999523,154000,0.0,0.0
46,2005-06-20,3.8250000477,3.8250000477,3.7249999046,3.7525000572,132000,0.0,0.0
47,2005-06-21,3.7374999523,3.75,3.5025000572,3.6099998951,190000,0.0,0.0
48,2005-06-22,3.5625,3.5650000572,3.3074998856,3.3824999332,174000,0.0,0.0
49,2005-06-23,3.3199999332,3.3624999523,3.125,3.1824998856,88000,0.0,0.0
50,2005-06-24,3.1199998856,3.2449998856,3.0,3.0,867600,0.0,0.0
51,2005-06-27,3.0399999619,3.0499999523,2.8775000572,2.9874999523,134000,0.0,0.0
52,2005-06-28,3.0625,3.1300001144,2.9874999523,3.125,69600,0.0,0.0
53,2005-06-29,3.1624999046,3.1624999046,3.0625,3.0924999714,234800,0.0,0.0
54,2005-06-30,3.0824999809,3.125,3.0599999428,3.0999999046,100400,0.0,0.0
55,2005-07-05,3.125,3.1324999332,3.0750000477,3.1300001144,42800,0.0,0.0
56,2005-07-06,3.1375000477,3.1375000477,2.9774999619,3.0450000763,341200,0.0,0.0
57,2005-07-07,3.0125000477,3.0125000477,2.9474999905,2.9474999905,44800,0.0,0.0
58,2005-07-08,2.9349999428,3.0099999905,2.8875000477,3.0099999905,103200,0.0,0.0
59,2005-07-11,3.0,3.125,2.9375,3.0875000954,168800,0.0,0.0
60,2005-07-12,3.0499999523,3.0750000477,2.9375,2.9949998856,55600,0.0,0.0
