idx,date,open,high,low,close,volume,dividends,stock_splits
1,2012-10-12,14.1712118872,14.5370239879,13.9167346954,13.9167346954,6467100,0.0,0.0
2,2012-10-15,13.9564953257,14.1791636132,13.9167338358,14.1155443192,633100,0.0,0.0
3,2012-10-16,13.9724027629,14.2745955954,13.7179255462,14.147356987,180300,0.0,0.0
4,2012-10-17,14.0757808685,14.3700194935,13.9167318973,14.0757808685,121000,0.0,0.0
5,2012-10-18,13.9962563829,14.2109720391,13.9326370978,14.0757808685,146100,0.0,0.0
6,2012-10-19,14.0916898863,14.1553091956,13.8451652527,13.8451652527,298100,0.0,0.0
7,2012-10-22,13.9167347996,13.9246874015,13.4634471088,13.542971611,359800,0.0,0.0
8,2012-10-23,13.3998307241,13.7576887867,13.3203062046,13.6224975586,166100,0.0,0.0
9,2012-10-24,13.455496625,13.8928791809,13.455496625,13.8292598724,158200,0.0,0.0
10,2012-10-25,14.2984505901,14.2984505901,12.9226823139,13.542971611,206900,0.0,0.0
11,2012-10-26,13.9246905177,13.9246905177,13.2010202675,13.6304502487,199500,0.0,0.0
12,2012-10-31,13.121492811,13.542971611,13.121492811,13.542971611,36400,0.0,0.0
13,2012-11-02,13.5111628451,13.7020207636,13.1692085058,13.519115448,72100,0.0,0.0
14,2012-11-05,13.3521139729,13.5191140656,13.1214930637,13.2884931564,33300,0.0,0.0
15,2012-11-06,13.1373996959,13.9008313745,12.7954453544,13.5270681381,370600,0.0,0.0
16,2012-11-07,13.3203003756,13.8372072509,13.3203003756,13.566824913,155800,0.0,0.0
17,2012-11-08,12.954494241,13.7338311172,12.954494241,13.3203048706,141600,0.0,0.0
18,2012-11-09,12.9863012427,13.4713993273,12.9863012427,13.1612539291,209600,0.0,0.0
19,2012-11-12,13.0896819793,13.1612538773,13.0101589965,13.1214923859,12800,0.0,0.0
20,2012-11-13,13.1373977751,13.3282556668,12.7000145377,12.7556819916,47600,0.0,0.0
21,2012-11-14,12.7000151859,13.0976354348,12.4455372255,12.763633728,123400,0.0,0.0
22,2012-11-15,13.0260617817,13.7258755099,12.4932504012,13.2805404663,367000,0.0,0.0
23,2012-11-16,13.4475417865,14.0678310781,12.9385874037,13.3759698868,104600,0.0,0.0
24,2012-11-19,13.3998272689,13.7179237481,13.1214922808,13.6145429611,77200,0.0,0.0
25,2012-11-20,13.630449208,13.7497367373,13.3839245799,13.6224966049,251400,0.0,0.0
26,2012-11-21,13.6145432774,13.900829357,13.3998275802,13.6781625748,33100,0.0,0.0
27,2012-11-23,13.7179252947,13.9564973018,13.5668288812,13.7735919952,94000,0.0,0.0
28,2012-11-26,13.7576847429,13.8531144416,13.5668268622,13.7258758545,77400,0.0,0.0
29,2012-11-27,13.574782034,13.7815451563,13.4634486284,13.7020206451,55800,0.0,0.0
30,2012-11-28,13.8769721556,13.9087810438,13.5032074812,13.7179231644,94000,0.0,0.0
31,2012-11-29,13.8849241354,14.5926905236,13.678162557,14.4415941238,164400,0.0,0.0
32,2012-11-30,14.6642588433,14.6960677258,14.1314467902,14.3143520355,44200,0.0,0.0
33,2012-12-03,14.3223070432,14.7119753988,13.8292563895,14.3938789368,47600,0.0,0.0
34,2012-12-04,14.4972584599,14.4972584599,13.8451603901,14.1791620255,30100,0.0,0.0
35,2012-12-05,13.9803539806,14.3938801752,13.9803539806,14.29845047,33000,0.0,0.0
36,2012-12-06,14.1234965446,14.1394017469,13.7735896785,14.0121631622,41900,0.0,0.0
37,2012-12-07,14.0598776265,14.1950688159,13.9962583325,14.1155443192,42500,0.0,0.0
38,2012-12-10,14.2268773258,14.2507351292,13.805400083,14.0121631622,72300,0.0,0.0
39,2012-12-11,13.8451631462,14.18711745,13.6781630537,13.9485454559,72200,0.0,0.0
40,2012-12-12,13.8928754514,14.1394015326,13.8928754514,14.0280666351,58000,0.0,0.0
41,2012-12-13,13.845161375,14.2984490159,13.7497331963,14.2189245224,135900,0.0,0.0
42,2012-12-14,13.861069171,14.0360218759,13.7179253594,13.9724025726,44700,0.0,0.0
43,2012-12-17,14.0439732785,14.7119766646,13.9167346827,14.29845047,107600,0.0,0.0
44,2012-12-18,14.2586903385,15.3084096121,14.0757850292,14.9505500793,142600,0.0,0.0
45,2012-12-19,14.9505508736,15.817364884,14.4177386059,15.252743721,192600,0.0,0.0
46,2012-12-20,15.069833991,15.125500679,14.6642604567,15.125500679,200500,0.0,0.0
47,2012-12-21,14.8074057557,15.2527408224,14.059877899,15.0936918259,1936500,0.0,0.0
48,2012-12-24,15.1493580115,15.4674559938,14.3223072011,14.8233089447,159000,0.0,0.0
49,2012-12-26,14.910789966,15.1096004989,14.5290741069,14.8312654495,81300,0.0,0.0
50,2012-12-27,14.7676431001,15.4992657712,14.6244993032,14.7437868118,162100,0.0,0.0
51,2012-12-28,14.6404063734,15.0459800108,14.5608818631,14.9346466064,66400,0.0,0.0
52,2012-12-31,14.9028357081,15.2845515248,14.7676445001,15.2050285339,125600,0.0,0.0
53,2013-01-02,15.4754077781,15.8412198676,14.7915007255,15.3004550934,189700,0.0,0.0
54,2013-01-03,15.3004555547,15.4754082448,14.8312626639,15.2209310532,89100,0.0,0.0
55,2013-01-04,15.3084044205,16.2945040557,15.0857361738,15.9445972443,173300,0.0,0.0
56,2013-01-07,15.8173600821,16.8909368946,15.6185496175,16.5171737671,210300,0.0,0.0
57,2013-01-08,16.4535546929,16.7796037378,16.2070286214,16.3819828033,229400,0.0,0.0
58,2013-01-09,16.4694566317,16.6762196777,16.2229321032,16.2785987854,171800,0.0,0.0
59,2013-01-10,16.3342735463,17.4873736872,16.1752245188,17.2010860443,235200,0.0,0.0
60,2013-01-11,17.1772281979,17.3203720064,16.3422231541,17.2328948975,166300,0.0,0.0
61,2013-01-14,17.2408431158,17.8690833727,17.2408431158,17.336271286,130400,0.0,0.0
