idx,date,open,high,low,close,volume,dividends,stock_splits
1,1987-08-20,0.0,0.039980833,0.0387814827,0.0387814827,66969600,0.0,0.0
2,1987-08-21,0.0,0.03918128,0.0383817144,0.0383817144,17932800,0.0,0.0
3,1987-08-24,0.0,0.039581048,0.0387814827,0.0387814827,8889600,0.0,0.0
4,1987-08-25,0.0,0.0419797692,0.0407804139,0.0407804139,20774400,0.0,0.0
5,1987-08-26,0.0,0.0423795402,0.0411801897,0.0411801897,25593600,0.0,0.0
6,1987-08-27,0.0,0.0423795308,0.0415799655,0.0415799655,2630400,0.0,0.0
7,1987-08-28,0.0,0.0431797137,0.0415799655,0.0415799655,7180800,0.0,0.0
8,1987-08-31,0.0,0.0427793157,0.0415799655,0.0415799655,4435200,0.0,0.0
9,1987-09-02,0.0,0.0419797584,0.039581053,0.039581053,7372800,0.0,0.0
10,1987-09-03,0.0,0.0411801884,0.039581053,0.039581053,2246400,0.0,0.0
11,1987-09-04,0.0,0.0407803953,0.0395810451,0.0407803953,1094400,0.0,0.0
12,1987-09-08,0.0,0.0407804034,0.039581053,0.039581053,1363200,0.0,0.0
13,1987-09-09,0.0,0.0407803953,0.0395810451,0.0407803953,518400,0.0,0.0
14,1987-09-10,0.0,0.0407803953,0.0395810451,0.0407803953,614400,0.0,0.0
15,1987-09-11,0.0,0.0407803953,0.0395810451,0.0407803953,5529600,0.0,0.0
16,1987-09-14,0.0,0.0415799813,0.0399808456,0.0403806306,883200,0.0,0.0
17,1987-09-15,0.0,0.0463779817,0.0403806133,0.0455784164,10425600,0.0,0.0
18,1987-09-16,0.0,0.0479771167,0.0455784164,0.0455784164,21369600,0.0,0.0
19,1987-09-17,0.0,0.0475773541,0.0451786527,0.0459782183,6892800,0.0,0.0
20,1987-09-18,0.0,0.0467777666,0.0455784164,0.0455784164,3110400,0.0,0.0
21,1987-09-21,0.0,0.0471775511,0.0459781964,0.0467777662,6700800,0.0,0.0
22,1987-09-22,0.0,0.047177542,0.0455784073,0.047177542,6336000,0.0,0.0
