idx,date,open,high,low,close,volume,dividends,stock_splits
1,2009-11-18,1.7000000477,1.75,1.6330000162,1.6619999409,136704000,0.0,0.0
2,2009-11-19,1.6569999456,1.7120000124,1.6059999466,1.6890000105,22173000,0.0,0.0
3,2009-11-20,1.6879999638,1.69599998,1.6059999466,1.6940000057,11390000,0.0,0.0
4,2009-11-23,1.7059999704,1.7170000076,1.6599999666,1.6900000572,11858000,0.0,0.0
5,2009-11-24,1.6799999475,1.7050000429,1.6729999781,1.7009999752,4677000,0.0,0.0
6,2009-11-25,1.7150000334,1.7280000448,1.6950000525,1.7200000286,4280000,0.0,0.0
7,2009-11-27,1.6770000458,1.7680000067,1.6699999571,1.6890000105,1740000,0.0,0.0
8,2009-11-30,1.7050000429,1.7319999933,1.6809999943,1.699000001,4338000,0.0,0.0
9,2009-12-02,1.6900000572,1.6900000572,1.6150000095,1.6619999409,9602000,0.0,0.0
10,2009-12-03,1.6619999409,1.6859999895,1.6519999504,1.6679999828,5699000,0.0,0.0
11,2009-12-04,1.6849999428,1.7300000191,1.6360000372,1.7280000448,8127000,0.0,0.0
12,2009-12-07,1.7120000124,1.7610000372,1.6840000153,1.6920000315,5232000,0.0,0.0
13,2009-12-08,1.6950000525,1.6950000525,1.6449999809,1.6549999714,2080000,0.0,0.0
14,2009-12-09,1.6499999762,1.7250000238,1.6499999762,1.699000001,4055000,0.0,0.0
15,2009-12-10,1.7180000544,1.7180000544,1.6770000458,1.6920000315,763000,0.0,0.0
16,2009-12-11,1.6829999685,1.6970000267,1.6660000086,1.6940000057,1312000,0.0,0.0
17,2009-12-14,1.6900000572,1.7209999561,1.6809999943,1.7000000477,787000,0.0,0.0
18,2009-12-15,1.7100000381,1.7239999771,1.6849999428,1.7000000477,2445000,0.0,0.0
19,2009-12-16,1.7000000477,1.8339999914,1.7000000477,1.8250000477,7823000,0.0,0.0
20,2009-12-17,1.8300000429,1.8459999561,1.7810000181,1.7949999571,6717000,0.0,0.0
21,2009-12-18,1.817999959,1.8370000124,1.7549999952,1.7580000162,19493000,0.0,0.0
22,2009-12-21,1.7649999857,1.7960000038,1.7200000286,1.7630000114,3028000,0.0,0.0
23,2009-12-22,1.7710000277,1.7769999504,1.7109999657,1.7230000496,2614000,0.0,0.0
24,2009-12-23,1.7300000191,1.8170000315,1.7209999561,1.7960000038,4023000,0.0,0.0
25,2009-12-24,1.7990000248,1.8550000191,1.7910000086,1.8359999657,2376000,0.0,0.0
26,2009-12-28,1.8669999838,1.878000021,1.75,1.7730000019,5537000,0.0,0.0
27,2009-12-29,1.7730000019,1.8400000334,1.7730000019,1.8350000381,3317000,0.0,0.0
28,2009-12-30,1.8300000429,1.8329999447,1.7899999619,1.8020000458,1173000,0.0,0.0
29,2009-12-31,1.8059999943,1.824000001,1.753000021,1.7569999695,1518000,0.0,0.0
30,2010-01-04,1.7879999876,1.8200000525,1.7630000114,1.7999999523,3580000,0.0,0.0
31,2010-01-05,1.8029999733,1.8600000143,1.7999999523,1.8389999866,4114000,0.0,0.0
32,2010-01-06,1.8880000114,1.9850000143,1.8799999952,1.9409999847,9367000,0.0,0.0
33,2010-01-07,1.9529999495,1.9609999657,1.8999999762,1.9450000525,1376000,0.0,0.0
34,2010-01-08,1.9550000429,2.0590000153,1.9220000505,2.010999918,4571000,0.0,0.0
35,2010-01-11,2.0250000954,2.0250000954,1.9689999819,2.0050001144,1879000,0.0,0.0
