idx,date,open,high,low,close,volume,dividends,stock_splits
1,2022-12-15,62.8073867798,62.8073867798,59.8165588379,59.8165588379,1318200,0.0,0.0
2,2022-12-16,59.8165597254,59.8165597254,54.8318464149,56.5665283203,2307500,0.0,0.0
3,2022-12-19,52.8379598297,58.8096479064,52.8379598297,56.3272590637,117200,0.0,0.0
4,2022-12-20,57.822677052,57.822677052,56.586466421,57.0350914001,22200,0.0,0.0
5,2022-12-21,58.8196183267,66.0773598456,55.3303189344,56.7858543396,290700,0.0,0.0
6,2022-12-22,58.2513649082,60.8324503754,56.8257364783,57.4239006042,3253200,0.0,0.0
7,2022-12-23,57.9123959644,60.4605810145,56.825728375,57.3241996765,125800,0.0,0.0
8,2022-12-27,57.8027352373,58.8096494583,57.1995853816,57.274356842,26500,0.0,0.0
9,2022-12-28,57.7528853001,57.822670978,56.825728375,57.3241996765,514800,0.0,0.0
10,2022-12-29,58.3211451234,58.6002878489,57.5734381347,57.8226737976,374800,0.0,0.0
11,2022-12-30,58.560415174,58.8196185995,57.5535009293,58.2015151978,351100,0.0,0.0
12,2023-01-03,60.4944765599,60.4944765599,55.6991813413,55.8287849426,1794100,0.0,0.0
13,2023-01-04,53.9645056073,60.5243861328,53.3364306858,60.3050613403,33338500,0.0,0.0
14,2023-01-05,60.454599694,62.7874455702,57.9622431512,58.8196144104,8850600,0.0,0.0
15,2023-01-06,59.4975392739,59.7567426966,57.6930716592,58.7697715759,5902600,0.0,0.0
16,2023-01-09,58.6102638261,59.796624302,57.5535031665,57.9223709106,5288900,0.0,0.0
17,2023-01-10,58.9691591089,59.8763767658,57.8775056931,59.8165588379,6663000,0.0,0.0
18,2023-01-11,60.2552169057,66.1770553207,59.8913349409,64.791305542,9219400,0.0,0.0
19,2023-01-12,65.8879370146,66.3166226644,63.4653698398,65.4492874146,5819800,0.0,0.0
20,2023-01-13,64.801272001,65.299743324,63.5451259401,65.2399291992,3772100,0.0,0.0
21,2023-01-17,63.7445149095,65.5290470594,63.0665935688,63.1363830566,3774600,0.0,0.0
22,2023-01-18,63.0067801558,63.3058622088,61.8004803871,61.8902053833,2610300,0.0,0.0
23,2023-01-19,61.1424972294,64.3028037429,61.1125863625,63.7445144653,2585600,0.0,0.0
24,2023-01-20,63.7644578487,67.6126575007,63.3457437161,66.565864563,4001600,0.0,0.0
25,2023-01-23,67.1440782352,69.6962562978,66.5738285044,69.3074417114,3724100,0.0,0.0
26,2023-01-24,68.818957591,70.4140644877,68.4999362116,69.3872146606,2591000,0.0,0.0
27,2023-01-25,68.2507032645,69.4869102084,66.7453175048,68.4999389648,2802100,0.0,0.0
