idx,date,open,high,low,close,volume,dividends,stock_splits
1,2021-10-28,47.0099983215,48.0,44.4799995422,46.4000015259,18618900,0.0,0.0
2,2021-10-29,46.0,49.4799995422,45.6100006104,48.7400016785,4639400,0.0,0.0
3,2021-11-02,57.5079994202,58.6150016785,55.0,56.4199981689,4122500,0.0,0.0
4,2021-11-03,57.0,59.3800010681,56.1699981689,59.0,2642300,0.0,0.0
5,2021-11-04,60.3499984741,65.7399978638,60.3499984741,62.6800003052,3985400,0.0,0.0
6,2021-11-05,65.0,66.0,56.1599998474,63.6300010681,4222100,0.0,0.0
7,2021-11-08,62.8100013733,62.9700012207,58.8170013428,59.3600006104,3012100,0.0,0.0
8,2021-11-09,58.9770011902,61.1160011292,56.8699989319,59.8300018311,1947200,0.0,0.0
9,2021-11-10,59.0,59.8100013733,56.9300003052,57.7200012207,1543700,0.0,0.0
10,2021-11-11,58.7299995422,59.6599998474,55.0499992371,56.1899986267,1762700,0.0,0.0
11,2021-11-12,55.6300010681,56.3499984741,53.25,55.9599990845,1703200,0.0,0.0
12,2021-11-15,55.6899986267,60.1199989319,53.8499984741,59.5999984741,1430500,0.0,0.0
13,2021-11-16,59.1300010681,62.7700004578,57.7000007629,61.6699981689,1136900,0.0,0.0
14,2021-11-17,61.9799995422,64.1650009155,61.5,62.7000007629,1432800,0.0,0.0
15,2021-11-18,67.3899993896,67.3899993896,63.5,64.2699966431,2831800,0.0,0.0
16,2021-11-19,66.0100021362,67.9000015259,61.7000007629,62.1100006104,2389400,0.0,0.0
17,2021-11-22,66.1399993896,68.1900024414,62.5999984741,63.9900016785,4244800,0.0,0.0
18,2021-11-23,64.0599975586,64.7799987793,61.611000061,63.7799987793,1562000,0.0,0.0
19,2021-11-24,63.8699989319,69.5739974976,62.3300018311,68.9700012207,1998400,0.0,0.0
20,2021-11-26,65.5699996948,69.3899993896,64.7509994507,67.2900009155,1454300,0.0,0.0
21,2021-11-29,68.9629974365,73.2529983521,68.7969970703,70.5400009155,3822400,0.0,0.0
22,2021-11-30,71.0,71.4599990845,64.2200012207,69.2399978638,3490800,0.0,0.0
23,2021-12-02,65.4499969482,67.1800003052,62.4399986267,65.8099975586,1914800,0.0,0.0
24,2021-12-03,65.3199996948,69.3899993896,63.5999984741,69.0299987793,1916500,0.0,0.0
25,2021-12-06,67.8099975586,67.9599990845,63.7949981689,64.9199981689,2775700,0.0,0.0
