idx,date,open,high,low,close,volume,dividends,stock_splits
1,1992-01-22,0.384984834,0.4854155714,0.384984834,0.451938659,168022400,0.0,0.0
2,1992-01-23,0.4686767798,0.5077335186,0.4519386639,0.4909947217,38368000,0.0,0.0
3,1992-01-24,0.4965745509,0.5188924929,0.4798357538,0.4965745509,12044800,0.0,0.0
4,1992-01-27,0.5188926418,0.5356307626,0.4965746934,0.5356307626,10716800,0.0,0.0
5,1992-01-28,0.5300514667,0.5412104377,0.5077335245,0.5244716406,19913600,0.0,0.0
6,1992-01-29,0.507733738,0.5244718612,0.4854157865,0.4854157865,13238400,0.0,0.0
7,1992-01-30,0.4909947438,0.4965745701,0.4351998866,0.4351998866,10848000,0.0,0.0
8,1992-01-31,0.44635895,0.4630977511,0.4351999762,0.4630977511,2496000,0.0,0.0
9,1992-02-03,0.4686768956,0.4686768956,0.4519387756,0.4575179219,2320000,0.0,0.0
10,1992-02-04,0.4630976075,0.4854155481,0.4630976075,0.4854155481,2499200,0.0,0.0
11,1992-02-05,0.4854155148,0.4854155148,0.4742565453,0.4742565453,1148800,0.0,0.0
12,1992-02-06,0.485415783,0.4909949303,0.4742568073,0.4909949303,5504000,0.0,0.0
13,1992-02-07,0.4798357477,0.4909947186,0.4630976319,0.4630976319,4560000,0.0,0.0
14,1992-02-10,0.4630977214,0.4798358405,0.4351999483,0.4407797754,14140800,0.0,0.0
15,1992-02-11,0.4407796751,0.4407796751,0.4017229378,0.4017229378,9868800,0.0,0.0
16,1992-02-12,0.407302767,0.407302767,0.3905639706,0.407302767,3942400,0.0,0.0
17,1992-02-13,0.4073028259,0.4073028259,0.3849848815,0.3961438537,3241600,0.0,0.0
18,1992-02-14,0.4017229791,0.4017229791,0.3794050358,0.3821946084,13753600,0.0,0.0
19,1992-02-18,0.3905639999,0.3905639999,0.3403489903,0.3515079618,3046400,0.0,0.0
20,1992-02-19,0.3403490397,0.3738259376,0.3403490397,0.3626669645,4284800,0.0,0.0
21,1992-02-20,0.4017229412,0.4296207082,0.3905639706,0.407302767,4784000,0.0,0.0
22,1992-02-21,0.4073028256,0.4240409434,0.3961438534,0.4240409434,1865600,0.0,0.0
23,1992-02-24,0.4240410048,0.4575179262,0.4184618584,0.4296208322,3129600,0.0,0.0
24,1992-02-25,0.4407797396,0.4407797396,0.3905640244,0.3905640244,3129600,0.0,0.0
25,1992-02-26,0.3849848789,0.4017229966,0.3849848789,0.3905640244,1657600,0.0,0.0
26,1992-02-27,0.4017229992,0.4017229992,0.3849848815,0.3961438537,204800,0.0,0.0
27,1992-02-28,0.390564027,0.4017229992,0.3849848815,0.3961438537,227200,0.0,0.0
28,1992-03-02,0.4017229306,0.4017229306,0.3570870494,0.3626668751,5177600,0.0,0.0
29,1992-03-03,0.3682461104,0.3849849105,0.3570871373,0.3849849105,531200,0.0,0.0
30,1992-03-04,0.3849848789,0.4017229966,0.3682460802,0.3905640244,464000,0.0,0.0
31,1992-03-05,0.3849849385,0.4017230588,0.3794051111,0.3794051111,454400,0.0,0.0
32,1992-03-06,0.3738259051,0.3905640226,0.3570871064,0.3682460785,1744000,0.0,0.0
33,1992-03-09,0.3682460802,0.3961438511,0.3570871081,0.3905640244,1078400,0.0,0.0
34,1992-03-10,0.3794050562,0.4351999174,0.3794050562,0.4184617996,1542400,0.0,0.0
35,1992-03-11,0.4296208026,0.4296208026,0.3961438835,0.3961438835,1020800,0.0,0.0
36,1992-03-12,0.3877744835,0.3877744835,0.3682461104,0.3849849105,5561600,0.0,0.0
37,1992-03-13,0.3738259647,0.3849849385,0.3738259647,0.3794051111,1744000,0.0,0.0
38,1992-03-16,0.3905639631,0.3905639631,0.3738258481,0.3738258481,835200,0.0,0.0
39,1992-03-17,0.3738258481,0.3905639631,0.3738258481,0.3738258481,396800,0.0,0.0
40,1992-03-18,0.3905639472,0.3905639472,0.3710355796,0.3766154051,630400,0.0,0.0
41,1992-03-19,0.4073028281,0.4296207726,0.3849848836,0.4296207726,3443200,0.0,0.0
42,1992-03-20,0.429620834,0.429620834,0.3766155379,0.3794051111,2876800,0.0,0.0
43,1992-03-23,0.3905640565,0.3905640565,0.3738259374,0.3849849105,608000,0.0,0.0
44,1992-03-24,0.4017230588,0.4128820326,0.3682461372,0.3794051111,2704000,0.0,0.0
45,1992-03-25,0.3849849385,0.3849849385,0.3626669908,0.3794051111,960000,0.0,0.0
46,1992-03-26,0.3794051111,0.3794051111,0.3626669908,0.3794051111,150400,0.0,0.0
47,1992-03-27,0.3626669102,0.3738258816,0.3236101699,0.3403489888,3897600,0.0,0.0
48,1992-03-30,0.3347691088,0.3626668751,0.3347691088,0.3626668751,3225600,0.0,0.0
49,1992-03-31,0.362666933,0.3961438492,0.3515079822,0.3682460785,9430400,0.0,0.0
50,1992-04-02,0.3459282239,0.3626670269,0.334769249,0.334769249,3200000,0.0,0.0
51,1992-04-03,0.3236101132,0.3403489292,0.3236101132,0.3403489292,6723200,0.0,0.0
52,1992-04-06,0.3403490377,0.3459281623,0.3291900647,0.3459281623,3872000,0.0,0.0
