idx,date,open,high,low,close,volume,dividends,stock_splits
1,2004-08-19,2.4817469539,2.5825058704,2.3814852608,2.4901857376,897427216,0.0,0.0
2,2004-08-20,2.5068128772,2.7070901431,2.4941563647,2.6879808903,458857488,0.0,0.0
3,2004-08-23,2.7485354175,2.8162870566,2.7063460105,2.7150318623,366857939,0.0,0.0
4,2004-08-24,2.7606958353,2.7696297047,2.5703456907,2.6026086807,306396159,0.0,0.0
5,2004-08-25,2.6048414661,2.6802873496,2.5780386734,2.6306517124,184645512,0.0,0.0
6,2004-08-26,2.6045932987,2.6790459255,2.5973962676,2.6780533791,142572401,0.0,0.0
7,2004-08-27,2.682768746,2.6956742268,2.6229586703,2.6343746185,124826132,0.0,0.0
8,2004-08-30,2.6127829528,2.6179953662,2.5316305161,2.5316305161,104429967,0.0,0.0
9,2004-08-31,2.5388276995,2.5738198329,2.5353530741,2.540564537,98825037,0.0,0.0
10,2004-09-02,2.4616450559,2.5405646193,2.4554403336,2.5192213058,303810504,0.0,0.0
11,2004-09-03,2.505324224,2.5249297495,2.4648714208,2.4819948673,103538639,0.0,0.0
12,2004-09-07,2.5068126185,2.5313823001,2.4720685044,2.520958662,117506800,0.0,0.0
13,2004-09-08,2.5001116939,2.5569446002,2.4941561775,2.5388276577,100186120,0.0,0.0
14,2004-09-09,2.5445350936,2.5490020277,2.5065646096,2.539075613,81620792,0.0,0.0
15,2004-09-10,2.5214550682,2.6445498377,2.5140097817,2.6140244007,174804764,0.0,0.0
16,2004-09-13,2.6462865825,2.690461789,2.6420676662,2.6678779125,157628624,0.0,0.0
17,2004-09-14,2.6666374271,2.7795568128,2.6502573219,2.766900301,217608605,0.0,0.0
18,2004-09-15,2.7438200899,2.8348998874,2.7348852712,2.7795567513,215279909,0.0,0.0
19,2004-09-16,2.7879943021,2.8738626354,2.7708708566,2.8284468651,186207345,0.0,0.0
20,2004-09-17,2.8396149238,2.9158051014,2.818023593,2.9158051014,190350817,0.0,0.0
21,2004-09-20,2.9024034421,3.0178046737,2.8979365077,2.9622135162,213585582,0.0,0.0
22,2004-09-21,2.9733813261,2.9885199168,2.9163013511,2.9244909286,145262446,0.0,0.0
23,2004-09-22,2.9135712447,2.9699066908,2.8989286897,2.9378917217,152344894,0.0,0.0
24,2004-09-23,2.9493090007,3.0433669191,2.9041402941,2.9984474182,171524515,0.0,0.0
25,2004-09-24,3.0014242755,3.0798475588,2.9721405925,2.97387743,183336625,0.0,0.0
26,2004-09-27,2.967176867,2.9999361302,2.9234988789,2.9349148273,141994242,0.0,0.0
27,2004-09-28,3.0103594167,3.1617453192,2.983308606,3.1483445168,340190355,0.0,0.0
28,2004-09-29,3.1443739387,3.3508549647,3.1327097358,3.2530744076,613229953,0.0,0.0
29,2004-09-30,3.2237896432,3.2833516989,3.2014537832,3.2163443565,276468402,0.0,0.0
30,2004-10-04,3.3565637891,3.3967673899,3.3262856541,3.3518476486,261693228,0.0,0.0
31,2004-10-05,3.3419212277,3.4379640007,3.2818628983,3.4339933395,300887589,0.0,0.0
32,2004-10-06,3.4136434109,3.4359790327,3.3751766519,3.401979208,268900140,0.0,0.0
33,2004-10-07,3.3980085461,3.4714676764,3.3888254718,3.445905447,283643194,0.0,0.0
34,2004-10-08,3.4426800537,3.4665044954,3.4004897008,3.4181103706,222442656,0.0,0.0
35,2004-10-11,3.3999934731,3.4461547252,3.3218184388,3.3568115234,210437827,0.0,0.0
36,2004-10-12,3.3364606135,3.4151319177,3.3106503669,3.4099206924,234419380,0.0,0.0
37,2004-10-13,3.5568396763,3.5625483626,3.4764317718,3.4967815876,397203256,0.0,0.0
38,2004-10-14,3.499511782,3.5335116071,3.4387094006,3.5240805149,209835578,0.0,0.0
39,2004-10-15,3.5967965861,3.6109428692,3.5228402259,3.5764458179,265150137,0.0,0.0
40,2004-10-18,3.5538618783,3.7027666677,3.5044752039,3.7017743587,282061287,0.0,0.0
41,2004-10-19,3.735029825,3.7821833876,3.6568547883,3.6714971066,363918964,0.0,0.0
42,2004-10-20,3.6737298845,3.697555277,3.4645187549,3.4866063595,456613107,0.0,0.0
43,2004-10-21,3.5836428523,3.725846886,3.5146506502,3.7072339058,585767401,0.0,0.0
44,2004-10-22,4.2323720162,4.4713643053,4.0720508018,4.2792773247,1481207196,0.0,0.0
45,2004-10-25,4.3778019284,4.825261279,4.2822542418,4.6507940292,1315480331,0.0,0.0
46,2004-10-26,4.6244883583,4.7808384399,4.4671452551,4.5118169785,895628499,0.0,0.0
47,2004-10-27,4.5346483138,4.7034068697,4.5110718906,4.6153054237,536262538,0.0,0.0
48,2004-10-28,4.6329254972,4.8242679446,4.6061229396,4.7972173691,596097978,0.0,0.0
49,2004-10-29,4.9359465589,4.9622530797,4.7302100576,4.7312030792,849672890,0.0,0.0
50,2004-11-02,4.9332174321,4.9448813976,4.7982106773,4.8361811638,455553149,0.0,0.0
51,2004-11-03,4.9183266488,5.0032019619,4.7339325175,4.7567644119,557630330,0.0,0.0
52,2004-11-04,4.6766045551,4.7252469364,4.5502836494,4.5837869644,578544429,0.0,0.0
53,2004-11-05,4.5162840582,4.524225381,4.1829855907,4.2028388977,796297573,0.0,0.0
54,2004-11-08,4.2420510969,4.3539779384,4.204079185,4.2822542191,449349985,0.0,0.0
55,2004-11-09,4.3207221823,4.3480212497,4.1015836883,4.1867079735,444226854,0.0,0.0
56,2004-11-10,4.2355978534,4.2815101369,4.1278901667,4.1658606529,427355853,0.0,0.0
57,2004-11-11,4.1973793618,4.5602104594,4.1586633966,4.5420937538,601666773,0.0,0.0
58,2004-11-12,4.5969409787,4.710356405,4.4026199446,4.5167798996,672354740,0.0,0.0
59,2004-11-15,4.4783122995,4.6736258538,4.4361231387,4.5880055428,477844390,0.0,0.0
60,2004-11-16,4.4051010369,4.4539914361,4.2395690798,4.2820062637,839832142,0.0,0.0
61,2004-11-17,4.1946495852,4.4051012925,4.1941530743,4.2810139656,728034662,0.0,0.0
62,2004-11-18,4.2261670762,4.3286635393,4.112999669,4.1579194069,667677273,0.0,0.0
63,2004-11-19,4.1966338646,4.2184736885,4.1326048756,4.2040791512,352086780,0.0,0.0
64,2004-11-22,4.0817302743,4.2065616574,4.0033072151,4.0973649025,496582362,0.0,0.0
65,2004-11-23,4.1685904716,4.2395687068,4.13210857,4.1574225426,498393124,0.0,0.0
66,2004-11-24,4.3385900417,4.3979038433,4.2812622835,4.3371014595,613531078,0.0,0.0
67,2004-11-26,4.3629118679,4.4678894599,4.3509994092,4.45200634,260175560,0.0,0.0
68,2004-11-29,4.4760794798,4.540356491,4.405349253,4.49320364,428263241,0.0,0.0
69,2004-11-30,4.4847652923,4.5415974851,4.4733493453,4.5162835121,309154460,0.0,0.0
70,2004-12-02,4.4646627913,4.504619321,4.4311594768,4.4522547722,251374696,0.0,0.0
71,2004-12-03,4.4659043085,4.4934509157,4.4075825863,4.4770717621,235647968,0.0,0.0
72,2004-12-06,4.4455532506,4.4845172313,4.3683707681,4.3750715256,251097661,0.0,0.0
73,2004-12-07,4.3678743223,4.3728389551,4.2326195564,4.2544589043,275866153,0.0,0.0
74,2004-12-08,4.2276562707,4.310298471,4.1874517259,4.2184734344,302802741,0.0,0.0
75,2004-12-09,4.2251742788,4.3058313879,4.1809990722,4.3040938377,307307563,0.0,0.0
76,2004-12-10,4.3040938969,4.3400792892,4.2509848213,4.2599186897,173335277,0.0,0.0
77,2004-12-13,4.2728239713,4.2978899258,4.2053203617,4.2301373482,193466452,0.0,0.0
78,2004-12-14,4.2437877999,4.4378603412,4.209043445,4.4346342087,445198482,0.0,0.0
79,2004-12-15,4.4172624273,4.4842685816,4.3842551482,4.4616847038,460559845,0.0,0.0
80,2004-12-16,4.3914524248,4.4793058665,4.3666349583,4.3795394897,344197318,0.0,0.0
81,2004-12-17,4.3867353816,4.4795529627,4.3815241566,4.4691295624,296555412,0.0,0.0
82,2004-12-20,4.5167797842,4.677100513,4.5135531766,4.5917282104,394854485,0.0,0.0
83,2004-12-21,4.6237436618,4.6627066967,4.5515239032,4.5602107048,221479058,0.0,0.0
84,2004-12-22,4.5639328132,4.6371441596,4.5418454479,4.6234951019,156865776,0.0,0.0
85,2004-12-23,4.6520348321,4.6805754157,4.6160503869,4.6632027626,145125936,0.0,0.0
86,2004-12-27,4.6942253723,4.7972173994,4.6929838576,4.7627210617,245079187,0.0,0.0
87,2004-12-28,4.7676842491,4.8034221014,4.7403856558,4.7838163376,166453579,0.0,0.0
88,2004-12-29,4.7594945209,4.8026771814,4.7594945209,4.7872905731,107525527,0.0,0.0
89,2004-12-30,4.7890271455,4.9195671974,4.7612320437,4.9039325714,237057231,0.0,0.0
90,2004-12-31,4.944385867,4.9605170061,4.7788524701,4.7845611572,307889737,0.0,0.0
91,2005-01-03,4.8989687005,5.0538301882,4.8508237803,5.0307502747,636143518,0.0,0.0
92,2005-01-04,4.9982388716,5.0362093574,4.8016837848,4.8269982338,552298420,0.0,0.0
93,2005-01-05,4.8009396668,4.8865599846,4.7706624858,4.8024291992,330698912,0.0,0.0
94,2005-01-06,4.8413924467,4.8617432137,4.6587358557,4.6793346405,417041336,0.0,0.0
95,2005-01-07,4.7312032163,4.8207946753,4.6850424383,4.8108673096,387964757,0.0,0.0
96,2005-01-10,4.8269985791,4.9163415476,4.760735525,4.8408966064,302714411,0.0,0.0
97,2005-01-11,4.8547940336,4.906662543,4.7942382485,4.803173542,279391317,0.0,0.0
98,2005-01-12,4.8227793485,4.8624878618,4.72772912,4.8488378525,328338096,0.0,0.0
99,2005-01-13,4.8488376865,4.8987206316,4.8158304077,4.8475971222,275002929,0.0,0.0
100,2005-01-14,4.8642246289,4.9637429832,4.8178163061,4.9627509117,387057368,0.0,0.0
101,2005-01-18,4.9875673888,5.0880782889,4.9302396287,5.0602831841,528878966,0.0,0.0
102,2005-01-19,5.0788957968,5.0950269335,4.8818446815,4.896487236,451995865,0.0,0.0
103,2005-01-20,4.7773635597,4.8704291699,4.764955065,4.8126039505,361413608,0.0,0.0
104,2005-01-21,4.8279902132,4.8483414543,4.6686629869,4.6726336479,371724110,0.0,0.0
105,2005-01-24,4.6828091386,4.6986922581,4.4750865964,4.4850139618,563010421,0.0,0.0
106,2005-01-25,4.5152915217,4.5227368088,4.3750721065,4.3956713676,427966132,0.0,0.0
107,2005-01-26,4.4490277772,4.7006765415,4.4460496629,4.6964578629,494161321,0.0,0.0
108,2005-01-27,4.6845459182,4.6870279972,4.5961954988,4.6676707268,266089645,0.0,0.0
109,2005-01-28,4.7158154714,4.8319624156,4.624487891,4.7237577438,490158373,0.0,0.0
110,2005-01-31,4.8068961769,4.8731587476,4.758005782,4.8547940254,385306832,0.0,0.0
