idx,date,open,high,low,close,volume,dividends,stock_splits
1,2004-08-19,2.4934637299,2.5946978645,2.3927270406,2.5019409657,893181924,0.0,0.0
2,2004-08-20,2.5186475757,2.7198701057,2.5059306524,2.7006697655,456686856,0.0,0.0
3,2004-08-23,2.7615111272,2.8295822487,2.7191218606,2.7278490067,365122512,0.0,0.0
4,2004-08-24,2.7737288367,2.7827054184,2.5824801579,2.6148946285,304946748,0.0,0.0
5,2004-08-25,2.6171396464,2.692940892,2.5902103752,2.6430716515,183772044,0.0,0.0
6,2004-08-26,2.6168895243,2.6916935047,2.6096587516,2.6906960011,141897960,0.0,0.0
7,2004-08-27,2.6954337846,2.7083999058,2.6353417366,2.6468110085,124235640,0.0,0.0
8,2004-08-30,2.6251185525,2.6303545551,2.543582201,2.543582201,103935960,0.0,0.0
9,2004-08-31,2.5508130886,2.5859706353,2.5473226576,2.5525586605,98357544,0.0,0.0
10,2004-09-02,2.4732664936,2.5525588885,2.4670329866,2.5311148167,302373324,0.0,0.0
11,2004-09-03,2.517151268,2.5368497666,2.4765075694,2.4937131405,103048848,0.0,0.0
12,2004-09-07,2.5186476936,2.5433332356,2.4837393431,2.5328602791,116950932,0.0,0.0
13,2004-09-08,2.5119150708,2.5690150853,2.5059307618,2.5508131981,99712188,0.0,0.0
14,2004-09-09,2.5565480191,2.5610357159,2.5183984396,2.5510618687,81234684,0.0,0.0
15,2004-09-10,2.5333593185,2.657035035,2.5258783979,2.6263651848,173977848,0.0,0.0
16,2004-09-13,2.6587795842,2.7031638603,2.6545410849,2.6804730892,156882960,0.0,0.0
17,2004-09-14,2.6792267892,2.7926794637,2.662769286,2.7799625397,216579204,0.0,0.0
18,2004-09-15,2.7567734574,2.8482836603,2.7477968756,2.7926793098,214261524,0.0,0.0
19,2004-09-16,2.8011562809,2.8874304727,2.7839516622,2.8417999744,185326488,0.0,0.0
20,2004-09-17,2.8530206458,2.9295701981,2.8313283277,2.9295701981,189450360,0.0,0.0
