idx,date,open,high,low,close,volume,dividends,stock_splits
1,1971-01-04,0.0,92.1900024414,90.6399993896,91.1500015259,10010000,0.0,0.0
2,1971-01-05,0.0,92.2799987793,90.6900024414,91.8000030518,12600000,0.0,0.0
3,1971-01-06,0.0,93.0,91.5,92.3499984741,16960000,0.0,0.0
4,1971-01-07,0.0,93.2600021362,91.75,92.3799972534,16460000,0.0,0.0
5,1971-01-08,0.0,93.0199966431,91.5999984741,92.1900024414,14100000,0.0,0.0
6,1971-01-11,0.0,92.6699981689,90.9899978638,91.9800033569,14720000,0.0,0.0
7,1971-01-12,0.0,93.2799987793,91.6299972534,92.7200012207,17820000,0.0,0.0
8,1971-01-13,0.0,93.6600036621,91.8799972534,92.5599975586,19070000,0.0,0.0
9,1971-01-14,0.0,93.3600006104,91.6699981689,92.8000030518,17600000,0.0,0.0
10,1971-01-15,0.0,93.9400024414,92.25,93.0299987793,18010000,0.0,0.0
11,1971-01-18,0.0,94.1100006104,92.6299972534,93.4100036621,15400000,0.0,0.0
12,1971-01-19,0.0,94.2799987793,92.8499984741,93.7600021362,15800000,0.0,0.0
13,1971-01-20,0.0,94.5299987793,93.0699996948,93.7799987793,18330000,0.0,0.0
14,1971-01-21,0.0,94.6900024414,93.1500015259,94.1900024414,19060000,0.0,0.0
15,1971-01-22,0.0,95.5299987793,93.9599990845,94.8799972534,21680000,0.0,0.0
16,1971-01-25,0.0,95.9300003052,94.1600036621,95.2799987793,19050000,0.0,0.0
17,1971-01-26,0.0,96.3600006104,94.6900024414,95.5899963379,21380000,0.0,0.0
18,1971-01-27,0.0,95.7799987793,93.9599990845,94.8899993896,20640000,0.0,0.0
19,1971-01-28,0.0,95.7799987793,94.1200027466,95.2099990845,18840000,0.0,0.0
20,1971-01-29,0.0,96.4899978638,94.7900009155,95.8799972534,20960000,0.0,0.0
21,1971-02-02,0.0,97.1900024414,95.5999984741,96.4300003052,22030000,0.0,0.0
22,1971-02-03,0.0,97.1900024414,95.5800018311,96.6299972534,21680000,0.0,0.0
23,1971-02-04,0.0,97.2600021362,95.6900024414,96.6200027466,20860000,0.0,0.0
24,1971-02-05,0.0,97.5800018311,95.8399963379,96.9300003052,20480000,0.0,0.0
25,1971-02-08,0.0,98.0400009155,96.1299972534,97.4499969482,25590000,0.0,0.0
26,1971-02-09,0.0,98.5,96.9000015259,97.5100021362,28250000,0.0,0.0
27,1971-02-10,0.0,97.9700012207,96.2300033569,97.3899993896,19040000,0.0,0.0
28,1971-02-11,0.0,98.4899978638,96.9899978638,97.9100036621,19260000,0.0,0.0
29,1971-02-12,0.0,98.9599990845,97.5599975586,98.4300003052,18470000,0.0,0.0
30,1971-02-16,0.0,99.5899963379,97.8499984741,98.6600036621,21350000,0.0,0.0
31,1971-02-17,0.0,99.3199996948,97.3199996948,98.1999969482,18720000,0.0,0.0
32,1971-02-18,0.0,98.5999984741,96.9599990845,97.5599975586,16650000,0.0,0.0
33,1971-02-19,0.0,97.7900009155,96.25,96.7399978638,17860000,0.0,0.0
34,1971-02-22,0.0,96.6500015259,94.9700012207,95.7200012207,15840000,0.0,0.0
35,1971-02-23,0.0,96.6699981689,94.9199981689,96.0899963379,15080000,0.0,0.0
36,1971-02-24,0.0,97.3399963379,95.8600006104,96.7300033569,15930000,0.0,0.0
37,1971-02-25,0.0,97.7099990845,96.0800018311,96.9599990845,16200000,0.0,0.0
38,1971-02-26,0.0,97.5400009155,95.8399963379,96.75,17250000,0.0,0.0
39,1971-03-02,0.0,97.5999984741,96.3199996948,96.9800033569,14870000,0.0,0.0
40,1971-03-03,0.0,97.5400009155,96.3000030518,96.9499969482,14680000,0.0,0.0
41,1971-03-04,0.0,98.3799972534,96.9000015259,97.9199981689,17350000,0.0,0.0
42,1971-03-05,0.0,99.4899978638,97.8199996948,98.9599990845,22430000,0.0,0.0
43,1971-03-08,0.0,99.4400024414,98.4199981689,99.3799972534,19340000,0.0,0.0
44,1971-03-09,0.0,100.3099975586,98.7200012207,99.4599990845,20490000,0.0,0.0
45,1971-03-10,0.0,100.0999984741,98.6299972534,99.3000030518,17220000,0.0,0.0
46,1971-03-11,0.0,100.2900009155,98.5699996948,99.3899993896,19830000,0.0,0.0
47,1971-03-12,0.0,100.0899963379,98.6399993896,99.5699996948,14680000,0.0,0.0
48,1971-03-15,0.0,101.1500015259,99.1200027466,100.7099990845,18920000,0.0,0.0
49,1971-03-16,0.0,101.9400024414,100.3600006104,101.2099990845,22270000,0.0,0.0
50,1971-03-17,0.0,101.6600036621,99.9800033569,101.1200027466,17070000,0.0,0.0
51,1971-03-18,0.0,102.0299987793,100.4300003052,101.1900024414,17910000,0.0,0.0
52,1971-03-19,0.0,101.7399978638,100.3499984741,101.0100021362,15150000,0.0,0.0
53,1971-03-22,0.0,101.4599990845,100.0800018311,100.6200027466,14290000,0.0,0.0
54,1971-03-23,0.0,101.0599975586,99.6200027466,100.2799987793,16470000,0.0,0.0
55,1971-03-24,0.0,100.6299972534,99.1500015259,99.6200027466,15770000,0.0,0.0
56,1971-03-25,0.0,100.0299987793,98.3600006104,99.6100006104,15870000,0.0,0.0
57,1971-03-26,0.0,100.6500015259,99.1800003052,99.9499969482,15560000,0.0,0.0
58,1971-03-29,0.0,100.7399978638,99.3600006104,100.0299987793,13650000,0.0,0.0
59,1971-03-30,0.0,100.8600006104,99.4100036621,100.2600021362,15430000,0.0,0.0
60,1971-03-31,0.0,101.0500030518,99.6900024414,100.3099975586,17610000,0.0,0.0
61,1971-04-02,0.0,101.2300033569,99.8600006104,100.5599975586,14520000,0.0,0.0
62,1971-04-05,0.0,101.4100036621,99.8799972534,100.7900009155,16040000,0.0,0.0
