idx,date,open,high,low,close,volume,dividends,stock_splits
1,1971-01-04,0.7048637581,0.7048637581,0.693734467,0.693734467,171812,0.0,0.0
2,1971-01-05,0.6937340538,0.7048633383,0.6937340538,0.7011536956,73004,0.0,0.0
3,1971-01-06,0.7085735068,0.7197030187,0.7085735068,0.7197030187,183140,0.0,0.0
4,1971-01-07,0.7234127113,0.7456715085,0.7234127113,0.7382518649,373203,0.0,0.0
5,1971-01-08,0.7382519424,0.7530912757,0.7345420757,0.7530912757,804934,0.0,0.0
6,1971-01-11,0.7530911717,0.7568007708,0.7456714839,0.7568007708,382643,0.0,0.0
7,1971-01-12,0.7568007708,0.760510637,0.7530911717,0.7568007708,172441,0.0,0.0
8,1971-01-13,0.7568003308,0.779059337,0.7568003308,0.7642200589,281947,0.0,0.0
9,1971-01-14,0.7642200589,0.7679298339,0.7493808699,0.7642200589,157337,0.0,0.0
10,1971-01-15,0.7642211484,0.771640798,0.7530918076,0.7605112791,346141,0.0,0.0
11,1971-01-18,0.7568016176,0.7568016176,0.7419624925,0.7419624925,181881,0.0,0.0
12,1971-01-19,0.7419616867,0.7419616867,0.7048635133,0.7382518649,218383,0.0,0.0
13,1971-01-20,0.7271229029,0.7271229029,0.6974444025,0.7271229029,149155,0.0,0.0
14,1971-01-21,0.7271225466,0.7382518786,0.7197029029,0.7345420122,150414,0.0,0.0
15,1971-01-22,0.7382518649,0.7493813303,0.7382518649,0.7382518649,136568,0.0,0.0
16,1971-01-25,0.7382522403,0.741962064,0.7197032555,0.7271229029,135310,0.0,0.0
17,1971-01-26,0.7271229029,0.7382522403,0.7197032555,0.7271229029,98178,0.0,0.0
18,1971-01-27,0.7271226636,0.7345421304,0.7159931517,0.7197030187,122723,0.0,0.0
19,1971-01-28,0.7197032555,0.7271229029,0.7122835636,0.7271229029,113282,0.0,0.0
20,1971-01-29,0.7271229904,0.7345424605,0.7271229904,0.7308326364,53494,0.0,0.0
21,1971-02-02,0.7493812206,0.7679301933,0.7493812206,0.7642204165,246075,0.0,0.0
22,1971-02-03,0.7642208275,0.8235778213,0.7642208275,0.8235778213,283835,0.0,0.0
23,1971-02-04,0.8250780075,0.8250780075,0.8063263,0.8100767136,495296,0.047668,0.0
24,1971-02-05,0.8100760104,0.8213269711,0.8063256001,0.8213269711,202650,0.0,0.0
25,1971-02-08,0.8213269711,0.8288277015,0.8138264207,0.8213269711,133422,0.0,0.0
26,1971-02-09,0.8213268686,0.8363283277,0.8138263191,0.8363283277,174329,0.0,0.0
27,1971-02-10,0.8250773549,0.8250773549,0.8100760729,0.8250773549,241669,0.0,0.0
28,1971-02-11,0.8250777483,0.8400793076,0.8100764591,0.8400793076,274395,0.0,0.0
29,1971-02-12,0.8400793076,0.8475800422,0.8325785729,0.8400793076,256773,0.0,0.0
30,1971-02-16,0.8400791395,0.8550804257,0.8400791395,0.8550804257,228453,0.0,0.0
31,1971-02-17,0.8550805762,0.8588309884,0.8475800218,0.8588309884,166777,0.0,0.0
32,1971-02-18,0.8588312569,0.8625816703,0.8513305201,0.8625816703,152931,0.0,0.0
33,1971-02-19,0.8588306542,0.8588306542,0.8438293712,0.8513299227,212719,0.0,0.0
34,1971-02-22,0.8438297199,0.8438297199,0.8288281606,0.8400793076,306492,0.0,0.0
35,1971-02-23,0.8400793076,0.8438297199,0.8325785729,0.8400793076,215237,0.0,0.0
36,1971-02-24,0.8400792873,0.8588309884,0.8400792873,0.8588309884,139715,0.0,0.0
37,1971-02-25,0.8625816703,0.8700824071,0.8625816703,0.8625816703,168036,0.0,0.0
38,1971-02-26,0.862581065,0.8663313857,0.847579692,0.8513299227,96919,0.0,0.0
39,1971-03-02,0.8438295403,0.8438295403,0.8400791287,0.8400791287,77410,0.0,0.0
