idx,date,open,high,low,close,volume,dividends,stock_splits
1,1991-06-21,0.0,0.96875,0.9375,0.9453129768,11384000,0.0,0.0
2,1991-06-24,0.9375,0.9453129768,0.90625,0.90625,1881600,0.0,0.0
3,1991-06-25,0.9453129768,0.9453129768,0.90625,0.90625,1881600,0.0,0.0
4,1991-06-26,0.921875,0.921875,0.90625,0.90625,2684800,0.0,0.0
5,1991-06-27,0.9140629768,0.9140629768,0.90625,0.90625,84800,0.0,0.0
6,1991-06-28,0.90625,0.9140629768,0.90625,0.90625,1560000,0.0,0.0
7,1991-07-02,0.9296879768,0.9296879768,0.8828129768,0.90625,1380800,0.0,0.0
8,1991-07-03,0.8828129768,0.8984379768,0.875,0.875,572800,0.0,0.0
9,1991-07-05,0.875,0.875,0.875,0.875,78400,0.0,0.0
10,1991-07-08,0.8671879768,0.8828129768,0.859375,0.859375,326400,0.0,0.0
11,1991-07-09,0.8828129768,0.8828129768,0.859375,0.875,627200,0.0,0.0
12,1991-07-10,0.859375,0.8828129768,0.859375,0.8828129768,105600,0.0,0.0
13,1991-07-11,0.859375,0.875,0.859375,0.875,88000,0.0,0.0
14,1991-07-12,0.859375,0.8828129768,0.859375,0.859375,112000,0.0,0.0
15,1991-07-15,0.8828129768,0.8828129768,0.859375,0.859375,56000,0.0,0.0
16,1991-07-16,0.859375,0.8828129768,0.859375,0.8828129768,203200,0.0,0.0
17,1991-07-17,0.8671879768,0.8828129768,0.859375,0.859375,216000,0.0,0.0
18,1991-07-18,0.859375,0.8828129768,0.859375,0.8671879768,284800,0.0,0.0
19,1991-07-19,0.8828129768,0.921875,0.8671879768,0.890625,532800,0.0,0.0
20,1991-07-22,0.890625,0.90625,0.875,0.875,275200,0.0,0.0
21,1991-07-23,0.875,0.890625,0.875,0.875,139200,0.0,0.0
22,1991-07-24,0.875,0.8984379768,0.875,0.8984379768,46400,0.0,0.0
23,1991-07-25,0.875,0.8984379768,0.8671879768,0.8828129768,419200,0.0,0.0
24,1991-07-26,0.8984379768,0.9453129768,0.8984379768,0.9375,524800,0.0,0.0
25,1991-07-29,0.9375,0.9453129768,0.921875,0.9453129768,112000,0.0,0.0
26,1991-07-30,0.921875,0.9453129768,0.90625,0.9296879768,92800,0.0,0.0
27,1991-07-31,0.90625,0.9296879768,0.90625,0.90625,457600,0.0,0.0
28,1991-08-02,0.921875,0.9375,0.921875,0.921875,198400,0.0,0.0
29,1991-08-05,0.9375,0.9375,0.921875,0.921875,160000,0.0,0.0
30,1991-08-06,0.9140629768,0.9296879768,0.9140629768,0.921875,46400,0.0,0.0
31,1991-08-07,0.9296879768,0.9296879768,0.921875,0.9296879768,240000,0.0,0.0
32,1991-08-08,0.9296879768,0.9375,0.921875,0.9375,217600,0.0,0.0
33,1991-08-09,0.921875,0.921875,0.921875,0.921875,3200,0.0,0.0
34,1991-08-12,0.921875,0.9375,0.921875,0.9375,230400,0.0,0.0
35,1991-08-13,0.9375,0.9375,0.921875,0.921875,120000,0.0,0.0
36,1991-08-14,0.90625,0.9296879768,0.90625,0.9296879768,219200,0.0,0.0
37,1991-08-15,0.9296879768,0.9296879768,0.921875,0.9296879768,17600,0.0,0.0
38,1991-08-16,0.90625,0.9296879768,0.90625,0.9296879768,203200,0.0,0.0
39,1991-08-19,0.875,0.8828129768,0.84375,0.84375,577600,0.0,0.0
40,1991-08-20,0.875,0.8828129768,0.8671879768,0.8828129768,204800,0.0,0.0
41,1991-08-21,0.921875,0.921875,0.8984379768,0.8984379768,41600,0.0,0.0
42,1991-08-22,0.8984379768,0.921875,0.8984379768,0.9140629768,108800,0.0,0.0
43,1991-08-23,0.921875,0.921875,0.8984379768,0.921875,134400,0.0,0.0
44,1991-08-26,0.890625,0.921875,0.890625,0.921875,32000,0.0,0.0
45,1991-08-27,0.921875,0.921875,0.8984379768,0.8984379768,24000,0.0,0.0
46,1991-08-28,0.8984379768,0.9296879768,0.8984379768,0.9296879768,1107200,0.0,0.0
47,1991-08-29,0.9296879768,1.0546879768,0.921875,1.03125,3358400,0.0,0.0
48,1991-08-30,1.046875,1.046875,0.984375,1.03125,1681600,0.0,0.0
49,1991-09-03,1.03125,1.03125,0.984375,0.9921879768,408000,0.0,0.0
50,1991-09-04,1.0,1.0,0.953125,0.984375,65600,0.0,0.0
51,1991-09-05,1.0,1.0,0.9609379768,0.984375,113600,0.0,0.0
52,1991-09-06,0.9921879768,0.9921879768,0.9609379768,0.9609379768,131200,0.0,0.0
53,1991-09-09,0.9765629768,1.0,0.9609379768,0.9921879768,512000,0.0,0.0
54,1991-09-10,0.9609379768,0.9921879768,0.9609379768,0.9921879768,22400,0.0,0.0
55,1991-09-11,0.9921879768,0.9921879768,0.9609379768,0.9921879768,91200,0.0,0.0
56,1991-09-12,0.9921879768,0.9921879768,0.9609379768,0.9609379768,51200,0.0,0.0
57,1991-09-13,0.96875,1.0,0.96875,0.9921879768,120000,0.0,0.0
58,1991-09-16,0.9921879768,1.0078129768,0.9609379768,0.96875,40000,0.0,0.0
59,1991-09-17,0.96875,1.0234379768,0.96875,1.0,2340800,0.0,0.0
60,1991-09-18,1.0,1.03125,1.0,1.03125,284800,0.0,0.0
61,1991-09-19,1.0,1.0234379768,1.0,1.0234379768,105600,0.0,0.0
62,1991-09-20,1.03125,1.03125,1.0,1.03125,206400,0.0,0.0
63,1991-09-23,1.0,1.03125,1.0,1.03125,1192000,0.0,0.0
64,1991-09-24,1.0078129768,1.0390629768,1.0078129768,1.0390629768,1251200,0.0,0.0
65,1991-09-25,1.015625,1.0390629768,1.0078129768,1.0234379768,769600,0.0,0.0
66,1991-09-26,1.0234379768,1.046875,1.0234379768,1.0390629768,950400,0.0,0.0
67,1991-09-27,1.046875,1.0859379768,1.03125,1.0859379768,702400,0.0,0.0
68,1991-09-30,1.0859379768,1.1484379768,1.0859379768,1.1171879768,2436800,0.0,0.0
69,1991-10-02,1.1171879768,1.140625,1.1171879768,1.140625,390400,0.0,0.0
70,1991-10-03,1.109375,1.140625,1.09375,1.1328129768,384000,0.0,0.0
71,1991-10-04,1.125,1.1484379768,1.0859379768,1.140625,470400,0.0,0.0
72,1991-10-07,1.15625,1.15625,1.140625,1.1484379768,694400,0.0,0.0
73,1991-10-08,1.140625,1.1875,1.140625,1.1484379768,547200,0.0,0.0
74,1991-10-09,1.1953129768,1.2421879768,1.1875,1.203125,3478400,0.0,0.0
75,1991-10-10,1.21875,1.25,1.1875,1.25,760000,0.0,0.0
76,1991-10-11,1.265625,1.359375,1.21875,1.28125,1299200,0.0,0.0
77,1991-10-14,1.3125,1.34375,1.28125,1.296875,835200,0.0,0.0
78,1991-10-15,1.296875,1.328125,1.265625,1.296875,304000,0.0,0.0
79,1991-10-16,1.3125,1.3125,1.265625,1.296875,284800,0.0,0.0
80,1991-10-17,1.25,1.296875,1.234375,1.234375,617600,0.0,0.0
81,1991-10-18,1.21875,1.265625,1.21875,1.2265629768,232000,0.0,0.0
82,1991-10-21,1.265625,1.296875,1.21875,1.296875,200000,0.0,0.0
83,1991-10-22,1.296875,1.296875,1.25,1.25,206400,0.0,0.0
84,1991-10-23,1.265625,1.40625,1.265625,1.3828129768,1630400,0.0,0.0
85,1991-10-24,1.421875,1.484375,1.390625,1.421875,1139200,0.0,0.0
86,1991-10-25,1.484375,1.515625,1.421875,1.453125,2280000,0.0,0.0
87,1991-10-28,1.453125,1.53125,1.453125,1.53125,1651200,0.0,0.0
88,1991-10-29,1.609375,1.671875,1.546875,1.65625,2195200,0.0,0.0
89,1991-10-30,1.609375,1.6640629768,1.5625,1.59375,1019200,0.0,0.0
90,1991-10-31,1.65625,1.65625,1.59375,1.65625,2172800,0.0,0.0
91,1991-11-04,1.75,1.75,1.625,1.640625,836800,0.0,0.0
92,1991-11-05,1.625,1.734375,1.625,1.734375,427200,0.0,0.0
93,1991-11-06,1.78125,1.796875,1.75,1.78125,473600,0.0,0.0
94,1991-11-07,1.78125,1.8125,1.75,1.796875,880000,0.0,0.0
95,1991-11-08,1.8125,1.8125,1.765625,1.8125,257600,0.0,0.0
96,1991-11-11,1.78125,1.78125,1.71875,1.78125,926400,0.0,0.0
97,1991-11-12,1.75,1.8125,1.734375,1.75,468800,0.0,0.0
98,1991-11-13,1.71875,1.71875,1.5625,1.578125,641600,0.0,0.0
99,1991-11-14,1.625,1.65625,1.578125,1.609375,324800,0.0,0.0
100,1991-11-15,1.609375,1.65625,1.609375,1.625,473600,0.0,0.0
101,1991-11-18,1.546875,1.640625,1.546875,1.609375,457600,0.0,0.0
102,1991-11-19,1.609375,1.65625,1.59375,1.59375,899200,0.0,0.0
103,1991-11-20,1.609375,1.640625,1.609375,1.625,440000,0.0,0.0
104,1991-11-21,1.609375,1.640625,1.5625,1.609375,312000,0.0,0.0
105,1991-11-22,1.5625,1.59375,1.375,1.4375,1012800,0.0,0.0
106,1991-11-25,1.359375,1.40625,1.34375,1.359375,380800,0.0,0.0
