idx,date,open,high,low,close,volume,dividends,stock_splits
1,2000-07-28,14.5306415558,20.5496101379,14.3482494354,19.0524673462,19136426,0.0,0.0
2,2000-07-31,18.6040859222,18.8168773651,15.3210115433,17.0233459473,2551290,0.0,0.0
3,2000-08-02,16.3545722961,18.9688720703,16.3241729736,18.5432872772,880379,0.0,0.0
4,2000-08-03,18.5432872772,23.2247085571,17.9961090088,21.5223731995,1406304,0.0,0.0
5,2000-08-04,22.1227493286,22.1303501129,19.3336582184,19.9112358093,1320158,0.0,0.0
6,2000-08-07,20.8839988708,23.4678993225,18.9688720703,20.5496101379,581437,0.0,0.0
7,2000-08-08,20.5192127228,21.6439685822,19.7288417816,19.9340343475,338829,0.0,0.0
8,2000-08-09,20.27602005,20.8232002258,19.4552536011,20.8232002258,335950,0.0,0.0
9,2000-08-10,20.7320041656,22.9815177917,20.1848258972,21.8871593475,676218,0.0,0.0
10,2000-08-11,21.8567619324,21.8871593475,20.3672180176,20.3672180176,405854,0.0,0.0
11,2000-08-14,20.7320041656,20.7928028107,19.2728595734,19.4552536011,486655,0.0,0.0
12,2000-08-15,19.6680450439,19.9416332245,18.9688720703,19.4552536011,315596,0.0,0.0
13,2000-08-16,20.4584140778,21.2791824341,20.3064193726,20.7320041656,569718,0.0,0.0
14,2000-08-17,20.610408783,21.3399810791,20.3672180176,20.3672180176,500842,0.0,0.0
15,2000-08-18,20.3672180176,22.8599224091,20.3672180176,21.4007778168,169414,0.0,0.0
16,2000-08-21,21.4007778168,23.2247085571,21.4007778168,21.9783554077,323203,0.0,0.0
17,2000-08-22,22.0087547302,22.0087547302,20.4888134003,20.4888134003,372753,0.0,0.0
18,2000-08-23,20.6712055206,21.4007778168,19.8200397491,20.0024318695,341707,0.0,0.0
19,2000-08-24,20.0632305145,20.3672180176,19.3944549561,19.462852478,219992,0.0,0.0
20,2000-08-25,19.4856529236,20.610408783,19.4856529236,20.3064193726,574035,0.0,0.0
21,2000-08-28,21.2183856964,21.2791824341,19.8200397491,20.2456226349,328138,0.0,0.0
22,2000-08-29,20.2456226349,20.6712055206,20.1240272522,20.6712055206,177227,0.0,0.0
23,2000-08-30,20.3064193726,20.4280166626,19.1816635132,19.4552536011,866398,0.0,0.0
24,2000-08-31,19.3944549561,22.9815177917,19.3944549561,21.7655639648,915537,0.0,0.0
25,2000-09-05,22.9207191467,23.0727138519,20.914396286,22.2519454956,197376,0.0,0.0
26,2000-09-06,22.7687263489,22.7687263489,20.3064193726,20.4280166626,455404,0.0,0.0
27,2000-09-07,21.2791824341,21.8871593475,20.0024318695,21.8871593475,333894,0.0,0.0
28,2000-09-08,21.8871593475,21.8871593475,20.610408783,20.8839988708,362884,0.0,0.0
29,2000-09-11,20.914396286,21.4007778168,19.6376457214,20.0024318695,618445,0.0,0.0
30,2000-09-12,20.0632305145,20.2456226349,18.9688720703,19.8200397491,254738,0.0,0.0
31,2000-09-13,19.4096546173,19.9416332245,17.0841445923,17.7529182434,634687,0.0,0.0
32,2000-09-14,17.9505119324,18.3000965118,17.4489307404,17.9961090088,283522,0.0,0.0
33,2000-09-15,17.9961090088,18.4824905396,17.7529182434,18.3608951569,238702,0.0,0.0
34,2000-09-18,17.2665367126,17.9961090088,15.6553993225,16.5369644165,351576,0.0,0.0
35,2000-09-19,16.5369644165,17.1145439148,16.0505847931,16.2025775909,583082,0.0,0.0
36,2000-09-20,16.4761676788,17.1145439148,15.8681907654,16.5369644165,496730,0.0,0.0
37,2000-09-21,17.2361373901,17.3273353577,16.9625492096,17.2057380676,74427,0.0,0.0
38,2000-09-22,16.567363739,19.3944549561,16.567363739,19.090467453,179283,0.0,0.0
39,2000-09-25,19.7136421204,19.8808364868,19.2120628357,19.3944549561,549774,0.0,0.0
40,2000-09-26,19.4552536011,19.4552536011,18.9688720703,19.3640556335,615978,0.0,0.0
41,2000-09-27,19.1512641907,20.7928028107,19.1512641907,20.2456226349,152350,0.0,0.0
42,2000-09-28,19.8200397491,21.3399810791,19.8200397491,21.2791824341,112874,0.0,0.0
43,2000-09-29,21.2791824341,25.1094360352,20.914396286,22.0695533752,483160,0.0,0.0
44,2000-10-02,22.9815177917,23.7110881805,21.4007778168,22.2519454956,94165,0.0,0.0
45,2000-10-03,22.1607494354,22.5255355835,18.1785011292,19.4552536011,166330,0.0,0.0
46,2000-10-04,19.2728595734,19.2728595734,17.14494133,17.5705242157,398864,0.0,0.0
47,2000-10-05,17.7529182434,18.1785011292,17.2665367126,17.3273353577,294214,0.0,0.0
48,2000-10-06,17.509727478,17.509727478,14.5914402008,14.6218385696,558410,0.0,0.0
49,2000-10-09,15.5642023087,16.0201854706,14.2266540527,14.9562263489,1179527,0.0,0.0
50,2000-10-10,15.0246229172,15.9289884567,14.7130346298,15.807393074,708292,0.0,0.0
51,2000-10-11,15.6022014618,16.2937736511,15.3210115433,15.5642023087,153172,0.0,0.0
52,2000-10-12,15.807393074,15.9289884567,15.0778207779,15.6857976913,319297,0.0,0.0
53,2000-10-13,15.5642023087,17.0841445923,15.442606926,17.0841445923,58185,0.0,0.0
54,2000-10-16,17.509727478,19.4552536011,17.1753406525,17.2665367126,262757,0.0,0.0
55,2000-10-17,17.14494133,18.0569076538,17.0841445923,17.6009235382,234795,0.0,0.0
56,2000-10-18,16.7801551819,17.2665367126,16.0505847931,16.9017505646,94782,0.0,0.0
57,2000-10-19,17.3577327728,17.9353103638,15.807393074,16.8409538269,66203,0.0,0.0
58,2000-10-20,16.2937736511,16.7801551819,16.0505847931,16.0505847931,111024,0.0,0.0
59,2000-10-23,16.6585597992,16.7193584442,15.625,16.5369644165,135902,0.0,0.0
60,2000-10-24,16.7801551819,16.8409538269,16.1721782684,16.5977630615,426826,0.0,0.0
61,2000-10-25,16.5977630615,18.4824905396,15.9593868256,17.509727478,127678,0.0,0.0
62,2000-10-26,17.0841445923,18.9080734253,17.0841445923,18.8472766876,516467,0.0,0.0
63,2000-10-27,19.4552536011,19.5692481995,17.7529182434,17.7529182434,476581,0.0,0.0
64,2000-10-30,17.7529182434,17.7529182434,15.0778207779,15.807393074,164686,0.0,0.0
65,2000-10-31,15.807393074,16.0505847931,15.5034046173,15.807393074,120276,0.0,0.0
66,2000-11-02,16.5369644165,17.6921215057,16.2329769135,17.3273353577,346436,0.0,0.0
67,2000-11-03,16.6585597992,18.1177043915,16.6585597992,17.7529182434,122949,0.0,0.0
68,2000-11-06,18.5432872772,20.4280166626,18.4216938019,19.7592411041,526542,0.0,0.0
69,2000-11-07,19.8124389648,19.9416332245,19.4552536011,19.9416332245,186274,0.0,0.0
70,2000-11-08,20.0024318695,20.0024318695,19.6984443665,19.7592411041,47288,0.0,0.0
71,2000-11-09,19.7592411041,19.9416332245,18.6952819824,18.9080734253,356716,0.0,0.0
72,2000-11-10,18.6040859222,19.0600681305,18.4824905396,18.4824905396,163658,0.0,0.0
73,2000-11-13,18.4900894165,18.4900894165,15.6857976913,17.9961090088,175582,0.0,0.0
74,2000-11-14,18.1253032684,18.4216938019,15.9289884567,16.506565094,84090,0.0,0.0
75,2000-11-15,16.2937736511,16.5369644165,15.3210115433,15.442606926,233150,0.0,0.0
76,2000-11-16,15.807393074,15.807393074,12.341925621,12.341925621,538878,0.0,0.0
77,2000-11-17,12.410323143,13.0714979172,10.5179958344,11.1259727478,408527,0.0,0.0
78,2000-11-20,11.1867704391,11.4907588959,10.3964014053,10.3964014053,427031,0.0,0.0
79,2000-11-21,10.3964014053,10.7611865997,10.3660020828,10.3660020828,2296552,0.0,0.0
80,2000-11-22,10.1076116562,10.5179958344,6.9917321205,7.7821011543,487889,0.0,0.0
81,2000-11-24,7.7821011543,10.0316152573,7.7821011543,9.4844360352,577119,0.0,0.0
82,2000-11-27,9.9100189209,9.9100189209,8.5116729736,9.3324422836,664294,0.0,0.0
83,2000-11-28,9.2412452698,9.4236383438,7.9340949059,8.6332683563,419835,0.0,0.0
84,2000-11-29,8.6332683563,9.0588521957,8.572470665,8.7852630615,394752,0.0,0.0
85,2000-11-30,8.1468868256,8.9068584442,7.3261189461,8.9068584442,214646,0.0,0.0
86,2000-12-04,9.6972284317,9.8188228607,9.3628396988,9.5452327728,150294,0.0,0.0
87,2000-12-05,10.2140083313,12.159532547,9.9100189209,11.7339487076,424358,0.0,0.0
88,2000-12-06,11.7339487076,11.8555450439,11.1259727478,11.3691625595,205189,0.0,0.0
89,2000-12-07,11.0651750565,11.7947473526,10.8219842911,11.3083658218,475964,0.0,0.0
90,2000-12-08,11.4299612045,11.5515556335,10.0620136261,11.0651750565,157695,0.0,0.0
91,2000-12-11,10.7003889084,10.8827819824,10.2140083313,10.2140083313,123566,0.0,0.0
92,2000-12-12,10.0012159348,11.1259727478,9.9708166122,10.639591217,816026,0.0,0.0
93,2000-12-13,10.8827819824,11.6731519699,10.8219842911,10.9739789963,757430,0.0,0.0
94,2000-12-14,10.9739789963,10.9739789963,10.2140083313,10.5179958344,113902,0.0,0.0
95,2000-12-15,11.3615636826,11.3691625595,10.0316152573,11.1867704391,99510,0.0,0.0
96,2000-12-18,11.0803747177,11.7339487076,11.0651750565,11.4907588959,419218,0.0,0.0
97,2000-12-19,11.4299612045,11.9163417816,10.5179958344,10.5787935257,472058,0.0,0.0
98,2000-12-20,9.9708166122,9.9708166122,8.2684822083,8.6940660477,161807,0.0,0.0
99,2000-12-21,9.2412452698,9.8492221832,8.6940660477,8.754863739,554503,0.0,0.0
100,2000-12-22,9.3856401443,10.5787935257,8.937256813,9.2412452698,125827,0.0,0.0
101,2000-12-26,9.0664520264,9.0892505646,8.6332683563,8.6940660477,47699,0.0,0.0
102,2000-12-27,8.937256813,9.0588521957,8.1468868256,8.5116729736,158929,0.0,0.0
103,2000-12-28,8.6940660477,8.754863739,8.0252923965,8.2684822083,188330,0.0,0.0
104,2000-12-29,8.2684822083,8.2684822083,7.4781131744,7.8125,483160,0.0,0.0
105,2001-01-02,7.7821011543,8.0252923965,7.2957201004,7.4173150063,149266,0.0,0.0
106,2001-01-03,7.4097151756,7.4173150063,5.7149810791,6.7181420326,182778,0.0,0.0
107,2001-01-04,7.4173150063,7.7821011543,6.687743187,6.8701357841,650518,0.0,0.0
108,2001-01-05,6.8701357841,6.8701357841,5.5933852196,5.8061771393,718572,0.0,0.0
109,2001-01-08,6.3229570389,6.9309339523,3.9518480301,4.3166341782,521813,0.0,0.0
110,2001-01-09,4.6814198494,4.8942117691,4.1950387955,4.1950387955,408322,0.0,0.0
111,2001-01-10,4.4382300377,5.1070041656,4.1950387955,5.1070041656,186685,0.0,0.0
112,2001-01-11,5.1070041656,6.8701357841,5.1070041656,6.5053501129,301821,0.0,0.0
113,2001-01-12,6.4369530678,6.4749507904,6.018969059,6.3229570389,21999,0.0,0.0
114,2001-01-16,6.2545599937,6.5661478043,5.836575985,6.5661478043,197170,0.0,0.0
115,2001-01-17,6.4445528984,7.7821011543,6.4445528984,7.3261189461,175994,0.0,0.0
116,2001-01-18,7.1741251945,7.5389108658,6.9917321205,7.1133270264,294214,0.0,0.0
117,2001-01-19,7.4173150063,7.4173150063,6.7181420326,7.2957201004,252271,0.0,0.0
118,2001-01-22,7.2957201004,7.2957201004,6.9917321205,7.0221300125,178050,0.0,0.0
119,2001-01-23,7.0449290276,9.1196498871,7.0449290276,8.3900775909,311895,0.0,0.0
120,2001-01-24,8.6560678482,9.1196498871,8.3900775909,9.0892505646,1372174,0.0,0.0
121,2001-01-25,8.9068584442,9.2108459473,8.754863739,9.1196498871,986058,0.0,0.0
122,2001-01-26,9.0892505646,9.8188228607,8.6940660477,9.7580251694,496730,0.0,0.0
123,2001-01-29,9.9100189209,10.9435796738,9.5148353577,10.5787935257,571362,0.0,0.0
124,2001-01-30,10.388800621,10.7611865997,10.1532096863,10.3660020828,641266,0.0,0.0
125,2001-01-31,10.3660020828,10.3964014053,9.7276258469,10.2140083313,427237,0.0,0.0
126,2001-02-02,9.9328193665,9.9328193665,8.2988805771,8.8764591217,149060,0.0,0.0
127,2001-02-05,8.6712665558,8.6940660477,7.9036960602,7.9036960602,72166,0.0,0.0
128,2001-02-06,8.3292798996,8.4508752823,7.2957201004,7.7821011543,92726,0.0,0.0
129,2001-02-07,7.7821011543,8.2684822083,7.4781131744,7.9340949059,361650,0.0,0.0
130,2001-02-08,7.9264960289,7.9340949059,7.6605057716,7.9340949059,59213,0.0,0.0
131,2001-02-09,7.7137041092,7.9340949059,7.3565177917,7.9340949059,70315,0.0,0.0
132,2001-02-12,7.8049001694,8.0252923965,7.8049001694,7.9644942284,101155,0.0,0.0
133,2001-02-13,8.0252923965,8.0252923965,7.9036960602,7.9036960602,85118,0.0,0.0
134,2001-02-14,7.9036960602,8.0252923965,7.8504991531,7.9644942284,41737,0.0,0.0
135,2001-02-15,8.0252923965,8.0252923965,7.143725872,7.7821011543,508243,0.0,0.0
136,2001-02-16,7.6985039711,8.6636667252,7.6909050941,8.1772861481,84707,0.0,0.0
137,2001-02-20,7.7821011543,7.7821011543,7.3565177917,7.7821011543,370697,0.0,0.0
138,2001-02-21,7.7517018318,8.3596792221,7.7517018318,8.0556907654,23850,0.0,0.0
139,2001-02-22,7.8125,8.0860891342,7.4781131744,7.6909050941,58390,0.0,0.0
140,2001-02-23,7.5085120201,7.5693092346,7.4477138519,7.4781131744,106912,0.0,0.0
141,2001-02-26,7.5389108658,7.6909050941,7.4325151443,7.5997080803,86763,0.0,0.0
142,2001-02-27,7.5997080803,7.7213039398,7.4173150063,7.6605057716,59624,0.0,0.0
143,2001-02-28,7.7213039398,7.8125,7.2957201004,7.2957201004,92726,0.0,0.0
144,2001-03-02,7.2957201004,7.2957201004,5.8669748306,6.018969059,198610,0.0,0.0
145,2001-03-05,6.0493679047,6.5661478043,6.0493679047,6.3533558846,87997,0.0,0.0
146,2001-03-06,6.3837552071,6.4445528984,6.018969059,6.018969059,121921,0.0,0.0
147,2001-03-07,6.2621598244,6.2621598244,5.1070041656,5.350194931,161190,0.0,0.0
148,2001-03-08,5.6541829109,5.7149810791,5.4413909912,5.4717898369,142275,0.0,0.0
149,2001-03-09,5.5325880051,5.5933852196,4.7422180176,4.8638129234,233767,0.0,0.0
150,2001-03-12,4.8942117691,4.9246110916,3.891051054,3.9518480301,396397,0.0,0.0
151,2001-03-13,4.5294260979,4.6206231117,3.9518480301,3.9518480301,726590,0.0,0.0
152,2001-03-14,3.929049015,4.6206231117,3.921448946,4.3774318695,489739,0.0,0.0
