idx,date,open,high,low,close,volume,dividends,stock_splits
1,1980-03-17,0.1814997941,0.1844036122,0.1814997941,0.1814997941,10924800,0.0,0.0
2,1980-03-18,0.1814997468,0.1829516554,0.1800478548,0.1800478548,17068800,0.0,0.0
3,1980-03-19,0.1844035238,0.1873078888,0.1844035238,0.1844035238,18508800,0.0,0.0
4,1980-03-20,0.184403583,0.1865814296,0.1836776286,0.1836776286,11174400,0.0,0.0
5,1980-03-21,0.1800478971,0.1800478971,0.1771435142,0.1771435142,12172800,0.0,0.0
6,1980-03-24,0.1764174368,0.1764174368,0.1735136211,0.1735136211,8966400,0.0,0.0
7,1980-03-25,0.1742396355,0.1771434355,0.1742396355,0.1742396355,11347200,0.0,0.0
8,1980-03-26,0.1742396343,0.1756915426,0.1727877259,0.1727877259,16262400,0.0,0.0
9,1980-03-27,0.1698839616,0.1698839616,0.166979596,0.166979596,26918400,0.0,0.0
10,1980-03-28,0.1735136211,0.1764174368,0.1735136211,0.1735136211,20102400,0.0,0.0
11,1980-03-31,0.1793219894,0.1822257915,0.1793219894,0.1793219894,9004800,0.0,0.0
12,1980-04-02,0.1814997047,0.1844035213,0.1814997047,0.1814997047,12556800,0.0,0.0
13,1980-04-03,0.180773805,0.180773805,0.1778694391,0.1778694391,6988800,0.0,0.0
14,1980-04-07,0.1764175428,0.1764175428,0.1735137254,0.1735137254,13478400,0.0,0.0
15,1980-04-08,0.1742397398,0.1771435416,0.1742397398,0.1742397398,29184000,0.0,0.0
16,1980-04-09,0.1735136765,0.1735136765,0.1706098765,0.1706098765,11558400,0.0,0.0
17,1980-04-10,0.1706099208,0.1727877672,0.1698839664,0.1698839664,14784000,0.0,0.0
18,1980-04-11,0.1698839664,0.1727877672,0.1698839664,0.1698839664,9523200,0.0,0.0
19,1980-04-14,0.1713359505,0.1742397525,0.1713359505,0.1713359505,8025600,0.0,0.0
20,1980-04-15,0.171335813,0.1720617505,0.1691573858,0.1691573858,10598400,0.0,0.0
21,1980-04-16,0.1655276525,0.1655276525,0.1626238525,0.1626238525,10752000,0.0,0.0
22,1980-04-17,0.1626239094,0.1626239094,0.1597195268,0.1597195268,17702400,0.0,0.0
23,1980-04-18,0.1618978828,0.1648016826,0.1618978828,0.1618978828,18739200,0.0,0.0
24,1980-04-21,0.1618978952,0.1633497869,0.1604454219,0.1604454219,9043200,0.0,0.0
25,1980-04-22,0.1677056104,0.1706099771,0.1677056104,0.1677056104,20428800,0.0,0.0
26,1980-04-23,0.1778694391,0.180773805,0.1778694391,0.1778694391,14822400,0.0,0.0
27,1980-04-24,0.1785958856,0.1814996853,0.1785958856,0.1785958856,8832000,0.0,0.0
28,1980-04-25,0.1785960009,0.1785960009,0.1756916344,0.1756916344,7104000,0.0,0.0
29,1980-04-28,0.175691649,0.1771435416,0.1742397398,0.1742397398,6931200,0.0,0.0
30,1980-04-29,0.1756916344,0.1785960009,0.1756916344,0.1756916344,6297600,0.0,0.0
31,1980-04-30,0.1778694391,0.180773805,0.1778694391,0.1778694391,7065600,0.0,0.0
32,1980-05-02,0.1814998239,0.1844036424,0.1814998239,0.1814998239,5510400,0.0,0.0
33,1980-05-05,0.1836777031,0.1865815053,0.1836777031,0.1836777031,3513600,0.0,0.0
34,1980-05-06,0.1836775385,0.185855384,0.1829515845,0.1829515845,6988800,0.0,0.0
35,1980-05-07,0.1829515845,0.185855384,0.1829515845,0.1829515845,6393600,0.0,0.0
36,1980-05-08,0.1829515672,0.1836775211,0.1807737052,0.1807737052,7468800,0.0,0.0
37,1980-05-09,0.1829515845,0.185855384,0.1829515845,0.1829515845,16684800,0.0,0.0
38,1980-05-12,0.1829516136,0.1851294761,0.1822256595,0.1822256595,8582400,0.0,0.0
39,1980-05-13,0.1858554482,0.1887598304,0.1858554482,0.1858554482,7372800,0.0,0.0
40,1980-05-14,0.1887598932,0.1916636947,0.1887598932,0.1887598932,4742400,0.0,0.0
41,1980-05-15,0.1902117133,0.1931155303,0.1902117133,0.1902117133,8102400,0.0,0.0
42,1980-05-16,0.1923895031,0.1952933024,0.1923895031,0.1923895031,4838400,0.0,0.0
43,1980-05-19,0.1931156218,0.1960199886,0.1931156218,0.1931156218,8640000,0.0,0.0
44,1980-05-20,0.193115561,0.1938415154,0.1909376979,0.1909376979,21811200,0.0,0.0
45,1980-05-21,0.1894857231,0.1894857231,0.1865813583,0.1865813583,10540800,0.0,0.0
46,1980-05-22,0.1865813395,0.1873078585,0.184403494,0.184403494,5318400,0.0,0.0
47,1980-05-23,0.1909376979,0.1938415154,0.1909376979,0.1909376979,29779200,0.0,0.0
48,1980-05-27,0.1909376676,0.1931155303,0.1902117133,0.1902117133,8332800,0.0,0.0
49,1980-05-28,0.1945673972,0.1974717789,0.1945673972,0.1945673972,6700800,0.0,0.0
50,1980-05-29,0.1945673972,0.1974717789,0.1945673972,0.1945673972,7660800,0.0,0.0
51,1980-05-30,0.1974718571,0.2003756583,0.1974718571,0.1974718571,5721600,0.0,0.0
52,1980-06-02,0.1981978714,0.2011016904,0.1981978714,0.1981978714,6355200,0.0,0.0
53,1980-06-03,0.1960198978,0.1960198978,0.1931155324,0.1931155324,15244800,0.0,0.0
54,1980-06-04,0.1960199773,0.1989237789,0.1960199773,0.1960199773,7680000,0.0,0.0
55,1980-06-05,0.1960199773,0.1989237789,0.1960199773,0.1960199773,6470400,0.0,0.0
56,1980-06-06,0.1960198555,0.1974717637,0.1945673823,0.1945673823,28723200,0.0,0.0
57,1980-06-09,0.1945674243,0.1960198978,0.1931155324,0.1931155324,7545600,0.0,0.0
58,1980-06-10,0.1952934563,0.1981978229,0.1952934563,0.1952934563,17280000,0.0,0.0
59,1980-06-11,0.1974719614,0.2003757641,0.1974719614,0.1974719614,3206400,0.0,0.0
60,1980-06-12,0.1974717637,0.1974717637,0.1945673823,0.1945673823,10809600,0.0,0.0
61,1980-06-13,0.1945673823,0.1974717637,0.1945673823,0.1945673823,3590400,0.0,0.0
62,1980-06-16,0.1945673823,0.1974717637,0.1945673823,0.1945673823,7987200,0.0,0.0
63,1980-06-17,0.1945674398,0.1967458677,0.1938415021,0.1938415021,12864000,0.0,0.0
64,1980-06-18,0.1938414862,0.1952933781,0.1923895776,0.1923895776,8064000,0.0,0.0
65,1980-06-19,0.1916636796,0.1916636796,0.1887598783,0.1887598783,13689600,0.0,0.0
66,1980-06-20,0.1894857883,0.1923896058,0.1894857883,0.1894857883,7027200,0.0,0.0
67,1980-06-23,0.1894857883,0.1923896058,0.1894857883,0.1894857883,9888000,0.0,0.0
68,1980-06-24,0.1894857883,0.1923896058,0.1894857883,0.1894857883,9676800,0.0,0.0
69,1980-06-25,0.1916636527,0.1945674535,0.1916636527,0.1916636527,15494400,0.0,0.0
70,1980-06-26,0.1916636527,0.1945674535,0.1916636527,0.1916636527,10156800,0.0,0.0
71,1980-06-27,0.1923895776,0.1952933781,0.1923895776,0.1923895776,6912000,0.0,0.0
72,1980-06-30,0.1923896066,0.1938415154,0.1909376979,0.1909376979,5337600,0.0,0.0
73,1980-07-02,0.1952933669,0.1981977321,0.1952933669,0.1952933669,6585600,0.0,0.0
74,1980-07-03,0.1967459023,0.1996497035,0.1967459023,0.1967459023,4550400,0.0,0.0
75,1980-07-07,0.2040053904,0.2054578641,0.2040053904,0.2040053904,19545600,0.0,0.0
76,1980-07-08,0.2083618343,0.2098137442,0.2083618343,0.2083618343,13190400,0.0,0.0
77,1980-07-09,0.2083618343,0.2090877892,0.2083618343,0.2083618343,9388800,0.0,0.0
78,1980-07-10,0.2112654597,0.2119913973,0.2112654597,0.2112654597,14092800,0.0,0.0
79,1980-07-11,0.2112654143,0.2119913518,0.2105394602,0.2105394602,9888000,0.0,0.0
80,1980-07-14,0.2127173692,0.2141698429,0.2127173692,0.2127173692,15052800,0.0,0.0
81,1980-07-15,0.2192514986,0.2199774529,0.2192514986,0.2192514986,20678400,0.0,0.0
82,1980-07-16,0.2228818387,0.2236077931,0.2228818387,0.2228818387,11692800,0.0,0.0
83,1980-07-17,0.2279634774,0.2294153694,0.2279634774,0.2279634774,15456000,0.0,0.0
84,1980-07-18,0.2337715179,0.2344974718,0.2337715179,0.2337715179,12576000,0.0,0.0
85,1980-07-21,0.2337715179,0.2344974718,0.2337715179,0.2337715179,14208000,0.0,0.0
86,1980-07-22,0.2323197115,0.2323197115,0.2308678031,0.2308678031,14150400,0.0,0.0
