idx,date,open,high,low,close,volume,dividends,stock_splits
1,1993-03-12,2.0326678026,2.4392010248,1.9957099294,2.3468067646,28573200,0.0,0.0
2,1993-03-15,2.3837645226,2.4022430354,2.2913702669,2.319088459,6580800,0.0,0.0
3,1993-03-16,2.2913705199,2.3283283954,2.2359341295,2.2636523247,3928800,0.0,0.0
4,1993-03-17,2.2359350123,2.2728929024,2.1435415558,2.1804986,3170400,0.0,0.0
5,1993-03-18,2.2359342431,2.2544136047,2.1804978499,2.2544136047,735600,0.0,0.0
6,1993-03-19,2.1989774602,2.2544138597,2.1989774602,2.2359344959,542400,0.0,0.0
7,1993-03-22,2.2174554122,2.2544132844,2.1065826416,2.1065826416,1749600,0.0,0.0
8,1993-03-23,2.1435408184,2.2544136047,2.0696250635,2.2544136047,2000400,0.0,0.0
9,1993-03-24,2.2174557479,2.2544136257,2.1435408383,2.198977232,1009200,0.0,0.0
10,1993-03-25,2.1989768991,2.1989768991,2.1065826416,2.1065826416,1035600,0.0,0.0
11,1993-03-26,2.1435405138,2.1435405138,2.1065826416,2.1065826416,1326000,0.0,0.0
12,1993-03-29,2.1435405198,2.1804975462,2.0696247753,2.097342968,518400,0.0,0.0
13,1993-03-30,2.1435405138,2.1435405138,2.0696247694,2.1065826416,649200,0.0,0.0
14,1993-03-31,2.1065828994,2.1065828994,2.0511465073,2.0511465073,1665600,0.0,0.0
15,1993-04-02,2.0511471692,2.0511471692,1.9033164606,1.9587528706,1820400,0.0,0.0
16,1993-04-05,1.9772307922,2.0326671616,1.903315069,1.9957093,1450800,0.0,0.0
17,1993-04-06,2.0696241773,2.0696241773,1.9957093,1.9957093,1084800,0.0,0.0
18,1993-04-07,1.9587525236,2.0141889237,1.9217954874,1.9217954874,1216800,0.0,0.0
19,1993-04-08,1.9033153031,1.9772310353,1.8663582828,1.8848367929,990000,0.0,0.0
20,1993-04-12,1.8478795143,1.8848373922,1.8294009983,1.8663588762,1232400,0.0,0.0
21,1993-04-13,1.8478795359,1.8848374142,1.7924431414,1.8109225035,2005200,0.0,0.0
22,1993-04-14,1.8478789268,1.8848367929,1.8109219066,1.8848367929,3022800,0.0,0.0
23,1993-04-15,1.8848376563,1.8848376563,1.8294012547,1.8294012547,412800,0.0,0.0
24,1993-04-16,1.8294012547,1.8848376563,1.8294012547,1.8294012547,188400,0.0,0.0
25,1993-04-19,1.866358898,1.866358898,1.8109225035,1.8109225035,628800,0.0,0.0
26,1993-04-20,1.8109225035,1.8478795359,1.8109225035,1.8109225035,214800,0.0,0.0
27,1993-04-21,1.8478788139,1.8478788139,1.773963932,1.792442441,588000,0.0,0.0
28,1993-04-22,1.8294004167,1.8848367929,1.7924425505,1.8848367929,382800,0.0,0.0
29,1993-04-23,1.9033157825,1.9033157825,1.8294008775,1.9033157825,118800,0.0,0.0
30,1993-04-26,1.9033161749,1.9033161749,1.8294012547,1.8294012547,187200,0.0,0.0
31,1993-04-27,1.8663582707,2.0326673985,1.8109218948,2.0326673985,1040400,0.0,0.0
32,1993-04-28,2.0326688508,2.0326688508,1.9772324353,2.0141894817,348000,0.0,0.0
33,1993-04-29,1.9772313833,1.9772313833,1.9402735107,1.9772313833,319200,0.0,0.0
34,1993-04-30,1.9587516667,2.0881037744,1.9587516667,2.0326673985,1194000,0.0,0.0
35,1993-05-03,2.0326678447,2.1435406208,2.0326678447,2.1435406208,499200,0.0,0.0
36,1993-05-04,2.1435406208,2.1435406208,2.0881042327,2.1435406208,242400,0.0,0.0
37,1993-05-05,2.0881039835,2.3283280212,2.0881039835,2.2544131279,1215600,0.0,0.0
38,1993-05-06,2.2544133812,2.2913704091,2.1620191198,2.1989769936,598800,0.0,0.0
39,1993-05-07,2.1989769913,2.2913704067,2.1989769913,2.2359340191,472800,0.0,0.0
40,1993-05-10,2.2359335393,2.3468062907,2.2359335393,2.291369915,349200,0.0,0.0
41,1993-05-11,2.3283281443,2.3283281443,2.2728917599,2.2728917599,391200,0.0,0.0
42,1993-05-12,2.2728917599,2.3098496314,2.2728917599,2.2728917599,145200,0.0,0.0
43,1993-05-13,2.3098492708,2.3098492708,2.2544128951,2.291369915,303600,0.0,0.0
44,1993-05-14,2.2913702727,2.3098496314,2.254413247,2.2728917599,204000,0.0,0.0
45,1993-05-17,2.3098492708,2.3283277808,2.2728914051,2.291369915,142800,0.0,0.0
46,1993-05-18,2.3283277808,2.3283277808,2.291369915,2.291369915,802800,0.0,0.0
47,1993-05-19,2.3283287082,2.383765106,2.3283287082,2.3652865887,1312800,0.0,0.0
48,1993-05-20,2.3468062849,2.4022426605,2.3468062849,2.4022426605,265200,0.0,0.0
49,1993-05-21,2.346807003,2.38376488,2.346807003,2.346807003,223200,0.0,0.0
50,1993-05-24,2.3652863645,2.3652863645,2.346807003,2.346807003,222000,0.0,0.0
51,1993-05-25,2.3652852774,2.3652852774,2.2913695574,2.3283274174,372000,0.0,0.0
52,1993-05-26,2.2728916451,2.291370157,2.2174552635,2.2451734543,844800,0.0,0.0
53,1993-05-27,2.2728918952,2.2728918952,2.1989769936,2.1989769936,200400,0.0,0.0
54,1993-05-28,2.1989770089,2.2174555229,2.1065827468,2.1435406208,676800,0.0,0.0
55,1993-06-02,2.1250617336,2.1435410976,2.1065832154,2.1435410976,452400,0.0,0.0
56,1993-06-03,2.1250617336,2.1435410976,2.1065832154,2.1435410976,670800,0.0,0.0
57,1993-06-04,2.1065821648,2.1620185375,2.1065821648,2.1065821648,874800,0.0,0.0
58,1993-06-07,2.0881032966,2.1435396598,1.9957090759,2.0788636208,1143600,0.0,0.0
59,1993-06-08,2.0326684972,2.0603867002,1.9402742055,1.9957106113,1207200,0.0,0.0
