idx,date,open,high,low,close,volume,dividends,stock_splits
1,2000-06-16,2.0138890743,2.0555560589,2.0,2.0277779102,521550,0.0,0.0
2,2000-06-19,2.0277779102,2.0555560589,2.0,2.0,1363050,0.0,0.0
3,2000-06-20,2.0069439411,2.1805560589,1.75,2.0833330154,1177650,0.0,0.0
4,2000-06-21,2.2222220898,2.4722220898,2.1388890743,2.4444439411,2342250,0.0,0.0
5,2000-06-22,2.4583330154,2.4722220898,2.1180560589,2.1944439411,857700,0.0,0.0
6,2000-06-23,2.2638890743,2.3611109257,2.2222220898,2.3055560589,615150,0.0,0.0
7,2000-06-26,2.3333330154,2.3611109257,2.1666669846,2.2222220898,458550,0.0,0.0
8,2000-06-27,2.2222220898,2.3194439411,2.0,2.1111109257,616050,0.0,0.0
9,2000-06-28,2.1388890743,2.1944439411,2.0277779102,2.1388890743,828000,0.0,0.0
10,2000-06-29,2.1944439411,2.1944439411,2.0,2.0,834300,0.0,0.0
11,2000-06-30,2.0694439411,2.1388890743,2.0277779102,2.0972220898,859500,0.0,0.0
12,2000-07-03,2.1666669846,2.1666669846,2.1111109257,2.1388890743,144450,0.0,0.0
13,2000-07-05,2.1666669846,2.2222220898,2.1111109257,2.2222220898,621900,0.0,0.0
14,2000-07-06,2.2222220898,2.2361109257,2.0972220898,2.1666669846,584550,0.0,0.0
15,2000-07-07,2.2291669846,2.5833330154,2.125,2.2777779102,3571650,0.0,0.0
16,2000-07-10,2.4583330154,2.9444439411,2.3194439411,2.7916669846,2830500,0.0,0.0
17,2000-07-11,3.0138890743,3.1666669846,2.6388890743,2.8333330154,6016500,0.0,0.0
18,2000-07-12,3.1041669846,3.4305560589,2.8194439411,3.3333330154,4926150,0.0,0.0
19,2000-07-13,4.0,4.0277781487,3.5833330154,3.7222220898,5490900,0.0,0.0
20,2000-07-14,3.9166669846,3.9444439411,3.3055560589,3.4444439411,2537100,0.0,0.0
21,2000-07-17,3.5555560589,3.5833330154,3.3888890743,3.4722220898,829800,0.0,0.0
22,2000-07-18,3.4861109257,3.5416669846,3.1944439411,3.2222220898,604350,0.0,0.0
23,2000-07-19,3.1944439411,3.2222220898,2.9166669846,3.1111109257,792900,0.0,0.0
24,2000-07-20,3.0694439411,3.6944439411,3.0277779102,3.5277779102,1184400,0.0,0.0
25,2000-07-21,3.5277779102,3.8055560589,3.4722220898,3.8055560589,857700,0.0,0.0
26,2000-07-24,3.7777779102,3.9444439411,3.5694439411,3.7222220898,837900,0.0,0.0
27,2000-07-25,3.75,3.8333330154,3.4444439411,3.5833330154,435150,0.0,0.0
28,2000-07-26,3.5833330154,3.8888890743,3.1388890743,3.8611109257,884250,0.0,0.0
29,2000-07-27,3.7222220898,4.2222218513,3.6666669846,3.8055560589,1004400,0.0,0.0
30,2000-07-28,3.8055560589,3.8194439411,3.4444439411,3.6111109257,681750,0.0,0.0
31,2000-07-31,3.5555560589,4.2361111641,3.3055560589,4.1944441795,1438200,0.0,0.0
32,2000-08-02,3.8888890743,4.0416669846,3.7777779102,3.7916669846,297900,0.0,0.0
33,2000-08-03,3.7777779102,4.0,3.6666669846,3.9027779102,220950,0.0,0.0
34,2000-08-04,4.0,4.0138888359,3.75,3.7916669846,366750,0.0,0.0
35,2000-08-07,3.7777779102,3.8611109257,3.4444439411,3.5555560589,522000,0.0,0.0
36,2000-08-08,3.7222220898,3.7222220898,3.4444439411,3.5,148500,0.0,0.0
37,2000-08-09,3.4930560589,3.5416669846,3.2222220898,3.2638890743,355050,0.0,0.0
38,2000-08-10,3.2777779102,3.4722220898,3.25,3.2777779102,225900,0.0,0.0
39,2000-08-11,3.1805560589,3.2777779102,2.9305560589,3.1111109257,388350,0.0,0.0
40,2000-08-14,3.2569439411,3.2569439411,3.1111109257,3.1111109257,167850,0.0,0.0
41,2000-08-15,3.0972220898,3.1111109257,2.8055560589,2.8055560589,616500,0.0,0.0
42,2000-08-16,2.8333330154,3.1527779102,2.8333330154,3.0416669846,243450,0.0,0.0
43,2000-08-17,3.1111109257,3.2222220898,3.0277779102,3.2222220898,537300,0.0,0.0
44,2000-08-18,3.2291669846,3.25,3.1111109257,3.1111109257,116550,0.0,0.0
45,2000-08-21,3.0902779102,3.0972220898,2.9444439411,3.0138890743,73800,0.0,0.0
46,2000-08-22,2.9444439411,3.0138890743,2.9166669846,2.9444439411,80550,0.0,0.0
47,2000-08-23,2.8888890743,2.9166669846,2.7777779102,2.9027779102,191250,0.0,0.0
48,2000-08-24,2.8611109257,2.8888890743,2.7777779102,2.8611109257,221400,0.0,0.0
49,2000-08-25,2.8402779102,3.3611109257,2.7777779102,3.3611109257,649350,0.0,0.0
50,2000-08-28,3.3541669846,3.3611109257,3.1388890743,3.1944439411,184950,0.0,0.0
51,2000-08-29,3.4027779102,3.4166669846,3.1388890743,3.1944439411,120600,0.0,0.0
52,2000-08-30,3.2291669846,3.3611109257,3.2291669846,3.3333330154,78750,0.0,0.0
53,2000-08-31,3.3888890743,3.3888890743,3.1111109257,3.2222220898,192150,0.0,0.0
54,2000-09-05,3.1111109257,3.1736109257,3.0,3.0972220898,348300,0.0,0.0
55,2000-09-06,3.0833330154,3.1111109257,3.0,3.0555560589,319500,0.0,0.0
56,2000-09-07,3.0555560589,3.1111109257,3.0,3.0833330154,217350,0.0,0.0
57,2000-09-08,3.0972220898,3.2083330154,3.0555560589,3.1111109257,280800,0.0,0.0
58,2000-09-11,3.125,3.1527779102,3.0694439411,3.1527779102,150750,0.0,0.0
59,2000-09-12,3.1805560589,3.3194439411,3.1666669846,3.3194439411,350100,0.0,0.0
60,2000-09-13,3.3055560589,3.3055560589,3.1111109257,3.125,166050,0.0,0.0
61,2000-09-14,3.2222220898,3.2777779102,3.1111109257,3.2361109257,207000,0.0,0.0
62,2000-09-15,3.1597220898,3.2361109257,2.9444439411,3.0,267750,0.0,0.0
63,2000-09-18,3.0555560589,3.1111109257,2.7777779102,2.8888890743,213750,0.0,0.0
64,2000-09-19,2.8333330154,2.8888890743,2.8333330154,2.8333330154,358200,0.0,0.0
65,2000-09-20,2.8611109257,2.8888890743,2.5833330154,2.5833330154,387900,0.0,0.0
66,2000-09-21,2.5833330154,2.7222220898,2.3333330154,2.4444439411,374400,0.0,0.0
67,2000-09-22,2.3958330154,2.6666669846,2.3611109257,2.6527779102,127350,0.0,0.0
68,2000-09-25,2.6666669846,2.9722220898,2.6111109257,2.6388890743,274050,0.0,0.0
69,2000-09-26,2.6527779102,2.6666669846,2.6111109257,2.6388890743,82800,0.0,0.0
70,2000-09-27,2.6388890743,2.7222220898,2.5555560589,2.5833330154,238500,0.0,0.0
71,2000-09-28,2.7222220898,2.7222220898,2.6111109257,2.6111109257,812250,0.0,0.0
72,2000-09-29,2.5555560589,2.7222220898,2.5416669846,2.6111109257,566550,0.0,0.0
73,2000-10-02,2.6111109257,2.7222220898,2.5833330154,2.625,830700,0.0,0.0
74,2000-10-03,2.7777779102,2.7777779102,2.5694439411,2.5833330154,341550,0.0,0.0
75,2000-10-04,2.5694439411,2.5833330154,2.4444439411,2.5555560589,143100,0.0,0.0
76,2000-10-05,2.5555560589,2.5833330154,2.4583330154,2.4583330154,334350,0.0,0.0
77,2000-10-06,2.5138890743,2.5555560589,2.2916669846,2.3055560589,230850,0.0,0.0
78,2000-10-09,2.3333330154,2.3888890743,2.2222220898,2.25,442350,0.0,0.0
79,2000-10-10,2.2395830154,2.2777779102,2.0972220898,2.0972220898,546300,0.0,0.0
80,2000-10-11,2.0972220898,2.2222220898,2.0416669846,2.1666669846,110700,0.0,0.0
81,2000-10-12,2.1909720898,2.1944439411,1.8611110449,2.1666669846,561600,0.0,0.0
82,2000-10-13,2.15625,2.25,2.0,2.1111109257,153450,0.0,0.0
83,2000-10-16,2.1388890743,2.2777779102,2.0590279102,2.2777779102,656100,0.0,0.0
84,2000-10-17,2.2777779102,2.3611109257,2.25,2.3333330154,449100,0.0,0.0
85,2000-10-18,2.1979169846,2.2222220898,2.0277779102,2.1111109257,113850,0.0,0.0
86,2000-10-19,2.1944439411,2.21875,2.1111109257,2.1111109257,57150,0.0,0.0
87,2000-10-20,2.1388890743,2.25,2.1111109257,2.2222220898,386550,0.0,0.0
88,2000-10-23,2.2743060589,2.2777779102,2.2222220898,2.25,207000,0.0,0.0
89,2000-10-24,2.3055560589,2.375,2.2222220898,2.3333330154,144900,0.0,0.0
90,2000-10-25,2.3715279102,2.6388890743,2.2222220898,2.5833330154,306450,0.0,0.0
91,2000-10-26,2.6111109257,2.7777779102,2.5277779102,2.75,447750,0.0,0.0
92,2000-10-27,2.9270830154,3.0833330154,2.8888890743,3.0416669846,720000,0.0,0.0
93,2000-10-30,3.0590279102,3.3472220898,3.0590279102,3.2777779102,1561050,0.0,0.0
94,2000-10-31,3.3333330154,3.3333330154,2.9166669846,3.0277779102,196200,0.0,0.0
95,2000-11-02,2.9409720898,2.9409720898,2.5555560589,2.7777779102,101700,0.0,0.0
96,2000-11-03,2.8194439411,3.0694439411,2.8055560589,3.0277779102,117450,0.0,0.0
97,2000-11-06,2.9166669846,3.0555560589,2.8611109257,2.8888890743,418950,0.0,0.0
98,2000-11-07,2.9861109257,2.9861109257,2.8611109257,2.8888890743,129600,0.0,0.0
99,2000-11-08,2.78125,2.8888890743,2.6944439411,2.8055560589,71550,0.0,0.0
100,2000-11-09,2.6979169846,3.1111109257,2.6979169846,3.1111109257,57600,0.0,0.0
101,2000-11-10,3.0555560589,3.1111109257,2.5555560589,3.0833330154,202950,0.0,0.0
102,2000-11-13,3.1111109257,3.1111109257,2.8472220898,2.9444439411,160650,0.0,0.0
103,2000-11-14,3.0,3.0833330154,2.9166669846,2.9861109257,102600,0.0,0.0
104,2000-11-15,3.0798609257,3.0798609257,2.9166669846,2.9444439411,131400,0.0,0.0
105,2000-11-16,3.0381939411,3.1111109257,2.9027779102,3.0277779102,348300,0.0,0.0
106,2000-11-17,3.0833330154,3.1111109257,2.9444439411,3.0,310950,0.0,0.0
107,2000-11-20,2.9201390743,3.0277779102,2.8055560589,2.8472220898,53550,0.0,0.0
108,2000-11-21,2.8055560589,2.9444439411,2.4444439411,2.9444439411,178650,0.0,0.0
109,2000-11-22,2.7916669846,2.7916669846,2.2916669846,2.5277779102,274500,0.0,0.0
110,2000-11-24,2.5833330154,2.6666669846,2.2777779102,2.2777779102,154350,0.0,0.0
111,2000-11-27,2.4444439411,2.6527779102,2.3888890743,2.6527779102,612450,0.0,0.0
112,2000-11-28,2.6666669846,2.6666669846,2.3888890743,2.3888890743,117000,0.0,0.0
113,2000-11-29,2.3611109257,2.4444439411,2.3055560589,2.3333330154,271350,0.0,0.0
114,2000-11-30,2.3333330154,2.75,2.3194439411,2.6111109257,329850,0.0,0.0
115,2000-12-04,2.4583330154,2.5,2.3611109257,2.3611109257,66150,0.0,0.0
116,2000-12-05,2.3888890743,2.4722220898,2.3333330154,2.3472220898,201150,0.0,0.0
117,2000-12-06,2.25,2.3888890743,2.0,2.0,544500,0.0,0.0
118,2000-12-07,1.96875,2.0555560589,1.8055560589,2.0277779102,492750,0.0,0.0
119,2000-12-08,2.0555560589,2.1666669846,1.9861110449,2.125,176400,0.0,0.0
120,2000-12-11,1.5555560589,1.9722219706,1.4444439411,1.8611110449,3202650,0.0,0.0
121,2000-12-12,1.8333330154,1.9027780294,1.7916669846,1.9027780294,3661650,0.0,0.0
122,2000-12-13,1.8888889551,1.9166669846,1.6805560589,1.6805560589,2264850,0.0,0.0
123,2000-12-14,1.7638889551,1.8055560589,1.6111110449,1.6805560589,1067400,0.0,0.0
124,2000-12-15,1.6666669846,1.6944439411,1.5,1.5833330154,581400,0.0,0.0
125,2000-12-18,1.6041669846,1.6388889551,1.5416669846,1.5694439411,1849050,0.0,0.0
126,2000-12-19,1.5694439411,1.5694439411,1.2916669846,1.3333330154,1744200,0.0,0.0
127,2000-12-20,1.3055560589,1.3611110449,1.1944439411,1.3055560589,3145500,0.0,0.0
128,2000-12-21,1.3055560589,1.4166669846,1.2777780294,1.3472219706,2877300,0.0,0.0
129,2000-12-22,1.3958330154,1.4444439411,1.3611110449,1.4166669846,765000,0.0,0.0
130,2000-12-26,1.4166669846,1.5555560589,1.3611110449,1.3888889551,1389150,0.0,0.0
131,2000-12-27,1.4861110449,1.5833330154,1.3784719706,1.4444439411,572400,0.0,0.0
132,2000-12-28,1.4027780294,1.7777780294,1.3888889551,1.6388889551,2265300,0.0,0.0
133,2000-12-29,1.75,1.9444439411,1.7222219706,1.8888889551,1678500,0.0,0.0
134,2001-01-02,1.8055560589,1.9131939411,1.7916669846,1.8125,234450,0.0,0.0
135,2001-01-03,1.8958330154,1.9444439411,1.7777780294,1.9444439411,539550,0.0,0.0
136,2001-01-04,1.8715280294,1.9027780294,1.6458330154,1.7638889551,371250,0.0,0.0
137,2001-01-05,1.7638889551,1.7638889551,1.6944439411,1.7222219706,257400,0.0,0.0
138,2001-01-08,1.7604169846,1.7638889551,1.6388889551,1.6666669846,852750,0.0,0.0
139,2001-01-09,1.6666669846,1.7361110449,1.6388889551,1.7361110449,531000,0.0,0.0
140,2001-01-10,1.6944439411,1.7222219706,1.3611110449,1.5,1740150,0.0,0.0
141,2001-01-11,1.5,1.8333330154,1.4722219706,1.8055560589,2782350,0.0,0.0
142,2001-01-12,1.7986110449,1.8055560589,1.6388889551,1.6388889551,679500,0.0,0.0
143,2001-01-16,1.6527780294,1.7916669846,1.6527780294,1.7777780294,226350,0.0,0.0
144,2001-01-17,1.7881939411,1.8055560589,1.75,1.75,1634400,0.0,0.0
