idx,date,open,high,low,close,volume,dividends,stock_splits
1,2008-05-07,2.772149529,2.8381529193,2.728146989,2.8051512241,38943400,0.0,0.0
2,2008-05-08,2.8139509716,2.8414524472,2.7215459969,2.7941498756,12468400,0.0,0.0
3,2008-05-09,2.7611483409,2.7941500294,2.7435474123,2.7765491009,9747000,0.0,0.0
4,2008-05-12,2.7622485708,2.9536588362,2.7611484865,2.8128511906,7921800,0.0,0.0
5,2008-05-13,2.7919506189,2.8513539262,2.7721497263,2.8491537571,4518800,0.0,0.0
6,2008-05-14,2.8051510138,2.894255752,2.7061457259,2.87885499,4295600,0.0,0.0
7,2008-05-15,2.832650956,2.9052548083,2.813949951,2.863452673,3969300,0.0,0.0
8,2008-05-16,2.8447535859,2.9426588022,2.8238523992,2.9151573181,11418200,0.0,0.0
9,2008-05-19,2.876654583,2.9096564828,2.8568534851,2.8678541183,5645100,0.0,0.0
10,2008-05-20,2.827152359,2.8535537558,2.7501481275,2.8106513023,8338100,0.0,0.0
11,2008-05-21,2.7908498131,2.835952216,2.7787490968,2.8062505722,1729100,0.0,0.0
12,2008-05-22,2.765547318,2.8744530968,2.7633473602,2.8293507099,7980000,0.0,0.0
13,2008-05-23,2.8073499162,2.8293509649,2.7787483642,2.796349287,2421100,0.0,0.0
14,2008-05-27,2.7897507433,2.8084517617,2.7633493425,2.7919507027,1899300,0.0,0.0
15,2008-05-28,2.7743494722,2.8018509546,2.7556484558,2.7732493877,5346300,0.0,0.0
16,2008-05-29,2.7512485156,2.7655491952,2.7336475825,2.7446482182,6850900,0.0,0.0
17,2008-05-30,2.730346998,2.8018508066,2.7248467857,2.7699491978,5456400,0.0,0.0
18,2008-06-02,2.7468475824,2.7578482157,2.6522426395,2.6533427238,2692600,0.0,0.0
19,2008-06-03,2.618140931,2.6676436812,2.5950397875,2.6621434689,4636400,0.0,0.0
20,2008-06-04,2.6346417524,2.6610431468,2.6269411621,2.6291413307,2871200,0.0,0.0
21,2008-06-05,2.728147532,2.9019569282,2.7171471047,2.8117520809,10802100,0.0,0.0
22,2008-06-06,2.7633481841,2.7908496579,2.7424470052,2.747947216,4040900,0.0,0.0
23,2008-06-09,2.7281468523,2.7831498148,2.7160463433,2.746847868,2018400,0.0,0.0
24,2008-06-10,2.7369474307,2.7611488695,2.7336473871,2.7424478531,3237600,0.0,0.0
25,2008-06-11,2.7479476157,2.7479476157,2.6467421688,2.6764438152,2352300,0.0,0.0
26,2008-06-12,2.7248463673,2.7336468315,2.6401417685,2.6599428654,1885800,0.0,0.0
27,2008-06-13,2.6566426079,2.7204460255,2.6434420166,2.7138457298,2718300,0.0,0.0
28,2008-06-16,2.7204459618,2.7248462987,2.58513875,2.6082398891,2799100,0.0,0.0
29,2008-06-17,2.6093408294,2.6115409986,2.5543378592,2.5807392597,3945100,0.0,0.0
30,2008-06-18,2.5411364994,2.640141774,2.5367361624,2.6170406342,1883200,0.0,0.0
31,2008-06-19,2.6236409018,2.64124183,2.5741381602,2.628041029,2262100,0.0,0.0
32,2008-06-20,2.568638625,2.6401424408,2.5653383714,2.6401424408,2339500,0.0,0.0
33,2008-06-23,2.6401422365,2.6401422365,2.5917395701,2.5961399078,1562800,0.0,0.0
34,2008-06-24,2.5576382709,2.5576382709,2.4421321104,2.4795341492,4845600,0.0,0.0
35,2008-06-25,2.4564327912,2.5169359782,2.4520326624,2.4795341492,2268100,0.0,0.0
36,2008-06-26,2.4366309223,2.4817333297,2.4278304577,2.4388310909,2938500,0.0,0.0
37,2008-06-27,2.422330454,2.4289307505,2.3673274929,2.3761279583,3329000,0.0,0.0
38,2008-06-30,2.373927868,2.373927868,2.2683222801,2.3079242706,3048100,0.0,0.0
39,2008-07-02,2.3002234998,2.3640269176,2.2870229085,2.3475260735,1593500,0.0,0.0
40,2008-07-03,2.3332249732,2.3475258573,2.2595212237,2.3035235405,1530400,0.0,0.0
41,2008-07-07,2.315624301,2.3728274241,2.3035237937,2.3453259468,1491700,0.0,0.0
42,2008-07-08,2.3266249758,2.4102294934,2.3244248072,2.3651270866,3116200,0.0,0.0
43,2008-07-09,2.3750279781,2.3959291629,2.3662275123,2.3816282749,1155500,0.0,0.0
44,2008-07-10,2.4168294159,2.4223298365,2.3607263848,2.4036288261,1238400,0.0,0.0
45,2008-07-11,2.356326511,2.4168296753,2.3354253302,2.3805277348,1310900,0.0,0.0
46,2008-07-14,2.4091291911,2.4355305821,2.3541262405,2.3970286846,1323800,0.0,0.0
47,2008-07-15,2.3761279934,2.3904286712,2.2507210978,2.3101243973,1486900,0.0,0.0
48,2008-07-16,2.2947226264,2.3189238434,2.2826219129,2.3134236336,1055600,0.0,0.0
49,2008-07-17,2.2958232677,2.3002233946,2.1308144146,2.2441203594,3484300,0.0,0.0
50,2008-07-18,2.2485199992,2.2529201248,2.1913168975,2.2221186161,1702100,0.0,0.0
51,2008-07-21,2.2661217096,2.296923229,2.2232192635,2.2617213726,1737700,0.0,0.0
52,2008-07-22,2.2298202358,2.2925235819,2.216619432,2.2837231159,1582300,0.0,0.0
53,2008-07-23,2.2771217439,2.2771217439,2.2089180077,2.2232186794,1757200,0.0,0.0
54,2008-07-24,2.2111199762,2.2672230445,2.2111199762,2.2496221066,912300,0.0,0.0
55,2008-07-25,2.2496203486,2.281521945,2.2232187525,2.2320194244,862800,0.0,0.0
56,2008-07-28,2.2100188938,2.2331200357,2.2078187251,2.2199194431,1285100,0.0,0.0
57,2008-07-29,2.2441202521,2.2639213471,2.2188189462,2.2276194096,2786700,0.0,0.0
58,2008-07-30,2.2287194311,2.2782219574,2.2287194311,2.2738218307,3516900,0.0,0.0
59,2008-07-31,2.2386199783,2.2947230093,2.2386199783,2.2738218307,1119000,0.0,0.0
60,2008-08-04,2.2903232584,2.2947235959,2.2540213125,2.2793226242,2325300,0.0,0.0
61,2008-08-05,2.2936223671,2.3222239177,2.277121529,2.3101232052,960400,0.0,0.0
62,2008-08-06,2.307924053,2.3409259534,2.3024238411,2.3178246021,1260000,0.0,0.0
63,2008-08-07,2.3420260378,2.3629270106,2.3156244335,2.3178246021,1239900,0.0,0.0
64,2008-08-08,2.3178243839,2.4256301204,2.3156242155,2.4146296978,2200600,0.0,0.0
65,2008-08-11,2.4080298138,2.480633713,2.4014295166,2.4179303646,3210200,0.0,0.0
66,2008-08-12,2.4157295486,2.4322306021,2.3640268494,2.3827278614,3140400,0.0,0.0
67,2008-08-13,2.4432309173,2.6148402709,2.4333305794,2.5070345402,6515600,0.0,0.0
68,2008-08-14,2.5026344971,2.5895392683,2.5026344971,2.5576374531,3319000,0.0,0.0
69,2008-08-15,2.5851394358,2.6434426561,2.5851394358,2.620341301,2482400,0.0,0.0
70,2008-08-18,2.6038405349,2.6511431213,2.5884397708,2.6269416809,2105100,0.0,0.0
71,2008-08-19,2.6390419427,2.6478424077,2.5774386875,2.636841774,2280100,0.0,0.0
72,2008-08-20,2.5675374013,2.6753431194,2.5576368548,2.6390411854,3635400,0.0,0.0
73,2008-08-21,2.6302411357,2.6423418522,2.5367360757,2.6423418522,1376900,0.0,0.0
74,2008-08-22,2.6742434711,2.6852441034,2.6489421635,2.6731433868,1353900,0.0,0.0
75,2008-08-25,2.7050450492,2.7116453443,2.6401415526,2.6588425636,1409900,0.0,0.0
76,2008-08-26,2.6731442396,2.6731442396,2.6335422441,2.6566433907,2507700,0.0,0.0
77,2008-08-27,2.6775441669,2.7435477623,2.6511427707,2.7391474247,1619100,0.0,0.0
78,2008-08-28,2.7347472768,2.7369472357,2.6973452466,2.7292468548,1380100,0.0,0.0
79,2008-08-29,2.6907445051,2.7204461517,2.6907445051,2.7182459831,1330200,0.0,0.0
80,2008-09-02,2.7589476162,2.8029499287,2.7050447571,2.7809488773,1757800,0.0,0.0
81,2008-09-03,2.7501475557,2.7831492424,2.7402470077,2.7831492424,1610800,0.0,0.0
82,2008-09-04,2.7908502054,2.7919500799,2.7413474588,2.7666487694,2950800,0.0,0.0
83,2008-09-05,2.7369468649,2.7765490584,2.7237462736,2.7677485943,2369800,0.0,0.0
84,2008-09-08,2.8106507003,2.8601534399,2.7930497728,2.8172512054,1414200,0.0,0.0
85,2008-09-09,2.8271510109,2.8535523952,2.8051497525,2.8073499203,1541700,0.0,0.0
86,2008-09-10,2.8106516143,2.8458536905,2.7809501707,2.7974510193,1395900,0.0,0.0
87,2008-09-11,2.7578480005,2.8557531887,2.7281463559,2.8238515854,1390200,0.0,0.0
88,2008-09-12,2.7809496561,2.9250573485,2.7809496561,2.9173569679,2564000,0.0,0.0
89,2008-09-15,2.8788563979,2.8788563979,2.7556496125,2.7853512764,1466700,0.0,0.0
90,2008-09-16,2.7512487227,2.7710498264,2.6984459192,2.7556488514,2049000,0.0,0.0
91,2008-09-17,2.6830447471,2.7523486051,2.6830447471,2.7226469517,12691600,0.0,0.0
92,2008-09-18,2.7501472295,2.7611478604,2.6797435276,2.7116451263,3415500,0.0,0.0
93,2008-09-19,2.6951455792,2.7930508004,2.684144943,2.7710497379,1550300,0.0,0.0
94,2008-09-22,2.7611486921,2.8029508503,2.7325471272,2.7501480579,913900,0.0,0.0
95,2008-09-23,2.717145197,2.7501468756,2.6324406229,2.6951439381,2014100,0.0,0.0
96,2008-09-24,2.6951448077,2.7116456523,2.6687434143,2.6885445118,1231200,0.0,0.0
97,2008-09-25,2.6819446276,2.7105461961,2.6687440328,2.6918451786,1093200,0.0,0.0
98,2008-09-26,2.5873382285,2.8040497265,2.5873382285,2.7930490971,1024000,0.0,0.0
99,2008-09-29,2.7424477858,2.7798498177,2.639042156,2.6709439754,1930300,0.0,0.0
100,2008-09-30,2.7831494675,2.9503585028,2.7831494675,2.9129564762,10640200,0.0,0.0
101,2008-10-02,2.8700536317,2.8700536317,2.7721484587,2.7897493839,4504400,0.0,0.0
102,2008-10-03,2.7919498393,2.8546533828,2.7424473069,2.766648531,5904500,0.0,0.0
103,2008-10-06,2.7336462607,2.7512471854,2.6709429404,2.739146471,45280300,0.0,0.0
104,2008-10-07,2.7776487666,2.7963497766,2.6335411072,2.6335411072,6162700,0.0,0.0
105,2008-10-08,2.6258413376,2.70944565,2.5675381259,2.6170408726,7149000,0.0,0.0
106,2008-10-09,2.6060405178,2.640142297,2.4971346732,2.5290362835,4917100,0.0,0.0
107,2008-10-10,2.4619323362,2.6126405352,2.3134245157,2.4773333073,4589100,0.0,0.0
108,2008-10-13,2.4927340686,2.6236411689,2.441031363,2.6170408726,3309800,0.0,0.0
109,2008-10-14,2.6588420384,2.6665424161,2.4762323005,2.5301351547,2988400,0.0,0.0
110,2008-10-15,2.4905335546,2.5213352827,2.3002233944,2.3200244904,2134200,0.0,0.0
111,2008-10-16,2.3266252877,2.3409261755,2.2111191496,2.2969236374,3228200,0.0,0.0
112,2008-10-17,2.2397199372,2.3409253621,2.2111183812,2.3013231754,3075200,0.0,0.0
113,2008-10-20,2.267222061,2.368427515,2.2441207089,2.368427515,1154700,0.0,0.0
114,2008-10-21,2.3398260342,2.4421315762,2.3156245968,2.3640272617,1185500,0.0,0.0
115,2008-10-22,2.3101238983,2.3717271435,2.269421623,2.3002233505,2260600,0.0,0.0
116,2008-10-23,2.3101241011,2.3332252414,2.1836173471,2.2265195847,4003800,0.0,0.0
117,2008-10-24,2.1385146899,2.2100184807,2.0879118683,2.1088130474,3180800,0.0,0.0
118,2008-10-27,2.090111434,2.1572150788,2.0483092977,2.1143126488,2442300,0.0,0.0
119,2008-10-28,2.1506148694,2.3893276373,2.1451146593,2.3849275112,2254400,0.0,0.0
120,2008-10-29,2.368427415,2.4828334569,2.3321254716,2.425630331,1894600,0.0,0.0
121,2008-10-30,2.4949342696,2.5081348624,2.3530265338,2.4113297462,1814200,0.0,0.0
122,2008-10-31,2.4080297009,2.5598379993,2.3959291915,2.5191357136,2214000,0.0,0.0
123,2008-11-03,2.4806332169,2.5686380719,2.4564319919,2.4828333855,1667900,0.0,0.0
124,2008-11-04,2.5290352682,2.6225403123,2.5268351001,2.5642371178,1565800,0.0,0.0
125,2008-11-05,2.5741389839,2.604940723,2.4641330426,2.4740335941,1837200,0.0,0.0
126,2008-11-06,2.474032129,2.5125342276,2.3794270084,2.4102287292,1367700,0.0,0.0
127,2008-11-07,2.4256307046,2.5169356193,2.4212305764,2.4949345589,1320900,0.0,0.0
128,2008-11-10,2.5290356362,2.5851386708,2.4751327699,2.5048344135,1240200,0.0,0.0
129,2008-11-11,2.4520321491,2.4971345612,2.3343256341,2.3519265652,1223300,0.0,0.0
130,2008-11-12,2.3211254926,2.3959295691,2.2870237082,2.3002243042,1503100,0.0,0.0
131,2008-11-13,2.0879123653,2.1308148179,1.9328040308,2.0010077953,7936900,0.0,0.0
132,2008-11-14,1.9724058433,2.079111492,1.9273034406,1.9317035675,4674300,0.0,0.0
133,2008-11-17,1.9108030478,1.9559054612,1.8657004246,1.8844014406,2338300,0.0,0.0
134,2008-11-18,1.8877014849,1.8899016536,1.787596119,1.8293982744,2810600,0.0,0.0
135,2008-11-19,1.8458997491,1.8844016602,1.8183982641,1.821698308,3573500,0.0,0.0
136,2008-11-20,1.7996966802,1.8117971871,1.6005859452,1.6159867048,3045700,0.0,0.0
137,2008-11-21,1.6478885332,1.7215925036,1.568684351,1.7127920389,2998500,0.0,0.0
138,2008-11-24,1.7446936793,1.7820958101,1.6599891839,1.7589944601,2126600,0.0,0.0
139,2008-11-25,1.7919965165,1.8370989263,1.6929911267,1.7523943186,2864200,0.0,0.0
140,2008-11-26,1.7160920209,1.7930960222,1.6973910101,1.7842955589,2195300,0.0,0.0
141,2008-11-28,1.7512941841,1.782095916,1.7292930219,1.77549541,718200,0.0,0.0
142,2008-12-02,1.6610890371,1.6742897318,1.5917853115,1.6346875429,1855100,0.0,0.0
143,2008-12-03,1.6335879201,1.6874907946,1.5928856382,1.656689167,2155500,0.0,0.0
144,2008-12-04,1.6368877054,1.6368877054,1.5070807177,1.5158811808,2795500,0.0,0.0
145,2008-12-05,1.5026808292,1.6060864513,1.4795795822,1.5917856693,3482100,0.0,0.0
146,2008-12-08,1.6456883626,1.6533887424,1.5829850295,1.5884852409,3139300,0.0,0.0
147,2008-12-09,1.5818845953,1.6379876203,1.5433824946,1.6104861498,2642300,0.0,0.0
