idx,date,open,high,low,close,volume,dividends,stock_splits
1,2015-07-06,47.4026181916,49.5991626599,47.4026181916,48.7111968994,3809700,0.0,0.0
2,2015-07-07,49.2252824572,49.8795692373,48.7111948934,49.8261566162,5794300,0.0,0.0
3,2015-07-08,49.6058273027,50.4069960636,49.4322388701,50.3402328491,4276600,0.0,0.0
4,2015-07-09,51.0546169285,51.452532261,49.7393605395,49.939655304,4267100,0.0,0.0
5,2015-07-10,50.1065645703,51.9425811854,50.0731804125,51.6154327393,4983000,0.0,0.0
6,2015-07-13,53.0775835754,53.2111100501,52.0160343489,52.6302642822,9078900,0.0,0.0
7,2015-07-14,53.04419035,53.0775745098,51.8424370023,52.0761108398,18746100,0.0,0.0
8,2015-07-15,51.8424330467,52.1896048512,51.007880052,51.2148475647,6330500,0.0,0.0
9,2015-07-16,51.3884330514,52.6369209995,51.3750773518,52.5768356323,5634100,0.0,0.0
10,2015-07-17,53.0308374151,53.2044258698,51.5820545919,53.1643638611,6100900,0.0,0.0
11,2015-07-20,53.3780037282,54.2125566639,52.8305372062,53.484828949,10284500,0.0,0.0
12,2015-07-21,53.3913703236,53.8653958766,53.010814311,53.5582809448,6088600,0.0,0.0
13,2015-07-22,53.9655099617,54.012244703,52.463315298,52.5033721924,5201200,0.0,0.0
14,2015-07-23,52.7252885979,52.8261413641,51.5285154338,51.5957489014,2975400,0.55,0.0
15,2015-07-24,51.716759179,52.0596564526,51.0645839225,51.3738670349,3116000,0.0,0.0
16,2015-07-27,51.5217805202,52.4294501099,51.2931857489,52.0260391235,5774300,0.0,0.0
17,2015-07-28,52.7387223073,52.8799140852,52.1067166191,52.658039093,1895900,0.0,0.0
18,2015-07-29,52.6176972417,52.6445916451,51.7705414902,52.3823776245,2278600,0.0,0.0
19,2015-07-30,52.5840905387,53.579163182,52.1739597664,53.2564353943,3247000,0.0,0.0
20,2015-07-31,53.7472506212,53.7472506212,53.0244768073,53.4312477112,2685500,0.0,0.0
21,2015-08-03,53.7875922336,54.4801066629,53.7270836545,54.0363616943,2681800,0.0,0.0
22,2015-08-04,54.1708231409,54.4599316251,53.5657117636,53.6598396301,2429600,0.0,0.0
23,2015-08-05,53.794291567,54.4599112685,53.6867139715,54.110294342,4324300,0.0,0.0
24,2015-08-06,54.4935460786,54.5876739368,53.4581345093,53.6262207031,3708600,0.0,0.0
25,2015-08-07,53.2093613683,53.3707226668,51.9655246473,52.752166748,3274100,0.0,0.0
26,2015-08-10,53.4043472269,53.6531166475,52.8261302933,52.9874916077,3252300,0.0,0.0
27,2015-08-11,52.1941143804,54.1103007751,51.8176030103,52.4227142334,3889100,0.0,0.0
28,2015-08-12,52.3285988482,52.6513214909,51.1587151619,51.5621261597,3688800,0.0,0.0
29,2015-08-13,51.7772554987,51.8175945305,50.9637192046,51.0914611816,2917500,0.0,0.0
30,2015-08-14,51.1452612823,51.5957310016,50.5045148114,51.3805809021,2572800,0.0,0.0
31,2015-08-17,51.0040688986,51.3738605321,50.7687492816,50.9637298584,2260300,0.0,0.0
32,2015-08-18,50.9099460279,51.0666035059,50.4661960243,50.553604126,2009700,0.0,0.0
33,2015-08-19,50.4258593322,50.6208399372,49.6997257268,50.2779426575,3025700,0.0,0.0
34,2015-08-20,49.7669435725,50.2671701562,49.6055823096,49.921585083,2207000,0.0,0.0
35,2015-08-21,49.2896057139,49.9216115964,48.5836466075,48.5903663635,5564500,0.0,0.0
36,2015-08-24,45.8808045688,48.5701835843,41.2954135525,47.6490745544,9844600,0.0,0.0
37,2015-08-25,48.099545863,48.6777627804,47.064134293,47.2053260803,4423400,0.0,0.0
38,2015-08-26,48.2205642129,49.8274676858,46.7481276324,49.6930007935,5356300,0.0,0.0
39,2015-08-27,49.1954644228,50.5939427423,49.1618502628,50.5468788147,5937800,0.0,0.0
40,2015-08-28,50.022457125,50.5536101642,49.6324958867,50.2174377441,2150100,0.0,0.0
41,2015-08-31,49.8946930211,50.0426096564,48.7920482682,48.8525619507,2688400,0.0,0.0
42,2015-09-02,47.6289080249,48.4558944702,47.2725660653,48.4558944702,2986500,0.0,0.0
43,2015-09-03,48.7853331786,49.6795529228,48.2676299806,48.5163993835,2595300,0.0,0.0
44,2015-09-04,47.8306126137,48.2004043361,47.1508708978,47.4473762512,2997000,0.0,0.0
45,2015-09-08,48.3079764965,49.9753939832,47.6087372362,49.8005828857,4450700,0.0,0.0
46,2015-09-09,50.0560543313,50.0896736137,48.3953674478,48.523109436,2936400,0.0,0.0
47,2015-09-10,48.4962247323,49.1147857977,48.2609050969,48.5163993835,3619700,0.0,0.0
48,2015-09-11,48.5768983937,49.7064375511,48.1398733684,49.5921401978,2146700,0.0,0.0
49,2015-09-14,49.4173572352,50.2308940652,48.7819914187,50.1233215332,2927400,0.0,0.0
50,2015-09-15,50.3855153156,50.7754713575,49.5887833286,50.6880683899,3393300,0.0,0.0
51,2015-09-16,50.5603223608,51.5755643537,49.9552161989,51.3469696045,2302800,0.0,0.0
52,2015-09-17,51.4881627676,52.2815297868,51.0982015771,51.3873100281,3142600,0.0,0.0
53,2015-09-18,50.7956456465,51.4343710786,50.4325788821,50.7216873169,7231700,0.0,0.0
54,2015-09-21,50.889782099,51.2259545159,50.3989681135,50.5603294373,3256300,0.0,0.0
55,2015-09-22,49.8543530381,50.3384419701,49.5249056209,49.9619255066,2628700,0.0,0.0
56,2015-09-23,49.8677980689,50.1555625034,49.2526021404,49.2895812988,3713200,0.0,0.0
57,2015-09-24,49.0811707124,49.1752985746,48.207120415,49.027381897,4416100,0.0,0.0
58,2015-09-25,49.6190330594,49.6526472114,48.9332387014,49.3164749146,3517000,0.0,0.0
59,2015-09-28,48.9534074542,49.2626853469,47.0573959351,47.0573959351,5006600,0.0,0.0
60,2015-09-29,47.1717120619,47.7230345743,46.1564700113,46.5262565613,3870900,0.0,0.0
61,2015-09-30,46.8422615107,47.6020144262,46.7010697167,47.4540977478,3132800,0.0,0.0
62,2015-10-02,47.1918694979,48.0457448898,46.6405471266,48.0121307373,2593100,0.0,0.0
63,2015-10-05,48.4088138942,49.249244691,47.971788854,48.5701751709,6323500,0.0,0.0
64,2015-10-06,48.603793132,49.1147764788,48.3348542585,48.7248153687,2760200,0.0,0.0
65,2015-10-07,48.9063468905,49.5786915197,48.7315409802,49.1820106506,2325200,0.0,0.0
66,2015-10-08,49.1887347598,50.0695045688,48.9063461215,50.0426101685,2239700,0.0,0.0
67,2015-10-09,50.0291777651,50.5737753978,49.7467890577,50.0157279968,2938100,0.0,0.0
68,2015-10-12,50.0291929676,50.0291929676,49.2896093779,49.5652732849,2081100,0.0,0.0
69,2015-10-13,49.4913000354,49.7064501614,49.2021915726,49.3366584778,2147500,0.0,0.0
70,2015-10-14,49.1618455643,49.9552125035,49.0811623549,49.598865509,1956800,0.0,0.0
71,2015-10-15,49.8543524787,50.5737609863,49.7010549162,50.5737609863,2135700,0.0,0.0
72,2015-10-16,50.8830516949,52.4428913345,50.3384540802,52.0327606201,3435200,0.0,0.0
73,2015-10-19,51.6965826259,51.9050078376,51.2931768392,51.6360740662,1951900,0.0,0.0
74,2015-10-20,51.2326725089,51.878128041,51.1721639382,51.6831474304,1922100,0.0,0.0
75,2015-10-21,51.7705494095,52.2680831233,51.5217799877,51.8041687012,2370100,0.0,0.0
76,2015-10-22,51.9184560287,53.7472343445,51.9184560287,53.7472343445,3951700,0.0,0.0
77,2015-10-23,53.2160931921,53.7136269195,52.0596592883,52.4294509888,3179000,0.0,0.0
78,2015-10-26,52.5639174281,52.5639174281,51.4209333034,51.6428031921,2563800,0.0,0.0
79,2015-10-27,51.2394028912,52.0932837648,51.2394028912,51.884853363,2435200,0.0,0.0
80,2015-10-28,51.8714003887,53.2497040989,51.3267976331,53.2362594604,2382000,0.0,0.0
81,2015-10-29,53.0076438672,53.1132055357,52.3413521985,52.879901886,1788500,0.0,0.0
