idx,date,open,high,low,close,volume,dividends,stock_splits
1,1980-10-08,0.0,0.6231411049,0.6121122241,0.6121122241,2889600,0.0,0.0
2,1980-10-09,0.0,0.6231408528,0.617626667,0.617626667,1176000,0.0,0.0
3,1980-10-10,0.0,0.6893151405,0.6727715731,0.6727715731,1824000,0.0,0.0
4,1980-10-13,0.0,0.7334318377,0.7224024534,0.7224024534,679200,0.0,0.0
5,1980-10-14,0.0,0.6893155549,0.6782866716,0.6782866716,640800,0.0,0.0
6,1980-10-15,0.0,0.7168882529,0.7003446817,0.7003446817,408000,0.0,0.0
7,1980-10-16,0.0,0.6948301755,0.6838012934,0.6838012934,554400,0.0,0.0
8,1980-10-17,0.0,0.700344764,0.6893153787,0.6893153787,456000,0.0,0.0
9,1980-10-20,0.0,0.7224025074,0.7113736272,0.7113736272,213600,0.0,0.0
10,1980-10-21,0.0,0.6893155549,0.6782866716,0.6782866716,405600,0.0,0.0
11,1980-10-22,0.0,0.700344764,0.6893153787,0.6893153787,141600,0.0,0.0
12,1980-10-23,0.0,0.694830249,0.6782866716,0.6782866716,180000,0.0,0.0
13,1980-10-24,0.0,0.7113736329,0.69483006,0.69483006,115200,0.0,0.0
14,1980-10-27,0.0,0.700344869,0.6838012934,0.6838012934,136800,0.0,0.0
15,1980-10-28,0.0,0.6838009546,0.6727715731,0.6727715731,168000,0.0,0.0
16,1980-10-29,0.0,0.6893155549,0.6782866716,0.6782866716,144000,0.0,0.0
17,1980-10-30,0.0,0.6617428596,0.6507139802,0.6507139802,163200,0.0,0.0
18,1980-10-31,0.0,0.6727716955,0.6562281251,0.6562281251,124800,0.0,0.0
19,1980-11-03,0.0,0.6782863766,0.6617428064,0.6617428064,74400,0.0,0.0
20,1980-11-05,0.0,0.6838009966,0.6672574282,0.6672574282,105600,0.0,0.0
21,1980-11-06,0.0,0.6562281896,0.6396846175,0.6396846175,72000,0.0,0.0
22,1980-11-07,0.0,0.6396847449,0.6231411695,0.6231411695,139200,0.0,0.0
23,1980-11-10,0.0,0.667257735,0.650714159,0.650714159,105600,0.0,0.0
24,1980-11-11,0.0,0.7113737586,0.7058590651,0.7058590651,134400,0.0,0.0
25,1980-11-12,0.0,0.7554896356,0.7334318757,0.7334318757,84000,0.0,0.0
26,1980-11-13,0.0,0.7554892264,0.738945663,0.738945663,88800,0.0,0.0
27,1980-11-14,0.0,0.7775477793,0.7610042095,0.7610042095,172800,0.0,0.0
28,1980-11-17,0.0,0.821663982,0.8051204085,0.8051204085,112800,0.0,0.0
29,1980-11-18,0.0,0.8437221694,0.8271785975,0.8271785975,206400,0.0,0.0
30,1980-11-19,0.0,0.8437222187,0.8326933384,0.8326933384,55200,0.0,0.0
31,1980-11-20,0.0,0.8106350352,0.7940914631,0.7940914631,132000,0.0,0.0
32,1980-11-21,0.0,0.8106350352,0.7940914631,0.7940914631,64800,0.0,0.0
33,1980-11-24,0.0,0.8106351691,0.788576901,0.788576901,57600,0.0,0.0
34,1980-11-25,0.0,0.8657805999,0.8492370248,0.8492370248,50400,0.0,0.0
35,1980-11-26,0.0,0.8602659188,0.8437223434,0.8437223434,50400,0.0,0.0
36,1980-11-28,0.0,0.8602659188,0.8437223434,0.8437223434,64800,0.0,0.0
37,1980-12-02,0.0,0.8382077315,0.8216641545,0.8216641545,67200,0.0,0.0
38,1980-12-03,0.0,0.8382077315,0.8216641545,0.8216641545,93600,0.0,0.0
39,1980-12-04,0.0,0.8382077315,0.8216641545,0.8216641545,72000,0.0,0.0
40,1980-12-05,0.0,0.8326935395,0.8106352687,0.8106352687,81600,0.0,0.0
41,1980-12-08,0.0,0.7610040804,0.7168880701,0.7168880701,105600,0.0,0.0
42,1980-12-09,0.0,0.7610040804,0.7168880701,0.7168880701,50400,0.0,0.0
43,1980-12-10,0.0,0.7720331565,0.7279171348,0.7279171348,256800,0.0,0.0
44,1980-12-11,0.0,0.7610040804,0.7168880701,0.7168880701,120000,0.0,0.0
45,1980-12-12,0.0,0.7610040804,0.7168880701,0.7168880701,55200,0.0,0.0
46,1980-12-15,0.0,0.7499757165,0.7113738656,0.7113738656,86400,0.0,0.0
47,1980-12-16,0.0,0.755489906,0.7113738656,0.7113738656,36000,0.0,0.0
48,1980-12-17,0.0,0.7499757165,0.7113738656,0.7113738656,9600,0.0,0.0
49,1980-12-18,0.0,0.7499757165,0.7113738656,0.7113738656,91200,0.0,0.0
50,1980-12-19,0.0,0.7499756037,0.7058590651,0.7058590651,26400,0.0,0.0
51,1980-12-22,0.0,0.7499756037,0.7058590651,0.7058590651,12000,0.0,0.0
52,1980-12-23,0.0,0.7499756037,0.7058590651,0.7058590651,1063200,0.0,0.0
53,1980-12-24,0.0,0.7499756037,0.7058590651,0.7058590651,57600,0.0,0.0
54,1980-12-26,0.0,0.7499756037,0.7058590651,0.7058590651,28800,0.0,0.0
55,1980-12-29,0.0,0.7499756037,0.7058590651,0.7058590651,40800,0.0,0.0
56,1980-12-30,0.0,0.7499756037,0.7058590651,0.7058590651,40800,0.0,0.0
57,1980-12-31,0.0,0.7389462166,0.7058590651,0.7058590651,76800,0.0,0.0
58,1981-01-02,0.0,0.738945967,0.7058588266,0.7058588266,16800,0.0,0.0
59,1981-01-05,0.0,0.7389462762,0.6948302388,0.6948302388,86400,0.0,0.0
60,1981-01-06,0.0,0.7499753504,0.7058588266,0.7058588266,144000,0.0,0.0
61,1981-01-07,0.0,0.6948300662,0.6507140398,0.6507140398,196800,0.0,0.0
62,1981-01-08,0.0,0.6782864539,0.6396846175,0.6396846175,55200,0.0,0.0
63,1981-01-09,0.0,0.6782864539,0.6396846175,0.6396846175,14400,0.0,0.0
64,1981-01-12,0.0,0.7058590665,0.6672577262,0.6672577262,93600,0.0,0.0
65,1981-01-13,0.0,0.6948298216,0.6617426872,0.6617426872,40800,0.0,0.0
66,1981-01-14,0.0,0.6948300662,0.6507140398,0.6507140398,24000,0.0,0.0
67,1981-01-15,0.0,0.6948300662,0.6507140398,0.6507140398,28800,0.0,0.0
68,1981-01-16,0.0,0.612112292,0.5955687165,0.5955687165,86400,0.0,0.0
69,1981-01-19,0.0,0.6727718006,0.6507140398,0.6507140398,122400,0.0,0.0
70,1981-01-20,0.0,0.661742499,0.6286553741,0.6286553741,153600,0.0,0.0
