idx,date,open,high,low,close,volume,dividends,stock_splits
1,1992-06-17,4.9168275548,5.0614401299,4.4829898294,4.5914492607,902000,0.0,0.0
2,1992-06-18,4.5914508476,4.5914508476,4.3383787537,4.5191445351,421400,0.0,0.0
3,1992-06-19,4.519144694,4.5914510091,4.4829915365,4.5552978516,453400,0.0,0.0
4,1992-06-22,4.5552976874,4.5552976874,4.3745319062,4.4106850624,597200,0.0,0.0
5,1992-06-23,4.4106852214,4.4829915365,4.4106852214,4.4468383789,853800,0.0,0.0
6,1992-06-24,4.4468385405,4.4829916993,4.3383790639,4.3745322227,357600,0.0,0.0
7,1992-06-25,4.4468383789,4.519144694,4.4468383789,4.4468383789,785000,0.0,0.0
8,1992-06-26,4.4468371176,4.4829902649,4.4106839703,4.4829902649,435000,0.0,0.0
9,1992-06-29,4.4468382225,4.5191445351,4.4106850662,4.5191445351,386600,0.0,0.0
10,1992-06-30,4.519144232,4.6637568474,4.519144232,4.6637568474,884400,0.0,0.0
11,1992-07-02,4.5914486619,4.66375494,4.4468361056,4.66375494,1788200,0.0,0.0
12,1992-07-06,4.5914501952,4.5914501952,4.4468375906,4.4829907417,580400,0.0,0.0
13,1992-07-07,4.5191441846,4.5191441846,4.1576126498,4.2299189568,1147000,0.0,0.0
14,1992-07-08,4.2660715773,4.2660715773,3.9406932367,4.0129995346,1192800,0.0,0.0
15,1992-07-09,4.0130000359,4.2299189568,4.0130000359,4.2299189568,2136600,0.0,0.0
16,1992-07-10,4.1576107134,4.19376385,4.0853044401,4.1214575768,866200,0.0,0.0
17,1992-07-13,4.1214582277,4.1937645124,4.1214582277,4.1576113701,846600,0.0,0.0
18,1992-07-14,4.1214593361,4.1937656403,4.1214593361,4.1937656403,990000,0.0,0.0
19,1992-07-15,4.1937658033,4.2660721102,4.1937658033,4.2299189568,1080400,0.0,0.0
20,1992-07-16,4.1937645124,4.2299176548,4.1214582277,4.1576113701,2689000,0.0,0.0
21,1992-07-17,4.0853063429,4.2299189568,4.0853063429,4.2299189568,840400,0.0,0.0
22,1992-07-20,4.0129981668,4.1576107134,3.9768450302,4.1214575768,1228200,0.0,0.0
23,1992-07-21,4.0491513035,4.19376385,4.0491513035,4.1214575768,1279600,0.0,0.0
24,1992-07-22,4.0129997407,4.3745312489,4.0129997407,4.2660717964,2743000,0.0,0.0
25,1992-07-23,4.2299189568,4.3383784172,4.2299189568,4.2299189568,2203800,0.0,0.0
26,1992-07-24,4.1937670507,4.3383797077,4.1937670507,4.3022265434,1404000,0.0,0.0
27,1992-07-27,4.3022290587,4.3745354295,4.229922688,4.3383822441,1308000,0.0,0.0
28,1992-07-28,4.3022290587,4.3745354295,4.2660758734,4.3383822441,1134400,0.0,0.0
29,1992-07-29,4.3383780981,4.3745312489,4.1937654948,4.2660717964,1697600,0.0,0.0
30,1992-07-30,4.3022290587,4.3383822441,4.1937695026,4.3383822441,912800,0.0,0.0
31,1992-07-31,4.3022240292,4.3745303154,4.3022240292,4.3745303154,1303000,0.0,0.0
32,1992-08-03,4.3383789063,4.4468383789,4.3022257487,4.4468383789,1616800,0.0,0.0
33,1992-08-04,4.4468390096,4.5191453349,4.4468390096,4.4829921722,1457000,0.0,0.0
34,1992-08-05,4.4829921722,4.5191453349,4.4829921722,4.4829921722,492000,0.0,0.0
35,1992-08-06,4.4468377379,4.4829908903,4.3383782809,4.4106845856,1277800,0.0,0.0
36,1992-08-07,4.3022238572,4.3745301406,4.3022238572,4.3383769989,306200,0.0,0.0
37,1992-08-10,4.229920215,4.3383797077,4.1937670507,4.3022265434,593000,0.0,0.0
38,1992-08-11,4.3022231398,4.3022231398,4.1937637329,4.1937637329,1804800,0.0,0.0
39,1992-08-12,4.3022231398,4.3383762754,4.1214574617,4.1937637329,1591600,0.0,0.0
40,1992-08-13,4.2299175739,4.3745301406,4.2299175739,4.3383769989,1100600,0.0,0.0
41,1992-08-14,4.3383793604,4.5914514897,4.3383793604,4.5552983284,1476600,0.0,0.0
42,1992-08-17,4.4829912261,4.6276038463,4.4829912261,4.5914506912,1461000,0.0,0.0
43,1992-08-18,4.627603054,4.7360625006,4.5914499052,4.627603054,1660200,0.0,0.0
44,1992-08-19,4.6276038463,4.6999101564,4.5552975362,4.5914506912,928000,0.0,0.0
45,1992-08-20,4.6276032204,4.6637563705,4.6276032204,4.6637563705,370400,0.0,0.0
46,1992-08-21,4.6276027795,4.8083685131,4.6276027795,4.7722153664,3771600,0.0,0.0
47,1992-08-24,4.5914500702,4.7360626709,4.5914500702,4.6637563705,2085000,0.0,0.0
48,1992-08-25,4.6999111176,4.73606428,4.5914516302,4.6999111176,1168800,0.0,0.0
49,1992-08-26,4.6637566981,4.7360630035,4.6276035454,4.7360630035,1347000,0.0,0.0
50,1992-08-27,4.73606428,4.7722174424,4.6999111176,4.6999111176,764400,0.0,0.0
51,1992-08-28,4.6637563705,4.6999095207,4.6276032204,4.6637563705,516800,0.0,0.0
