idx,date,open,high,low,close,volume,dividends,stock_splits
1,1984-05-04,0.1003315225,0.1015857653,0.1003315225,0.1003315225,25789500,0.0,0.0
2,1984-05-07,0.1003314819,0.1015857241,0.0990772396,0.0990772396,1026000,0.0,0.0
3,1984-05-08,0.0990772396,0.1003314819,0.0990772396,0.0990772396,1372500,0.0,0.0
4,1984-05-09,0.0990772396,0.1003314819,0.0990772396,0.0990772396,7416000,0.0,0.0
5,1984-05-10,0.0990772205,0.0990772205,0.0965691805,0.0965691805,3037500,0.0,0.0
6,1984-05-11,0.0965692138,0.0978234563,0.0953149647,0.0953149647,2281500,0.0,0.0
7,1984-05-14,0.0953149647,0.0990772547,0.0953149647,0.0953149647,499500,0.0,0.0
8,1984-05-15,0.097823441,0.1003314815,0.097823441,0.097823441,436500,0.0,0.0
9,1984-05-16,0.097823441,0.1003314815,0.097823441,0.097823441,351000,0.0,0.0
10,1984-05-17,0.097823441,0.0990772392,0.097823441,0.097823441,652500,0.0,0.0
11,1984-05-18,0.0877899341,0.0877899341,0.0852818936,0.0852818936,3847500,0.0,0.0
12,1984-05-21,0.0852818936,0.0877899341,0.0852818936,0.0852818936,2254500,0.0,0.0
13,1984-05-22,0.0852818936,0.0877899341,0.0852818936,0.0852818936,121500,0.0,0.0
14,1984-05-23,0.0865361542,0.0877899458,0.0865361542,0.0865361542,148500,0.0,0.0
15,1984-05-24,0.0865361542,0.0877899458,0.0865361542,0.0865361542,234000,0.0,0.0
16,1984-05-25,0.0865361542,0.0877899458,0.0865361542,0.0865361542,1584000,0.0,0.0
17,1984-05-29,0.0865361542,0.0890441882,0.0865361542,0.0865361542,193500,0.0,0.0
18,1984-05-30,0.0865361542,0.0877899458,0.0865361542,0.0865361542,333000,0.0,0.0
19,1984-05-31,0.0865361542,0.0877899458,0.0865361542,0.0865361542,4500,0.0,0.0
20,1984-06-04,0.0902984366,0.0928069281,0.0902984366,0.0902984366,72000,0.0,0.0
21,1984-06-05,0.0915526524,0.0928069012,0.0915526524,0.0915526524,1035000,0.0,0.0
22,1984-06-06,0.0915526524,0.0928069012,0.0915526524,0.0915526524,1489500,0.0,0.0
23,1984-06-07,0.0940607265,0.0965692182,0.0940607265,0.0940607265,414000,0.0,0.0
24,1984-06-08,0.0940607265,0.0965692182,0.0940607265,0.0940607265,1174500,0.0,0.0
25,1984-06-11,0.0940607265,0.0978234607,0.0940607265,0.0940607265,1201500,0.0,0.0
26,1984-06-12,0.0953149572,0.0978234486,0.0953149572,0.0953149572,1264500,0.0,0.0
27,1984-06-13,0.0953149572,0.0990772469,0.0953149572,0.0953149572,729000,0.0,0.0
28,1984-06-14,0.0953149572,0.1003314893,0.0953149572,0.0953149572,103500,0.0,0.0
29,1984-06-15,0.0953149572,0.1003314893,0.0953149572,0.0953149572,13500,0.0,0.0
30,1984-06-18,0.0953149572,0.1003314893,0.0953149572,0.0953149572,45000,0.0,0.0
31,1984-06-19,0.0965691656,0.100331447,0.0965691656,0.0965691656,58500,0.0,0.0
32,1984-06-20,0.0965691656,0.0990772052,0.0965691656,0.0965691656,207000,0.0,0.0
33,1984-06-21,0.0965691656,0.0990772052,0.0965691656,0.0965691656,108000,0.0,0.0
34,1984-06-22,0.0965691656,0.0990772052,0.0965691656,0.0965691656,148500,0.0,0.0
35,1984-06-25,0.0965692063,0.0978234486,0.0953149572,0.0953149572,108000,0.0,0.0
36,1984-06-26,0.0953149543,0.0978234456,0.0928069204,0.0928069204,153000,0.0,0.0
37,1984-06-27,0.0928069204,0.0965692033,0.0928069204,0.0928069204,27000,0.0,0.0
38,1984-06-28,0.0928069281,0.0928069281,0.0902984366,0.0902984366,603000,0.0,0.0
39,1984-06-29,0.0902984366,0.0928069281,0.0902984366,0.0902984366,36000,0.0,0.0
40,1984-07-02,0.090298444,0.0915526865,0.090298444,0.090298444,36000,0.0,0.0
41,1984-07-03,0.0877899494,0.0877899494,0.0852819085,0.0852819085,90000,0.0,0.0
42,1984-07-05,0.0852819085,0.0877899494,0.0852819085,0.0852819085,40500,0.0,0.0
43,1984-07-06,0.0852819085,0.0877899494,0.0852819085,0.0852819085,45000,0.0,0.0
44,1984-07-09,0.0852818936,0.0865361426,0.0827734023,0.0827734023,67500,0.0,0.0
45,1984-07-10,0.0827734023,0.0865361426,0.0827734023,0.0827734023,9000,0.0,0.0
46,1984-07-11,0.0840276703,0.0877899539,0.0840276703,0.0840276703,481500,0.0,0.0
47,1984-07-12,0.0840276703,0.0865361621,0.0840276703,0.0840276703,3829500,0.0,0.0
48,1984-07-13,0.0840276703,0.0877899539,0.0840276703,0.0840276703,450000,0.0,0.0
