idx,date,open,high,low,close,volume,dividends,stock_splits
1,2007-07-27,12.5,14.3199996948,12.4600000381,14.0,29257200,0.0,0.0
2,2007-07-30,14.4300003052,15.9250001907,14.1800003052,14.9899997711,5767200,0.0,0.0
3,2007-07-31,16.0,17.0849990845,15.1049995422,16.0699996948,4441600,0.0,0.0
4,2007-08-02,16.0,16.9150009155,15.9899997711,16.5249996185,1969400,0.0,0.0
5,2007-08-03,17.2250003815,17.25,15.0450000763,15.5,2349400,0.0,0.0
6,2007-08-06,16.0,16.4249992371,15.0450000763,16.375,3002200,0.0,0.0
7,2007-08-07,16.5,18.5149993896,16.0650005341,18.1200008392,3980800,0.0,0.0
8,2007-08-08,18.5,19.4249992371,18.2000007629,18.875,4066800,0.0,0.0
9,2007-08-09,18.3250007629,18.875,17.25,17.6749992371,1828200,0.0,0.0
10,2007-08-10,17.0,18.1000003815,16.1299991608,18.0750007629,2232800,0.0,0.0
11,2007-08-13,19.0,19.0,18.2549991608,18.4400005341,962800,0.0,0.0
12,2007-08-14,18.5,18.5949993134,16.7450008392,16.75,2153400,0.0,0.0
13,2007-08-15,17.625,17.625,16.0550003052,16.7250003815,1529200,0.0,0.0
14,2007-08-16,15.9750003815,16.6949996948,14.3500003815,16.0149993896,2732400,0.0,0.0
15,2007-08-17,17.4950008392,17.4950008392,15.8400001526,16.4699993134,1150000,0.0,0.0
16,2007-08-20,17.0,17.0849990845,16.0,16.5,582200,0.0,0.0
17,2007-08-21,16.8799991608,17.3500003815,16.1499996185,17.0100002289,1251000,0.0,0.0
18,2007-08-22,17.3999996185,18.0,17.0499992371,17.1450004578,819400,0.0,0.0
19,2007-08-23,17.6200008392,17.6200008392,16.8099994659,16.8950004578,619000,0.0,0.0
20,2007-08-24,17.1149997711,17.2450008392,16.6450004578,17.1849994659,354200,0.0,0.0
21,2007-08-27,17.25,17.25,16.4349994659,16.5249996185,375000,0.0,0.0
22,2007-08-28,16.4599990845,16.4899997711,16.0400009155,16.1499996185,637000,0.0,0.0
23,2007-08-29,16.1749992371,16.875,16.1749992371,16.7450008392,1069600,0.0,0.0
24,2007-08-30,16.1900005341,16.8950004578,16.1900005341,16.7849998474,682200,0.0,0.0
25,2007-08-31,16.8999996185,17.3850002289,16.8349990845,17.0349998474,776200,0.0,0.0
26,2007-09-04,17.0,17.625,16.9950008392,17.4799995422,665400,0.0,0.0
27,2007-09-05,17.4449996948,17.6049995422,16.6550006866,17.4200000763,621400,0.0,0.0
28,2007-09-06,17.625,18.6200008392,17.1350002289,18.4750003815,1376800,0.0,0.0
29,2007-09-07,17.7749996185,18.2999992371,17.3799991608,17.9500007629,1053600,0.0,0.0
30,2007-09-10,18.4899997711,18.4899997711,17.8199996948,18.3299999237,1852400,0.0,0.0
31,2007-09-11,17.25,18.2199993134,17.1800003052,17.8099994659,2988400,0.0,0.0
