idx,date,open,high,low,close,volume,dividends,stock_splits
1,1998-03-23,13.1227655411,13.1227655411,13.1227655411,13.1227655411,1073,0.0,0.0
2,1998-03-24,13.3050214079,13.6239776611,13.3050214079,13.6239776611,116711,0.0,0.0
3,1998-03-25,13.806237599,13.8290195465,13.6695414388,13.8290195465,27891,0.0,0.0
4,1998-03-26,13.7378910337,13.7606744766,13.6011963426,13.7606744766,76163,0.0,0.0
5,1998-03-27,13.7151109192,13.7151109192,13.2594584075,13.4417200089,847444,0.0,0.0
6,1998-03-30,13.2594560358,13.4189341627,13.0316305665,13.0999794006,384890,0.0,0.0
7,1998-03-31,13.1683328429,13.2822456303,12.9405072681,13.0544185638,644701,0.0,0.0
8,1998-04-02,12.7126769108,13.3505895485,12.7126769108,13.305024147,1046539,0.0,0.0
9,1998-04-03,13.2594486772,13.5784047539,13.0316233344,13.5100574493,766990,0.0,0.0
10,1998-04-06,13.4645028756,13.5556336825,13.1227645874,13.1227645874,417715,0.0,0.0
11,1998-04-07,13.2138973428,13.2138973428,12.5759845841,12.8721590042,1516388,0.0,0.0
12,1998-04-08,12.872153606,12.9405009467,12.5987612598,12.8265867233,602007,0.0,0.0
13,1998-04-09,12.849366188,13.1455389007,12.5759754181,12.5759754181,711209,0.0,0.0
14,1998-04-13,12.3937186261,12.621544838,12.3025885889,12.621544838,1257864,0.0,0.0
15,1998-04-14,12.6671150011,13.2138969222,12.6671150011,13.191113472,1577532,0.0,0.0
16,1998-04-15,13.5784164559,13.5784164559,13.3050255105,13.5556344986,596858,0.0,0.0
17,1998-04-16,13.5492438448,13.5492438448,12.7965077437,12.8421268463,422864,0.020975,0.0
18,1998-04-17,12.8421258259,12.8877479118,12.4771633268,12.5455942154,788444,0.0,0.0
19,1998-04-20,12.5227862203,12.5455957726,12.2034435272,12.2034435272,577120,0.0,0.0
20,1998-04-21,12.2490652289,12.385926297,11.5875701904,11.5875701904,825346,0.0,0.0
21,1998-04-22,11.5875746522,11.8612976407,11.5875746522,11.7928667068,1218817,0.0,0.0
22,1998-04-23,11.6331917222,11.7244329453,11.496331381,11.7244329453,976169,0.0,0.0
23,1998-04-24,11.6788130475,11.9069146111,11.6788130475,11.8612947464,862676,0.0,0.0
24,1998-04-27,11.7928638293,11.9069146111,11.6788130475,11.8612947464,861818,0.0,0.0
25,1998-04-28,11.8841061144,12.3174997485,11.8612965519,12.157828331,305509,0.0,0.0
26,1998-04-29,12.2490632603,12.2490632603,11.9981514668,12.089392662,948279,0.0,0.0
27,1998-04-30,12.0665802618,12.1350111505,11.6788082123,11.6788082123,1989240,0.0,0.0
28,1998-05-04,12.4999742508,12.5684043961,12.4087338081,12.4999742508,462340,0.0,0.0
