idx,date,open,high,low,close,volume,dividends,stock_splits
1,1993-03-19,0.1864212281,0.1986456495,0.1772529244,0.1818373501,90045169,0.0,0.0
2,1993-03-22,0.177252988,0.1787813131,0.1726691085,0.1741968691,13600406,0.0,0.0
3,1993-03-23,0.1741968691,0.177252988,0.1726691085,0.1741968691,8301488,0.0,0.0
4,1993-03-24,0.177252844,0.1787811678,0.1726689681,0.177252844,3663225,0.0,0.0
5,1993-03-25,0.1803090913,0.186421296,0.178781314,0.1848935187,4250981,0.0,0.0
6,1993-03-26,0.1864211763,0.1971172537,0.1848934,0.1910056174,8315156,0.0,0.0
7,1993-03-29,0.1940611801,0.1940611801,0.1910056437,0.1925334036,7362900,0.0,0.0
8,1993-03-30,0.1925334687,0.1971173475,0.1894773668,0.1955895871,3809025,0.0,0.0
9,1993-03-31,0.1986456549,0.1986456549,0.1925334357,0.1971173137,3321506,0.0,0.0
10,1993-04-02,0.1986456364,0.1986456364,0.1925334178,0.1986456364,1904513,0.0,0.0
11,1993-04-05,0.1986455948,0.1986455948,0.1925333775,0.1971172541,441956,0.0,0.0
12,1993-04-06,0.1955895059,0.1971172657,0.1925333887,0.1925333887,874800,0.0,0.0
13,1993-04-07,0.1971172541,0.1971172541,0.1925333775,0.1971172541,1366875,0.0,0.0
14,1993-04-08,0.1971172954,0.1986456364,0.1925334178,0.1986456364,947700,0.0,0.0
15,1993-04-12,0.1986456928,0.1986456928,0.1940612495,0.1940612495,186806,0.0,0.0
16,1993-04-13,0.1986456002,0.2078139016,0.1955894998,0.2017017007,2022975,0.0,0.0
17,1993-04-14,0.201701784,0.2185100862,0.201701784,0.2093417645,6187388,0.0,0.0
18,1993-04-15,0.2108700187,0.2108700187,0.1986456002,0.2017017007,3544763,0.0,0.0
19,1993-04-16,0.2047577351,0.206285511,0.2017016357,0.2047577351,2063981,0.0,0.0
20,1993-04-19,0.2047578385,0.2047578385,0.1971172954,0.1986456364,1672144,0.0,0.0
21,1993-04-20,0.1986456364,0.1986456364,0.1925334178,0.1986456364,2360138,0.0,0.0
22,1993-04-21,0.1955895737,0.2108700984,0.1925334555,0.2062856555,3166594,0.0,0.0
23,1993-04-22,0.2078139407,0.2230944624,0.2047578396,0.2169822603,2984344,0.0,0.0
24,1993-04-23,0.2230945641,0.2292067856,0.2169823593,0.2292067856,1868063,0.0,0.0
25,1993-04-26,0.2261506331,0.2353189557,0.2200384292,0.2307345122,3521981,0.0,0.0
26,1993-04-27,0.2307344288,0.2414310724,0.227678328,0.2414310724,2916000,0.0,0.0
27,1993-04-28,0.2414311631,0.259767244,0.2414311631,0.2567111254,7900538,0.0,0.0
28,1993-04-29,0.2567111119,0.2597672304,0.2322628448,0.2444867045,8214919,0.0,0.0
29,1993-04-30,0.2505988258,0.2597671449,0.2444866241,0.2597671449,5216906,0.0,0.0
30,1993-05-03,0.2567110645,0.2628232837,0.2567110645,0.2628232837,1795163,0.0,0.0
31,1993-05-04,0.2597673532,0.2628234565,0.2505990267,0.2505990267,1612913,0.0,0.0
32,1993-05-05,0.2505987673,0.2597670843,0.2505987673,0.2536548674,1025156,0.0,0.0
33,1993-05-06,0.2597671747,0.2597671747,0.2536549557,0.2597671747,154913,0.0,0.0
34,1993-05-07,0.2597671474,0.2750476518,0.2597671474,0.2719915509,1895400,0.0,0.0
35,1993-05-10,0.2719916141,0.2872721553,0.2719916141,0.2872721553,5900344,0.0,0.0
36,1993-05-11,0.2872721553,0.2872721553,0.2781038339,0.2872721553,2847656,0.0,0.0
37,1993-05-12,0.2872721553,0.2872721553,0.2811599189,0.2872721553,1854394,0.0,0.0
38,1993-05-13,0.2872720885,0.2872720885,0.2719915509,0.2719915509,2574281,0.0,0.0
39,1993-05-14,0.2719914705,0.2811597704,0.2719914705,0.2750475705,2328244,0.0,0.0
40,1993-05-17,0.2750476958,0.2872721345,0.2750476958,0.2842160165,596869,0.0,0.0
41,1993-05-18,0.2872722794,0.2964405715,0.2872722794,0.2964405715,1931850,0.0,0.0
42,1993-05-19,0.2964404375,0.2964404375,0.2903282344,0.2903282344,2009306,0.0,0.0
43,1993-05-20,0.2994964246,0.2994964246,0.2903281074,0.2933842242,984150,0.0,0.0
44,1993-05-21,0.2994964719,0.2994964719,0.2903281533,0.2994964719,369056,0.0,0.0
45,1993-05-24,0.2964403864,0.2964403864,0.2750476627,0.2796321213,1590131,0.0,0.0
46,1993-05-25,0.2781038227,0.2811599076,0.2781038227,0.2811599076,1170956,0.0,0.0
47,1993-05-26,0.2781038339,0.2872721553,0.2781038339,0.2872721553,405506,0.0,0.0
48,1993-05-27,0.2826882397,0.2872721345,0.2781038138,0.2842160165,1603800,0.0,0.0
49,1993-05-28,0.2781038138,0.2842160165,0.2781038138,0.2842160165,223256,0.0,0.0
50,1993-06-02,0.2842159401,0.2842159401,0.278103739,0.278103739,132131,0.0,0.0
51,1993-06-03,0.278103739,0.2842159401,0.278103739,0.278103739,419175,0.0,0.0
52,1993-06-04,0.2781039013,0.284216106,0.2567111518,0.2628233731,2715525,0.0,0.0
53,1993-06-07,0.2628232404,0.268935442,0.2597671396,0.268935442,2355581,0.0,0.0
54,1993-06-08,0.2628233239,0.2628233239,0.238375041,0.2475427985,5039213,0.0,0.0
55,1993-06-09,0.2567110956,0.2628233155,0.2475427906,0.2567110956,2269013,0.0,0.0
56,1993-06-10,0.2567111518,0.2658794754,0.2567111518,0.2628233731,405506,0.0,0.0
57,1993-06-11,0.2719916423,0.2872721851,0.2689355404,0.2872721851,1344094,0.0,0.0
58,1993-06-14,0.2872721928,0.2994966007,0.2811599556,0.2964404821,7176094,0.0,0.0
59,1993-06-15,0.2994964719,0.3025525892,0.2933842705,0.2994964719,2114100,0.0,0.0
60,1993-06-16,0.3025525922,0.3270013978,0.2994964748,0.3239453137,4948088,0.0,0.0
61,1993-06-17,0.3208891964,0.3239453137,0.3178330791,0.3239453137,5836556,0.0,0.0
62,1993-06-18,0.3178332145,0.3239454517,0.3178332145,0.3224171102,883913,0.0,0.0
63,1993-06-21,0.3300575897,0.3483936338,0.320889269,0.342281431,1918181,0.0,0.0
64,1993-06-22,0.3483935783,0.3728424188,0.3361697391,0.3392252922,4446900,0.0,0.0
65,1993-06-23,0.354505837,0.354505837,0.345337517,0.354505837,4355775,0.0,0.0
66,1993-06-24,0.3545058385,0.3758985629,0.3422814008,0.366730243,1622025,0.0,0.0
67,1993-06-25,0.3728424237,0.3728424237,0.3636741042,0.3636741042,2788425,0.0,0.0
68,1993-06-28,0.3652024452,0.3697863393,0.3636741042,0.3636741042,765450,0.0,0.0
69,1993-06-29,0.3697863591,0.3697863591,0.354505837,0.354505837,697106,0.0,0.0
70,1993-06-30,0.3483936253,0.3575619459,0.3483936253,0.3575619459,209588,0.0,0.0
71,1993-07-02,0.3575620417,0.3575620417,0.3453376331,0.3545059562,1521788,0.0,0.0
72,1993-07-06,0.3453373909,0.3545057075,0.3453373909,0.3453373909,328050,0.0,0.0
73,1993-07-07,0.3545057771,0.3545057771,0.3422813416,0.3422813416,747225,0.0,0.0
74,1993-07-08,0.342281582,0.3514499068,0.342281582,0.3514499068,893025,0.0,0.0
75,1993-07-09,0.3514497971,0.3514497971,0.3422814751,0.3483936787,865688,0.0,0.0
76,1993-07-12,0.3545060262,0.3545060262,0.342281582,0.3514499068,1385100,0.0,0.0
77,1993-07-13,0.3514496599,0.3514496599,0.3422813416,0.3422813416,1635694,0.0,0.0
78,1993-07-14,0.3636740873,0.3789546079,0.352978025,0.3697863221,23564925,0.0,0.0
79,1993-07-15,0.3697863446,0.372842429,0.3545058231,0.3606180251,5089331,0.0,0.0
80,1993-07-16,0.3545060129,0.3606182182,0.3331138091,0.3361699283,5576850,0.0,0.0
81,1993-07-19,0.3361697114,0.3422813484,0.3270013928,0.3270013928,1813388,0.0,0.0
82,1993-07-20,0.3361698402,0.3361698402,0.3239454329,0.3239454329,15468469,0.0,0.0
83,1993-07-21,0.3239455178,0.3361699283,0.3239455178,0.3361699283,628763,0.0,0.0
84,1993-07-22,0.3361697047,0.3422813416,0.3270013863,0.3422813416,4943531,0.0,0.0
85,1993-07-23,0.3422815692,0.3422815692,0.3361699283,0.3361699283,15372788,0.0,0.0
86,1993-07-26,0.3361698359,0.3483936787,0.3361698359,0.3483936787,3932044,0.0,0.0
87,1993-07-27,0.3483936787,0.3483936787,0.3392253899,0.3483936787,4870631,0.0,0.0
88,1993-07-28,0.3483937008,0.3483937008,0.3392254114,0.3392254114,36450,0.0,0.0
89,1993-07-29,0.3392252576,0.3514496599,0.3392252576,0.3422813416,9276525,0.0,0.0
90,1993-07-30,0.3483936787,0.3545059154,0.3422814751,0.3483936787,1403325,0.0,0.0
91,1993-08-02,0.3422814798,0.3575620055,0.3422814798,0.3575620055,4542581,0.0,0.0
92,1993-08-03,0.3453375995,0.3575620069,0.3453375995,0.3453375995,328050,0.0,0.0
93,1993-08-04,0.3575620055,0.3575620055,0.3453375982,0.3575620055,123019,0.0,0.0
94,1993-08-05,0.3575620055,0.360618124,0.3483936834,0.3575620055,874800,0.0,0.0
95,1993-08-06,0.351449755,0.3758985996,0.351449755,0.3758985996,1421550,0.0,0.0
96,1993-08-09,0.3758985019,0.3758985019,0.3636740661,0.3667301834,1098056,0.0,0.0
97,1993-08-10,0.3667301235,0.3789545241,0.3667301235,0.3743706644,2264456,0.0,0.0
98,1993-08-11,0.378954631,0.3820107486,0.3606180251,0.3606180251,3371625,0.0,0.0
