idx,date,open,high,low,close,volume,dividends,stock_splits
1,2017-10-19,33.0,34.0,29.1000003815,32.0699996948,11508500,0.0,0.0
2,2017-10-20,33.3699989319,33.3699989319,30.1000003815,30.6800003052,2358700,0.0,0.0
3,2017-10-23,30.5100002289,31.3299999237,30.1900005341,30.5,749400,0.0,0.0
4,2017-10-24,30.4599990845,30.9200000763,30.438999176,30.5699996948,420700,0.0,0.0
5,2017-10-25,30.5,31.1000003815,29.8799991608,31.0,1219400,0.0,0.0
6,2017-10-26,31.6800003052,31.7299995422,30.7290000916,31.1000003815,605200,0.0,0.0
7,2017-10-27,31.0100002289,31.2900009155,30.0,30.8899993896,549500,0.0,0.0
8,2017-10-30,30.6900005341,30.6900005341,29.5900001526,29.8500003815,727800,0.0,0.0
9,2017-10-31,29.7999992371,30.6800003052,29.7999992371,30.4799995422,318100,0.0,0.0
10,2017-11-02,29.7199993134,30.4599990845,29.6609992981,29.9500007629,313400,0.0,0.0
11,2017-11-03,29.8899993896,30.1700000763,29.3500003815,29.6299991608,229200,0.0,0.0
12,2017-11-06,29.6299991608,30.7199993134,29.3600006104,30.6100006104,304800,0.0,0.0
13,2017-11-07,30.6100006104,30.8899993896,29.7099990845,29.8099994659,279000,0.0,0.0
14,2017-11-08,29.6900005341,29.9899997711,29.4099998474,29.8799991608,241300,0.0,0.0
15,2017-11-09,29.7000007629,29.8999996185,29.0100002289,29.2199993134,204700,0.0,0.0
16,2017-11-10,29.1599998474,30.2600002289,29.1599998474,30.2000007629,137500,0.0,0.0
17,2017-11-13,29.6499996185,31.1100006104,29.297000885,30.6800003052,296200,0.0,0.0
18,2017-11-14,30.6800003052,30.7000007629,29.6949996948,29.8799991608,124400,0.0,0.0
19,2017-11-15,29.7600002289,30.1060009003,29.5699996948,29.6299991608,176000,0.0,0.0
20,2017-11-16,29.6900005341,30.3199996948,29.6900005341,29.8700008392,140700,0.0,0.0
21,2017-11-17,29.9799995422,30.1299991608,29.5900001526,29.8299999237,89800,0.0,0.0
22,2017-11-20,29.8700008392,29.9309997559,29.0750007629,29.2600002289,292400,0.0,0.0
23,2017-11-21,29.25,29.4899997711,29.0100002289,29.2099990845,242200,0.0,0.0
24,2017-11-22,29.3899993896,29.5599994659,29.2000007629,29.2800006866,225400,0.0,0.0
25,2017-11-24,29.3099994659,29.9899997711,29.25,29.9200000763,81200,0.0,0.0
26,2017-11-27,29.9500007629,29.9500007629,29.0699996948,29.6900005341,171400,0.0,0.0
27,2017-11-28,29.8099994659,30.0,29.5100002289,29.5499992371,153300,0.0,0.0
28,2017-11-29,29.3899993896,29.5699996948,28.5,28.7099990845,679700,0.0,0.0
29,2017-11-30,28.7999992371,29.0300006866,28.4099998474,28.5300006866,198100,0.0,0.0
30,2017-12-04,28.1200008392,28.2520008087,27.2600002289,27.3600006104,170600,0.0,0.0
31,2017-12-05,27.3099994659,27.3099994659,25.8600006104,26.1499996185,392800,0.0,0.0
32,2017-12-06,26.0,27.1000003815,25.6900005341,26.8700008392,400100,0.0,0.0
33,2017-12-07,26.8899993896,27.4899997711,26.5300006866,26.6200008392,244100,0.0,0.0
34,2017-12-08,26.7700004578,26.9050006866,25.6200008392,25.7600002289,295800,0.0,0.0
35,2017-12-11,25.7700004578,27.0,24.6200008392,26.8600006104,706900,0.0,0.0
36,2017-12-12,27.1499996185,29.1000003815,26.5699996948,29.0,1164700,0.0,0.0
37,2017-12-13,27.4899997711,28.8899993896,26.3600006104,27.3500003815,710100,0.0,0.0
38,2017-12-14,27.5300006866,28.6000003815,27.1499996185,28.1299991608,401100,0.0,0.0
39,2017-12-15,28.2800006866,29.6900005341,27.0499992371,29.4200000763,795500,0.0,0.0
40,2017-12-18,29.5,29.5,28.1100006104,28.2999992371,276400,0.0,0.0
41,2017-12-19,28.2600002289,28.4899997711,27.5300006866,28.0499992371,203600,0.0,0.0
42,2017-12-20,28.2900009155,29.9799995422,27.9349994659,29.5,410700,0.0,0.0
43,2017-12-21,29.6100006104,29.6100006104,28.5,28.6800003052,162600,0.0,0.0
44,2017-12-22,28.5599994659,29.2900009155,28.0300006866,28.4500007629,182900,0.0,0.0
45,2017-12-26,28.4200000763,29.0620002747,28.4200000763,28.7999992371,84000,0.0,0.0
46,2017-12-27,28.8600006104,29.4599990845,28.7600002289,29.1000003815,190600,0.0,0.0
47,2017-12-28,28.9699993134,30.4899997711,28.5300006866,30.2399997711,482500,0.0,0.0
48,2017-12-29,30.3500003815,30.3899993896,29.5200004578,29.6800003052,324600,0.0,0.0
49,2018-01-02,29.9300003052,30.0799999237,28.8549995422,29.25,231600,0.0,0.0
50,2018-01-03,29.3099994659,29.4200000763,28.9400005341,29.1499996185,256700,0.0,0.0
51,2018-01-04,29.2900009155,29.4899997711,28.8999996185,29.0499992371,198900,0.0,0.0
52,2018-01-05,29.0900001526,29.1350002289,28.5900001526,29.0499992371,205600,0.0,0.0
53,2018-01-08,29.0900001526,29.0900001526,28.2099990845,28.8099994659,205400,0.0,0.0
54,2018-01-09,28.8700008392,28.9200000763,28.5400009155,28.7900009155,88400,0.0,0.0
55,2018-01-10,28.7000007629,28.9899997711,28.2000007629,28.8700008392,162400,0.0,0.0
56,2018-01-11,28.8099994659,29.8600006104,28.7999992371,29.6100006104,219000,0.0,0.0
57,2018-01-12,29.5,29.9500007629,28.7539997101,29.2800006866,108500,0.0,0.0
58,2018-01-16,29.4599990845,29.8700008392,28.9699993134,29.0599994659,169500,0.0,0.0
59,2018-01-17,29.2000007629,29.5900001526,29.2000007629,29.5300006866,160500,0.0,0.0
60,2018-01-18,29.4699993134,29.6439990997,28.8409996033,29.0799999237,108000,0.0,0.0
61,2018-01-19,28.8600006104,29.4899997711,28.6100006104,29.1200008392,224000,0.0,0.0
62,2018-01-22,29.1299991608,29.3999996185,28.3400001526,28.8099994659,131000,0.0,0.0
63,2018-01-23,28.6800003052,29.1399993896,28.5799999237,28.8299999237,87500,0.0,0.0
64,2018-01-24,29.0,29.0,27.5599994659,28.1700000763,277400,0.0,0.0
65,2018-01-25,28.1700000763,28.4599990845,27.75,28.0100002289,89600,0.0,0.0
66,2018-01-26,28.0799999237,28.3649997711,27.5699996948,28.1900005341,143600,0.0,0.0
67,2018-01-29,28.2099990845,28.4370002747,27.5100002289,27.6800003052,127200,0.0,0.0
68,2018-01-30,27.5499992371,27.9400005341,27.2000007629,27.8299999237,196800,0.0,0.0
69,2018-01-31,27.9899997711,28.0009994507,26.7800006866,27.1100006104,234500,0.0,0.0
70,2018-02-02,27.2900009155,27.4799995422,26.4099998474,26.5200004578,169200,0.0,0.0
