idx,date,open,high,low,close,volume,dividends,stock_splits
1,2001-06-13,11.6937415009,11.8793564453,11.541537303,11.6009340286,69567200,0.0,0.0
2,2001-06-14,11.5081218259,11.5081218259,10.9512772214,11.1925764084,31979800,0.0,0.0
3,2001-06-15,11.1368925913,11.4153149061,11.1183313869,11.3596305847,14369300,0.0,0.0
4,2001-06-18,11.1591669327,11.3596313527,11.1591669327,11.2556867599,4019800,0.0,0.0
5,2001-06-19,11.3596371305,11.4004719454,11.2148569619,11.2853908539,5690300,0.0,0.0
6,2001-06-20,11.2853903103,11.3559241989,11.2037199764,11.2482671738,3791600,0.0,0.0
7,2001-06-21,11.2668267299,11.2668267299,11.1368961334,11.1368961334,6027200,0.0,0.0
8,2001-06-22,11.1368961334,11.1443209008,11.0478010493,11.1368961334,4847700,0.0,0.0
9,2001-06-25,11.1368920896,11.1925764084,11.0812077707,11.1925764084,2420300,0.0,0.0
10,2001-06-26,11.1368934041,11.1665917582,11.0663595476,11.1517429352,3333300,0.0,0.0
11,2001-06-27,11.1183364076,11.1368976204,11.0663637372,11.1146240234,3182300,0.0,0.0
12,2001-06-28,11.1294679238,11.3002339799,11.1257555412,11.2890968323,2778100,0.0,0.0
13,2001-06-29,11.3225103809,11.5081253052,11.2594012783,11.5081253052,5777800,0.0,0.0
14,2001-07-02,11.3967561567,11.3967561567,11.2928115485,11.311372757,3167600,0.0,0.0
15,2001-07-03,11.3076530527,11.3744744927,11.2928042372,11.3447761536,608700,0.0,0.0
16,2001-07-05,11.4153218924,11.5192665417,11.3707739832,11.4821434021,2085500,0.0,0.0
17,2001-07-06,11.5006967759,11.5006967759,11.3225066768,11.3781909943,945300,0.0,0.0
18,2001-07-09,11.3596327453,11.4116046941,11.2297021654,11.277961731,2295300,0.0,0.0
19,2001-07-10,11.3039535853,11.4524454411,11.2408444581,11.2668304443,3301300,0.0,0.0
20,2001-07-11,11.2705376583,11.2705376583,11.1368946953,11.2482633591,2023000,0.0,0.0
21,2001-07-12,11.3781922755,11.4709997177,11.2111393043,11.4709997177,1912500,0.0,0.0
22,2001-07-13,11.471002284,11.5007006438,11.3076609509,11.4078931808,995400,0.0,0.0
23,2001-07-16,11.4078926392,11.5118372478,11.3781942808,11.4004678726,1198100,0.0,0.0
24,2001-07-17,11.4672939951,11.6751832962,11.4524451639,11.6751832962,3792700,0.0,0.0
25,2001-07-18,11.675178412,11.6937396202,11.4338784565,11.6900272369,5645100,0.0,0.0
26,2001-07-19,11.7828334252,11.7828334252,11.2074275351,11.6269168854,3326000,0.0,0.0
27,2001-07-20,11.6009310108,11.6343417487,11.5118359456,11.5823698044,1390900,0.0,0.0
28,2001-07-23,11.5452465181,11.5786572556,11.4784250432,11.5081233978,1756000,0.0,0.0
29,2001-07-24,11.5749494031,11.5786617874,11.4710047672,11.534113884,1146500,0.0,0.0
30,2001-07-25,11.508126765,11.508126765,11.3262242011,11.3967580795,860600,0.0,0.0
31,2001-07-26,11.4895642365,11.5786593163,11.3670584133,11.5526733398,1901900,0.0,0.0
32,2001-07-27,11.582367422,11.582367422,11.4375873513,11.4747104645,1541800,0.0,0.0
33,2001-07-30,11.5415359856,11.545248369,11.3225103195,11.3596334457,1233900,0.0,0.0
34,2001-07-31,11.3225102291,11.5675218692,11.3225102291,11.489563942,2020200,0.0,0.0
35,2001-08-02,11.3967564811,11.5712342526,11.378194564,11.489563942,2700000,0.0,0.0
36,2001-08-03,11.456150013,11.5006971853,11.3225070799,11.3967533112,456800,0.0,0.0
37,2001-08-06,11.4004717955,11.4487320871,11.2297063528,11.2668294907,847600,0.0,0.0
38,2001-08-07,11.3039476053,11.3373583437,11.2408385115,11.322508812,991400,0.0,0.0
39,2001-08-08,11.3967615055,11.3967615055,11.1369002172,11.1406126022,1517200,0.0,0.0
40,2001-08-09,11.1554521179,11.2742462158,11.1368909163,11.2742462158,752900,0.0,0.0
41,2001-08-10,11.2297074511,11.5526778612,11.1925843097,11.433883667,1119700,0.0,0.0
42,2001-08-13,11.4932753731,11.5786587735,11.4784265479,11.5452480316,1749200,0.0,0.0
43,2001-08-14,11.5823711568,11.6009323654,11.5081249064,11.5452480316,1365300,0.0,0.0
44,2001-08-15,11.5452450161,11.5823681316,11.4969847536,11.5006971359,2106500,0.0,0.0
45,2001-08-16,11.5007012421,11.6083582446,11.4895647991,11.5638103485,1351200,0.0,0.0
46,2001-08-17,11.5638038635,11.6380500793,11.4747088293,11.6380500793,1164200,0.0,0.0
47,2001-08-20,11.6529076606,11.7902630507,11.608360464,11.7754135132,2020900,0.0,0.0
48,2001-08-21,11.8607925775,11.9164761987,11.7865463332,11.9090528488,2699600,0.0,0.0
49,2001-08-22,12.1763408959,12.2542988379,12.035273132,12.2134647369,3184700,0.0,0.0
50,2001-08-23,12.2097473145,12.2283085203,12.0909538974,12.2097473145,2358900,0.0,0.0
51,2001-08-24,12.2097436127,12.2097436127,12.0092792511,12.0092792511,1173700,0.0,0.0
52,2001-08-27,11.8793530509,12.053831502,11.8793530509,11.9907217026,866500,0.0,0.0
53,2001-08-28,12.0649659096,12.0946649669,11.7865436194,11.8422279358,965300,0.0,0.0
54,2001-08-29,11.8422270792,11.9870071411,11.7234336906,11.9870071411,1504200,0.0,0.0
55,2001-08-30,11.9127677105,12.1206569672,11.8979181744,12.1206569672,1569700,0.0,0.0
56,2001-08-31,12.120654748,12.2431598579,11.9498879467,11.9721622467,1536500,0.0,0.0
57,2001-09-04,12.1392179748,12.3582436717,11.9536030254,12.2691478729,1841800,0.0,0.0
58,2001-09-05,12.2505889904,12.3805189133,12.2023286979,12.3805189133,1770400,0.0,0.0
59,2001-09-06,12.3990736399,12.9187944161,12.3805110204,12.6218109131,3816000,0.0,0.0
60,2001-09-07,12.4361960467,12.6960571429,12.4139217529,12.6218109131,2900700,0.0,0.0
61,2001-09-10,12.5290060043,12.5772662758,12.3582406327,12.5290060043,1463500,0.0,0.0
62,2001-09-17,12.3062722154,12.7220493226,12.1652044516,12.2134647369,3904000,0.0,0.0
63,2001-09-18,12.2320259494,12.3916549257,12.2134647369,12.2134647369,4516300,0.0,0.0
64,2001-09-19,12.2320311762,12.269153617,11.8533763321,12.0278549194,3134900,0.0,0.0
65,2001-09-20,11.9536019064,12.1355037468,11.8793556503,12.0761070251,1987000,0.0,0.0
66,2001-09-21,11.6937433183,11.8793582916,11.508128345,11.8793582916,2464200,0.0,0.0
67,2001-09-24,11.9832974278,12.4361982346,11.9832974278,12.4361982346,3665200,0.0,0.0
68,2001-09-25,12.4362009481,12.4362009481,12.1355042362,12.361954689,2239500,0.0,0.0
69,2001-09-26,12.3990785266,12.406501878,12.2357364735,12.361954689,1247200,0.0,0.0
70,2001-09-27,12.3433983806,12.4733283234,12.3433983806,12.4399175644,1626200,0.0,0.0
71,2001-09-28,12.529006531,12.9225106534,12.5104453231,12.7591686249,3542000,0.0,0.0
72,2001-10-02,12.5921185023,12.7072002901,12.5290100942,12.6775026321,1101700,0.0,0.0
73,2001-10-03,12.6960617403,12.9670593734,12.6775005302,12.8816766739,1332200,0.0,0.0
74,2001-10-04,12.6218137741,12.7406072022,12.5549922938,12.6218137741,1311100,0.0,0.0
75,2001-10-05,12.5661269175,12.5846895386,12.4361970668,12.5215797424,915800,0.0,0.0
76,2001-10-08,12.5215821929,12.6218144185,12.4361995006,12.5846920013,625700,0.0,0.0
77,2001-10-09,12.5104449578,12.6218136183,12.4733211269,12.6032524109,2067500,0.0,0.0
78,2001-10-10,12.5846955513,12.6403791927,12.5549964763,12.6106815338,1416600,0.0,0.0
79,2001-10-11,12.6106789786,12.6181037458,12.0278482033,12.250585556,3550200,0.0,0.0
80,2001-10-12,12.2691480071,12.3990793228,12.1911900674,12.3990793228,2580000,0.0,0.0
81,2001-10-15,12.3062645727,12.53642658,12.2988398091,12.3805093765,1082200,0.0,0.0
82,2001-10-16,12.3990799244,12.480749544,12.0983831787,12.4733247757,2040800,0.0,0.0
83,2001-10-17,12.6218137741,12.6440880729,12.417637658,12.6218137741,1842900,0.0,0.0
84,2001-10-18,12.6589343024,12.7925772431,12.6032506878,12.6255235672,1197800,0.0,0.0
85,2001-10-19,12.6218168081,12.8816780256,12.606967272,12.8148565292,1249500,0.0,0.0
86,2001-10-22,12.8445526709,13.0969890906,12.8297045527,13.0895643234,1885500,0.0,0.0
87,2001-10-23,13.1044123644,13.2046445858,13.0895628317,13.1378231049,1734000,0.0,0.0
88,2001-10-24,12.9930375523,13.0338730397,12.963338501,13.0301599503,1493000,0.0,0.0
89,2001-10-25,12.9002304367,12.9930378499,12.8482585119,12.955915451,1299300,0.0,0.0
90,2001-10-26,12.9596381835,12.9967606141,12.6775040297,12.7331876755,1698900,0.0,0.0
91,2001-10-29,12.7517455322,12.766595067,12.4473371506,12.4473371506,1059300,0.0,0.0
92,2001-10-30,12.4176362438,12.5884016002,12.3990750383,12.5104436874,1203400,0.0,0.0
93,2001-10-31,12.5661293751,12.692347576,12.4844597742,12.529006958,1828000,0.0,0.0
94,2001-11-02,12.5661359043,12.9410790263,12.4547671789,12.8074359894,1853900,0.0,0.0
95,2001-11-05,12.7331845093,12.8519779568,12.625527505,12.696062088,1252400,0.0,0.0
96,2001-11-06,12.658937372,12.8742513657,12.6515140212,12.8742513657,735300,0.0,0.0
97,2001-11-07,12.8000045454,12.9930442296,12.7331830618,12.7517442703,874100,0.0,0.0
98,2001-11-08,12.825986051,13.0301621059,12.7591645907,13.0041761398,1291800,0.0,0.0
99,2001-11-09,12.8259923047,12.8742525865,12.7777320229,12.7925815582,773700,0.0,0.0
100,2001-11-12,12.8000004662,12.8816714571,12.7331790039,12.7777261734,772000,0.0,0.0
101,2001-11-13,12.7703107902,12.8037215422,12.551285064,12.584695816,1366300,0.0,0.0
102,2001-11-14,12.5475654737,12.699769617,12.4621827997,12.6032505035,1256800,0.0,0.0
103,2001-11-15,12.6032517708,12.6552237153,12.4510476121,12.6403741837,1264500,0.0,0.0
104,2001-11-16,12.6589419282,12.6775045604,12.5290119999,12.6218194962,720100,0.0,0.0
105,2001-11-19,12.7146213956,12.7146213956,12.3619527817,12.3619527817,1242200,0.0,0.0
106,2001-11-20,12.2877088407,12.3990789411,12.1689153887,12.3545303345,1880900,0.0,0.0
107,2001-11-21,12.3433957832,12.6366677822,12.3285462453,12.584695816,1162200,0.0,0.0
108,2001-11-23,12.621809477,12.621809477,12.4621805968,12.5141525269,327500,0.0,0.0
109,2001-11-26,12.4436255618,12.5030222851,12.2839966025,12.3433933258,1736400,0.0,0.0
110,2001-11-27,12.250583204,12.287705617,12.1317897832,12.1986112595,2785400,0.0,0.0
111,2001-11-28,12.250580627,12.3545244943,12.1911839291,12.2320194244,1108400,0.0,0.0
112,2001-11-29,12.2839959798,12.6106786493,12.213462817,12.551281929,1991600,0.0,0.0
113,2001-11-30,12.3805095736,12.5846870356,12.2320185475,12.295126915,1680600,0.0,0.0
114,2001-12-03,12.3062752669,12.5030267169,12.2728645097,12.4733276367,1377700,0.0,0.0
115,2001-12-04,12.2505850147,12.3136934093,12.1243668094,12.2431602478,1633600,0.0,0.0
116,2001-12-05,12.3396803862,12.3396803862,12.1577771432,12.2505846024,1927500,0.0,0.0
117,2001-12-06,12.1948977999,12.1986108908,11.9276133192,11.9907217026,2151800,0.0,0.0
118,2001-12-07,11.9907231419,11.9907231419,11.6937395632,11.8793544769,2476900,0.0,0.0
119,2001-12-10,11.8422313526,12.0426950912,11.8348065861,11.8793544769,1507900,0.0,0.0
120,2001-12-11,11.91647569,12.0092831374,11.8125318019,11.9610242844,1680900,0.0,0.0
121,2001-12-12,11.8793554767,12.0612587305,11.8645059425,11.9981489182,1652600,0.0,0.0
122,2001-12-13,12.0649709702,12.2320246976,11.9944378035,12.0649709702,1668800,0.0,0.0
123,2001-12-14,12.0835260059,12.2320184468,12.0835260059,12.1763334274,1317400,0.0,0.0
124,2001-12-17,12.1392121115,12.3582377027,12.1392121115,12.3545246124,1155600,0.0,0.0
125,2001-12-18,12.3433931304,12.5661304851,12.3433931304,12.5475692749,2071600,0.0,0.0
126,2001-12-19,12.5290095705,12.6403782612,12.4399137682,12.6143922806,1987200,0.0,0.0
127,2001-12-20,12.5584949347,12.6889238358,12.521228519,12.6889238358,1366300,0.13,0.0
128,2001-12-21,12.5771257532,13.0354919434,12.5547659067,13.0354919434,2485800,0.0,0.0
129,2001-12-24,12.8566164978,12.9236946106,12.8379840045,12.9236946106,574000,0.0,0.0
130,2001-12-26,12.9236972792,12.9236972792,12.6889238358,12.6889238358,1066900,0.0,0.0
131,2001-12-27,12.6963716003,12.700098951,12.5398569871,12.5435829163,1075100,0.0,0.0
132,2001-12-28,12.4839620474,12.6591106265,12.4839620474,12.5957584381,898100,0.0,0.0
133,2001-12-31,12.6330190614,12.8491584616,12.5584876946,12.6814632416,781300,0.0,0.0
134,2002-01-02,12.7559984667,12.9721393538,12.5174991578,12.9497795105,1637500,0.0,0.0
135,2002-01-03,13.0243068934,13.0243068934,12.5957526023,12.700097084,961100,0.0,0.0
136,2002-01-04,12.5771219861,12.5957544751,12.1113026533,12.3013563156,2938400,0.0,0.0
137,2002-01-07,12.1113089054,12.5063244153,12.1113089054,12.3535356522,1192800,0.0,0.0
138,2002-01-08,12.4839600759,12.51749913,12.4094286866,12.4802341461,785500,0.0,0.0
139,2002-01-09,12.5957573237,12.6702887181,12.457875168,12.5212259293,1068000,0.0,0.0
140,2002-01-10,12.5584936142,12.5734001789,12.446697222,12.5584936142,903900,0.0,0.0
141,2002-01-11,12.554761515,12.7261841013,12.4317859565,12.6479253769,1788200,0.0,0.0
142,2002-01-14,12.5584963633,12.7746359127,12.5212299433,12.6665668488,2333700,0.0,0.0
143,2002-01-15,12.6330237346,12.8118982283,12.6330237346,12.7895383835,1149600,0.0,0.0
144,2002-01-16,12.6553827086,12.7932662919,12.6516567785,12.7485466003,762800,0.0,0.0
145,2002-01-17,12.7485463569,12.9497807004,12.6740149607,12.8938817978,1169300,0.0,0.0
146,2002-01-18,12.9125127715,13.0503948991,12.8640671617,12.8901529312,1745300,0.0,0.0
147,2002-01-22,12.9833216022,12.9833216022,12.8007197266,12.9125175476,996400,0.0,0.0
148,2002-01-23,12.9087838889,12.9833152593,12.7783550568,12.8193473816,1136800,0.0,0.0
149,2002-01-24,12.8193544322,12.8938844221,12.558495203,12.5659484863,1714100,0.0,0.0
150,2002-01-25,12.6628328985,12.6702861786,12.5025909301,12.6702861786,1577200,0.0,0.0
151,2002-01-28,12.5212287865,12.6330266145,12.5100495724,12.5659484863,1007900,0.0,0.0
152,2002-01-29,12.659109195,12.6851949692,12.4876865656,12.6851949692,886000,0.0,0.0
153,2002-01-30,13.2292766571,13.5534867011,13.1100269531,13.2292766571,6139100,0.0,0.0
154,2002-01-31,13.3783379191,13.8255235456,13.3746105666,13.8106184006,3459700,0.0,0.0
155,2002-02-04,13.7323541296,14.1609085083,13.7137216395,13.9745807648,2120600,0.0,0.0
156,2002-02-05,13.8627850114,13.9745813781,13.7174495925,13.8255186081,1636900,0.0,0.0
157,2002-02-06,13.8255222555,13.9075069427,13.5944761804,13.9075069427,1655800,0.0,0.0
158,2002-02-07,13.9745792287,14.0192974841,13.8180646236,13.8814153671,1898500,0.0,0.0
159,2002-02-08,13.8776916608,13.944768344,13.8366993277,13.8739643097,1924200,0.0,0.0
160,2002-02-11,13.7808024142,13.8441545985,13.6764593124,13.6764593124,1001400,0.0,0.0
161,2002-02-12,13.7696205312,13.9894873254,13.7509880412,13.9745807648,2274900,0.0,0.0
162,2002-02-13,13.9932167447,14.1422795453,13.9932167447,14.0714740753,1167800,0.0,0.0
163,2002-02-14,14.1609114018,14.1609114018,13.9969434658,14.0863800049,1159100,0.0,0.0
164,2002-02-15,14.1534599407,14.2540771263,14.0304843282,14.2168121338,1180800,0.0,0.0
165,2002-02-19,14.1050088878,14.4403993775,14.0938296787,14.2950639725,1759300,0.0,0.0
166,2002-02-20,14.3845014257,14.3845014257,14.1087371576,14.160908699,1487000,0.0,0.0
167,2002-02-21,14.1571777816,14.2801533114,13.9894825849,14.194442749,2215400,0.0,0.0
168,2002-02-22,14.2317123672,14.4739389995,14.183268178,14.3658685684,1148600,0.0,0.0
169,2002-02-25,14.3845039956,14.7571595543,14.3807780655,14.6379098892,2206400,0.0,0.0
170,2002-02-26,14.6416345287,14.6490878091,14.4404002231,14.5782823563,1752900,0.0,0.0
171,2002-02-27,14.6155545225,14.6155545225,14.4329526351,14.4664916992,1322000,0.0,0.0
172,2002-02-28,14.5149233696,14.6080871892,14.5037427446,14.5708208084,968600,0.0,0.0
173,2002-03-04,14.4963012359,14.5372921517,13.5460284611,13.5832948685,3602500,0.0,0.0
174,2002-03-05,13.7509880481,14.0118457519,13.4155975409,13.9969406128,4477300,0.0,0.0
175,2002-03-06,13.9969410186,14.1050100327,13.9373161958,14.1050100327,1407000,0.0,0.0
176,2002-03-07,14.1161882232,14.1720856853,13.9186798767,14.1683597565,1548000,0.0,0.0
177,2002-03-08,14.179548903,14.2354478258,14.0044016931,14.164642334,1293800,0.0,0.0
178,2002-03-11,14.0901074382,14.1050125804,13.9224121495,13.9783096313,1603900,0.0,0.0
179,2002-03-12,13.98204019,13.98204019,13.8255240775,13.9037828445,2008300,0.0,0.0
180,2002-03-13,14.0421409607,14.1094536028,13.9224743585,14.0421409607,1198700,0.13,0.0
181,2002-03-14,13.9860525183,14.1057191588,13.8439478477,13.8925628662,2981500,0.0,0.0
182,2002-03-15,13.9486463432,14.1169278881,13.9336876667,14.0795326233,1142000,0.0,0.0
183,2002-03-18,14.0982353046,14.1281512419,14.0234433216,14.0421409607,1311800,0.0,0.0
184,2002-03-19,14.1356267929,14.3338257088,14.0234395617,14.1356267929,1433100,0.0,0.0
185,2002-03-20,14.210433423,14.5058611971,14.1805160364,14.4871635437,1482900,0.0,0.0
186,2002-03-21,14.5095891444,14.7264857536,14.4534962268,14.6778707504,1129400,0.0,0.0
187,2002-03-22,14.7152723224,14.808761985,14.6217826598,14.6741380692,878200,0.0,0.0
188,2002-03-25,14.767619253,14.8050145259,14.5469837189,14.5469837189,1294400,0.0,0.0
189,2002-03-26,14.5656827701,14.8424112405,14.5544630459,14.808754921,1579200,0.0,0.0
190,2002-03-27,14.8386693693,14.8461487084,14.6928258221,14.715262413,1207400,0.0,0.0
191,2002-03-28,14.6629098824,14.7489201512,14.453494072,14.453494072,1290400,0.0,0.0
192,2002-04-02,14.5843785597,14.8835450141,14.5768992201,14.8311910629,769400,0.0,0.0
193,2002-04-03,14.9246806796,14.9732956742,14.775096739,14.9022426605,1114600,0.0,0.0
194,2002-04-04,14.9321572685,15.0929594757,14.9059802978,15.0892190933,2289600,0.0,0.0
195,2002-04-05,15.0892267541,15.407092374,15.0742694964,15.3696956635,2275200,0.0,0.0
196,2002-04-08,15.1079323276,15.2462966497,14.8835562476,14.9583482742,2107600,0.0,0.0
197,2002-04-09,14.9583426259,14.9583426259,14.5843840602,14.6030817032,2249000,0.0,0.0
198,2002-04-10,14.6591753512,14.8162372565,14.6217786406,14.7788419724,2257100,0.0,0.0
199,2002-04-11,14.8087642209,15.0854942916,14.8087642209,14.9583482742,1436000,0.0,0.0
200,2002-04-12,15.0331318282,15.0443501266,14.6816099289,14.8087558746,1233000,0.0,0.0
201,2002-04-15,14.8461542501,15.1827160785,14.8087575403,15.1266231537,1773900,0.0,0.0
202,2002-04-16,15.0518208608,15.1378310946,14.905977359,14.9246749878,1580400,0.0,0.0
203,2002-04-17,14.6404711638,14.7975329989,14.4160952796,14.4871482849,4175900,0.0,0.0
204,2002-04-18,14.5656845954,14.584382236,14.3300903291,14.5282878876,2843700,0.0,0.0
205,2002-04-19,14.5544663238,14.9882596185,14.4983733962,14.9733009338,1298200,0.0,0.0
206,2002-04-22,14.8798161992,14.9620861386,14.5843885,14.5956068039,1658900,0.0,0.0
207,2002-04-23,14.6703962675,15.0967088595,14.6554375805,14.9994802475,1420800,0.0,0.0
208,2002-04-24,15.0705263956,15.096703375,14.9583391374,14.9620780945,1708500,0.0,0.0
209,2002-04-25,14.9583379203,15.1415781875,14.9396402832,15.0705251694,1306900,0.0,0.0
210,2002-04-26,14.9246898154,15.2537738301,14.9022517826,15.1079301834,1626100,0.0,0.0
211,2002-04-29,15.1266157848,15.2126260355,15.0144285634,15.0892190933,790600,0.0,0.0
212,2002-04-30,15.1453159116,15.4370030208,15.1453159116,15.3472537994,3152900,0.0,0.0
213,2002-05-02,15.444483658,15.7062548576,15.433265361,15.6875572205,1136400,0.0,0.0
214,2002-05-03,15.6127613623,15.6314589948,15.0705214608,15.0892190933,3433700,0.0,0.0
215,2002-05-06,15.0929673679,15.347259297,15.0705293412,15.193936348,1658300,0.0,0.0
216,2002-05-07,15.1004464509,15.1490600347,14.909726794,14.9246854782,2927000,0.0,0.0
217,2002-05-08,14.9059871893,14.9209458728,14.5843826262,14.6741333008,1828300,0.0,0.0
218,2002-05-09,14.6404809276,14.9209499,14.6217818549,14.8760738373,1499600,0.0,0.0
219,2002-05-10,14.9134652758,15.07052716,14.7825789458,14.8536319733,1216100,0.0,0.0
220,2002-05-13,15.014432393,15.2388068933,14.9658173949,15.1827125549,1068200,0.0,0.0
221,2002-05-14,15.3322995826,15.4631844962,15.2275916517,15.3622169495,1222100,0.0,0.0
222,2002-05-15,15.3996045746,15.46691719,15.2836769755,15.4108228683,1070700,0.0,0.0
