idx,date,open,high,low,close,volume,dividends,stock_splits
1,2007-08-10,21.3179491277,28.1009329411,20.3489514401,27.6164340973,9800300,0.0,0.0
2,2007-08-13,30.2327333612,38.4401425563,28.100937373,30.6687812805,3162100,0.0,0.0
3,2007-08-14,31.4439774461,31.6862268815,29.0505518421,29.0990028381,609300,0.0,0.0
4,2007-08-15,29.2734237748,29.2734237748,27.1803885943,27.674577713,991800,0.0,0.0
5,2007-08-16,27.3741853466,29.0699313416,24.2830821298,27.2288360596,1107500,0.0,0.0
6,2007-08-17,29.3800086877,32.5970806158,29.0699297329,31.831571579,438100,0.0,0.0
7,2007-08-20,31.8800267304,32.4614238887,28.5854329766,29.5253601074,235000,0.0,0.0
8,2007-08-21,28.7889226781,29.3509431555,26.8993781475,28.1203155518,180500,0.0,0.0
9,2007-08-22,28.2462839642,29.8742004754,28.2462839642,28.653263092,77900,0.0,0.0
10,2007-08-23,29.9323403567,29.9323403567,28.0040350269,29.0699329376,244700,0.0,0.0
11,2007-08-24,28.2559746675,29.3121823788,27.6358166896,29.0699329376,144200,0.0,0.0
12,2007-08-27,28.4594623654,29.3121795014,27.6261237783,28.4885311127,173200,0.0,0.0
13,2007-08-28,28.3916288974,28.8761276967,27.6164315579,28.0040302277,292600,0.0,0.0
14,2007-08-29,28.6048120579,29.7676081691,27.8683735968,28.4207019806,113800,0.0,0.0
15,2007-08-30,28.8276802892,28.8276802892,27.6648823618,27.8586826324,259600,0.0,0.0
16,2007-08-31,28.2462830952,28.2462830952,27.1319360897,27.248216629,69100,0.0,0.0
17,2007-09-04,27.1416253182,28.1009328025,26.4342574533,27.1319351196,135500,0.0,0.0
18,2007-09-05,26.5311587042,28.0137259898,26.1629403569,27.626127243,198800,0.0,0.0
19,2007-09-06,27.9652728,31.2501742455,27.8683726652,29.0020999908,179300,0.0,0.0
20,2007-09-07,29.7288516141,30.7172297742,28.3431845196,28.58543396,74900,0.0,0.0
21,2007-09-10,28.8276856609,29.709473545,28.1687668358,28.3916358948,118000,0.0,0.0
22,2007-09-11,28.7501622445,28.8276819877,27.936204017,28.1784534454,106100,0.0,0.0
23,2007-09-12,27.97496835,28.837375833,27.4032594787,28.2656669617,76500,0.0,0.0
24,2007-09-13,28.2947314322,28.5272906407,28.0427918275,28.1009311676,22700,0.0,0.0
25,2007-09-14,27.7230244344,28.8373714055,27.1706960481,27.6164340973,117200,0.0,0.0
26,2007-09-17,27.3741854419,27.5292249284,26.7540274958,26.8896865845,71900,0.0,0.0
27,2007-09-18,26.8896856989,28.2559722839,26.6183656824,27.1319351196,167800,0.0,0.0
28,2007-09-19,29.1668303721,32.6939831641,29.1183793795,32.2482414246,697200,0.0,0.0
29,2007-09-20,32.451731537,37.1610568096,31.9672327327,35.9110527039,505100,0.0,0.0
30,2007-09-21,35.3877956079,39.4091337496,34.5253882668,39.2637863159,324000,0.0,0.0
31,2007-09-24,37.0835402159,40.0196018893,37.0738481695,39.7870445251,312300,0.0,0.0
32,2007-09-25,37.5195881171,38.7502155081,35.9207406044,37.0157089233,262100,0.0,0.0
33,2007-09-26,36.8219077412,36.9381864149,35.368411383,36.8994293213,326700,0.0,0.0
34,2007-09-27,37.3064126283,38.6823876315,34.6513572201,35.7753944397,380400,0.0,0.0
35,2007-09-28,35.1067688212,36.8218943434,34.2734306209,35.1358375549,1571400,0.0,0.0
