idx,date,open,high,low,close,volume,dividends,stock_splits
1,2012-05-18,41.8899814337,44.8287562121,37.8553941347,38.0845184326,573576400,0.0,0.0
2,2012-05-21,36.3909877681,36.520494131,32.8744220223,33.9005012512,168192700,0.0,0.0
3,2012-05-22,32.4859062978,33.4621765432,30.8222612508,30.8820323944,101786600,0.0,0.0
4,2012-05-23,31.2506254713,32.3763245344,31.2406632972,31.8782272339,73600000,0.0,0.0
5,2012-05-24,32.8246147226,33.0836236614,31.6491047228,32.9043083191,50237200,0.0,0.0
6,2012-05-25,32.7748047571,32.8246137285,30.9916154623,31.7885704041,37149800,0.0,0.0
7,2012-05-29,31.3602043472,31.5694061932,28.5409738135,28.7302513123,78063400,0.0,0.0
8,2012-05-30,28.5907849848,29.4375488512,27.7539813921,28.0827255249,57267900,0.0,0.0
9,2012-05-31,28.4413545497,29.5570933173,26.7279005531,29.4873600006,111639200,0.0,0.0
10,2012-06-04,27.0964936422,27.5447800682,26.3393855248,26.7976341248,35230300,0.0,0.0
11,2012-06-05,26.5983963828,27.6543621189,25.6520107597,25.7715549469,42473400,0.0,0.0
12,2012-06-06,25.9707916476,27.0666060341,25.4228854045,26.7079753876,61489200,0.0,0.0
13,2012-06-07,26.8972537151,27.2459221989,26.0504879404,26.2098789215,26159500,0.0,0.0
14,2012-06-08,26.4489675579,27.6543640889,26.339387437,26.9968757629,38034000,0.0,0.0
15,2012-06-11,27.0765701879,27.9631827953,26.7378638637,26.9072170258,28219600,0.0,0.0
16,2012-06-12,27.3754279926,27.6643253475,26.8574063287,27.2957324982,15816800,0.0,0.0
17,2012-06-13,27.5547426287,27.993068787,26.9968741818,27.1662273407,17102800,0.0,0.0
18,2012-06-14,27.5447805035,28.2122309661,27.2758075035,28.182346344,16855000,0.0,0.0
19,2012-06-15,28.4015077637,29.9854573012,28.2421167826,29.8957996368,43563800,0.0,0.0
20,2012-06-18,29.84598911,31.9579243844,29.2980828436,31.2904720306,42978900,0.0,0.0
21,2012-06-19,31.419979456,32.0575434094,30.5831758171,31.7885704041,30849000,0.0,0.0
22,2012-06-20,31.7985316469,31.8084938209,31.0314613504,31.4797496796,15553600,0.0,0.0
23,2012-06-21,31.5494864691,32.3763280005,31.3900954678,31.7188396454,21875300,0.0,0.0
24,2012-06-22,32.2866685138,33.3227118637,31.9380019057,32.9242324829,74834000,0.0,0.0
25,2012-06-25,32.7349565873,32.8943475782,31.4299402365,31.9380016327,24352900,0.0,0.0
26,2012-06-26,32.5656013357,33.3127473139,32.3763257226,32.9740409851,24858700,0.0,0.0
27,2012-06-27,32.3364736827,32.7748017101,31.7786052753,32.1073493958,28568000,0.0,0.0
28,2012-06-28,31.8383787734,32.0675030773,30.7824130205,31.2406635284,17713300,0.0,0.0
29,2012-06-29,31.7985325019,31.8682658216,30.642946889,30.9816532135,19526900,0.0,0.0
30,2012-07-02,31.1310832147,31.6092561969,30.4337461907,30.6529102325,14122000,0.0,0.0
31,2012-07-03,30.7923766703,31.3203605221,30.6827946501,31.0812740326,8763600,0.0,0.0
32,2012-07-05,31.2008157067,31.5096355119,30.9019580758,31.3502445221,10032100,0.0,0.0
33,2012-07-06,31.3203593853,31.7786079984,31.1410440497,31.609254837,10945600,0.0,0.0
34,2012-07-09,31.9778473961,32.754881823,31.8682672744,32.047580719,17785200,0.0,0.0
35,2012-07-10,32.306592361,32.3564013328,31.0414247168,31.3502445221,14269500,0.0,0.0
36,2012-07-11,31.3602075626,31.4399030597,30.4337462212,30.852148056,13030300,0.0,0.0
37,2012-07-12,30.5831746328,31.2805097048,30.4835547939,30.6927547455,11300700,0.0,0.0
38,2012-07-13,30.9218817888,30.9517664112,30.4437069291,30.6030979156,8108300,0.0,0.0
39,2012-07-16,30.3839338522,30.3839338522,28.1026474149,28.142496109,24672100,0.0,0.0
