idx,date,open,high,low,close,volume,dividends,stock_splits
1,2018-12-07,22.0,22.75,18.5100002289,18.6000003815,12995600,0.0,0.0
2,2018-12-10,18.8999996185,19.438999176,18.0,18.7999992371,4233300,0.0,0.0
3,2018-12-11,20.5499992371,20.6599998474,17.9899997711,18.0100002289,3435300,0.0,0.0
4,2018-12-12,18.5499992371,19.4799995422,18.0200004578,18.6800003052,2590700,0.0,0.0
5,2018-12-13,19.25,19.2900009155,18.6800003052,18.7600002289,1608600,0.0,0.0
6,2018-12-14,18.75,18.8810005188,18.25,18.3199996948,746300,0.0,0.0
7,2018-12-17,18.3299999237,18.4699993134,16.8999996185,17.0,1580800,0.0,0.0
8,2018-12-18,17.1000003815,17.25,16.25,17.0,1621600,0.0,0.0
9,2018-12-19,16.8600006104,17.3700008392,16.0,16.1800003052,941500,0.0,0.0
10,2018-12-20,16.0,16.1399993896,14.75,15.5,2365200,0.0,0.0
11,2018-12-21,15.3999996185,15.5,13.9499998093,14.470000267,2063000,0.0,0.0
12,2018-12-24,14.3199996948,14.3199996948,13.75,14.029999733,665400,0.0,0.0
13,2018-12-26,14.1499996185,14.3100004196,13.029999733,13.5200004578,1817800,0.0,0.0
14,2018-12-27,13.4899997711,14.9499998093,13.2700004578,14.6499996185,1769500,0.0,0.0
15,2018-12-28,14.720000267,14.8500003815,13.8179998398,14.1499996185,929100,0.0,0.0
16,2018-12-31,14.2399997711,15.3000001907,14.2130002975,15.2700004578,994700,0.0,0.0
17,2019-01-02,14.9300003052,15.4499998093,14.5100002289,15.3299999237,2318100,0.0,0.0
18,2019-01-03,15.4899997711,16.0799999237,15.1999998093,15.5,1588900,0.0,0.0
19,2019-01-04,16.0,17.5,15.8940000534,16.9599990845,1651800,0.0,0.0
20,2019-01-07,17.5400009155,17.9400005341,16.1800003052,16.2700004578,1585400,0.0,0.0
21,2019-01-08,17.3500003815,17.468000412,16.0499992371,16.9500007629,1892700,0.0,0.0
22,2019-01-09,17.2000007629,17.25,16.1499996185,16.3299999237,1187400,0.0,0.0
23,2019-01-10,16.3600006104,16.5100002289,16.0,16.4799995422,487300,0.0,0.0
24,2019-01-11,16.6000003815,17.0599994659,16.5300006866,17.0,580600,0.0,0.0
25,2019-01-14,17.0,17.0599994659,16.7199993134,16.7399997711,612900,0.0,0.0
26,2019-01-15,17.0,17.0,16.4099998474,16.5900001526,468100,0.0,0.0
27,2019-01-16,16.7999992371,16.9500007629,16.2600002289,16.2600002289,272800,0.0,0.0
28,2019-01-17,16.0499992371,16.5300006866,16.0499992371,16.3099994659,315700,0.0,0.0
29,2019-01-18,16.4599990845,16.7999992371,16.25,16.6900005341,630000,0.0,0.0
30,2019-01-22,16.6200008392,16.6350002289,15.3500003815,15.5600004196,636900,0.0,0.0
31,2019-01-23,15.5900001526,15.9200000763,14.7600002289,14.7899999619,652600,0.0,0.0
32,2019-01-24,14.8999996185,15.1949996948,14.6400003433,14.6400003433,452900,0.0,0.0
33,2019-01-25,14.8000001907,14.9200000763,14.3999996185,14.9099998474,942200,0.0,0.0
