idx,date,open,high,low,close,volume,dividends,stock_splits
1,2000-06-30,11.8016633718,12.6062463627,10.8435085238,12.1789159775,3518000,0.0,0.0
2,2000-07-03,12.2723968755,12.2723968755,11.457798171,11.7515878677,778800,0.0,0.0
3,2000-07-05,11.5913329847,11.7515818278,10.6832562071,11.0171079636,2986000,0.0,0.0
4,2000-07-06,11.0304690508,11.1105935233,9.0273572377,9.7217693329,3596000,0.0,0.0
5,2000-07-07,9.748474649,10.3360539429,9.1876035048,10.229221344,1938800,0.0,0.0
6,2000-07-10,10.1490974426,11.6581079834,9.721767024,10.6565523148,2824400,0.0,0.0
7,2000-07-11,10.4695907317,11.5379163165,9.9087197996,10.3360500336,2786800,0.0,0.0
8,2000-07-12,10.6966122935,12.4860580455,10.3627604741,12.4192876816,4570400,0.0,0.0
9,2000-07-13,12.7664979457,13.621158896,11.5512769069,12.9000387192,5894400,0.0,0.0
10,2000-07-14,12.9267465928,12.9267465928,11.6447551952,11.8050041199,1805200,0.0,0.0
11,2000-07-17,11.9118356795,12.9534535977,11.1105911271,12.6463098526,1578000,0.0,0.0
12,2000-07-18,12.3925801919,13.8214660546,12.0186661344,13.4074897766,2166000,0.0,0.0
13,2000-07-19,13.5143241053,14.5292338207,12.9801610972,14.1286115646,3068800,0.0,0.0
14,2000-07-20,14.4357529767,15.0633944105,14.048484858,14.6093559265,1586400,0.0,0.0
15,2000-07-21,14.5292366454,14.8363804348,13.1404125543,13.1537666321,1402000,0.0,0.0
16,2000-07-24,14.1152595184,14.1152595184,11.7515878677,11.7515878677,3320800,0.0,0.0
17,2000-07-25,12.0720820227,12.4192879216,11.2708376407,12.0987901688,1588400,0.0,0.0
18,2000-07-26,12.1254992502,12.1254992502,10.84350814,11.257484436,1924400,0.0,0.0
19,2000-07-27,11.1640072683,11.1640072683,9.9354323058,10.3227005005,2432000,0.0,0.0
20,2000-07-28,10.5497183583,10.576426506,9.6149331873,10.576426506,1814000,0.0,0.0
21,2000-07-31,10.6431962964,10.7099666622,9.7217652494,9.7618274689,1662000,0.0,0.0
22,2000-08-02,9.2143151164,9.9354354299,8.8938171993,9.8286027908,1896800,0.0,0.0
23,2000-08-03,9.6149345878,11.4577970505,9.4680397538,11.4577970505,1499200,0.0,0.0
24,2000-08-04,11.2040692769,12.3391656876,11.2040692769,12.3391656876,1474800,0.0,0.0
25,2000-08-07,12.5661835129,12.6062457345,11.3910250122,11.7515850067,492400,0.0,0.0
26,2000-08-08,11.8050005039,12.152206401,11.5379190445,11.5379190445,323600,0.0,0.0
27,2000-08-09,11.7649400104,11.9652511343,11.110590339,11.2441310883,369200,0.0,0.0
28,2000-08-10,11.39102359,11.39102359,10.6832577632,11.1105880737,300400,0.0,0.0
29,2000-08-11,11.11059335,11.2708422925,10.5897842867,11.0838851929,134000,0.0,0.0
30,2000-08-14,10.9503409976,11.1105898903,10.5764269148,10.6565513611,593200,0.0,0.0
31,2000-08-15,10.629846269,10.9770523029,10.4695973303,10.8969278336,204000,0.0,0.0
32,2000-08-16,10.936986076,11.7782926972,10.8969238559,11.7248764038,740800,0.0,0.0
33,2000-08-17,11.751586878,11.805003182,10.9503423181,11.2975482941,575200,0.0,0.0
34,2000-08-18,11.2975457135,11.5379190265,10.896923525,11.1606664658,198800,0.0,0.0
