idx,date,open,high,low,close,volume,dividends,stock_splits
1,1986-03-13,0.0543763607,0.0623729564,0.0543763607,0.0597070158,1031788800,0.0,0.0
2,1986-03-14,0.0597070095,0.0629060154,0.0597070095,0.0618392713,308160000,0.0,0.0
3,1986-03-17,0.0618392753,0.0634390849,0.0618392753,0.0629060194,133171200,0.0,0.0
4,1986-03-18,0.062906037,0.0634391027,0.0607731614,0.061306227,67766400,0.0,0.0
5,1986-03-19,0.0613062097,0.0618392752,0.0597070132,0.0602400787,47894400,0.0,0.0
6,1986-03-20,0.0602400903,0.0602400903,0.058107828,0.0586408935,58435200,0.0,0.0
7,1986-03-21,0.0586408825,0.0597070135,0.0559755551,0.057041686,59990400,0.0,0.0
8,1986-03-24,0.0570417015,0.0570417015,0.054909439,0.0554425046,65289600,0.0,0.0
9,1986-03-25,0.055442514,0.0565086454,0.0549094482,0.0565086454,32083200,0.0,0.0
10,1986-03-26,0.0565086519,0.058640915,0.0559755861,0.0581078492,22752000,0.0,0.0
11,1986-03-27,0.05810784,0.0591739714,0.05810784,0.0591739714,16848000,0.0,0.0
12,1986-03-31,0.0591739591,0.0591739591,0.0575747624,0.0586408935,12873600,0.0,0.0
13,1986-04-02,0.0581078427,0.0597070399,0.0581078427,0.0586409084,27014400,0.0,0.0
14,1986-04-03,0.059173964,0.0607731609,0.059173964,0.059173964,23040000,0.0,0.0
15,1986-04-04,0.059173964,0.0597070296,0.059173964,0.059173964,26582400,0.0,0.0
16,1986-04-07,0.059173939,0.0597070045,0.0570416774,0.0581078082,16560000,0.0,0.0
17,1986-04-08,0.0581078427,0.0597070399,0.0581078427,0.0586409084,10252800,0.0,0.0
18,1986-04-09,0.0586408847,0.0602400813,0.0586408847,0.0597070158,12153600,0.0,0.0
19,1986-04-10,0.0597070317,0.060773163,0.0586409004,0.0602400973,13881600,0.0,0.0
20,1986-04-11,0.0607731392,0.0623729487,0.0607731392,0.0613062046,17222400,0.0,0.0
