idx,date,open,high,low,close,volume,dividends,stock_splits
1,1984-06-04,0.0,1.3679511702,1.3559516668,1.3559516668,4067000,0.0,0.0
2,1984-06-05,0.0,1.3559516777,1.3439520597,1.3439520597,2089000,0.0,0.0
3,1984-06-06,0.0,1.4399483416,1.4159492254,1.4159492254,1894000,0.0,0.0
4,1984-06-07,0.0,1.5839433817,1.5719438791,1.5719438791,2078000,0.0,0.0
5,1984-06-08,0.0,1.6919397335,1.6679404974,1.6679404974,2227000,0.0,0.0
6,1984-06-11,0.0,1.5839431497,1.5599440336,1.5599440336,1219000,0.0,0.0
7,1984-06-12,0.0,1.559944162,1.5479445457,1.5479445457,670000,0.0,0.0
8,1984-06-13,0.0,1.6319418058,1.6199421883,1.6199421883,1339000,0.0,0.0
9,1984-06-14,0.0,1.5959429987,1.5719438791,1.5719438791,680000,0.0,0.0
10,1984-06-15,0.0,1.6319418058,1.6199421883,1.6199421883,704000,0.0,0.0
11,1984-06-18,0.0,1.6799401154,1.6679404974,1.6679404974,480000,0.0,0.0
12,1984-06-19,0.0,1.7999354686,1.787935853,1.787935853,1581000,0.0,0.0
13,1984-06-20,0.0,1.9919290654,1.9799294472,1.9799294472,2273000,0.0,0.0
14,1984-06-21,0.0,1.9799295903,1.9559303522,1.9559303522,2039000,0.0,0.0
15,1984-06-22,0.0,2.1839223021,2.1719226837,2.1719226837,1199000,0.0,0.0
16,1984-06-25,0.0,2.1599228483,2.1479232311,2.1479232311,1579000,0.0,0.0
17,1984-06-26,0.0,2.2199204053,2.2079207897,2.2079207897,1040000,0.0,0.0
18,1984-06-27,0.0,2.1599228483,2.1479232311,2.1479232311,1046000,0.0,0.0
19,1984-06-28,0.0,2.2679188346,2.2559192181,2.2559192181,563000,0.0,0.0
20,1984-06-29,0.0,2.4599118406,2.4359126091,2.4359126091,1019000,0.0,0.0
21,1984-07-02,0.0,2.3999140441,2.3759148121,2.3759148121,940000,0.0,0.0
22,1984-07-03,0.0,2.4479117616,2.4239127636,2.4239127636,339000,0.0,0.0
23,1984-07-05,0.0,2.5559082209,2.5439088345,2.5439088345,1428000,0.0,0.0
24,1984-07-06,0.0,2.5319092357,2.5199096203,2.5199096203,728000,0.0,0.0
25,1984-07-09,0.0,2.495910192,2.4719111919,2.4719111919,963000,0.0,0.0
26,1984-07-10,0.0,2.4239132492,2.4119136333,2.4119136333,1938000,0.0,0.0
27,1984-07-11,0.0,2.3159170339,2.3039176464,2.3039176464,980000,0.0,0.0
28,1984-07-12,0.0,2.243919611,2.243919611,2.243919611,1021000,0.0,0.0
