idx,date,open,high,low,close,volume,dividends,stock_splits
1,2002-05-23,1.1564290524,1.2428569794,1.1457140446,1.1964290142,104790000,0.0,0.0
2,2002-05-24,1.2142859697,1.2250000238,1.1971429586,1.2100000381,11104800,0.0,0.0
3,2002-05-28,1.2135709524,1.2321430445,1.1571429968,1.1571429968,6609400,0.0,0.0
4,2002-05-29,1.1642860174,1.1642860174,1.0857139826,1.1035710573,6757800,0.0,0.0
5,2002-05-30,1.1078569889,1.1078569889,1.0714290142,1.0714290142,10154200,0.0,0.0
6,2002-05-31,1.078570962,1.078570962,1.0714290142,1.0764290094,8464400,0.0,0.0
7,2002-06-03,1.0800000429,1.1492860317,1.0764290094,1.1285710335,3151400,0.0,0.0
8,2002-06-04,1.1357140541,1.1399999857,1.1107139587,1.1178569794,3105200,0.0,0.0
9,2002-06-05,1.1107139587,1.1592860222,1.1071430445,1.1471430063,1531600,0.0,0.0
10,2002-06-06,1.1499999762,1.2321430445,1.1485710144,1.1821429729,2305800,0.0,0.0
11,2002-06-07,1.1778570414,1.1778570414,1.1035710573,1.118571043,1369200,0.0,0.0
12,2002-06-10,1.1349999905,1.1749999523,1.134286046,1.1564290524,484400,0.0,0.0
13,2002-06-11,1.1564290524,1.1885709763,1.1285710335,1.1535710096,1003800,0.0,0.0
14,2002-06-12,1.1535710096,1.1821429729,1.0892859697,1.0928570032,1799000,0.0,0.0
15,2002-06-13,1.1042859554,1.1221430302,1.0800000429,1.0828570127,2567600,0.0,0.0
16,2002-06-14,1.0821429491,1.0857139826,0.9800000191,0.9864289761,4783800,0.0,0.0
17,2002-06-17,1.0135710239,1.0592859983,0.9178569913,0.9221429825,4855200,0.0,0.0
18,2002-06-18,0.9385709763,0.9392859936,0.8421429992,0.9107139707,10808000,0.0,0.0
19,2002-06-19,0.911428988,0.9964290261,0.8928570151,0.9514290094,5482400,0.0,0.0
20,2002-06-20,0.9714289904,1.0399999619,0.9499999881,0.9571430087,6111000,0.0,0.0
21,2002-06-21,0.9821429849,0.9892860055,0.9478570223,0.979286015,2346400,0.0,0.0
22,2002-06-24,0.979286015,1.0142860413,0.9571430087,0.9785709977,2567600,0.0,0.0
23,2002-06-25,0.9885709882,1.0071430206,0.9471430182,0.9642860293,3941000,0.0,0.0
24,2002-06-26,0.963571012,0.9964290261,0.9214289784,0.9885709882,2924600,0.0,0.0
25,2002-06-27,1.009286046,1.0185710192,0.9428570271,0.9435709715,3817800,0.0,0.0
26,2002-06-28,0.9607139826,1.0135710239,0.9607139826,0.999285996,9234400,0.0,0.0
27,2002-07-02,1.0535709858,1.1950000525,1.0392860174,1.1728570461,9020200,0.0,0.0
28,2002-07-03,1.1785709858,1.2142859697,1.1178569794,1.2142859697,4957400,0.0,0.0
29,2002-07-05,1.2142859697,1.2992860079,1.2135709524,1.2764290571,2003400,0.0,0.0
30,2002-07-08,1.2521430254,1.2521430254,1.1678570509,1.175714016,1953000,0.0,0.0
31,2002-07-09,1.1749999523,1.1964290142,1.1142859459,1.1607140303,2935800,0.0,0.0
32,2002-07-10,1.1614290476,1.1785709858,1.1321430206,1.1635710001,1554000,0.0,0.0
33,2002-07-11,1.154286027,1.2785710096,1.1328569651,1.2692860365,2529800,0.0,0.0
34,2002-07-12,1.2785710096,1.2799999714,1.2071429491,1.2078570127,2837800,0.0,0.0
35,2002-07-15,1.2428569794,1.2485710382,1.0764290094,1.1428569555,4239200,0.0,0.0
36,2002-07-16,1.152856946,1.1571429968,1.1042859554,1.1264289618,1941800,0.0,0.0
37,2002-07-17,1.1449999809,1.1635710001,1.0757139921,1.0892859697,1261400,0.0,0.0
38,2002-07-18,1.1171430349,1.1664290428,1.1107139587,1.1492860317,2899400,0.0,0.0
39,2002-07-19,1.152856946,1.1607140303,1.1221430302,1.1599999666,1792000,0.0,0.0
40,2002-07-22,1.1357140541,1.1792860031,1.1150000095,1.1707140207,1993600,0.0,0.0
41,2002-07-23,1.1764290333,1.2135709524,1.1307140589,1.1464289427,1577800,0.0,0.0
42,2002-07-24,1.1464289427,1.1592860222,1.074285984,1.1142859459,3355800,0.0,0.0
43,2002-07-25,1.125,1.1278569698,1.0349999666,1.0364290476,4755800,0.0,0.0
44,2002-07-26,1.0499999523,1.058570981,0.8500000238,0.8714290261,7046200,0.0,0.0
45,2002-07-29,0.8964290023,0.9242860079,0.8500000238,0.8764290214,3260600,0.0,0.0
46,2002-07-30,0.8935710192,0.9428570271,0.8935710192,0.9142860174,3777200,0.0,0.0
47,2002-07-31,0.9285709858,0.9599999785,0.9057139754,0.9535710216,3333400,0.0,0.0
48,2002-08-02,0.8864290118,0.8878570199,0.7064290047,0.7778570056,6655600,0.0,0.0
49,2002-08-05,0.7785710096,0.8128569722,0.7607139945,0.7749999762,3808000,0.0,0.0
50,2002-08-06,0.7957140207,0.8035709858,0.7428569794,0.7607139945,3217200,0.0,0.0
51,2002-08-07,0.7607139945,0.7935709953,0.7428569794,0.7935709953,2758000,0.0,0.0
52,2002-08-08,0.7964289784,0.8035709858,0.750714004,0.7964289784,2283400,0.0,0.0
53,2002-08-09,0.7985709906,0.8214290142,0.7785710096,0.787142992,1500800,0.0,0.0
