idx,date,open,high,low,close,volume,dividends,stock_splits
1,1999-01-22,0.040122478,0.044779436,0.0355847425,0.0376151688,2714688000,0.0,0.0
2,1999-01-25,0.0406002851,0.0420327718,0.0376151737,0.041555889,510480000,0.0,0.0
3,1999-01-26,0.0420327619,0.0428691431,0.0377343839,0.0383314081,343200000,0.0,0.0
4,1999-01-27,0.038450629,0.0394062326,0.0363009838,0.0382121876,244368000,0.0,0.0
5,1999-01-28,0.0382121775,0.0384506188,0.0378535982,0.0380920395,227520000,0.0,0.0
6,1999-01-29,0.0380920491,0.0382121871,0.0363009833,0.0363009833,244032000,0.0,0.0
7,1999-02-02,0.0363009917,0.0372565921,0.0330774353,0.0341522582,264096000,0.0,0.0
8,1999-02-03,0.0336744341,0.0353462766,0.0334350738,0.034868475,75120000,0.0,0.0
9,1999-02-04,0.0353462919,0.0377343817,0.0348684901,0.0367787816,181920000,0.0,0.0
10,1999-02-05,0.0373758079,0.0382121892,0.0364211233,0.0378536098,136848000,0.0,0.0
11,1999-02-08,0.0380920417,0.0382121797,0.0365403332,0.0365403332,154080000,0.0,0.0
12,1999-02-09,0.0372565835,0.0374950284,0.0346291365,0.0351069383,86976000,0.0,0.0
13,1999-02-10,0.0351069332,0.0360625333,0.0341522454,0.0347492695,148224000,0.0,0.0
14,1999-02-11,0.0348684972,0.0391668759,0.0348684972,0.0377343893,132240000,0.0,0.0
15,1999-02-12,0.0382121841,0.0401224722,0.0382121841,0.0398840308,109728000,0.0,0.0
16,1999-02-16,0.0406002735,0.0422721202,0.0360625353,0.0401224717,211008000,0.0,0.0
17,1999-02-17,0.0391668792,0.0396446811,0.0372565906,0.037972834,67728000,0.0,0.0
18,1999-02-18,0.0391668698,0.0396446715,0.0374950264,0.038569849,70704000,0.0,0.0
19,1999-02-19,0.0382121841,0.040600274,0.0377343824,0.0398840308,75360000,0.0,0.0
20,1999-02-22,0.0406002735,0.0410780753,0.0379728233,0.0401224717,205248000,0.0,0.0
21,1999-02-23,0.0410780788,0.0428691446,0.0386899888,0.0420327634,138096000,0.0,0.0
22,1999-02-24,0.0482423491,0.0501535529,0.0443016347,0.0453764573,612768000,0.0,0.0
23,1999-02-25,0.0472876617,0.0487201515,0.0432268092,0.0439439714,149136000,0.0,0.0
24,1999-02-26,0.0444217748,0.0458542612,0.0415558828,0.0419135466,172608000,0.0,0.0
25,1999-03-02,0.0420327638,0.0422721242,0.0410780792,0.0417943224,55248000,0.0,0.0
26,1999-03-03,0.0420327638,0.0420327638,0.0386899891,0.0389284305,61392000,0.0,0.0
27,1999-03-04,0.0408387162,0.0410780766,0.0377343832,0.038092047,57360000,0.0,0.0
